Node	Time	Res_CapacityDownVolume
1	1	213.0
1	2	213.0
1	3	213.0
1	4	213.0
1	5	213.0
1	6	155.0
1	7	205.0
1	8	205.0
1	9	205.0
1	10	205.0
1	11	205.0
1	12	205.0
1	13	205.0
1	14	205.0
1	15	155.0
1	16	155.0
1	17	155.0
1	18	155.0
1	19	155.0
1	20	155.0
1	21	155.0
1	22	213.0
1	23	213.0
1	24	225.0
2	1	255.0
2	2	255.0
2	3	255.0
2	4	255.0
2	5	255.0
2	6	255.0
2	7	201.0
2	8	154.0
2	9	152.0
2	10	116.0
2	11	151.0
2	12	193.0
2	13	335.0
2	14	335.0
2	15	335.0
2	16	255.0
2	17	176.0
2	18	123.0
2	19	83.0
2	20	176.0
2	21	176.0
2	22	160.0
2	23	157.0
2	24	207.0
3	1	470.0
3	2	465.0
3	3	465.0
3	4	465.0
3	5	470.0
3	6	400.0
3	7	250.0
3	8	250.0
3	9	250.0
3	10	250.0
3	11	310.0
3	12	540.0
3	13	583.0
3	14	583.0
3	15	520.0
3	16	220.0
3	17	200.0
3	18	200.0
3	19	300.0
3	20	300.0
3	21	300.0
3	22	300.0
3	23	350.0
3	24	450.0
4	1	305.0
4	2	305.0
4	3	305.0
4	4	305.0
4	5	305.0
4	6	263.0
4	7	202.0
4	8	202.0
4	9	195.0
4	10	201.0
4	11	163.0
4	12	347.0
4	13	365.0
4	14	365.0
4	15	305.0
4	16	122.0
4	17	200.0
4	18	200.0
4	19	300.0
4	20	300.0
4	21	300.0
4	22	300.0
4	23	305.0
4	24	305.0
5	1	31.0
5	2	31.0
5	3	31.0
5	4	31.0
5	5	31.0
5	6	31.0
5	7	31.0
5	8	31.0
5	9	31.0
5	10	31.0
5	11	31.0
5	12	31.0
5	13	31.0
5	14	31.0
5	15	31.0
5	16	31.0
5	17	31.0
5	18	31.0
5	19	31.0
5	20	31.0
5	21	31.0
5	22	31.0
5	23	31.0
5	24	31.0
6	1	246.0
6	2	271.0
6	3	271.0
6	4	271.0
6	5	271.0
6	6	271.0
6	7	231.0
6	8	206.0
6	9	188.0
6	10	172.0
6	11	206.0
6	12	206.0
6	13	246.0
6	14	246.0
6	15	246.0
6	16	246.0
6	17	200.0
6	18	200.0
6	19	174.0
6	20	206.0
6	21	206.0
6	22	206.0
6	23	206.0
6	24	231.0
7	1	276.0
7	2	307.0
7	3	299.0
7	4	273.0
7	5	307.0
7	6	307.0
7	7	250.0
7	8	250.0
7	9	250.0
7	10	200.0
7	11	300.0
7	12	280.0
7	13	307.0
7	14	307.0
7	15	307.0
7	16	200.0
7	17	200.0
7	18	200.0
7	19	300.0
7	20	300.0
7	21	300.0
7	22	280.0
7	23	280.0
7	24	264.0
8	1	464.0
8	2	464.0
8	3	464.0
8	4	464.0
8	5	434.0
8	6	359.0
8	7	209.0
8	8	209.0
8	9	209.0
8	10	209.0
8	11	309.0
8	12	509.0
8	13	623.0
8	14	637.0
8	15	529.0
8	16	209.0
8	17	159.0
8	18	159.0
8	19	300.0
8	20	300.0
8	21	300.0
8	22	300.0
8	23	309.0
8	24	450.0
9	1	450.0
9	2	450.0
9	3	450.0
9	4	445.0
9	5	440.0
9	6	393.0
9	7	250.0
9	8	250.0
9	9	250.0
9	10	250.0
9	11	350.0
9	12	354.0
9	13	402.0
9	14	469.0
9	15	400.0
9	16	200.0
9	17	200.0
9	18	200.0
9	19	300.0
9	20	300.0
9	21	300.0
9	22	300.0
9	23	350.0
9	24	359.0
10	1	244.0
10	2	244.0
10	3	244.0
10	4	244.0
10	5	244.0
10	6	190.0
10	7	222.0
10	8	222.0
10	9	232.0
10	10	232.0
10	11	275.0
10	12	294.0
10	13	294.0
10	14	294.0
10	15	294.0
10	16	200.0
10	17	200.0
10	18	200.0
10	19	240.0
10	20	240.0
10	21	240.0
10	22	274.0
10	23	294.0
10	24	250.0
11	1	185.0
11	2	185.0
11	3	185.0
11	4	185.0
11	5	185.0
11	6	185.0
11	7	131.0
11	8	131.0
11	9	130.0
11	10	130.0
11	11	131.0
11	12	131.0
11	13	87.0
11	14	83.0
11	15	33.0
11	16	63.0
11	17	10.0
11	18	0.0
11	19	60.0
11	20	70.0
11	21	70.0
11	22	129.0
11	23	185.0
11	24	185.0
12	1	411.0
12	2	411.0
12	3	411.0
12	4	411.0
12	5	411.0
12	6	411.0
12	7	400.0
12	8	139.0
12	9	139.0
12	10	127.0
12	11	128.0
12	12	220.0
12	13	297.0
12	14	297.0
12	15	400.0
12	16	400.0
12	17	200.0
12	18	197.0
12	19	168.0
12	20	268.0
12	21	268.0
12	22	300.0
12	23	300.0
12	24	350.0
13	1	50.0
13	2	50.0
13	3	50.0
13	4	79.0
13	5	79.0
13	6	79.0
13	7	79.0
13	8	79.0
13	9	79.0
13	10	79.0
13	11	79.0
13	12	79.0
13	13	79.0
13	14	79.0
13	15	79.0
13	16	79.0
13	17	79.0
13	18	79.0
13	19	79.0
13	20	50.0
13	21	50.0
13	22	50.0
13	23	50.0
13	24	50.0
14	1	175.0
14	2	175.0
14	3	175.0
14	4	175.0
14	5	175.0
14	6	175.0
14	7	158.0
14	8	158.0
14	9	131.0
14	10	81.0
14	11	81.0
14	12	81.0
14	13	91.0
14	14	91.0
14	15	31.0
14	16	19.0
14	17	31.0
14	18	29.0
14	19	81.0
14	20	81.0
14	21	108.0
14	22	158.0
14	23	175.0
14	24	98.0
