Node	Time	CapacityDownPrice
1	1	7.0
1	2	7.0
1	3	7.0
1	4	7.0
1	5	6.0
1	6	2.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	2.0
1	12	3.0
1	13	3.0
1	14	3.0
1	15	3.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	2.0
1	24	7.0
2	1	34.0
2	2	41.0
2	3	50.0
2	4	55.0
2	5	50.0
2	6	41.0
2	7	34.0
2	8	9.0
2	9	5.0
2	10	4.0
2	11	3.0
2	12	4.0
2	13	5.0
2	14	5.0
2	15	6.0
2	16	5.0
2	17	5.0
2	18	5.0
2	19	2.0
2	20	5.0
2	21	5.0
2	22	7.0
2	23	9.0
2	24	11.0
3	1	2.0
3	2	2.5
3	3	2.5
3	4	2.0
3	5	2.0
3	6	2.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	2.0
3	12	2.0
3	13	3.0
3	14	3.0
3	15	3.0
3	16	2.0
3	17	2.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	2.0
3	24	2.0
4	1	15.0
4	2	15.0
4	3	15.0
4	4	15.0
4	5	15.0
4	6	12.0
4	7	2.0
4	8	2.0
4	9	2.0
4	10	2.5
4	11	4.0
4	12	11.38
4	13	26.6
4	14	37.5
4	15	13.88
4	16	2.5
4	17	3.0
4	18	3.0
4	19	11.0
4	20	12.0
4	21	13.0
4	22	13.0
4	23	14.0
4	24	13.0
5	1	2.0
5	2	2.0
5	3	2.0
5	4	2.0
5	5	2.0
5	6	2.0
5	7	2.0
5	8	2.0
5	9	2.5
5	10	2.0
5	11	2.0
5	12	2.0
5	13	2.0
5	14	2.0
5	15	2.0
5	16	2.0
5	17	2.5
5	18	2.5
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	2.0
6	1	75.0
6	2	75.0
6	3	75.0
6	4	75.0
6	5	75.0
6	6	63.0
6	7	15.0
6	8	6.0
6	9	7.0
6	10	4.0
6	11	7.0
6	12	7.0
6	13	13.0
6	14	16.0
6	15	16.0
6	16	13.0
6	17	5.0
6	18	6.0
6	19	3.0
6	20	7.0
6	21	7.0
6	22	7.0
6	23	8.0
6	24	9.0
