Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	1
3	2	0
4	2	1
3	3	1
4	3	0
3	4	1
4	4	0
3	5	0
4	5	1
3	6	1
4	6	0
3	7	1
4	7	0
3	8	0
4	8	1
3	9	0
4	9	1
3	10	1
4	10	0
3	11	1
4	11	0
3	12	1
4	12	0
3	13	1
4	13	0
3	14	1
4	14	0
3	15	0
4	15	1
3	16	1
4	16	0
3	17	0
4	17	1
3	18	0
4	18	1
3	19	0
4	19	1
3	20	1
4	20	0
3	21	0
4	21	1
3	22	1
4	22	0
3	23	0
4	23	1
3	24	1
4	24	0
5	1	0
6	1	1
5	2	1
6	2	0
5	3	0
6	3	1
5	4	1
6	4	0
5	5	1
6	5	0
5	6	0
6	6	1
5	7	0
6	7	1
5	8	1
6	8	0
5	9	0
6	9	1
5	10	1
6	10	0
5	11	1
6	11	0
5	12	0
6	12	1
5	13	1
6	13	0
5	14	1
6	14	0
5	15	0
6	15	1
5	16	0
6	16	1
5	17	0
6	17	1
5	18	0
6	18	1
5	19	1
6	19	0
5	20	0
6	20	1
5	21	1
6	21	0
5	22	0
6	22	1
5	23	1
6	23	0
5	24	1
6	24	0
7	1	1
8	1	0
7	2	0
8	2	1
7	3	0
8	3	1
7	4	0
8	4	1
7	5	0
8	5	1
7	6	0
8	6	1
7	7	1
8	7	0
7	8	1
8	8	0
7	9	1
8	9	0
7	10	0
8	10	1
7	11	1
8	11	0
7	12	0
8	12	1
7	13	1
8	13	0
7	14	0
8	14	1
7	15	1
8	15	0
7	16	0
8	16	1
7	17	1
8	17	0
7	18	0
8	18	1
7	19	1
8	19	0
7	20	1
8	20	0
7	21	0
8	21	1
7	22	1
8	22	0
7	23	1
8	23	0
7	24	1
8	24	0
9	1	0
10	1	1
9	2	1
10	2	0
9	3	1
10	3	0
9	4	1
10	4	0
9	5	0
10	5	1
9	6	1
10	6	0
9	7	0
10	7	1
9	8	1
10	8	0
9	9	1
10	9	0
9	10	1
10	10	0
9	11	1
10	11	0
9	12	0
10	12	1
9	13	1
10	13	0
9	14	1
10	14	0
9	15	1
10	15	0
9	16	1
10	16	0
9	17	0
10	17	1
9	18	0
10	18	1
9	19	1
10	19	0
9	20	1
10	20	0
9	21	1
10	21	0
9	22	0
10	22	1
9	23	1
10	23	0
9	24	0
10	24	1
11	1	1
12	1	0
11	2	0
12	2	1
11	3	1
12	3	0
11	4	1
12	4	0
11	5	0
12	5	1
11	6	1
12	6	0
11	7	1
12	7	0
11	8	1
12	8	0
11	9	1
12	9	0
11	10	1
12	10	0
11	11	0
12	11	1
11	12	1
12	12	0
11	13	0
12	13	1
11	14	0
12	14	1
11	15	0
12	15	1
11	16	1
12	16	0
11	17	1
12	17	0
11	18	1
12	18	0
11	19	1
12	19	0
11	20	0
12	20	1
11	21	0
12	21	1
11	22	0
12	22	1
11	23	1
12	23	0
11	24	1
12	24	0
13	1	0
14	1	1
13	2	0
14	2	1
13	3	1
14	3	0
13	4	1
14	4	0
13	5	0
14	5	1
13	6	0
14	6	1
13	7	1
14	7	0
13	8	1
14	8	0
13	9	0
14	9	1
13	10	0
14	10	1
13	11	1
14	11	0
13	12	1
14	12	0
13	13	1
14	13	0
13	14	0
14	14	1
13	15	1
14	15	0
13	16	0
14	16	1
13	17	1
14	17	0
13	18	0
14	18	1
13	19	0
14	19	1
13	20	0
14	20	1
13	21	1
14	21	0
13	22	0
14	22	1
13	23	0
14	23	1
13	24	0
14	24	1
