Node	Time	EnergyCarrier	ReferenceDemand
3	1	Electricity	350.4325005826172
3	2	Electricity	352.8360566153035
3	3	Electricity	337.89365781866456
3	4	Electricity	349.97746132540715
3	5	Electricity	346.5747757302556
3	6	Electricity	357.56034600754714
3	7	Electricity	349.87145216945856
3	8	Electricity	336.7917191168022
3	9	Electricity	353.33268732719375
3	10	Electricity	353.7871757710014
3	11	Electricity	359.9355036615479
3	12	Electricity	349.8175194468355
3	13	Electricity	351.0465022967092
3	14	Electricity	348.93863527018146
3	15	Electricity	354.40918827322344
3	16	Electricity	344.21548534824507
3	17	Electricity	352.3706849486173
3	18	Electricity	362.51907284644756
3	19	Electricity	354.51274245970643
3	20	Electricity	353.30914830970755
3	21	Electricity	353.308242652681
3	22	Electricity	348.70217055236697
3	23	Electricity	357.3376266525084
3	24	Electricity	342.12451258904565
3	1	LT	0.4592311396003992
3	2	LT	0.5333006782456249
3	3	LT	0.5333006782456249
3	4	LT	0.5333006782456249
3	5	LT	0.5333006782456249
3	6	LT	0.6666258478070312
3	7	LT	0.7851371096393922
3	8	LT	0.9332761869298435
3	9	LT	0.9332761869298435
3	10	LT	0.9332761869298435
3	11	LT	0.9332761869298435
3	12	LT	0.9332761869298435
3	13	LT	0.9332761869298435
3	14	LT	0.9332761869298435
3	15	LT	0.9332761869298435
3	16	LT	0.8295788328265276
3	17	LT	0.8147649250974824
3	18	LT	0.6962536632651214
3	19	LT	0.651811940077986
3	20	LT	0.54811458597467
3	21	LT	0.4592311396003992
3	22	LT	0.3999755086842187
3	23	LT	0.3999755086842187
3	24	LT	0.3999755086842187
3	1	MT	0.4592311396003992
3	2	MT	0.5333006782456249
3	3	MT	0.5333006782456249
3	4	MT	0.5333006782456249
3	5	MT	0.5333006782456249
3	6	MT	0.6666258478070312
3	7	MT	0.7851371096393922
3	8	MT	0.9332761869298435
3	9	MT	0.9332761869298435
3	10	MT	0.9332761869298435
3	11	MT	0.9332761869298435
3	12	MT	0.9332761869298435
3	13	MT	0.9332761869298435
