Node	Time	Res_CapacityUpVolume
1	1	28.0
1	2	28.0
1	3	28.0
1	4	28.0
1	5	28.0
1	6	28.0
1	7	28.0
1	8	118.0
1	9	118.0
1	10	103.0
1	11	103.0
1	12	103.0
1	13	103.0
1	14	103.0
1	15	103.0
1	16	118.0
1	17	118.0
1	18	118.0
1	19	43.0
1	20	43.0
1	21	43.0
1	22	43.0
1	23	28.0
1	24	0.0
2	1	88.0
2	2	88.0
2	3	135.0
2	4	88.0
2	5	85.0
2	6	181.0
2	7	181.0
2	8	170.0
2	9	112.0
2	10	112.0
2	11	25.0
2	12	112.0
2	13	112.0
2	14	25.0
2	15	49.0
2	16	239.0
2	17	95.0
2	18	49.0
2	19	25.0
2	20	25.0
2	21	25.0
2	22	112.0
2	23	181.0
2	24	163.0
3	1	185.0
3	2	185.0
3	3	185.0
3	4	185.0
3	5	185.0
3	6	218.0
3	7	240.0
3	8	220.0
3	9	200.0
3	10	105.0
3	11	180.0
3	12	180.0
3	13	129.0
3	14	90.0
3	15	74.0
3	16	60.0
3	17	172.0
3	18	172.0
3	19	240.0
3	20	240.0
3	21	240.0
3	22	240.0
3	23	165.0
3	24	210.0
4	1	76.0
4	2	76.0
4	3	75.0
4	4	76.0
4	5	76.0
4	6	114.0
4	7	115.0
4	8	116.0
4	9	116.0
4	10	116.0
4	11	109.0
4	12	106.0
4	13	60.0
4	14	60.0
4	15	60.0
4	16	60.0
4	17	76.0
4	18	110.0
4	19	115.0
4	20	116.0
4	21	111.0
4	22	105.0
4	23	75.0
4	24	76.0
5	1	163.0
5	2	163.0
5	3	163.0
5	4	163.0
5	5	163.0
5	6	163.0
5	7	163.0
5	8	302.0
5	9	302.0
5	10	302.0
5	11	302.0
5	12	188.0
5	13	163.0
5	14	138.0
5	15	138.0
5	16	138.0
5	17	252.0
5	18	302.0
5	19	302.0
5	20	302.0
5	21	223.0
5	22	163.0
5	23	163.0
5	24	163.0
6	1	0.0
6	2	0.0
6	3	0.0
6	4	0.0
6	5	0.0
6	6	0.0
6	7	20.0
6	8	20.0
6	9	48.0
6	10	0.0
6	11	0.0
6	12	0.0
6	13	0.0
6	14	0.0
6	15	0.0
6	16	0.0
6	17	0.0
6	18	0.0
6	19	74.0
6	20	74.0
6	21	99.0
6	22	119.0
6	23	99.0
6	24	74.0
7	1	131.0
7	2	131.0
7	3	131.0
7	4	131.0
7	5	131.0
7	6	146.0
7	7	146.0
7	8	146.0
7	9	146.0
7	10	146.0
7	11	146.0
7	12	146.0
7	13	131.0
7	14	131.0
7	15	131.0
7	16	131.0
7	17	146.0
7	18	146.0
7	19	146.0
7	20	146.0
7	21	146.0
7	22	146.0
7	23	136.0
7	24	190.0
8	1	70.0
8	2	70.0
8	3	70.0
8	4	70.0
8	5	70.0
8	6	70.0
8	7	70.0
8	8	85.0
8	9	85.0
8	10	85.0
8	11	70.0
8	12	70.0
8	13	70.0
8	14	70.0
8	15	70.0
8	16	85.0
8	17	85.0
8	18	85.0
8	19	85.0
8	20	85.0
8	21	70.0
8	22	70.0
8	23	70.0
8	24	70.0
9	1	15.0
9	2	15.0
9	3	15.0
9	4	15.0
9	5	40.0
9	6	40.0
9	7	104.0
9	8	104.0
9	9	104.0
9	10	104.0
9	11	40.0
9	12	40.0
9	13	40.0
9	14	15.0
9	15	0.0
9	16	0.0
9	17	15.0
9	18	104.0
9	19	102.0
9	20	102.0
9	21	72.0
9	22	40.0
9	23	40.0
9	24	0.0
10	1	60.0
10	2	60.0
10	3	60.0
10	4	60.0
10	5	76.0
10	6	76.0
10	7	108.0
10	8	125.0
10	9	126.0
10	10	76.0
10	11	75.0
10	12	76.0
10	13	60.0
10	14	60.0
10	15	60.0
10	16	51.0
10	17	76.0
10	18	83.0
10	19	123.0
10	20	123.0
10	21	103.0
10	22	83.0
10	23	75.0
10	24	76.0
11	1	0.0
11	2	0.0
11	3	0.0
11	4	15.0
11	5	0.0
11	6	0.0
11	7	30.0
11	8	93.0
11	9	89.0
11	10	104.0
11	11	80.0
11	12	30.0
11	13	30.0
11	14	30.0
11	15	30.0
11	16	25.0
11	17	30.0
11	18	94.0
11	19	50.0
11	20	50.0
11	21	28.0
11	22	5.0
11	23	5.0
11	24	0.0
12	1	25.0
12	2	43.0
12	3	55.0
12	4	55.0
12	5	55.0
12	6	40.0
12	7	50.0
12	8	109.0
12	9	109.0
12	10	109.0
12	11	109.0
12	12	109.0
12	13	60.0
12	14	60.0
12	15	50.0
12	16	70.0
12	17	70.0
12	18	109.0
12	19	109.0
12	20	70.0
12	21	70.0
12	22	15.0
12	23	5.0
12	24	10.0
13	1	216.0
13	2	216.0
13	3	185.0
13	4	216.0
13	5	216.0
13	6	216.0
13	7	273.0
13	8	273.0
13	9	273.0
13	10	273.0
13	11	273.0
13	12	273.0
13	13	273.0
13	14	255.0
13	15	263.0
13	16	255.0
13	17	273.0
13	18	273.0
13	19	273.0
13	20	273.0
13	21	273.0
13	22	273.0
13	23	273.0
13	24	273.0
14	1	261.0
14	2	236.0
14	3	236.0
14	4	236.0
14	5	236.0
14	6	260.0
14	7	271.0
14	8	271.0
14	9	271.0
14	10	271.0
14	11	271.0
14	12	261.0
14	13	236.0
14	14	236.0
14	15	236.0
14	16	236.0
14	17	186.0
14	18	196.0
14	19	196.0
14	20	196.0
14	21	196.0
14	22	196.0
14	23	196.0
14	24	196.0
