Node	Time	Spot_Price
3	1	29.0
3	2	28.03
3	3	27.91
3	4	27.78
3	5	27.37
3	6	28.02
3	7	28.76
3	8	29.9
3	9	30.28
3	10	30.02
3	11	31.64
3	12	30.69
3	13	23.95
3	14	12.28
3	15	24.95
3	16	29.95
3	17	28.03
3	18	28.03
3	19	27.99
3	20	27.92
3	21	27.79
3	22	29.91
3	23	28.7
3	24	27.61
4	1	36.65
4	2	36.42
4	3	36.42
4	4	36.08
4	5	36.01
4	6	39.35
4	7	42.68
4	8	43.6
4	9	42.82
4	10	42.42
4	11	41.7
4	12	40.96
4	13	39.37
4	14	36.55
4	15	36.95
4	16	39.25
4	17	39.5
4	18	39.58
4	19	39.54
4	20	38.42
4	21	37.3
4	22	36.8
4	23	36.63
4	24	36.43
5	1	71.41
5	2	71.23
5	3	70.06
5	4	69.12
5	5	68.89
5	6	74.08
5	7	84.25
5	8	110.0
5	9	133.15
5	10	113.55
5	11	97.79
5	12	91.87
5	13	89.38
5	14	90.98
5	15	94.9
5	16	94.38
5	17	93.01
5	18	105.53
5	19	97.0
5	20	86.06
5	21	83.2
5	22	80.61
5	23	75.6
5	24	65.98
6	1	67.27
6	2	65.65
6	3	64.67
6	4	63.57
6	5	62.97
6	6	66.13
6	7	67.42
6	8	69.6
6	9	75.48
6	10	73.68
6	11	71.46
6	12	70.75
6	13	69.52
6	14	69.6
6	15	70.09
6	16	70.12
6	17	70.8
6	18	76.44
6	19	75.94
6	20	70.94
6	21	67.25
6	22	66.15
6	23	64.96
6	24	63.28
7	1	21.46
7	2	21.18
7	3	21.1
7	4	21.07
7	5	21.1
7	6	22.87
7	7	25.39
7	8	26.25
7	9	27.53
7	10	28.17
7	11	22.75
7	12	20.3
7	13	16.33
7	14	20.43
7	15	23.23
7	16	27.51
7	17	28.04
7	18	27.67
7	19	26.0
7	20	25.48
7	21	24.65
7	22	24.1
7	23	24.07
7	24	22.82
8	1	1.06
8	2	1.01
8	3	1.01
8	4	1.01
8	5	1.11
8	6	2.23
8	7	5.0
8	8	8.35
8	9	8.36
8	10	2.95
8	11	1.86
8	12	0.43
8	13	0.0
8	14	-0.07
8	15	-0.01
8	16	1.4
8	17	3.96
8	18	8.58
8	19	7.4
8	20	5.38
8	21	5.37
8	22	5.74
8	23	5.21
8	24	3.18
9	1	-0.04
9	2	-0.07
9	3	-0.07
9	4	-0.07
9	5	-0.06
9	6	0.66
9	7	2.91
9	8	3.55
9	9	3.85
9	10	3.59
9	11	2.99
9	12	2.94
9	13	2.91
9	14	2.63
9	15	2.35
9	16	3.24
9	17	4.14
9	18	4.94
9	19	5.9
9	20	4.41
9	21	3.7
9	22	2.96
9	23	1.99
9	24	3.97
10	1	62.44
10	2	62.69
10	3	63.03
10	4	63.81
10	5	65.04
10	6	67.9
10	7	150.34
10	8	127.13
10	9	97.89
10	10	87.02
10	11	74.58
10	12	64.15
10	13	64.71
10	14	62.63
10	15	61.49
10	16	63.15
10	17	64.97
10	18	66.47
10	19	77.04
10	20	74.98
10	21	69.05
10	22	63.98
10	23	61.09
10	24	61.23
11	1	29.98
11	2	19.46
11	3	16.99
11	4	16.99
11	5	16.99
11	6	17.0
11	7	26.21
11	8	42.25
11	9	42.59
11	10	44.0
11	11	36.65
11	12	19.43
11	13	17.0
11	14	20.27
11	15	44.27
11	16	49.14
11	17	54.16
11	18	56.02
11	19	57.71
11	20	58.4
11	21	58.63
11	22	58.05
11	23	57.78
11	24	57.39
12	1	46.53
12	2	45.89
12	3	46.2
12	4	45.57
12	5	45.55
12	6	46.89
12	7	65.24
12	8	91.78
12	9	105.79
12	10	82.95
12	11	76.41
12	12	66.83
12	13	62.95
12	14	59.27
12	15	52.79
12	16	51.94
12	17	50.94
12	18	50.83
12	19	47.25
12	20	46.42
12	21	45.73
12	22	46.37
12	23	43.74
12	24	43.37
13	1	40.09
13	2	39.37
13	3	39.27
13	4	39.56
13	5	40.04
13	6	40.76
13	7	41.39
13	8	41.79
13	9	41.71
13	10	41.67
13	11	41.6
13	12	41.55
13	13	41.35
13	14	41.17
13	15	41.17
13	16	41.16
13	17	41.47
13	18	41.71
13	19	41.93
13	20	41.68
13	21	41.6
13	22	41.01
13	23	40.65
13	24	39.99
14	1	26.54
14	2	22.73
14	3	15.66
14	4	9.44
14	5	10.5
14	6	18.88
14	7	25.74
14	8	36.56
14	9	47.02
14	10	47.18
14	11	43.15
14	12	42.64
14	13	44.39
14	14	45.01
14	15	50.08
14	16	59.53
14	17	66.67
14	18	78.18
14	19	80.64
14	20	76.43
14	21	70.15
14	22	69.21
14	23	49.79
14	24	39.15
