Node	Time	ActivationUpPrice
3	1	29.0
3	2	28.03
3	3	27.91
3	4	27.78
3	5	27.37
3	6	28.02
3	7	28.76
3	8	29.9
3	9	30.28
3	10	30.02
3	11	31.64
3	12	30.69
3	13	23.95
3	14	26.5
3	15	24.95
3	16	29.95
3	17	28.03
3	18	28.03
3	19	27.99
3	20	27.92
3	21	27.79
3	22	29.91
3	23	28.7
3	24	27.61
4	1	41.0
4	2	40.0
4	3	40.0
4	4	39.5
4	5	40.0
4	6	54.26
4	7	57.63
4	8	66.0
4	9	66.0
4	10	60.0
4	11	51.5
4	12	40.96
4	13	39.37
4	14	36.55
4	15	36.95
4	16	39.25
4	17	39.5
4	18	52.5
4	19	39.54
4	20	38.42
4	21	37.3
4	22	36.8
4	23	36.63
4	24	36.43
5	1	83.7
5	2	86.5
5	3	80.0
5	4	69.12
5	5	68.89
5	6	74.08
5	7	85.0
5	8	110.0
5	9	133.15
5	10	113.55
5	11	117.0
5	12	115.0
5	13	213.411
5	14	90.98
5	15	94.9
5	16	94.38
5	17	115.0
5	18	115.0
5	19	97.0
5	20	86.06
5	21	83.2
5	22	85.0
5	23	80.0
5	24	76.0
6	1	67.27
6	2	70.0
6	3	66.16
6	4	63.57
6	5	62.97
6	6	66.13
6	7	71.0
6	8	77.0
6	9	83.0
6	10	83.0
6	11	79.133
6	12	80.0
6	13	80.0
6	14	83.02
6	15	80.09
6	16	82.0
6	17	76.5
6	18	85.0
6	19	85.0
6	20	78.0
6	21	67.25
6	22	66.15
6	23	64.96
6	24	63.28
7	1	21.46
7	2	21.18
7	3	21.1
7	4	21.07
7	5	21.1
7	6	22.87
7	7	25.39
7	8	26.25
7	9	27.53
7	10	28.17
7	11	22.75
7	12	29.0
7	13	29.0
7	14	25.0
7	15	28.6
7	16	35.0
7	17	35.0
7	18	29.83
7	19	29.38
7	20	35.0
7	21	32.0
7	22	30.0
7	23	24.07
7	24	22.82
8	1	1.06
8	2	1.01
8	3	1.01
8	4	1.01
8	5	1.11
8	6	2.23
8	7	17.0
8	8	23.97
8	9	30.0
8	10	22.49
8	11	7.86
8	12	5.5
8	13	0.0
8	14	-0.07
8	15	-0.01
8	16	1.4
8	17	3.96
8	18	8.58
8	19	7.4
8	20	5.38
8	21	5.37
8	22	5.74
8	23	5.21
8	24	3.18
9	1	-0.04
9	2	14.0
9	3	14.0
9	4	14.0
9	5	14.0
9	6	9.5
9	7	19.0
9	8	19.0
9	9	9.98
9	10	9.98
9	11	16.0
9	12	19.46
9	13	14.0
9	14	13.0
9	15	13.0
9	16	12.0
9	17	12.0
9	18	4.94
9	19	5.9
9	20	4.41
9	21	3.7
9	22	2.96
9	23	1.99
9	24	3.97
10	1	62.44
10	2	62.69
10	3	63.03
10	4	63.81
10	5	63.03
10	6	67.9
10	7	150.34
10	8	127.13
10	9	97.89
10	10	87.02
10	11	74.58
10	12	64.15
10	13	64.71
10	14	62.63
10	15	61.49
10	16	63.15
10	17	64.97
10	18	66.47
10	19	77.04
10	20	74.98
10	21	69.05
10	22	63.98
10	23	61.09
10	24	61.23
11	1	29.98
11	2	19.46
11	3	16.99
11	4	16.99
11	5	16.99
11	6	17.0
11	7	26.21
11	8	42.25
11	9	42.59
11	10	44.0
11	11	36.65
11	12	19.43
11	13	17.0
11	14	20.27
11	15	46.0
11	16	49.14
11	17	57.0
11	18	61.0
11	19	62.0
11	20	63.0
11	21	63.0
11	22	58.05
11	23	57.78
11	24	57.39
12	1	56.0
12	2	56.0
12	3	60.0
12	4	60.0
12	5	66.0
12	6	66.0
12	7	81.0
12	8	97.0
12	9	116.0
12	10	88.0
12	11	77.0
12	12	66.83
12	13	62.95
12	14	59.27
12	15	60.0
12	16	60.0
12	17	50.94
12	18	50.83
12	19	64.0
12	20	52.0
12	21	52.0
12	22	50.0
12	23	49.0
12	24	47.0
13	1	40.09
13	2	39.37
13	3	39.27
13	4	39.56
13	5	40.04
13	6	40.76
13	7	41.39
13	8	41.79
13	9	41.71
13	10	41.67
13	11	41.6
13	12	41.55
13	13	41.35
13	14	41.17
13	15	41.17
13	16	41.16
13	17	41.47
13	18	41.71
13	19	41.93
13	20	41.68
13	21	41.6
13	22	41.01
13	23	40.65
13	24	39.99
14	1	26.54
14	2	22.73
14	3	15.66
14	4	9.44
14	5	10.5
14	6	18.88
14	7	25.74
14	8	36.56
14	9	47.02
14	10	47.18
14	11	43.15
14	12	42.64
14	13	44.39
14	14	45.01
14	15	50.08
14	16	59.53
14	17	66.67
14	18	78.18
14	19	80.64
14	20	76.43
14	21	70.15
14	22	69.21
14	23	49.79
14	24	39.15
