Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	5.0
1	6	33.0
1	7	62.0
1	8	62.0
1	9	62.0
1	10	44.0
1	11	43.0
1	12	41.0
1	13	34.0
1	14	22.0
1	15	20.0
1	16	20.0
1	17	26.0
1	18	45.0
1	19	64.0
1	20	47.63
1	21	45.0
1	22	39.04
1	23	14.0
1	24	3.0
2	1	2.4
2	2	1.6
2	3	1.6
2	4	1.6
2	5	1.6
2	6	2.4
2	7	10.4
2	8	14.4
2	9	16.0
2	10	8.8
2	11	8.8
2	12	7.2
2	13	6.4
2	14	5.6
2	15	4.8
2	16	4.0
2	17	6.4
2	18	30.4
2	19	32.8
2	20	16.0
2	21	15.2
2	22	15.2
2	23	13.6
2	24	5.0
3	1	3.0
3	2	3.0
3	3	3.0
3	4	3.0
3	5	6.0
3	6	11.0
3	7	43.0
3	8	44.0
3	9	25.0
3	10	10.0
3	11	7.0
3	12	6.0
3	13	4.0
3	14	4.0
3	15	4.0
3	16	6.0
3	17	22.0
3	18	23.0
3	19	25.55
3	20	25.55
3	21	25.0
3	22	12.0
3	23	9.0
3	24	5.0
4	1	3.0
4	2	3.0
4	3	3.0
4	4	3.0
4	5	6.0
4	6	65.0
4	7	150.0
4	8	150.0
4	9	150.0
4	10	40.0
4	11	28.0
4	12	22.0
4	13	13.0
4	14	10.0
4	15	8.0
4	16	8.0
4	17	22.0
4	18	150.0
4	19	150.0
4	20	150.0
4	21	150.0
4	22	150.0
4	23	18.0
4	24	2.0
5	1	3.0
5	2	3.0
5	3	3.0
5	4	3.0
5	5	3.0
5	6	9.0
5	7	9.0
5	8	9.0
5	9	10.0
5	10	10.0
5	11	7.0
5	12	9.0
5	13	6.0
5	14	7.0
5	15	15.0
5	16	18.0
5	17	17.0
5	18	24.49
5	19	21.86
5	20	15.0
5	21	12.0
5	22	11.0
5	23	5.0
5	24	5.0
6	1	4.0
6	2	3.0
6	3	3.0
6	4	3.0
6	5	3.0
6	6	8.0
6	7	8.0
6	8	11.0
6	9	17.0
6	10	21.0
6	11	20.0
6	12	22.0
6	13	17.0
6	14	20.0
6	15	23.0
6	16	40.0
6	17	52.2
6	18	54.0
6	19	51.83
6	20	45.0
6	21	37.01
6	22	30.79
6	23	11.0
6	24	13.0
