Node	Time	Res_CapacityUpVolume
1	1	90.0
1	2	90.0
1	3	240.0
1	4	240.0
1	5	90.0
1	6	260.0
1	7	260.0
1	8	260.0
1	9	260.0
1	10	260.0
1	11	260.0
1	12	260.0
1	13	245.0
1	14	240.0
1	15	240.0
1	16	245.0
1	17	260.0
1	18	260.0
1	19	260.0
1	20	260.0
1	21	260.0
1	22	260.0
1	23	260.0
1	24	170.0
2	1	171.0
2	2	171.0
2	3	171.0
2	4	171.0
2	5	196.0
2	6	196.0
2	7	253.0
2	8	253.0
2	9	253.0
2	10	228.0
2	11	228.0
2	12	228.0
2	13	228.0
2	14	253.0
2	15	253.0
2	16	253.0
2	17	253.0
2	18	283.0
2	19	283.0
2	20	283.0
2	21	283.0
2	22	196.0
2	23	196.0
2	24	138.0
3	1	60.0
3	2	60.0
3	3	60.0
3	4	60.0
3	5	116.0
3	6	116.0
3	7	115.0
3	8	116.0
3	9	116.0
3	10	116.0
3	11	115.0
3	12	76.0
3	13	60.0
3	14	60.0
3	15	60.0
3	16	60.0
3	17	116.0
3	18	116.0
3	19	115.0
3	20	116.0
3	21	116.0
3	22	116.0
3	23	75.0
3	24	100.0
4	1	95.0
4	2	95.0
4	3	95.0
4	4	95.0
4	5	95.0
4	6	95.0
4	7	40.0
4	8	40.0
4	9	69.0
4	10	115.0
4	11	115.0
4	12	115.0
4	13	115.0
4	14	110.0
4	15	115.0
4	16	115.0
4	17	115.0
4	18	40.0
4	19	40.0
4	20	40.0
4	21	25.0
4	22	20.0
4	23	20.0
4	24	103.0
5	1	115.0
5	2	115.0
5	3	115.0
5	4	115.0
5	5	140.0
5	6	140.0
5	7	140.0
5	8	140.0
5	9	140.0
5	10	140.0
5	11	140.0
5	12	140.0
5	13	115.0
5	14	115.0
5	15	115.0
5	16	115.0
5	17	140.0
5	18	140.0
5	19	140.0
5	20	140.0
5	21	140.0
5	22	140.0
5	23	140.0
5	24	80.0
6	1	115.0
6	2	135.0
6	3	135.0
6	4	135.0
6	5	150.0
6	6	150.0
6	7	150.0
6	8	150.0
6	9	150.0
6	10	150.0
6	11	150.0
6	12	150.0
6	13	135.0
