Node	Time	ID_Capacity_Sell_Volume
1	1	5.3
1	2	6.9
1	3	5.4
1	4	11.2
1	5	7.9
1	6	2.0
1	7	5.1
1	8	10.8
1	9	3.9
1	10	5.6
1	11	1.4
1	12	5.9
1	13	3.0
1	14	135.6
1	15	24.3
1	16	22.7
1	17	68.1
1	18	36.8
1	19	97.5
1	20	8.5
1	21	0.3
1	22	2.1
1	23	8.7
1	24	45.2
2	1	0.0
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	0.0
2	8	0.0
2	9	0.0
2	10	0.1
2	11	16.9
2	12	20.6
2	13	1.7
2	14	5.0
2	15	2.1
2	16	10.6
2	17	55.2
2	18	20.8
2	19	30.8
2	20	26.0
2	21	21.0
2	22	38.3
2	23	122.9
2	24	110.5
3	1	6.0
3	2	2.2
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	3.9
3	8	32.2
3	9	40.3
3	10	42.3
3	11	258.6
3	12	38.0
3	13	47.5
3	14	17.2
3	15	36.9
3	16	310.8
3	17	48.3
3	18	28.8
3	19	19.5
3	20	82.2
3	21	56.5
3	22	57.0
3	23	21.9
3	24	66.9
4	1	13.4
4	2	0.0
4	3	2.0
4	4	3.1
4	5	1.0
4	6	49.2
4	7	1.6
4	8	12.7
4	9	16.6
4	10	45.1
4	11	8.2
4	12	1.9
4	13	117.0
4	14	25.0
4	15	76.8
4	16	57.7
4	17	39.9
4	18	74.4
4	19	21.6
4	20	10.9
4	21	18.7
4	22	71.4
4	23	61.5
4	24	85.4
5	1	5.3
5	2	6.9
5	3	5.4
5	4	11.2
5	5	7.9
5	6	2.0
5	7	5.1
5	8	10.8
5	9	3.9
5	10	5.6
5	11	1.4
5	12	5.9
5	13	3.0
5	14	135.6
5	15	24.3
5	16	22.7
5	17	68.1
5	18	36.8
5	19	97.5
5	20	8.5
5	21	0.3
5	22	2.1
5	23	8.7
5	24	45.2
6	1	5.3
6	2	6.9
6	3	5.4
6	4	11.2
6	5	7.9
6	6	2.0
6	7	5.1
6	8	10.8
6	9	3.9
6	10	5.6
6	11	1.4
6	12	5.9
6	13	3.0
6	14	135.6
6	15	24.3
6	16	22.7
6	17	68.1
6	18	36.8
6	19	97.5
6	20	8.5
6	21	0.3
6	22	2.1
6	23	8.7
6	24	45.2
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	0.0
7	8	0.0
7	9	0.0
7	10	0.1
7	11	16.9
7	12	20.6
7	13	1.7
7	14	5.0
7	15	2.1
7	16	10.6
7	17	55.2
7	18	20.8
7	19	30.8
7	20	26.0
7	21	21.0
7	22	38.3
7	23	122.9
7	24	110.5
8	1	5.3
8	2	6.9
8	3	5.4
8	4	11.2
8	5	7.9
8	6	2.0
8	7	5.1
8	8	10.8
8	9	3.9
8	10	5.6
8	11	1.4
8	12	5.9
8	13	3.0
8	14	135.6
8	15	24.3
8	16	22.7
8	17	68.1
8	18	36.8
8	19	97.5
8	20	8.5
8	21	0.3
8	22	2.1
8	23	8.7
8	24	45.2
9	1	5.3
9	2	6.9
9	3	5.4
9	4	11.2
9	5	7.9
9	6	2.0
9	7	5.1
9	8	10.8
9	9	3.9
9	10	5.6
9	11	1.4
9	12	5.9
9	13	3.0
9	14	135.6
9	15	24.3
9	16	22.7
9	17	68.1
9	18	36.8
9	19	97.5
9	20	8.5
9	21	0.3
9	22	2.1
9	23	8.7
9	24	45.2
10	1	10.0
10	2	19.0
10	3	2.1
10	4	0.1
10	5	5.7
10	6	18.9
10	7	43.2
10	8	69.3
10	9	70.1
10	10	77.0
10	11	20.5
10	12	37.3
10	13	7.6
10	14	19.1
10	15	137.4
10	16	42.0
10	17	12.8
10	18	20.5
10	19	32.8
10	20	19.9
10	21	13.4
10	22	62.7
10	23	74.6
10	24	73.8
11	1	3.0
11	2	25.1
11	3	39.3
11	4	21.7
11	5	39.2
11	6	48.6
11	7	33.1
11	8	6.5
11	9	0.3
11	10	0.1
11	11	26.5
11	12	68.9
11	13	22.5
11	14	0.0
11	15	11.1
11	16	3.6
11	17	127.4
11	18	55.5
11	19	1.1
11	20	0.0
11	21	0.0
11	22	0.0
11	23	19.0
11	24	12.5
12	1	5.3
12	2	6.9
12	3	5.4
12	4	11.2
12	5	7.9
12	6	2.0
12	7	5.1
12	8	10.8
12	9	3.9
12	10	5.6
12	11	1.4
12	12	5.9
12	13	3.0
12	14	135.6
12	15	24.3
12	16	22.7
12	17	68.1
12	18	36.8
12	19	97.5
12	20	8.5
12	21	0.3
12	22	2.1
12	23	8.7
12	24	45.2
13	1	6.0
13	2	2.2
13	3	0.0
13	4	0.0
13	5	0.0
13	6	0.0
13	7	3.9
13	8	32.2
13	9	40.3
13	10	42.3
13	11	258.6
13	12	38.0
13	13	47.5
13	14	17.2
13	15	36.9
13	16	310.8
13	17	48.3
13	18	28.8
13	19	19.5
13	20	82.2
13	21	56.5
13	22	57.0
13	23	21.9
13	24	66.9
14	1	8.8
14	2	10.9
14	3	24.1
14	4	33.0
14	5	11.6
14	6	22.3
14	7	6.6
14	8	0.0
14	9	32.3
14	10	114.6
14	11	34.8
14	12	28.9
14	13	0.5
14	14	15.8
14	15	3.2
14	16	34.0
14	17	78.7
14	18	5.2
14	19	5.8
14	20	7.0
14	21	5.4
14	22	9.2
14	23	11.4
14	24	22.6
15	1	3.0
15	2	25.1
15	3	39.3
15	4	21.7
15	5	39.2
15	6	48.6
15	7	33.1
15	8	6.5
15	9	0.3
15	10	0.1
15	11	26.5
15	12	68.9
15	13	22.5
15	14	0.0
15	15	11.1
15	16	3.6
15	17	127.4
15	18	55.5
15	19	1.1
15	20	0.0
15	21	0.0
15	22	0.0
15	23	19.0
15	24	12.5
16	1	0.0
16	2	0.0
16	3	0.0
16	4	0.0
16	5	0.0
16	6	0.0
16	7	0.0
16	8	0.0
16	9	0.0
16	10	0.1
16	11	16.9
16	12	20.6
16	13	1.7
16	14	5.0
16	15	2.1
16	16	10.6
16	17	55.2
16	18	20.8
16	19	30.8
16	20	26.0
16	21	21.0
16	22	38.3
16	23	122.9
16	24	110.5
17	1	6.0
17	2	2.2
17	3	0.0
17	4	0.0
17	5	0.0
17	6	0.0
17	7	3.9
17	8	32.2
17	9	40.3
17	10	42.3
17	11	258.6
17	12	38.0
17	13	47.5
17	14	17.2
17	15	36.9
17	16	310.8
17	17	48.3
17	18	28.8
17	19	19.5
17	20	82.2
17	21	56.5
17	22	57.0
17	23	21.9
17	24	66.9
18	1	10.0
18	2	19.0
18	3	2.1
18	4	0.1
18	5	5.7
18	6	18.9
18	7	43.2
18	8	69.3
18	9	70.1
18	10	77.0
18	11	20.5
18	12	37.3
18	13	7.6
18	14	19.1
18	15	137.4
18	16	42.0
18	17	12.8
18	18	20.5
18	19	32.8
18	20	19.9
18	21	13.4
18	22	62.7
18	23	74.6
18	24	73.8
19	1	10.0
19	2	19.0
19	3	2.1
19	4	0.1
19	5	5.7
19	6	18.9
19	7	43.2
19	8	69.3
19	9	70.1
19	10	77.0
19	11	20.5
19	12	37.3
19	13	7.6
19	14	19.1
19	15	137.4
19	16	42.0
19	17	12.8
19	18	20.5
19	19	32.8
19	20	19.9
19	21	13.4
19	22	62.7
19	23	74.6
19	24	73.8
20	1	5.3
20	2	6.9
20	3	5.4
20	4	11.2
20	5	7.9
20	6	2.0
20	7	5.1
20	8	10.8
20	9	3.9
20	10	5.6
20	11	1.4
20	12	5.9
20	13	3.0
20	14	135.6
20	15	24.3
20	16	22.7
20	17	68.1
20	18	36.8
20	19	97.5
20	20	8.5
20	21	0.3
20	22	2.1
20	23	8.7
20	24	45.2
21	1	0.0
21	2	0.0
21	3	0.0
21	4	0.0
21	5	0.0
21	6	0.0
21	7	0.0
21	8	0.0
21	9	0.0
21	10	0.1
21	11	16.9
21	12	20.6
21	13	1.7
21	14	5.0
21	15	2.1
21	16	10.6
21	17	55.2
21	18	20.8
21	19	30.8
21	20	26.0
21	21	21.0
21	22	38.3
21	23	122.9
21	24	110.5
22	1	13.4
22	2	0.0
22	3	2.0
22	4	3.1
22	5	1.0
22	6	49.2
22	7	1.6
22	8	12.7
22	9	16.6
22	10	45.1
22	11	8.2
22	12	1.9
22	13	117.0
22	14	25.0
22	15	76.8
22	16	57.7
22	17	39.9
22	18	74.4
22	19	21.6
22	20	10.9
22	21	18.7
22	22	71.4
22	23	61.5
22	24	85.4
23	1	5.3
23	2	6.9
23	3	5.4
23	4	11.2
23	5	7.9
23	6	2.0
23	7	5.1
23	8	10.8
23	9	3.9
23	10	5.6
23	11	1.4
23	12	5.9
23	13	3.0
23	14	135.6
23	15	24.3
23	16	22.7
23	17	68.1
23	18	36.8
23	19	97.5
23	20	8.5
23	21	0.3
23	22	2.1
23	23	8.7
23	24	45.2
24	1	8.8
24	2	10.9
24	3	24.1
24	4	33.0
24	5	11.6
24	6	22.3
24	7	6.6
24	8	0.0
24	9	32.3
24	10	114.6
24	11	34.8
24	12	28.9
24	13	0.5
24	14	15.8
24	15	3.2
24	16	34.0
24	17	78.7
24	18	5.2
24	19	5.8
24	20	7.0
24	21	5.4
24	22	9.2
24	23	11.4
24	24	22.6
25	1	3.0
25	2	25.1
25	3	39.3
25	4	21.7
25	5	39.2
25	6	48.6
25	7	33.1
25	8	6.5
25	9	0.3
25	10	0.1
25	11	26.5
25	12	68.9
25	13	22.5
25	14	0.0
25	15	11.1
25	16	3.6
25	17	127.4
25	18	55.5
25	19	1.1
25	20	0.0
25	21	0.0
25	22	0.0
25	23	19.0
25	24	12.5
26	1	6.0
26	2	2.2
26	3	0.0
26	4	0.0
26	5	0.0
26	6	0.0
26	7	3.9
26	8	32.2
26	9	40.3
26	10	42.3
26	11	258.6
26	12	38.0
26	13	47.5
26	14	17.2
26	15	36.9
26	16	310.8
26	17	48.3
26	18	28.8
26	19	19.5
26	20	82.2
26	21	56.5
26	22	57.0
26	23	21.9
26	24	66.9
27	1	5.3
27	2	6.9
27	3	5.4
27	4	11.2
27	5	7.9
27	6	2.0
27	7	5.1
27	8	10.8
27	9	3.9
27	10	5.6
27	11	1.4
27	12	5.9
27	13	3.0
27	14	135.6
27	15	24.3
27	16	22.7
27	17	68.1
27	18	36.8
27	19	97.5
27	20	8.5
27	21	0.3
27	22	2.1
27	23	8.7
27	24	45.2
28	1	5.3
28	2	6.9
28	3	5.4
28	4	11.2
28	5	7.9
28	6	2.0
28	7	5.1
28	8	10.8
28	9	3.9
28	10	5.6
28	11	1.4
28	12	5.9
28	13	3.0
28	14	135.6
28	15	24.3
28	16	22.7
28	17	68.1
28	18	36.8
28	19	97.5
28	20	8.5
28	21	0.3
28	22	2.1
28	23	8.7
28	24	45.2
29	1	13.4
29	2	0.0
29	3	2.0
29	4	3.1
29	5	1.0
29	6	49.2
29	7	1.6
29	8	12.7
29	9	16.6
29	10	45.1
29	11	8.2
29	12	1.9
29	13	117.0
29	14	25.0
29	15	76.8
29	16	57.7
29	17	39.9
29	18	74.4
29	19	21.6
29	20	10.9
29	21	18.7
29	22	71.4
29	23	61.5
29	24	85.4
30	1	10.0
30	2	19.0
30	3	2.1
30	4	0.1
30	5	5.7
30	6	18.9
30	7	43.2
30	8	69.3
30	9	70.1
30	10	77.0
30	11	20.5
30	12	37.3
30	13	7.6
30	14	19.1
30	15	137.4
30	16	42.0
30	17	12.8
30	18	20.5
30	19	32.8
30	20	19.9
30	21	13.4
30	22	62.7
30	23	74.6
30	24	73.8
31	1	6.0
31	2	2.2
31	3	0.0
31	4	0.0
31	5	0.0
31	6	0.0
31	7	3.9
31	8	32.2
31	9	40.3
31	10	42.3
31	11	258.6
31	12	38.0
31	13	47.5
31	14	17.2
31	15	36.9
31	16	310.8
31	17	48.3
31	18	28.8
31	19	19.5
31	20	82.2
31	21	56.5
31	22	57.0
31	23	21.9
31	24	66.9
32	1	3.0
32	2	25.1
32	3	39.3
32	4	21.7
32	5	39.2
32	6	48.6
32	7	33.1
32	8	6.5
32	9	0.3
32	10	0.1
32	11	26.5
32	12	68.9
32	13	22.5
32	14	0.0
32	15	11.1
32	16	3.6
32	17	127.4
32	18	55.5
32	19	1.1
32	20	0.0
32	21	0.0
32	22	0.0
32	23	19.0
32	24	12.5
33	1	3.0
33	2	25.1
33	3	39.3
33	4	21.7
33	5	39.2
33	6	48.6
33	7	33.1
33	8	6.5
33	9	0.3
33	10	0.1
33	11	26.5
33	12	68.9
33	13	22.5
33	14	0.0
33	15	11.1
33	16	3.6
33	17	127.4
33	18	55.5
33	19	1.1
33	20	0.0
33	21	0.0
33	22	0.0
33	23	19.0
33	24	12.5
34	1	8.8
34	2	10.9
34	3	24.1
34	4	33.0
34	5	11.6
34	6	22.3
34	7	6.6
34	8	0.0
34	9	32.3
34	10	114.6
34	11	34.8
34	12	28.9
34	13	0.5
34	14	15.8
34	15	3.2
34	16	34.0
34	17	78.7
34	18	5.2
34	19	5.8
34	20	7.0
34	21	5.4
34	22	9.2
34	23	11.4
34	24	22.6
35	1	5.3
35	2	6.9
35	3	5.4
35	4	11.2
35	5	7.9
35	6	2.0
35	7	5.1
35	8	10.8
35	9	3.9
35	10	5.6
35	11	1.4
35	12	5.9
35	13	3.0
35	14	135.6
35	15	24.3
35	16	22.7
35	17	68.1
35	18	36.8
35	19	97.5
35	20	8.5
35	21	0.3
35	22	2.1
35	23	8.7
35	24	45.2
36	1	5.3
36	2	6.9
36	3	5.4
36	4	11.2
36	5	7.9
36	6	2.0
36	7	5.1
36	8	10.8
36	9	3.9
36	10	5.6
36	11	1.4
36	12	5.9
36	13	3.0
36	14	135.6
36	15	24.3
36	16	22.7
36	17	68.1
36	18	36.8
36	19	97.5
36	20	8.5
36	21	0.3
36	22	2.1
36	23	8.7
36	24	45.2
37	1	5.3
37	2	6.9
37	3	5.4
37	4	11.2
37	5	7.9
37	6	2.0
37	7	5.1
37	8	10.8
37	9	3.9
37	10	5.6
37	11	1.4
37	12	5.9
37	13	3.0
37	14	135.6
37	15	24.3
37	16	22.7
37	17	68.1
37	18	36.8
37	19	97.5
37	20	8.5
37	21	0.3
37	22	2.1
37	23	8.7
37	24	45.2
38	1	3.0
38	2	25.1
38	3	39.3
38	4	21.7
38	5	39.2
38	6	48.6
38	7	33.1
38	8	6.5
38	9	0.3
38	10	0.1
38	11	26.5
38	12	68.9
38	13	22.5
38	14	0.0
38	15	11.1
38	16	3.6
38	17	127.4
38	18	55.5
38	19	1.1
38	20	0.0
38	21	0.0
38	22	0.0
38	23	19.0
38	24	12.5
39	1	5.3
39	2	6.9
39	3	5.4
39	4	11.2
39	5	7.9
39	6	2.0
39	7	5.1
39	8	10.8
39	9	3.9
39	10	5.6
39	11	1.4
39	12	5.9
39	13	3.0
39	14	135.6
39	15	24.3
39	16	22.7
39	17	68.1
39	18	36.8
39	19	97.5
39	20	8.5
39	21	0.3
39	22	2.1
39	23	8.7
39	24	45.2
