Node	Time	Spot_Price
3	1	30.21
3	2	15.39
3	3	7.01
3	4	8.7
3	5	4.98
3	6	4.91
3	7	4.11
3	8	0.97
3	9	0.0
3	10	1.56
3	11	0.77
3	12	-0.1
3	13	-4.01
3	14	-5.0
3	15	-4.36
3	16	-0.08
3	17	4.93
3	18	29.21
3	19	35.37
3	20	42.73
3	21	44.99
3	22	37.62
3	23	33.99
3	24	33.52
4	1	15.14
4	2	14.7
4	3	13.93
4	4	14.28
4	5	15.66
4	6	20.97
4	7	50.65
4	8	52.46
4	9	50.43
4	10	19.72
4	11	18.79
4	12	18.59
4	13	18.27
4	14	18.27
4	15	18.29
4	16	44.15
4	17	51.28
4	18	53.25
4	19	51.49
4	20	52.32
4	21	49.9
4	22	17.93
4	23	12.12
4	24	11.34
5	1	51.37
5	2	51.23
5	3	51.27
5	4	51.23
5	5	51.92
5	6	54.19
5	7	60.03
5	8	74.92
5	9	62.66
5	10	52.54
5	11	47.41
5	12	36.2
5	13	24.1
5	14	14.99
5	15	27.35
5	16	46.03
5	17	52.85
5	18	53.81
5	19	54.3
5	20	54.07
5	21	53.42
5	22	52.52
5	23	50.05
5	24	47.24
6	1	15.24
6	2	14.45
6	3	13.91
6	4	14.61
6	5	15.24
6	6	20.91
6	7	42.98
6	8	49.99
6	9	39.86
6	10	36.63
6	11	18.17
6	12	4.32
6	13	3.24
6	14	3.03
6	15	3.96
6	16	12.78
6	17	26.79
6	18	42.73
6	19	29.89
6	20	28.88
6	21	28.19
6	22	26.84
6	23	24.74
6	24	14.3
7	1	10.04
7	2	8.02
7	3	7.03
7	4	7.04
7	5	10.53
7	6	17.91
7	7	49.42
7	8	53.39
7	9	48.08
7	10	42.6
7	11	19.99
7	12	12.99
7	13	12.02
7	14	12.68
7	15	14.87
7	16	19.57
7	17	42.08
7	18	47.81
7	19	49.93
7	20	49.27
7	21	19.28
7	22	18.52
7	23	15.02
7	24	16.02
8	1	49.65
8	2	47.54
8	3	44.98
8	4	48.1
8	5	51.94
8	6	55.68
8	7	57.17
8	8	56.83
8	9	56.1
