Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	1
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	1
12	1	0
13	1	0
14	1	0
15	1	0
16	1	1
17	1	0
18	1	1
19	1	1
20	1	0
21	1	0
22	1	0
23	1	1
24	1	0
25	1	1
26	1	0
27	1	1
28	1	0
29	1	1
30	1	0
31	1	1
32	1	0
33	1	0
34	1	1
35	1	1
36	1	1
37	1	0
38	1	1
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	1
46	1	0
47	1	0
48	1	0
49	1	1
50	1	0
51	1	0
52	1	1
53	1	1
54	1	0
55	1	1
56	1	0
57	1	0
3	2	1
4	2	1
5	2	1
6	2	1
7	2	0
8	2	0
9	2	0
10	2	1
11	2	0
12	2	0
13	2	0
14	2	1
15	2	1
16	2	1
17	2	1
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
24	2	1
25	2	1
26	2	1
27	2	0
28	2	1
29	2	0
30	2	1
31	2	0
32	2	1
33	2	0
34	2	1
35	2	0
36	2	0
37	2	1
38	2	0
39	2	1
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	2	0
48	2	1
49	2	1
50	2	0
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	1
3	3	1
4	3	1
5	3	1
6	3	0
7	3	1
8	3	0
9	3	0
10	3	1
11	3	0
12	3	1
13	3	0
14	3	1
15	3	0
16	3	0
17	3	1
18	3	1
19	3	1
20	3	0
21	3	0
22	3	0
23	3	1
24	3	1
25	3	0
26	3	0
27	3	0
28	3	1
29	3	0
30	3	0
31	3	1
32	3	0
33	3	0
34	3	0
35	3	0
36	3	0
37	3	0
38	3	1
39	3	1
40	3	0
41	3	0
42	3	0
43	3	1
44	3	0
45	3	0
46	3	1
47	3	1
48	3	1
49	3	0
50	3	0
51	3	1
52	3	1
53	3	0
54	3	0
55	3	0
56	3	0
57	3	1
3	4	1
4	4	1
5	4	1
6	4	0
7	4	1
8	4	1
9	4	0
10	4	1
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	1
21	4	0
22	4	0
23	4	1
24	4	0
25	4	0
26	4	0
27	4	0
28	4	1
29	4	0
30	4	1
31	4	1
32	4	1
33	4	0
34	4	0
35	4	0
36	4	0
37	4	1
38	4	1
39	4	0
40	4	1
41	4	1
42	4	0
43	4	0
44	4	0
45	4	0
46	4	1
47	4	0
48	4	0
49	4	1
50	4	1
51	4	0
52	4	1
53	4	0
54	4	0
55	4	1
56	4	1
57	4	0
3	5	0
4	5	1
5	5	0
6	5	0
7	5	0
8	5	0
9	5	1
10	5	0
11	5	0
12	5	1
13	5	0
14	5	0
15	5	1
16	5	0
17	5	0
18	5	1
19	5	0
20	5	1
21	5	0
22	5	1
23	5	0
24	5	0
25	5	0
26	5	0
27	5	0
28	5	0
29	5	0
30	5	1
31	5	0
32	5	1
33	5	0
34	5	0
35	5	1
36	5	0
37	5	1
38	5	0
39	5	1
40	5	0
41	5	0
42	5	0
43	5	0
44	5	1
45	5	1
46	5	0
47	5	1
48	5	0
49	5	0
50	5	1
51	5	1
52	5	0
53	5	0
54	5	1
55	5	0
56	5	1
57	5	1
3	6	0
4	6	0
5	6	0
6	6	1
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	1
13	6	1
14	6	0
15	6	0
16	6	1
17	6	1
18	6	1
19	6	0
20	6	0
21	6	1
22	6	0
23	6	0
24	6	1
25	6	1
26	6	1
27	6	0
28	6	0
29	6	1
30	6	1
31	6	0
32	6	0
33	6	0
34	6	1
35	6	0
36	6	1
37	6	0
38	6	1
39	6	0
40	6	1
41	6	1
42	6	0
43	6	1
44	6	0
45	6	0
46	6	0
47	6	1
48	6	0
49	6	0
50	6	0
51	6	0
52	6	0
53	6	1
54	6	0
55	6	0
56	6	1
57	6	1
3	7	0
4	7	0
5	7	1
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	1
13	7	0
14	7	0
15	7	1
16	7	0
17	7	0
18	7	1
19	7	0
20	7	0
21	7	1
22	7	1
23	7	1
24	7	0
25	7	0
26	7	1
27	7	0
28	7	1
29	7	0
30	7	0
31	7	1
32	7	0
33	7	1
34	7	1
35	7	1
36	7	1
37	7	0
38	7	0
39	7	0
40	7	0
41	7	0
42	7	0
43	7	1
44	7	1
45	7	0
46	7	1
47	7	0
48	7	0
49	7	0
50	7	0
51	7	1
52	7	1
53	7	0
54	7	0
55	7	1
56	7	1
57	7	0
3	8	0
4	8	1
5	8	0
6	8	1
7	8	0
8	8	0
9	8	1
10	8	1
11	8	0
12	8	0
13	8	0
14	8	1
15	8	0
16	8	0
17	8	0
18	8	1
19	8	0
20	8	0
21	8	1
22	8	0
23	8	1
24	8	0
25	8	1
26	8	0
27	8	1
28	8	1
29	8	1
30	8	0
31	8	1
32	8	0
33	8	0
34	8	0
35	8	0
36	8	0
37	8	0
38	8	0
39	8	0
40	8	0
41	8	0
42	8	1
43	8	0
44	8	0
45	8	1
46	8	0
47	8	0
48	8	1
49	8	1
50	8	0
51	8	0
52	8	0
53	8	0
54	8	0
55	8	1
56	8	0
57	8	0
3	9	1
4	9	0
5	9	1
6	9	1
7	9	0
8	9	0
9	9	1
10	9	1
11	9	1
12	9	1
13	9	0
14	9	1
15	9	0
16	9	0
17	9	0
18	9	1
19	9	1
20	9	0
21	9	1
22	9	0
23	9	0
24	9	1
25	9	0
26	9	1
27	9	0
28	9	0
29	9	1
30	9	1
31	9	0
32	9	0
33	9	0
34	9	0
35	9	0
36	9	1
37	9	0
38	9	0
39	9	1
40	9	0
41	9	0
42	9	1
43	9	1
44	9	0
45	9	0
46	9	0
47	9	1
48	9	0
49	9	0
50	9	1
51	9	0
52	9	1
53	9	1
54	9	1
55	9	1
56	9	0
57	9	1
3	10	1
4	10	1
