Node	Time	ActivationUpPrice
3	1	24.0
3	2	23.04
3	3	22.97
3	4	21.24
3	5	20.94
3	6	21.93
3	7	23.15
3	8	25.0
3	9	25.41
3	10	23.52
3	11	11.71
3	12	1.37
3	13	0.02
3	14	0.44
3	15	10.6
3	16	22.47
3	17	25.25
3	18	25.21
3	19	25.21
3	20	24.52
3	21	23.77
3	22	23.95
3	23	23.72
3	24	23.73
4	1	17.79
4	2	6.65
4	3	5.49
4	4	29.0
4	5	36.22
4	6	54.0
4	7	53.29
4	8	59.02
4	9	56.36
4	10	52.05
4	11	46.15
4	12	42.96
4	13	42.37
4	14	57.0
4	15	57.0
4	16	51.67
4	17	55.0
4	18	57.83
4	19	57.1
4	20	56.78
4	21	56.72
4	22	54.24
4	23	52.35
4	24	57.36
5	1	9.0
5	2	9.0
5	3	9.0
5	4	9.0
5	5	4.14
5	6	5.18
5	7	7.48
5	8	8.91
5	9	8.97
5	10	7.71
5	11	6.97
5	12	7.39
5	13	5.78
5	14	5.33
5	15	5.1
5	16	6.15
5	17	6.57
5	18	7.0
5	19	6.54
5	20	5.06
5	21	3.59
5	22	3.25
5	23	3.05
5	24	1.18
6	1	34.0
6	2	30.45
6	3	28.56
6	4	27.53
6	5	27.13
6	6	29.9
6	7	40.0
6	8	40.0
6	9	40.0
6	10	40.0
6	11	4.39
6	12	1.19
6	13	7.2
6	14	5.0
6	15	4.42
6	16	1.0
6	17	25.41
6	18	31.17
6	19	32.78
6	20	40.0
6	21	40.0
6	22	29.92
6	23	37.0
6	24	37.0
7	1	15.61
7	2	15.56
7	3	18.0
7	4	18.5
7	5	18.5
7	6	22.5
7	7	26.0
7	8	42.0
7	9	42.0
7	10	21.96
7	11	52.5
7	12	54.0
7	13	48.0
7	14	48.0
7	15	36.5
7	16	54.0
7	17	54.0
7	18	54.0
7	19	42.0
7	20	17.7
7	21	17.84
7	22	17.13
7	23	16.71
7	24	16.09
8	1	57.0
8	2	57.0
8	3	55.0
8	4	55.0
8	5	58.0
8	6	60.0
8	7	61.0
8	8	60.0
8	9	55.0
8	10	55.0
8	11	52.0
8	12	39.55
8	13	37.84
8	14	34.92
8	15	39.21
8	16	39.87
8	17	46.28
8	18	51.51
8	19	50.96
8	20	48.28
8	21	53.0
8	22	49.0
8	23	26.01
8	24	11.3
9	1	25.13
9	2	24.05
9	3	24.09
9	4	24.04
9	5	24.05
9	6	33.0
9	7	33.61
9	8	48.92
9	9	40.98
9	10	40.97
9	11	35.92
9	12	32.91
9	13	31.49
9	14	31.52
9	15	31.49
9	16	55.0
9	17	59.0
9	18	63.5
9	19	59.0
9	20	59.0
9	21	59.0
9	22	34.67
9	23	30.71
9	24	65.5
10	1	3.89
10	2	3.85
10	3	3.75
10	4	3.63
10	5	3.49
10	6	3.82
10	7	4.07
10	8	4.18
10	9	8.0
10	10	4.79
10	11	4.92
10	12	4.32
10	13	-0.04
10	14	4.32
10	15	4.33
10	16	5.01
10	17	5.01
10	18	5.25
10	19	5.56
10	20	5.96
10	21	6.83
10	22	9.84
10	23	5.5
10	24	11.26
11	1	71.65
11	2	71.51
11	3	69.94
11	4	69.16
11	5	68.47
11	6	69.59
11	7	77.6
11	8	89.0
11	9	85.47
11	10	76.64
11	11	71.99
11	12	69.86
11	13	68.6
11	14	76.81
11	15	68.04
11	16	69.68
11	17	77.4
11	18	90.66
11	19	89.0
11	20	90.0
11	21	90.0
11	22	71.84
11	23	71.13
11	24	77.24
12	1	52.01
12	2	50.17
12	3	59.0
12	4	56.5
12	5	54.08
12	6	57.21
12	7	65.0
12	8	74.0
12	9	72.0
12	10	67.17
12	11	61.23
12	12	57.4
12	13	56.22
12	14	55.49
12	15	56.17
12	16	57.08
12	17	65.17
12	18	73.02
12	19	87.85
12	20	67.78
12	21	59.94
12	22	67.78
12	23	56.0
12	24	52.85
13	1	24.0
13	2	21.24
13	3	21.08
13	4	21.15
13	5	21.04
13	6	22.3
13	7	24.06
13	8	24.79
13	9	25.15
13	10	25.13
13	11	24.34
13	12	23.73
13	13	17.94
13	14	17.22
13	15	22.25
13	16	23.51
13	17	23.99
13	18	24.48
13	19	24.79
13	20	24.0
13	21	23.32
13	22	23.62
13	23	21.67
13	24	25.0
14	1	46.14
14	2	39.6
14	3	32.56
14	4	28.49
14	5	26.82
14	6	10.25
14	7	0.1
14	8	49.0
14	9	48.5
14	10	45.0
14	11	45.0
14	12	40.0
14	13	50.0
14	14	50.0
14	15	50.0
14	16	45.0
14	17	27.0
14	18	56.5
14	19	63.5
14	20	60.0
14	21	59.08
14	22	59.31
14	23	56.03
14	24	51.0
15	1	49.65
15	2	47.54
15	3	44.98
15	4	48.1
15	5	51.94
15	6	55.68
15	7	57.17
15	8	56.83
15	9	56.1
15	10	54.11
15	11	49.83
15	12	48.75
15	13	49.0
15	14	48.0
15	15	44.98
15	16	49.0
15	17	50.0
15	18	48.86
15	19	54.0
15	20	59.0
15	21	48.99
15	22	49.0
15	23	49.0
15	24	44.65
16	1	23.24
16	2	23.19
16	3	22.99
16	4	22.99
16	5	22.99
16	6	23.92
16	7	24.99
16	8	25.52
16	9	25.52
16	10	25.49
16	11	25.2
16	12	25.16
16	13	24.94
16	14	24.52
16	15	24.24
16	16	24.19
16	17	24.23
16	18	24.23
16	19	24.98
16	20	24.98
16	21	23.94
16	22	24.68
16	23	24.42
16	24	24.28
17	1	65.5
17	2	65.5
17	3	42.5
17	4	42.5
17	5	31.5
17	6	42.5
17	7	43.5
17	8	44.0
17	9	44.0
17	10	35.02
17	11	35.01
17	12	33.84
17	13	33.91
17	14	34.13
17	15	33.65
17	16	33.1
17	17	33.01
17	18	32.4
17	19	30.65
17	20	30.52
17	21	31.22
17	22	32.48
17	23	30.34
17	24	31.56
18	1	17.16
18	2	16.49
18	3	17.16
18	4	16.24
18	5	16.31
18	6	18.33
18	7	19.84
18	8	20.51
18	9	20.48
18	10	20.42
18	11	20.19
18	12	20.0
18	13	20.0
18	14	18.99
18	15	18.84
18	16	19.0
18	17	19.12
18	18	19.46
18	19	19.61
18	20	19.64
18	21	19.17
18	22	18.32
18	23	17.53
18	24	18.57
19	1	16.6
19	2	15.33
19	3	15.01
19	4	15.46
19	5	16.22
19	6	16.37
19	7	17.3
19	8	19.69
19	9	33.0
19	10	36.0
19	11	22.5
19	12	17.46
19	13	16.96
19	14	16.77
19	15	16.83
19	16	22.5
19	17	29.0
19	18	28.0
19	19	33.0
19	20	25.0
19	21	16.98
19	22	18.7
19	23	15.15
19	24	18.16
20	1	51.2
20	2	49.95
20	3	49.34
20	4	48.93
20	5	50.92
20	6	53.26
20	7	56.92
20	8	62.31
20	9	63.0
20	10	62.0
20	11	60.0
20	12	45.76
20	13	41.23
20	14	37.07
20	15	31.04
20	16	46.66
20	17	62.5
20	18	62.0
20	19	64.5
20	20	65.0
20	21	65.0
20	22	63.0
20	23	58.0
20	24	53.0
21	1	35.49
21	2	35.07
21	3	34.91
21	4	34.54
21	5	34.94
21	6	36.16
21	7	36.93
21	8	36.71
21	9	36.83
21	10	36.87
21	11	36.82
21	12	31.93
21	13	29.45
21	14	30.23
21	15	36.08
21	16	36.89
21	17	36.77
21	18	36.72
21	19	36.69
21	20	36.53
21	21	36.62
21	22	36.77
21	23	36.42
21	24	36.37
22	1	36.84
22	2	36.5
22	3	36.22
22	4	36.09
22	5	36.12
22	6	36.41
22	7	41.2
22	8	69.31
22	9	60.02
22	10	53.79
22	11	53.72
22	12	53.74
22	13	45.86
22	14	41.98
22	15	40.73
22	16	41.05
22	17	41.75
22	18	41.99
22	19	41.96
22	20	41.72
22	21	41.0
22	22	40.52
22	23	37.97
22	24	39.22
23	1	32.83
23	2	32.43
23	3	32.24
23	4	31.71
23	5	30.09
23	6	29.65
23	7	32.88
23	8	34.0
23	9	30.02
23	10	5.93
23	11	17.0
23	12	31.35
23	13	30.0
23	14	29.0
23	15	23.76
23	16	25.0
23	17	34.0
23	18	38.5
23	19	37.0
23	20	37.0
23	21	34.0
23	22	32.96
23	23	32.94
23	24	32.82
24	1	10.04
24	2	8.02
24	3	7.03
24	4	7.04
24	5	10.53
24	6	17.91
24	7	49.42
24	8	53.39
24	9	48.08
24	10	42.6
24	11	19.99
24	12	12.99
24	13	12.02
24	14	12.68
24	15	14.87
24	16	23.0
24	17	44.0
24	18	47.81
24	19	49.93
24	20	49.27
24	21	19.28
24	22	18.52
24	23	15.02
24	24	16.02
25	1	15.24
25	2	14.45
25	3	13.91
25	4	14.61
25	5	15.24
25	6	20.91
25	7	42.98
25	8	49.99
25	9	39.86
25	10	36.63
25	11	18.17
25	12	4.32
25	13	3.24
25	14	3.03
25	15	3.96
25	16	12.78
25	17	26.79
25	18	42.73
25	19	29.89
25	20	28.88
25	21	28.19
25	22	26.84
25	23	24.74
25	24	14.3
26	1	31.67
26	2	25.64
26	3	24.0
26	4	18.0
26	5	18.0
26	6	26.47
26	7	32.0
26	8	34.0
26	9	31.0
26	10	33.0
26	11	33.0
26	12	-0.04
26	13	-5.18
26	14	-19.66
26	15	-18.6
26	16	-0.06
26	17	1.51
26	18	11.72
26	19	30.84
26	20	36.48
26	21	37.67
26	22	37.55
26	23	36.99
26	24	30.44
27	1	52.23
27	2	50.87
27	3	50.43
