Node	Time	Res_CapacityDownVolume
1	1	378.0
1	2	378.0
1	3	378.0
1	4	378.0
1	5	378.0
1	6	378.0
1	7	250.0
1	8	250.0
1	9	250.0
1	10	250.0
1	11	300.0
1	12	378.0
1	13	378.0
1	14	378.0
1	15	378.0
1	16	200.0
1	17	200.0
1	18	200.0
1	19	300.0
1	20	300.0
1	21	300.0
1	22	300.0
1	23	350.0
1	24	300.0
2	1	0.0
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	0.0
2	8	0.0
2	9	0.0
2	10	0.0
2	11	0.0
2	12	0.0
2	13	0.0
2	14	0.0
2	15	0.0
2	16	0.0
2	17	0.0
2	18	0.0
2	19	0.0
2	20	0.0
2	21	0.0
2	22	0.0
2	23	0.0
2	24	0.0
3	1	50.0
3	2	50.0
3	3	90.0
3	4	90.0
3	5	87.0
3	6	87.0
3	7	90.0
3	8	90.0
3	9	90.0
3	10	90.0
3	11	90.0
3	12	90.0
3	13	90.0
3	14	90.0
3	15	90.0
3	16	90.0
3	17	90.0
3	18	90.0
3	19	50.0
3	20	50.0
3	21	50.0
3	22	50.0
3	23	50.0
3	24	50.0
4	1	140.0
4	2	140.0
4	3	140.0
4	4	140.0
4	5	140.0
4	6	140.0
4	7	140.0
4	8	140.0
4	9	140.0
4	10	140.0
4	11	140.0
4	12	140.0
4	13	140.0
4	14	140.0
4	15	140.0
4	16	110.0
4	17	140.0
4	18	140.0
4	19	140.0
4	20	140.0
4	21	140.0
4	22	140.0
4	23	140.0
4	24	140.0
5	1	301.0
5	2	301.0
5	3	301.0
5	4	301.0
5	5	301.0
5	6	301.0
5	7	291.0
5	8	291.0
5	9	291.0
5	10	291.0
5	11	291.0
5	12	351.0
5	13	351.0
5	14	351.0
5	15	301.0
5	16	241.0
5	17	241.0
5	18	200.0
5	19	241.0
5	20	240.0
5	21	241.0
5	22	301.0
5	23	301.0
5	24	301.0
6	1	225.0
6	2	225.0
6	3	225.0
6	4	225.0
6	5	225.0
6	6	225.0
6	7	201.0
6	8	207.0
6	9	208.0
6	10	209.0
6	11	275.0
6	12	275.0
6	13	275.0
6	14	275.0
6	15	225.0
6	16	200.0
6	17	187.0
6	18	184.0
6	19	225.0
6	20	225.0
6	21	225.0
6	22	225.0
6	23	225.0
6	24	237.0
7	1	307.0
7	2	307.0
7	3	307.0
7	4	307.0
7	5	307.0
7	6	307.0
7	7	250.0
7	8	250.0
7	9	250.0
7	10	250.0
7	11	307.0
7	12	307.0
7	13	307.0
7	14	307.0
7	15	307.0
7	16	250.0
7	17	200.0
7	18	200.0
7	19	300.0
7	20	300.0
7	21	300.0
7	22	300.0
7	23	307.0
7	24	147.0
8	1	339.0
8	2	339.0
8	3	339.0
8	4	339.0
8	5	339.0
8	6	339.0
8	7	304.0
8	8	300.0
8	9	332.0
8	10	339.0
8	11	339.0
8	12	452.0
8	13	452.0
8	14	452.0
8	15	452.0
8	16	439.0
8	17	232.0
8	18	200.0
8	19	250.0
8	20	250.0
8	21	300.0
8	22	339.0
8	23	339.0
8	24	213.0
9	1	50.0
9	2	50.0
9	3	50.0
9	4	50.0
9	5	50.0
9	6	50.0
9	7	50.0
9	8	78.0
9	9	50.0
9	10	50.0
9	11	50.0
9	12	0.0
9	13	0.0
9	14	0.0
9	15	0.0
9	16	31.0
9	17	78.0
9	18	50.0
9	19	50.0
