Node	Time	ActivationDownPrice
3	1	30.0
3	2	32.59
3	3	32.33
3	4	32.01
3	5	31.33
3	6	32.0
3	7	20.0
3	8	20.0
3	9	28.0
3	10	20.0
3	11	10.0
3	12	9.0
3	13	10.0
3	14	18.39
3	15	25.99
3	16	31.7
3	17	29.0
3	18	29.0
3	19	32.64
3	20	32.68
3	21	32.55
3	22	32.5
3	23	32.8
3	24	29.34
4	1	29.25
4	2	29.03
4	3	29.02
4	4	28.82
4	5	28.73
4	6	29.02
4	7	25.0
4	8	27.0
4	9	32.46
4	10	29.39
4	11	21.26
4	12	15.84
4	13	13.59
4	14	14.05
4	15	19.11
4	16	23.82
4	17	29.3
4	18	32.01
4	19	31.9
4	20	31.81
4	21	31.72
4	22	31.74
4	23	32.01
4	24	29.94
5	1	29.98
5	2	19.46
5	3	16.99
5	4	16.99
5	5	5.0
5	6	5.5
5	7	5.5
5	8	29.5
5	9	29.5
5	10	29.5
5	11	20.0
5	12	17.17
5	13	17.0
5	14	20.0
5	15	44.27
5	16	49.14
5	17	54.16
5	18	56.02
5	19	57.71
5	20	58.4
5	21	58.63
5	22	58.05
5	23	57.78
5	24	49.5
6	1	61.48
6	2	59.04
6	3	56.46
6	4	52.98
6	5	50.06
6	6	48.97
6	7	46.99
6	8	45.37
6	9	53.0
6	10	56.09
6	11	57.2
6	12	58.1
6	13	58.31
6	14	58.05
6	15	58.02
6	16	58.77
6	17	59.96
6	18	60.38
6	19	61.49
6	20	60.39
6	21	57.98
6	22	56.7
6	23	56.06
6	24	55.03
7	1	7.94
7	2	7.4
7	3	7.19
7	4	7.22
7	5	7.6
7	6	7.93
7	7	9.18
7	8	9.94
7	9	10.37
7	10	7.35
7	11	1.76
7	12	1.76
7	13	1.76
7	14	1.76
7	15	2.9
7	16	11.28
7	17	13.69
7	18	15.0
7	19	14.21
7	20	12.48
7	21	10.9
7	22	9.01
7	23	7.53
7	24	9.29
8	1	1.61
8	2	1.06
8	3	1.01
8	4	1.01
8	5	1.12
8	6	1.1
8	7	2.03
8	8	2.29
8	9	2.96
8	10	1.23
8	11	-0.03
8	12	-2.55
8	13	-5.09
8	14	-5.09
8	15	-1.5
8	16	1.0
8	17	1.18
8	18	3.12
8	19	2.93
8	20	2.85
8	21	2.67
8	22	-0.5
8	23	-0.5
8	24	0.37
9	1	46.0
9	2	46.0
9	3	46.0
9	4	36.0
9	5	36.0
9	6	58.08
9	7	63.08
9	8	63.99
9	9	63.5
9	10	61.27
9	11	50.0
9	12	40.08
9	13	40.08
9	14	46.38
9	15	47.31
9	16	40.0
9	17	49.38
9	18	60.04
9	19	54.5
9	20	62.2
9	21	62.08
9	22	62.09
9	23	61.19
9	24	60.24
10	1	4.94
10	2	4.58
10	3	4.3
10	4	4.29
10	5	4.6
10	6	4.86
10	7	5.1
10	8	6.34
10	9	7.93
10	10	8.14
10	11	3.0
10	12	-6.0
10	13	-8.0
10	14	-11.0
10	15	-9.0
10	16	0.97
10	17	11.47
10	18	7.0
10	19	11.29
10	20	10.47
10	21	8.88
10	22	7.94
10	23	7.04
10	24	9.27
11	1	44.0
11	2	44.0
11	3	44.0
11	4	44.0
11	5	41.5
11	6	41.5
11	7	47.4
11	8	48.97
11	9	47.28
11	10	44.99
11	11	43.86
11	12	44.23
11	13	45.22
11	14	47.49
11	15	50.16
11	16	51.78
11	17	53.63
11	18	50.488
11	19	54.0
11	20	54.0
11	21	52.0
11	22	47.5
11	23	44.0
11	24	40.5
12	1	2.85
12	2	2.59
12	3	2.52
12	4	2.39
12	5	2.25
12	6	2.38
12	7	2.93
12	8	7.55
12	9	12.72
12	10	13.25
12	11	13.14
12	12	24.65
12	13	25.18
12	14	26.15
12	15	27.66
12	16	30.39
12	17	44.68
12	18	39.41
12	19	34.49
12	20	26.93
12	21	12.6
12	22	6.74
12	23	5.35
12	24	5.35
13	1	35.0
13	2	33.0
13	3	32.0
13	4	33.0
13	5	32.0
13	6	32.0
13	7	40.0
13	8	53.28
13	9	52.49
13	10	49.53
13	11	40.0
13	12	38.5
13	13	36.0
13	14	36.0
13	15	36.0
13	16	36.0
13	17	39.5
13	18	41.0
13	19	53.47
13	20	47.73
13	21	41.5
13	22	37.0
13	23	35.0
13	24	37.5
14	1	55.0
14	2	60.82
14	3	58.49
14	4	55.94
14	5	54.75
14	6	52.16
14	7	57.95
14	8	62.97
14	9	64.94
14	10	63.8
14	11	54.323
14	12	53.652
14	13	54.47
14	14	52.18
14	15	41.0
14	16	41.0
14	17	54.86
14	18	57.37
14	19	56.93
14	20	56.16
14	21	55.94
14	22	55.97
14	23	49.0
14	24	49.0
