Node	Time	CapacityDownPrice
1	1	7.0
1	2	7.0
1	3	7.0
1	4	7.0
1	5	6.0
1	6	6.0
1	7	6.0
1	8	6.0
1	9	6.0
1	10	4.0
1	11	6.0
1	12	7.0
1	13	14.4
1	14	20.7
1	15	11.7
1	16	5.0
1	17	3.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	5.0
1	22	5.0
1	23	5.0
1	24	5.0
2	1	7.0
2	2	12.0
2	3	12.0
2	4	12.0
2	5	12.0
2	6	10.0
2	7	10.0
2	8	10.0
2	9	10.0
2	10	6.0
2	11	5.0
2	12	8.0
2	13	11.0
2	14	11.0
2	15	11.0
2	16	10.0
2	17	3.5
2	18	3.5
2	19	3.5
2	20	9.0
2	21	9.0
2	22	8.0
2	23	8.0
2	24	8.0
3	1	4.0
3	2	5.0
3	3	5.0
3	4	5.0
3	5	4.0
3	6	4.0
3	7	4.0
3	8	4.0
3	9	4.0
3	10	4.0
3	11	4.0
3	12	9.0
3	13	18.0
3	14	15.2
3	15	8.0
3	16	4.0
3	17	2.0
3	18	2.0
3	19	4.0
3	20	4.0
3	21	4.0
3	22	4.0
3	23	4.0
3	24	3.0
4	1	4.0
4	2	4.0
4	3	4.0
4	4	4.0
4	5	4.0
4	6	3.0
4	7	2.0
4	8	2.0
4	9	2.0
4	10	2.0
4	11	2.0
4	12	4.0
4	13	15.0
4	14	15.0
4	15	4.0
4	16	2.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	2.0
4	24	3.0
5	1	2.0
5	2	2.0
5	3	2.0
5	4	6.0
5	5	6.0
5	6	6.0
5	7	6.0
5	8	6.0
5	9	6.0
5	10	6.0
5	11	6.0
5	12	6.0
5	13	14.0
5	14	14.0
5	15	14.0
5	16	6.0
5	17	6.0
5	18	6.0
5	19	3.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	2.0
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	2.0
6	6	2.0
6	7	2.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	2.0
6	12	2.0
6	13	2.0
6	14	2.0
6	15	2.0
6	16	2.0
6	17	2.0
6	18	2.0
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	2.0
