Node	Time	CapacityUpPrice
1	1	1.5
1	2	1.5
1	3	1.5
1	4	1.5
1	5	1.5
1	6	2.0
1	7	2.0
1	8	2.0
1	9	1.3
1	10	1.3
1	11	1.3
1	12	1.3
1	13	1.3
1	14	1.3
1	15	1.3
1	16	1.5
1	17	1.5
1	18	2.0
1	19	5.0
1	20	10.0
1	21	5.0
1	22	5.0
1	23	5.0
1	24	4.0
2	1	3.0
2	2	3.0
2	3	2.0
2	4	2.0
2	5	2.0
2	6	3.0
2	7	3.5
2	8	3.0
2	9	3.0
2	10	2.0
2	11	2.0
2	12	2.0
2	13	2.0
2	14	2.0
2	15	3.0
2	16	3.0
2	17	3.0
2	18	3.0
2	19	10.0
2	20	6.0
2	21	9.0
2	22	8.0
2	23	67.0
2	24	3.5
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	2.0
3	6	2.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	1.5
3	11	1.5
3	12	1.5
3	13	1.5
3	14	2.0
3	15	1.8
3	16	2.0
3	17	2.0
3	18	2.0
3	19	4.0
3	20	6.0
3	21	7.0
3	22	5.0
3	23	2.5
3	24	1.5
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	2.0
4	6	2.0
4	7	2.0
4	8	2.0
4	9	1.5
4	10	1.5
4	11	1.5
4	12	1.5
4	13	1.5
4	14	1.5
4	15	1.5
4	16	2.0
4	17	2.0
4	18	2.0
4	19	4.0
4	20	4.5
4	21	5.0
4	22	3.5
4	23	2.0
4	24	5.0
5	1	6.0
5	2	2.3
5	3	2.3
5	4	2.3
5	5	2.3
5	6	3.0
5	7	10.0
5	8	25.2
5	9	12.0
5	10	12.0
5	11	13.0
5	12	22.2
5	13	13.0
5	14	10.0
5	15	10.0
5	16	10.0
5	17	12.0
5	18	35.0
5	19	40.11
5	20	37.2
5	21	28.2
5	22	19.2
5	23	20.0
5	24	10.0
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	3.0
6	6	4.0
6	7	6.0
6	8	7.0
6	9	7.5
6	10	9.0
6	11	8.5
6	12	6.5
6	13	6.0
6	14	7.0
6	15	9.0
6	16	9.0
6	17	9.5
6	18	9.0
6	19	7.5
6	20	7.0
6	21	6.0
6	22	5.0
6	23	4.5
6	24	4.0
