Node	Time	ActivationFactorDwnRegulation
3	1	0
4	1	1
5	1	0
6	1	0
7	1	0
8	1	1
3	2	0
4	2	0
5	2	0
6	2	1
7	2	0
8	2	1
3	3	0
4	3	0
5	3	0
6	3	0
7	3	1
8	3	1
3	4	0
4	4	1
5	4	0
6	4	0
7	4	0
8	4	1
3	5	1
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
3	6	0
4	6	1
5	6	0
6	6	0
7	6	1
8	6	1
3	7	1
4	7	0
5	7	0
6	7	0
7	7	0
8	7	1
3	8	0
4	8	0
5	8	0
6	8	1
7	8	0
8	8	0
3	9	0
4	9	1
5	9	1
6	9	1
7	9	0
8	9	0
3	10	0
4	10	1
5	10	0
6	10	0
7	10	0
8	10	1
3	11	1
4	11	0
5	11	0
6	11	0
7	11	0
8	11	1
3	12	0
4	12	0
5	12	0
6	12	1
7	12	1
8	12	1
3	13	0
4	13	0
5	13	1
6	13	0
7	13	1
8	13	0
3	14	1
4	14	0
5	14	1
6	14	1
7	14	0
8	14	0
3	15	0
4	15	0
5	15	1
6	15	0
7	15	1
8	15	0
3	16	0
4	16	1
5	16	0
6	16	0
7	16	0
8	16	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	1
8	17	1
3	18	0
4	18	1
5	18	1
6	18	0
7	18	1
8	18	0
3	19	0
4	19	0
5	19	0
6	19	1
7	19	0
8	19	1
3	20	0
4	20	1
5	20	0
6	20	1
7	20	0
8	20	0
3	21	0
4	21	0
5	21	0
6	21	1
7	21	0
8	21	0
3	22	1
4	22	0
5	22	0
6	22	1
7	22	1
8	22	0
3	23	0
4	23	0
5	23	1
6	23	1
7	23	0
8	23	1
3	24	0
4	24	0
5	24	1
6	24	0
7	24	0
8	24	1
9	1	0
10	1	0
11	1	1
12	1	1
13	1	0
14	1	0
9	2	1
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
9	3	1
10	3	1
11	3	0
12	3	1
13	3	0
14	3	0
9	4	0
10	4	0
11	4	0
12	4	1
13	4	0
14	4	0
9	5	0
10	5	1
11	5	0
12	5	0
13	5	1
14	5	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	1
14	6	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	1
14	7	1
9	8	0
10	8	0
11	8	1
12	8	1
13	8	0
14	8	1
9	9	0
10	9	1
11	9	0
12	9	1
13	9	0
14	9	0
9	10	0
10	10	0
11	10	0
12	10	1
13	10	0
14	10	0
9	11	1
10	11	0
11	11	1
12	11	0
13	11	0
14	11	1
9	12	1
10	12	0
11	12	0
12	12	0
13	12	1
14	12	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	1
14	13	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	1
9	15	0
10	15	1
11	15	0
12	15	0
13	15	0
14	15	0
9	16	0
10	16	1
11	16	0
12	16	1
13	16	0
14	16	0
9	17	0
10	17	0
11	17	0
12	17	1
13	17	1
14	17	1
9	18	0
10	18	0
11	18	0
12	18	0
13	18	1
14	18	0
9	19	0
10	19	0
11	19	0
12	19	1
13	19	1
14	19	1
9	20	0
10	20	1
11	20	1
12	20	0
13	20	1
14	20	0
9	21	0
10	21	0
11	21	0
12	21	1
13	21	1
14	21	0
9	22	0
10	22	0
11	22	0
12	22	1
13	22	1
14	22	0
9	23	0
10	23	1
11	23	1
12	23	0
13	23	0
14	23	1
9	24	1
10	24	0
11	24	0
12	24	0
13	24	1
14	24	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	1
15	2	0
16	2	0
17	2	1
18	2	0
19	2	0
20	2	0
15	3	0
16	3	1
17	3	0
18	3	0
19	3	0
20	3	1
15	4	1
16	4	1
17	4	0
18	4	1
19	4	0
20	4	0
15	5	0
16	5	1
17	5	0
18	5	0
19	5	0
20	5	1
15	6	0
16	6	0
17	6	1
18	6	0
19	6	0
20	6	0
15	7	0
16	7	1
17	7	0
18	7	0
19	7	0
20	7	1
15	8	1
16	8	1
17	8	1
18	8	0
19	8	0
20	8	0
15	9	1
16	9	0
17	9	1
18	9	0
19	9	1
20	9	0
15	10	0
16	10	1
17	10	0
18	10	1
19	10	0
20	10	0
15	11	0
16	11	0
17	11	1
18	11	0
19	11	0
20	11	0
15	12	0
16	12	0
17	12	1
18	12	0
19	12	0
20	12	0
15	13	1
16	13	0
17	13	0
18	13	1
19	13	0
20	13	0
15	14	0
16	14	1
17	14	0
18	14	0
19	14	0
20	14	0
15	15	1
16	15	0
17	15	0
18	15	0
19	15	0
20	15	1
15	16	0
16	16	0
17	16	0
18	16	1
19	16	0
20	16	1
15	17	0
16	17	1
17	17	0
18	17	0
19	17	1
20	17	1
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	1
15	19	0
16	19	1
17	19	1
18	19	1
19	19	0
20	19	0
15	20	1
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
15	21	0
16	21	1
17	21	0
18	21	1
19	21	0
20	21	0
15	22	1
16	22	0
17	22	0
18	22	0
19	22	0
20	22	1
15	23	1
16	23	0
17	23	0
18	23	1
19	23	0
20	23	1
15	24	1
16	24	1
17	24	0
18	24	0
19	24	0
20	24	0
21	1	1
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
21	2	0
22	2	1
23	2	0
24	2	0
25	2	1
26	2	0
21	3	0
22	3	1
23	3	0
24	3	1
25	3	1
26	3	0
21	4	0
22	4	1
23	4	0
24	4	1
25	4	1
26	4	0
21	5	0
22	5	1
23	5	0
24	5	0
25	5	0
26	5	0
21	6	0
22	6	0
23	6	1
24	6	0
25	6	1
26	6	0
21	7	0
22	7	0
23	7	1
24	7	1
25	7	0
26	7	0
21	8	0
22	8	0
23	8	0
24	8	0
25	8	1
26	8	0
21	9	0
22	9	1
23	9	0
24	9	0
25	9	1
26	9	1
21	10	0
22	10	0
23	10	0
24	10	1
25	10	0
26	10	1
21	11	0
22	11	1
23	11	0
24	11	0
25	11	0
