Node	Time	ActivationFactorID_Dwn_Reg
3	1	0
3	2	1
3	3	0
3	4	1
3	5	0
3	6	1
3	7	0
3	8	0
3	9	0
3	10	1
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	0
4	9	0
4	10	0
4	11	0
4	12	1
4	13	1
4	14	0
4	15	0
4	16	0
4	17	1
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	0
5	9	0
5	10	0
5	11	1
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	1
5	20	0
5	21	1
5	22	0
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	1
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	0
7	14	0
7	15	0
7	16	1
7	17	0
7	18	1
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
8	1	0
8	2	0
8	3	0
8	4	1
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	1
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
8	18	0
8	19	0
8	20	1
8	21	1
8	22	1
8	23	0
8	24	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	1
9	10	0
9	11	0
9	12	0
9	13	1
9	14	0
9	15	0
9	16	0
9	17	0
9	18	0
9	19	0
9	20	1
9	21	0
9	22	0
9	23	0
9	24	0
10	1	1
10	2	0
10	3	0
10	4	1
10	5	1
10	6	0
10	7	1
10	8	1
10	9	1
10	10	0
10	11	0
10	12	0
10	13	0
10	14	0
10	15	0
10	16	0
10	17	0
10	18	0
10	19	0
10	20	0
10	21	0
10	22	0
10	23	1
10	24	0
11	1	0
11	2	0
11	3	1
11	4	1
11	5	0
11	6	1
11	7	0
11	8	0
11	9	1
11	10	0
11	11	0
11	12	0
11	13	1
11	14	0
11	15	0
11	16	0
11	17	0
11	18	1
11	19	0
11	20	1
11	21	1
11	22	1
11	23	0
11	24	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	1
12	8	1
12	9	0
12	10	0
12	11	1
12	12	0
12	13	0
12	14	0
12	15	1
12	16	0
12	17	0
12	18	0
12	19	0
12	20	0
12	21	0
12	22	0
12	23	0
12	24	0
13	1	1
13	2	1
13	3	0
13	4	1
13	5	0
13	6	1
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	1
13	18	0
13	19	0
13	20	1
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	1
14	5	0
14	6	0
14	7	0
14	8	1
14	9	1
14	10	1
14	11	0
14	12	0
14	13	0
14	14	1
14	15	0
14	16	0
14	17	0
14	18	1
14	19	1
14	20	0
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	1
15	5	0
15	6	0
15	7	1
15	8	0
15	9	0
15	10	1
15	11	0
15	12	0
15	13	0
15	14	0
15	15	0
15	16	0
15	17	0
15	18	0
15	19	0
15	20	0
15	21	0
15	22	0
15	23	1
15	24	0
16	1	1
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	1
16	10	0
16	11	0
16	12	1
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	1
16	20	0
16	21	0
16	22	0
16	23	1
16	24	0
17	1	1
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	1
17	9	0
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
17	18	0
17	19	0
17	20	0
17	21	0
17	22	0
17	23	0
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	1
18	7	1
18	8	0
18	9	1
18	10	0
18	11	0
18	12	0
18	13	0
18	14	1
18	15	0
18	16	1
18	17	0
18	18	0
18	19	0
18	20	0
18	21	0
18	22	0
18	23	0
18	24	0
19	1	0
19	2	0
19	3	0
19	4	1
19	5	0
19	6	0
19	7	0
19	8	0
19	9	1
19	10	1
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	1
19	17	1
19	18	0
19	19	1
19	20	1
19	21	0
19	22	1
19	23	0
19	24	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	0
20	10	1
20	11	0
20	12	0
20	13	0
20	14	0
20	15	0
20	16	0
20	17	0
20	18	0
20	19	1
20	20	0
20	21	0
20	22	0
20	23	0
20	24	0
21	1	0
21	2	0
21	3	1
21	4	0
21	5	0
21	6	1
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	0
21	19	1
21	20	0
21	21	0
21	22	0
21	23	0
21	24	0
22	1	1
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	1
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
22	18	1
22	19	1
22	20	0
22	21	0
22	22	0
22	23	1
22	24	1
23	1	0
23	2	0
23	3	1
23	4	1
23	5	0
23	6	0
23	7	1
23	8	0
23	9	0
23	10	0
23	11	1
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
23	18	0
23	19	0
23	20	0
23	21	0
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	1
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	1
24	12	0
24	13	1
24	14	0
24	15	0
24	16	0
24	17	0
24	18	0
24	19	0
24	20	1
24	21	0
24	22	0
24	23	0
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	1
25	10	0
25	11	0
25	12	0
25	13	0
25	14	0
25	15	1
25	16	0
25	17	1
25	18	0
25	19	0
25	20	1
25	21	1
25	22	1
25	23	0
25	24	0
26	1	1
26	2	1
26	3	1
26	4	0
26	5	0
26	6	0
26	7	1
26	8	1
26	9	0
26	10	0
26	11	0
26	12	0
26	13	0
26	14	1
26	15	0
26	16	0
26	17	0
26	18	0
26	19	0
26	20	1
26	21	0
26	22	0
26	23	0
26	24	0
27	1	0
27	2	0
27	3	1
27	4	0
27	5	0
27	6	0
27	7	0
27	8	1
27	9	0
27	10	0
27	11	1
27	12	0
27	13	0
27	14	0
27	15	0
27	16	0
27	17	0
27	18	0
27	19	1
27	20	0
27	21	0
27	22	0
27	23	0
27	24	0
28	1	1
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	1
28	10	0
28	11	0
28	12	0
28	13	0
28	14	0
28	15	0
28	16	1
28	17	0
28	18	1
28	19	0
28	20	0
28	21	0
28	22	0
28	23	0
28	24	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	1
29	7	0
29	8	0
29	9	0
29	10	0
29	11	0
29	12	1
29	13	0
29	14	1
29	15	0
29	16	1
29	17	1
29	18	0
29	19	0
29	20	0
29	21	0
29	22	1
29	23	0
29	24	0
30	1	0
30	2	1
30	3	0
30	4	1
30	5	0
30	6	0
30	7	0
30	8	0
30	9	0
30	10	0
30	11	1
30	12	0
30	13	0
30	14	0
30	15	0
30	16	0
30	17	0
30	18	0
30	19	0
30	20	0
30	21	0
30	22	0
30	23	0
30	24	1
31	1	0
31	2	1
31	3	0
31	4	1
31	5	0
31	6	0
31	7	1
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	1
31	18	0
31	19	0
31	20	0
31	21	0
31	22	1
31	23	1
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	1
32	6	0
32	7	1
32	8	1
32	9	0
32	10	0
32	11	0
32	12	0
32	13	0
32	14	0
32	15	0
32	16	0
32	17	1
32	18	0
32	19	0
32	20	0
32	21	0
32	22	0
32	23	1
32	24	0
33	1	0
33	2	0
33	3	0
33	4	1
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	1
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
33	18	0
33	19	0
33	20	0
33	21	1
33	22	1
33	23	0
33	24	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	1
34	6	0
34	7	0
34	8	0
34	9	0
34	10	1
34	11	1
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
34	18	1
34	19	0
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	1
35	7	1
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	0
35	15	0
35	16	0
35	17	0
35	18	0
35	19	0
35	20	1
35	21	0
35	22	0
35	23	0
35	24	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	1
36	13	0
36	14	1
36	15	0
36	16	0
36	17	1
36	18	0
36	19	1
36	20	0
36	21	0
36	22	0
36	23	1
36	24	0
37	1	0
37	2	1
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	1
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
37	18	1
37	19	0
37	20	0
37	21	0
37	22	1
37	23	0
37	24	1
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	1
38	9	1
38	10	0
38	11	1
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	1
39	12	0
39	13	0
39	14	0
39	15	0
39	16	0
39	17	1
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	1
39	24	0
40	1	0
40	2	1
40	3	0
40	4	0
40	5	1
40	6	1
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
40	18	0
40	19	0
40	20	1
40	21	0
40	22	0
40	23	0
40	24	1
41	1	0
41	2	1
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	1
41	10	1
41	11	0
41	12	0
41	13	1
41	14	0
41	15	0
41	16	0
41	17	0
41	18	0
41	19	0
41	20	0
41	21	0
41	22	1
41	23	1
41	24	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	1
42	9	0
42	10	1
42	11	0
42	12	0
42	13	1
42	14	0
42	15	0
42	16	0
42	17	1
42	18	1
42	19	1
42	20	0
42	21	0
42	22	1
42	23	0
42	24	1
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	1
43	13	1
43	14	0
43	15	0
43	16	0
43	17	0
43	18	0
43	19	0
43	20	0
43	21	0
43	22	0
43	23	0
43	24	1
44	1	1
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	1
44	11	0
44	12	0
44	13	0
44	14	0
44	15	0
44	16	0
44	17	1
44	18	0
44	19	0
44	20	0
44	21	1
44	22	0
44	23	0
44	24	0
45	1	1
45	2	1
45	3	1
45	4	0
45	5	0
45	6	1
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0
45	17	0
45	18	0
45	19	0
45	20	0
45	21	0
45	22	0
45	23	0
45	24	1
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0
46	15	0
46	16	0
46	17	0
46	18	0
46	19	0
46	20	0
46	21	0
46	22	0
46	23	0
46	24	0
47	1	0
47	2	1
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	1
47	9	0
47	10	1
47	11	0
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	1
47	18	0
47	19	0
47	20	0
47	21	0
47	22	0
47	23	1
47	24	0
48	1	0
48	2	0
48	3	1
48	4	0
48	5	0
48	6	0
48	7	0
48	8	1
48	9	1
48	10	0
48	11	0
48	12	0
48	13	0
48	14	0
48	15	0
48	16	1
48	17	0
48	18	0
48	19	0
48	20	0
48	21	0
48	22	1
48	23	0
48	24	0
49	1	0
49	2	0
49	3	0
49	4	0
49	5	0
49	6	0
49	7	0
49	8	0
49	9	0
49	10	0
49	11	0
49	12	0
49	13	0
49	14	0
49	15	1
49	16	0
49	17	0
49	18	0
49	19	0
49	20	0
49	21	0
49	22	0
49	23	0
49	24	0
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	1
50	7	0
50	8	0
50	9	0
50	10	0
50	11	1
50	12	1
50	13	0
50	14	1
50	15	0
50	16	0
50	17	0
50	18	0
50	19	1
50	20	0
50	21	0
50	22	0
50	23	0
50	24	0
51	1	1
51	2	0
51	3	0
51	4	0
51	5	0
51	6	1
51	7	0
51	8	1
51	9	1
51	10	0
51	11	0
51	12	0
51	13	0
51	14	0
51	15	0
51	16	0
51	17	0
51	18	0
51	19	1
51	20	1
51	21	0
51	22	1
51	23	1
51	24	0
52	1	0
52	2	0
52	3	1
52	4	0
52	5	0
52	6	1
52	7	0
52	8	0
52	9	0
52	10	0
52	11	0
52	12	0
52	13	0
52	14	0
52	15	1
52	16	0
52	17	0
52	18	1
52	19	1
52	20	1
52	21	0
52	22	0
52	23	0
52	24	0
53	1	1
53	2	0
53	3	0
53	4	0
53	5	0
53	6	0
53	7	0
53	8	0
53	9	0
53	10	1
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0
53	17	0
53	18	0
53	19	0
53	20	0
53	21	1
53	22	0
53	23	1
53	24	0
54	1	0
54	2	1
54	3	1
54	4	0
54	5	0
54	6	0
54	7	0
54	8	0
54	9	1
54	10	0
54	11	0
54	12	0
54	13	0
54	14	0
54	15	0
54	16	0
54	17	0
54	18	0
54	19	0
54	20	0
54	21	0
54	22	1
54	23	0
54	24	0
55	1	1
55	2	0
55	3	0
55	4	0
55	5	0
55	6	0
55	7	1
55	8	0
55	9	0
55	10	1
55	11	0
55	12	1
55	13	0
55	14	0
55	15	0
55	16	1
55	17	1
55	18	0
55	19	0
55	20	0
55	21	0
55	22	1
55	23	0
55	24	0
56	1	1
56	2	0
56	3	0
56	4	0
56	5	0
56	6	0
56	7	0
56	8	0
56	9	0
56	10	0
56	11	0
56	12	1
56	13	0
56	14	0
56	15	1
56	16	0
56	17	0
56	18	0
56	19	0
56	20	0
56	21	0
56	22	0
56	23	0
56	24	0
57	1	0
57	2	0
57	3	0
57	4	0
57	5	0
57	6	0
57	7	0
57	8	1
57	9	0
57	10	0
57	11	0
57	12	1
57	13	0
57	14	0
57	15	0
57	16	0
57	17	0
57	18	0
57	19	0
57	20	1
57	21	0
57	22	0
57	23	0
57	24	0
58	1	0
58	2	0
58	3	0
58	4	1
58	5	0
58	6	0
58	7	0
58	8	1
58	9	0
58	10	0
58	11	0
58	12	0
58	13	0
58	14	0
58	15	1
58	16	0
58	17	0
58	18	0
58	19	0
58	20	0
58	21	0
58	22	0
58	23	0
58	24	0
59	1	1
59	2	0
59	3	0
59	4	0
59	5	0
59	6	0
59	7	0
59	8	0
59	9	0
59	10	0
59	11	0
59	12	0
59	13	1
59	14	0
59	15	0
59	16	0
59	17	0
59	18	0
59	19	1
59	20	0
59	21	0
59	22	0
59	23	0
59	24	1
60	1	0
60	2	0
60	3	0
60	4	0
60	5	0
60	6	0
60	7	0
60	8	0
60	9	0
60	10	0
60	11	0
60	12	0
60	13	0
60	14	1
60	15	0
60	16	0
60	17	1
60	18	0
60	19	0
60	20	0
60	21	1
60	22	1
60	23	0
60	24	0
61	1	0
61	2	0
61	3	1
61	4	1
61	5	0
61	6	0
61	7	0
61	8	0
61	9	0
61	10	0
61	11	1
61	12	0
61	13	0
61	14	0
61	15	0
61	16	0
61	17	0
61	18	0
61	19	0
61	20	0
61	21	0
61	22	0
61	23	1
61	24	0
62	1	0
62	2	0
62	3	0
62	4	1
62	5	1
62	6	1
62	7	1
62	8	0
62	9	0
62	10	1
62	11	0
62	12	1
62	13	0
62	14	1
62	15	0
62	16	0
62	17	0
62	18	0
62	19	0
62	20	0
62	21	0
62	22	0
62	23	1
62	24	0
63	1	0
63	2	1
63	3	0
63	4	0
63	5	0
63	6	0
63	7	0
63	8	1
63	9	0
63	10	0
63	11	0
63	12	0
63	13	1
63	14	0
63	15	0
63	16	1
63	17	0
63	18	0
63	19	1
63	20	1
63	21	1
63	22	1
63	23	0
63	24	0
64	1	1
64	2	0
64	3	1
64	4	0
64	5	0
64	6	0
64	7	0
64	8	0
64	9	0
64	10	0
64	11	0
64	12	1
64	13	0
64	14	1
64	15	0
64	16	1
64	17	0
64	18	1
64	19	0
64	20	0
64	21	0
64	22	0
64	23	0
64	24	0
65	1	0
65	2	1
65	3	0
65	4	1
65	5	0
65	6	0
65	7	0
65	8	0
65	9	0
65	10	0
65	11	0
65	12	0
65	13	1
65	14	0
65	15	0
65	16	0
65	17	0
65	18	0
65	19	0
65	20	0
65	21	0
65	22	0
65	23	0
65	24	0
66	1	0
66	2	0
66	3	0
66	4	0
66	5	0
66	6	0
66	7	0
66	8	1
66	9	0
66	10	0
66	11	0
66	12	0
66	13	0
66	14	0
66	15	0
66	16	0
66	17	0
66	18	1
66	19	1
66	20	1
66	21	0
66	22	0
66	23	0
66	24	0
67	1	1
67	2	0
67	3	0
67	4	0
67	5	1
67	6	0
67	7	0
67	8	0
67	9	1
67	10	1
67	11	0
67	12	0
67	13	0
67	14	1
67	15	1
67	16	0
67	17	0
67	18	0
67	19	0
67	20	0
67	21	0
67	22	0
67	23	1
67	24	0
68	1	0
68	2	0
68	3	0
68	4	0
68	5	0
68	6	1
68	7	0
68	8	0
68	9	0
68	10	0
68	11	0
68	12	0
68	13	0
68	14	0
68	15	0
68	16	0
68	17	0
68	18	0
68	19	1
68	20	0
68	21	0
