Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	0
5	1	1
6	1	1
7	1	0
8	1	0
3	2	1
4	2	0
5	2	0
6	2	0
7	2	1
8	2	0
3	3	0
4	3	1
5	3	1
6	3	0
7	3	0
8	3	0
3	4	0
4	4	0
5	4	1
6	4	0
7	4	1
8	4	0
3	5	0
4	5	0
5	5	1
6	5	0
7	5	1
8	5	1
3	6	0
4	6	0
5	6	1
6	6	0
7	6	0
8	6	0
3	7	0
4	7	0
5	7	1
6	7	0
7	7	1
8	7	0
3	8	0
4	8	1
5	8	0
6	8	0
7	8	1
8	8	1
3	9	1
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
3	10	1
4	10	0
5	10	0
6	10	1
7	10	0
8	10	0
3	11	0
4	11	1
5	11	0
6	11	0
7	11	1
8	11	0
3	12	1
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
3	13	0
4	13	0
5	13	0
6	13	1
7	13	0
8	13	1
3	14	0
4	14	1
5	14	0
6	14	0
7	14	0
8	14	0
3	15	1
4	15	0
5	15	0
6	15	0
7	15	0
8	15	1
3	16	1
4	16	0
5	16	0
6	16	1
7	16	0
8	16	1
3	17	1
4	17	0
5	17	1
6	17	0
7	17	0
8	17	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	1
3	19	0
4	19	1
5	19	1
6	19	0
7	19	0
8	19	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	1
8	20	1
3	21	0
4	21	1
5	21	0
6	21	0
7	21	1
8	21	1
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	1
3	23	1
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
3	24	1
4	24	0
5	24	0
6	24	1
7	24	0
8	24	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	1
14	1	1
9	2	0
10	2	1
11	2	1
12	2	1
13	2	0
14	2	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	1
14	3	0
9	4	1
10	4	0
11	4	0
12	4	0
13	4	1
14	4	1
9	5	1
10	5	0
11	5	1
12	5	0
13	5	0
14	5	0
9	6	0
10	6	1
11	6	1
12	6	0
13	6	0
14	6	1
9	7	0
10	7	0
11	7	1
12	7	1
13	7	0
14	7	0
9	8	0
10	8	1
11	8	0
12	8	0
13	8	0
14	8	0
9	9	0
10	9	0
11	9	1
12	9	0
13	9	1
14	9	0
9	10	1
10	10	1
11	10	1
12	10	0
13	10	0
14	10	0
9	11	0
10	11	0
11	11	0
12	11	1
13	11	0
14	11	0
9	12	0
10	12	0
11	12	1
12	12	0
13	12	0
14	12	1
9	13	0
10	13	1
11	13	0
12	13	1
13	13	0
14	13	1
9	14	1
10	14	1
11	14	0
12	14	1
13	14	0
14	14	0
9	15	1
10	15	0
11	15	0
12	15	1
13	15	1
14	15	0
9	16	0
10	16	0
11	16	1
12	16	0
13	16	1
14	16	0
9	17	0
10	17	1
11	17	0
12	17	0
13	17	0
14	17	0
9	18	0
10	18	1
11	18	1
12	18	0
13	18	0
14	18	1
9	19	1
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	1
9	21	0
10	21	1
11	21	0
12	21	0
13	21	0
14	21	1
9	22	1
10	22	1
11	22	0
12	22	0
13	22	0
14	22	0
9	23	0
10	23	0
11	23	0
12	23	1
13	23	0
14	23	0
9	24	0
10	24	0
11	24	0
12	24	1
13	24	0
14	24	1
15	1	0
16	1	1
17	1	0
18	1	1
19	1	1
20	1	0
15	2	1
16	2	1
17	2	0
18	2	1
19	2	0
20	2	0
15	3	1
16	3	0
17	3	0
18	3	0
19	3	1
20	3	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	1
20	4	0
15	5	1
16	5	0
17	5	0
18	5	0
19	5	1
20	5	0
15	6	0
16	6	1
17	6	0
18	6	1
19	6	1
20	6	0
15	7	1
16	7	0
17	7	1
18	7	0
19	7	0
20	7	0
15	8	0
16	8	0
17	8	0
18	8	1
19	8	0
20	8	0
15	9	0
16	9	0
17	9	0
18	9	1
19	9	0
20	9	0
15	10	0
16	10	0
17	10	1
18	10	0
19	10	0
20	10	1
15	11	1
16	11	0
17	11	0
18	11	1
19	11	1
20	11	0
15	12	1
16	12	1
17	12	0
18	12	1
19	12	0
20	12	0
15	13	0
16	13	1
17	13	0
18	13	0
19	13	0
20	13	1
15	14	1
16	14	0
17	14	1
18	14	1
19	14	0
20	14	0
15	15	0
16	15	0
17	15	0
18	15	1
19	15	1
20	15	0
15	16	1
16	16	1
17	16	0
18	16	0
19	16	0
20	16	0
15	17	0
16	17	0
17	17	1
18	17	0
19	17	0
20	17	0
15	18	1
16	18	0
17	18	1
18	18	0
19	18	1
20	18	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	1
20	19	0
15	20	0
16	20	1
17	20	0
18	20	1
19	20	1
20	20	0
15	21	0
16	21	0
17	21	1
18	21	0
19	21	0
20	21	1
15	22	0
16	22	1
17	22	0
18	22	0
19	22	1
20	22	0
15	23	0
16	23	1
17	23	0
18	23	0
19	23	0
20	23	0
15	24	0
16	24	0
17	24	1
18	24	0
19	24	1
20	24	0
21	1	0
22	1	1
23	1	0
24	1	0
25	1	1
26	1	1
21	2	0
22	2	0
23	2	0
24	2	1
25	2	0
26	2	1
21	3	1
22	3	0
23	3	0
24	3	0
25	3	0
26	3	0
21	4	0
22	4	0
23	4	0
24	4	0
25	4	0
26	4	1
21	5	1
22	5	0
23	5	0
24	5	1
25	5	1
26	5	0
21	6	1
22	6	1
23	6	0
24	6	0
25	6	0
26	6	0
21	7	1
22	7	0
23	7	0
24	7	0
25	7	1
26	7	0
21	8	0
22	8	0
23	8	1
24	8	1
25	8	0
26	8	1
21	9	0
22	9	0
23	9	0
24	9	1
25	9	0
26	9	0
21	10	1
22	10	0
23	10	1
24	10	0
25	10	0
26	10	0
21	11	1
22	11	0
23	11	0
24	11	0
25	11	1
26	11	1
21	12	0
22	12	0
23	12	0
24	12	1
25	12	1
26	12	0
21	13	0
22	13	0
23	13	1
24	13	0
25	13	0
26	13	0
21	14	0
22	14	1
23	14	1
24	14	0
25	14	0
26	14	0
21	15	1
22	15	0
23	15	1
24	15	1
25	15	0
26	15	0
21	16	1
22	16	0
23	16	0
24	16	0
25	16	1
26	16	0
21	17	0
22	17	1
23	17	0
24	17	0
25	17	0
26	17	0
21	18	0
22	18	1
23	18	1
24	18	0
25	18	0
26	18	0
21	19	0
22	19	1
23	19	0
24	19	0
25	19	0
26	19	0
21	20	0
22	20	0
23	20	1
24	20	0
25	20	0
26	20	0
21	21	1
22	21	0
23	21	0
24	21	0
25	21	1
26	21	1
21	22	0
22	22	1
23	22	0
24	22	1
25	22	0
26	22	1
21	23	1
22	23	0
23	23	0
24	23	0
25	23	1
26	23	0
21	24	1
22	24	0
23	24	0
24	24	0
25	24	0
26	24	0
27	1	1
28	1	0
29	1	0
30	1	0
31	1	1
32	1	0
27	2	1
28	2	0
29	2	0
30	2	1
31	2	1
32	2	0
27	3	0
28	3	1
29	3	0
30	3	0
31	3	1
32	3	0
27	4	0
28	4	0
29	4	0
30	4	0
31	4	1
32	4	1
27	5	0
28	5	0
29	5	1
30	5	0
31	5	0
32	5	0
27	6	0
28	6	1
29	6	0
30	6	0
31	6	0
32	6	1
27	7	0
28	7	1
29	7	0
30	7	0
31	7	0
32	7	0
27	8	0
28	8	1
29	8	0
30	8	1
31	8	0
32	8	0
27	9	1
28	9	1
29	9	0
30	9	0
31	9	0
32	9	0
27	10	1
28	10	0
29	10	1
30	10	0
31	10	1
32	10	0
27	11	0
28	11	0
29	11	1
30	11	1
31	11	0
32	11	0
27	12	0
28	12	1
29	12	1
30	12	0
31	12	1
32	12	0
27	13	1
28	13	1
29	13	0
30	13	0
31	13	0
32	13	1
27	14	1
28	14	1
29	14	1
30	14	0
31	14	0
32	14	0
27	15	1
28	15	0
29	15	0
30	15	0
31	15	0
32	15	1
27	16	1
28	16	0
29	16	1
30	16	0
31	16	0
32	16	1
27	17	0
28	17	0
29	17	0
30	17	0
31	17	1
32	17	1
27	18	1
28	18	0
29	18	1
30	18	0
31	18	0
32	18	1
27	19	0
28	19	0
29	19	0
30	19	1
31	19	0
32	19	0
27	20	1
28	20	0
29	20	0
30	20	1
31	20	0
32	20	0
27	21	1
28	21	1
29	21	0
30	21	1
31	21	0
32	21	0
27	22	0
28	22	0
29	22	0
30	22	1
31	22	0
32	22	0
27	23	1
28	23	1
29	23	0
30	23	0
31	23	0
32	23	0
27	24	0
28	24	1
29	24	0
30	24	0
31	24	1
32	24	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	1
33	2	0
34	2	0
35	2	0
36	2	1
37	2	0
38	2	0
33	3	0
34	3	1
35	3	0
36	3	1
37	3	0
38	3	0
33	4	0
34	4	0
35	4	0
36	4	1
37	4	0
38	4	1
33	5	0
34	5	0
35	5	0
36	5	1
37	5	0
38	5	1
33	6	0
34	6	1
35	6	0
36	6	1
37	6	1
38	6	0
33	7	1
34	7	0
35	7	1
36	7	0
37	7	1
38	7	0
33	8	0
34	8	0
35	8	0
36	8	0
37	8	0
38	8	1
33	9	0
34	9	0
35	9	1
36	9	1
37	9	0
38	9	0
33	10	0
34	10	1
35	10	0
36	10	1
37	10	1
38	10	0
33	11	0
34	11	0
35	11	0
36	11	0
37	11	0
38	11	1
33	12	0
34	12	1
35	12	1
36	12	0
37	12	1
38	12	0
33	13	1
34	13	0
35	13	0
36	13	0
37	13	1
38	13	0
33	14	0
34	14	0
35	14	1
36	14	0
37	14	1
38	14	0
33	15	0
34	15	0
35	15	0
36	15	0
37	15	1
38	15	1
33	16	0
34	16	0
35	16	1
36	16	0
37	16	0
38	16	0
33	17	0
34	17	0
35	17	1
36	17	1
37	17	0
38	17	1
33	18	1
34	18	1
35	18	0
36	18	0
37	18	1
38	18	0
33	19	1
34	19	1
