Node	Time	EnergyCarrier	ReferenceDemand
3	1	Electricity	38.19688077942607
3	2	Electricity	36.85957350183736
3	3	Electricity	35.94162667407612
3	4	Electricity	35.76049804967985
3	5	Electricity	36.688722115841195
3	6	Electricity	40.73161164673386
3	7	Electricity	50.38220360398421
3	8	Electricity	62.64325361502238
3	9	Electricity	78.32577370827804
3	10	Electricity	90.93144884471235
3	11	Electricity	96.76980400563296
3	12	Electricity	97.82307320241323
3	13	Electricity	90.15888555163023
3	14	Electricity	91.60390476071284
3	15	Electricity	99.63889322405991
3	16	Electricity	99.71663869411408
3	17	Electricity	96.93272414374721
3	18	Electricity	91.02435074825964
3	19	Electricity	82.33863672937336
3	20	Electricity	67.03963110485249
3	21	Electricity	50.585568591267865
3	22	Electricity	43.67239460092631
3	23	Electricity	41.25470781330688
3	24	Electricity	38.9825310926442
3	1	LT	2.5055802332672883
3	2	LT	2.5055802332672883
3	3	LT	2.5055802332672883
3	4	LT	2.5055802332672883
3	5	LT	2.5055802332672883
3	6	LT	2.5055802332672883
3	7	LT	2.5055802332672883
3	8	LT	6.789314180466201
3	9	LT	8.486642725582751
3	10	LT	9.335306998141025
3	11	LT	9.335306998141025
3	12	LT	11.032635543257577
3	13	LT	11.032635543257577
3	14	LT	7.637978453024477
3	15	LT	11.032635543257577
3	16	LT	9.335306998141025
3	17	LT	8.082516881507381
3	18	LT	6.789314180466201
3	19	LT	2.5055802332672883
3	20	LT	2.5055802332672883
3	21	LT	2.5055802332672883
3	22	LT	2.5055802332672883
3	23	LT	2.5055802332672883
3	24	LT	2.5055802332672883
3	1	MT	63.80544811690797
3	2	MT	39.739269210808295
3	3	MT	39.739269210808295
3	4	MT	39.739269210808295
3	5	MT	39.739269210808295
3	6	MT	39.739269210808295
3	7	MT	39.739269210808295
3	8	MT	165.0811244236865
3	9	MT	206.35140552960814
3	10	MT	226.98654608256896
3	11	MT	226.98654608256896
3	12	MT	268.25682718849055
3	13	MT	268.25682718849055
3	14	MT	185.71626497664732
3	15	MT	268.25682718849055
3	16	MT	207.2707918248796
3	17	MT	101.31828651688815
3	18	MT	68.44615989304013
3	19	MT	41.59051374204673
3	20	MT	39.739269210808295
3	21	MT	39.739269210808295
3	22	MT	39.739269210808295
3	23	MT	39.739269210808295
3	24	MT	39.739269210808295
3	1	H2	0.0
3	2	H2	0.0
3	3	H2	0.0
3	4	H2	0.0
3	5	H2	0.0
3	6	H2	0.0
3	7	H2	0.0
3	8	H2	0.0
3	9	H2	0.0
3	10	H2	0.0
3	11	H2	0.0
3	12	H2	0.0
3	13	H2	0.0
3	14	H2	0.0
3	15	H2	0.0
3	16	H2	0.0
3	17	H2	0.0
3	18	H2	0.0
3	19	H2	0.0
3	20	H2	0.0
3	21	H2	0.0
3	22	H2	0.0
3	23	H2	0.0
3	24	H2	0.0
3	1	CH4	0.0
3	2	CH4	0.0
3	3	CH4	0.0
3	4	CH4	0.0
3	5	CH4	0.0
3	6	CH4	0.0
3	7	CH4	0.0
3	8	CH4	0.0
3	9	CH4	0.0
3	10	CH4	0.0
3	11	CH4	0.0
3	12	CH4	0.0
3	13	CH4	0.0
