Node	Time	ID_Capacity_Buy_Volume
1	1	21.7
1	2	13.6
1	3	18.7
1	4	32.9
1	5	9.1
1	6	19.8
1	7	7.0
1	8	0.0
1	9	37.3
1	10	47.4
1	11	37.0
1	12	7.3
1	13	2.4
1	14	9.9
1	15	5.5
1	16	41.2
1	17	76.6
1	18	4.1
1	19	10.2
1	20	10.1
1	21	9.9
1	22	7.8
1	23	20.4
1	24	21.4
2	1	6.4
2	2	2.2
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	1.9
2	8	56.7
2	9	41.1
2	10	42.8
2	11	247.2
2	12	36.3
2	13	88.8
2	14	23.7
2	15	113.5
2	16	455.4
2	17	144.6
2	18	130.0
2	19	65.1
2	20	95.4
2	21	59.1
2	22	67.1
2	23	88.8
2	24	107.0
3	1	0.4
3	2	15.0
3	3	23.2
3	4	12.1
3	5	54.2
3	6	61.1
3	7	75.5
3	8	20.7
3	9	0.3
3	10	10.8
3	11	28.0
3	12	67.2
3	13	33.4
3	14	0.0
3	15	11.2
3	16	0.0
3	17	166.6
3	18	75.8
3	19	4.5
3	20	0.0
3	21	0.0
3	22	0.0
3	23	6.9
3	24	13.3
4	1	0.4
4	2	15.0
4	3	23.2
4	4	12.1
4	5	54.2
4	6	61.1
4	7	75.5
4	8	20.7
4	9	0.3
4	10	10.8
4	11	28.0
4	12	67.2
4	13	33.4
4	14	0.0
4	15	11.2
4	16	0.0
4	17	166.6
4	18	75.8
4	19	4.5
4	20	0.0
4	21	0.0
4	22	0.0
4	23	6.9
4	24	13.3
5	1	6.4
5	2	2.2
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	1.9
5	8	56.7
5	9	41.1
5	10	42.8
5	11	247.2
5	12	36.3
5	13	88.8
5	14	23.7
5	15	113.5
5	16	455.4
5	17	144.6
5	18	130.0
5	19	65.1
5	20	95.4
5	21	59.1
5	22	67.1
5	23	88.8
5	24	107.0
6	1	0.4
6	2	15.0
6	3	23.2
6	4	12.1
6	5	54.2
6	6	61.1
6	7	75.5
6	8	20.7
6	9	0.3
6	10	10.8
6	11	28.0
6	12	67.2
6	13	33.4
6	14	0.0
6	15	11.2
6	16	0.0
6	17	166.6
6	18	75.8
6	19	4.5
6	20	0.0
6	21	0.0
6	22	0.0
6	23	6.9
6	24	13.3
7	1	21.7
7	2	13.6
7	3	18.7
7	4	32.9
7	5	9.1
7	6	19.8
7	7	7.0
7	8	0.0
7	9	37.3
7	10	47.4
7	11	37.0
7	12	7.3
7	13	2.4
7	14	9.9
7	15	5.5
7	16	41.2
7	17	76.6
7	18	4.1
7	19	10.2
7	20	10.1
7	21	9.9
7	22	7.8
7	23	20.4
7	24	21.4
8	1	8.9
8	2	1.7
8	3	2.5
8	4	1.5
8	5	0.9
8	6	36.1
8	7	3.1
8	8	7.7
8	9	13.2
8	10	30.8
8	11	5.1
8	12	12.9
8	13	119.5
8	14	18.0
8	15	87.8
8	16	23.1
8	17	23.8
8	18	34.2
8	19	5.4
8	20	10.1
8	21	10.3
8	22	35.1
8	23	25.6
8	24	13.8
9	1	0.0
9	2	5.0
9	3	2.0
9	4	0.0
9	5	2.1
9	6	7.3
9	7	17.3
9	8	7.4
9	9	6.4
9	10	25.8
9	11	12.3
9	12	33.8
9	13	12.8
9	14	92.7
9	15	211.7
9	16	113.2
9	17	78.7
9	18	74.8
9	19	65.6
9	20	73.9
9	21	47.9
9	22	84.6
9	23	32.7
9	24	30.3
10	1	10.2
10	2	42.5
10	3	50.0
10	4	44.6
10	5	32.9
10	6	5.0
10	7	8.8
10	8	31.8
10	9	20.9
