Node	Time	ID_Capacity_Sell_Volume
1	1	8.8
1	2	10.9
1	3	24.1
1	4	33.0
1	5	11.6
1	6	22.3
1	7	6.6
1	8	0.0
1	9	32.3
1	10	114.6
1	11	34.8
1	12	28.9
1	13	0.5
1	14	15.8
1	15	3.2
1	16	34.0
1	17	78.7
1	18	5.2
1	19	5.8
1	20	7.0
1	21	5.4
1	22	9.2
1	23	11.4
1	24	22.6
2	1	6.0
2	2	2.2
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	3.9
2	8	32.2
2	9	40.3
2	10	42.3
2	11	258.6
2	12	38.0
2	13	47.5
2	14	17.2
2	15	36.9
2	16	310.8
2	17	48.3
2	18	28.8
2	19	19.5
2	20	82.2
2	21	56.5
2	22	57.0
2	23	21.9
2	24	66.9
3	1	3.0
3	2	25.1
3	3	39.3
3	4	21.7
3	5	39.2
3	6	48.6
3	7	33.1
3	8	6.5
3	9	0.3
3	10	0.1
3	11	26.5
3	12	68.9
3	13	22.5
3	14	0.0
3	15	11.1
3	16	3.6
3	17	127.4
3	18	55.5
3	19	1.1
3	20	0.0
3	21	0.0
3	22	0.0
3	23	19.0
3	24	12.5
4	1	3.0
4	2	25.1
4	3	39.3
4	4	21.7
4	5	39.2
4	6	48.6
4	7	33.1
4	8	6.5
4	9	0.3
4	10	0.1
4	11	26.5
4	12	68.9
4	13	22.5
4	14	0.0
4	15	11.1
4	16	3.6
4	17	127.4
4	18	55.5
4	19	1.1
4	20	0.0
4	21	0.0
4	22	0.0
4	23	19.0
4	24	12.5
5	1	6.0
5	2	2.2
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	3.9
5	8	32.2
5	9	40.3
5	10	42.3
5	11	258.6
5	12	38.0
5	13	47.5
5	14	17.2
5	15	36.9
5	16	310.8
5	17	48.3
5	18	28.8
5	19	19.5
5	20	82.2
5	21	56.5
5	22	57.0
5	23	21.9
5	24	66.9
6	1	3.0
6	2	25.1
6	3	39.3
6	4	21.7
6	5	39.2
6	6	48.6
6	7	33.1
6	8	6.5
6	9	0.3
6	10	0.1
6	11	26.5
6	12	68.9
6	13	22.5
6	14	0.0
6	15	11.1
6	16	3.6
6	17	127.4
6	18	55.5
6	19	1.1
6	20	0.0
6	21	0.0
6	22	0.0
6	23	19.0
6	24	12.5
7	1	8.8
7	2	10.9
7	3	24.1
7	4	33.0
7	5	11.6
7	6	22.3
7	7	6.6
7	8	0.0
7	9	32.3
7	10	114.6
7	11	34.8
7	12	28.9
7	13	0.5
7	14	15.8
7	15	3.2
7	16	34.0
7	17	78.7
7	18	5.2
7	19	5.8
7	20	7.0
7	21	5.4
7	22	9.2
7	23	11.4
7	24	22.6
8	1	13.4
8	2	0.0
8	3	2.0
8	4	3.1
8	5	1.0
8	6	49.2
8	7	1.6
8	8	12.7
8	9	16.6
8	10	45.1
8	11	8.2
8	12	1.9
8	13	117.0
8	14	25.0
8	15	76.8
8	16	57.7
8	17	39.9
8	18	74.4
8	19	21.6
8	20	10.9
8	21	18.7
8	22	71.4
8	23	61.5
8	24	85.4
9	1	10.0
9	2	19.0
9	3	2.1
9	4	0.1
9	5	5.7
9	6	18.9
9	7	43.2
9	8	69.3
9	9	70.1
9	10	77.0
9	11	20.5
9	12	37.3
9	13	7.6
9	14	19.1
9	15	137.4
9	16	42.0
9	17	12.8
9	18	20.5
9	19	32.8
9	20	19.9
9	21	13.4
9	22	62.7
9	23	74.6
9	24	73.8
10	1	5.3
10	2	6.9
10	3	5.4
10	4	11.2
10	5	7.9
10	6	2.0
10	7	5.1
10	8	10.8
10	9	3.9
10	10	5.6
10	11	1.4
10	12	5.9
10	13	3.0
10	14	135.6
10	15	24.3
10	16	22.7
10	17	68.1
10	18	36.8
10	19	97.5
10	20	8.5
10	21	0.3
10	22	2.1
10	23	8.7
10	24	45.2
11	1	6.0
11	2	2.2
11	3	0.0
11	4	0.0
11	5	0.0
11	6	0.0
11	7	3.9
11	8	32.2
11	9	40.3
11	10	42.3
11	11	258.6
11	12	38.0
11	13	47.5
11	14	17.2
11	15	36.9
11	16	310.8
11	17	48.3
11	18	28.8
11	19	19.5
11	20	82.2
11	21	56.5
11	22	57.0
11	23	21.9
11	24	66.9
12	1	0.0
12	2	0.0
12	3	0.0
12	4	0.0
12	5	0.0
12	6	0.0
12	7	0.0
12	8	0.0
12	9	0.0
12	10	0.1
12	11	16.9
12	12	20.6
12	13	1.7
12	14	5.0
12	15	2.1
12	16	10.6
12	17	55.2
12	18	20.8
12	19	30.8
12	20	26.0
12	21	21.0
12	22	38.3
12	23	122.9
12	24	110.5
13	1	10.0
13	2	19.0
13	3	2.1
13	4	0.1
13	5	5.7
13	6	18.9
13	7	43.2
13	8	69.3
13	9	70.1
13	10	77.0
13	11	20.5
13	12	37.3
13	13	7.6
13	14	19.1
13	15	137.4
13	16	42.0
13	17	12.8
13	18	20.5
13	19	32.8
13	20	19.9
13	21	13.4
13	22	62.7
13	23	74.6
13	24	73.8
14	1	5.3
14	2	6.9
14	3	5.4
14	4	11.2
14	5	7.9
14	6	2.0
14	7	5.1
14	8	10.8
14	9	3.9
14	10	5.6
14	11	1.4
14	12	5.9
14	13	3.0
14	14	135.6
14	15	24.3
14	16	22.7
14	17	68.1
14	18	36.8
14	19	97.5
14	20	8.5
14	21	0.3
14	22	2.1
14	23	8.7
14	24	45.2
15	1	5.3
15	2	6.9
15	3	5.4
15	4	11.2
15	5	7.9
15	6	2.0
15	7	5.1
15	8	10.8
15	9	3.9
15	10	5.6
15	11	1.4
15	12	5.9
15	13	3.0
15	14	135.6
15	15	24.3
15	16	22.7
15	17	68.1
15	18	36.8
15	19	97.5
15	20	8.5
15	21	0.3
15	22	2.1
15	23	8.7
15	24	45.2
16	1	5.3
16	2	6.9
16	3	5.4
16	4	11.2
16	5	7.9
16	6	2.0
16	7	5.1
16	8	10.8
16	9	3.9
16	10	5.6
16	11	1.4
16	12	5.9
16	13	3.0
16	14	135.6
16	15	24.3
16	16	22.7
16	17	68.1
16	18	36.8
16	19	97.5
16	20	8.5
16	21	0.3
16	22	2.1
16	23	8.7
16	24	45.2
17	1	6.0
17	2	2.2
17	3	0.0
17	4	0.0
17	5	0.0
17	6	0.0
17	7	3.9
17	8	32.2
17	9	40.3
17	10	42.3
17	11	258.6
17	12	38.0
17	13	47.5
17	14	17.2
17	15	36.9
17	16	310.8
17	17	48.3
17	18	28.8
17	19	19.5
17	20	82.2
17	21	56.5
17	22	57.0
17	23	21.9
17	24	66.9
18	1	3.0
18	2	25.1
18	3	39.3
18	4	21.7
18	5	39.2
18	6	48.6
18	7	33.1
18	8	6.5
18	9	0.3
18	10	0.1
18	11	26.5
18	12	68.9
18	13	22.5
18	14	0.0
18	15	11.1
18	16	3.6
18	17	127.4
18	18	55.5
18	19	1.1
18	20	0.0
18	21	0.0
18	22	0.0
18	23	19.0
18	24	12.5
19	1	0.0
19	2	0.0
19	3	0.0
19	4	0.0
19	5	0.0
19	6	0.0
19	7	0.0
19	8	0.0
19	9	0.0
19	10	0.1
19	11	16.9
19	12	20.6
19	13	1.7
19	14	5.0
19	15	2.1
19	16	10.6
19	17	55.2
19	18	20.8
19	19	30.8
19	20	26.0
19	21	21.0
19	22	38.3
19	23	122.9
19	24	110.5
20	1	8.8
20	2	10.9
20	3	24.1
20	4	33.0
20	5	11.6
20	6	22.3
20	7	6.6
20	8	0.0
20	9	32.3
20	10	114.6
20	11	34.8
20	12	28.9
20	13	0.5
20	14	15.8
20	15	3.2
20	16	34.0
20	17	78.7
20	18	5.2
20	19	5.8
20	20	7.0
20	21	5.4
20	22	9.2
20	23	11.4
20	24	22.6
21	1	5.3
21	2	6.9
21	3	5.4
21	4	11.2
21	5	7.9
21	6	2.0
21	7	5.1
21	8	10.8
21	9	3.9
21	10	5.6
21	11	1.4
21	12	5.9
21	13	3.0
21	14	135.6
21	15	24.3
21	16	22.7
21	17	68.1
21	18	36.8
21	19	97.5
21	20	8.5
21	21	0.3
21	22	2.1
21	23	8.7
21	24	45.2
22	1	0.0
22	2	0.0
22	3	0.0
22	4	0.0
22	5	0.0
22	6	0.0
22	7	0.0
22	8	0.0
22	9	0.0
22	10	0.1
22	11	16.9
22	12	20.6
22	13	1.7
22	14	5.0
22	15	2.1
22	16	10.6
22	17	55.2
22	18	20.8
22	19	30.8
22	20	26.0
22	21	21.0
22	22	38.3
22	23	122.9
22	24	110.5
23	1	3.0
23	2	25.1
23	3	39.3
23	4	21.7
23	5	39.2
23	6	48.6
23	7	33.1
23	8	6.5
23	9	0.3
23	10	0.1
23	11	26.5
23	12	68.9
23	13	22.5
23	14	0.0
23	15	11.1
23	16	3.6
23	17	127.4
23	18	55.5
