Node	Time	Res_CapacityDownVolume
1	1	348.0
1	2	348.0
1	3	273.0
1	4	300.0
1	5	348.0
1	6	348.0
1	7	170.0
1	8	170.0
1	9	170.0
1	10	170.0
1	11	195.0
1	12	245.0
1	13	259.0
1	14	279.0
1	15	240.0
1	16	170.0
1	17	200.0
1	18	200.0
1	19	250.0
1	20	250.0
1	21	300.0
1	22	348.0
1	23	348.0
1	24	338.0
2	1	450.0
2	2	474.0
2	3	474.0
2	4	450.0
2	5	450.0
2	6	450.0
2	7	374.0
2	8	374.0
2	9	374.0
2	10	375.0
2	11	406.0
2	12	414.0
2	13	474.0
2	14	474.0
2	15	474.0
2	16	412.0
2	17	296.0
2	18	210.0
2	19	250.0
2	20	250.0
2	21	300.0
2	22	350.0
2	23	350.0
2	24	341.0
3	1	288.0
3	2	288.0
3	3	288.0
3	4	288.0
3	5	288.0
3	6	288.0
3	7	250.0
3	8	154.0
3	9	137.0
3	10	135.0
3	11	177.0
3	12	227.0
3	13	288.0
3	14	288.0
3	15	288.0
3	16	125.0
3	17	133.0
3	18	150.0
3	19	250.0
3	20	250.0
3	21	250.0
3	22	250.0
3	23	288.0
3	24	295.0
4	1	30.0
4	2	0.0
4	3	30.0
4	4	30.0
4	5	100.0
4	6	100.0
4	7	100.0
4	8	150.0
4	9	100.0
4	10	100.0
4	11	100.0
4	12	100.0
4	13	100.0
4	14	100.0
4	15	100.0
4	16	150.0
4	17	150.0
4	18	100.0
4	19	50.0
4	20	50.0
4	21	50.0
4	22	50.0
4	23	50.0
4	24	50.0
5	1	348.0
5	2	348.0
5	3	348.0
5	4	348.0
5	5	348.0
5	6	348.0
5	7	250.0
5	8	200.0
5	9	200.0
5	10	200.0
5	11	310.0
5	12	348.0
5	13	348.0
5	14	348.0
5	15	348.0
5	16	210.0
5	17	150.0
5	18	200.0
5	19	300.0
5	20	300.0
5	21	300.0
5	22	300.0
5	23	348.0
5	24	348.0
6	1	370.0
6	2	370.0
6	3	370.0
6	4	370.0
6	5	370.0
6	6	370.0
6	7	250.0
6	8	250.0
6	9	250.0
6	10	250.0
6	11	300.0
6	12	350.0
6	13	370.0
6	14	370.0
6	15	370.0
6	16	200.0
6	17	200.0
6	18	200.0
6	19	300.0
6	20	300.0
6	21	300.0
6	22	300.0
6	23	284.0
6	24	370.0
7	1	301.0
7	2	301.0
7	3	301.0
7	4	301.0
7	5	301.0
7	6	247.0
7	7	294.0
7	8	294.0
7	9	293.0
7	10	250.0
7	11	351.0
7	12	351.0
7	13	351.0
7	14	351.0
7	15	301.0
7	16	241.0
7	17	241.0
7	18	219.0
7	19	247.0
7	20	247.0
7	21	247.0
7	22	247.0
7	23	301.0
7	24	301.0
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	31.0
8	6	31.0
8	7	31.0
8	8	52.0
8	9	31.0
8	10	0.0
8	11	0.0
8	12	0.0
8	13	0.0
8	14	10.0
8	15	10.0
8	16	45.0
8	17	45.0
8	18	31.0
8	19	50.0
8	20	50.0
8	21	50.0
8	22	0.0
8	23	0.0
8	24	0.0
9	1	31.0
9	2	31.0
9	3	31.0
9	4	31.0
9	5	31.0
9	6	31.0
9	7	31.0
9	8	31.0
9	9	31.0
9	10	31.0
9	11	31.0
9	12	31.0
9	13	31.0
9	14	31.0
9	15	31.0
9	16	31.0
9	17	31.0
9	18	31.0
9	19	31.0
9	20	31.0
9	21	31.0
9	22	31.0
9	23	31.0
9	24	31.0
10	1	265.0
10	2	265.0
10	3	265.0
10	4	265.0
10	5	265.0
10	6	265.0
10	7	220.0
10	8	120.0
10	9	211.0
10	10	181.0
10	11	178.0
10	12	200.0
10	13	181.0
10	14	178.0
10	15	195.0
10	16	20.0
10	17	88.0
10	18	88.0
10	19	20.0
10	20	70.0
10	21	70.0
10	22	70.0
10	23	120.0
10	24	175.0
11	1	264.0
11	2	264.0
11	3	264.0
11	4	264.0
11	5	264.0
11	6	264.0
11	7	258.0
11	8	189.0
11	9	189.0
11	10	189.0
11	11	175.0
11	12	250.0
11	13	250.0
11	14	250.0
11	15	250.0
11	16	206.0
11	17	188.0
11	18	188.0
11	19	188.0
11	20	206.0
11	21	206.0
11	22	118.0
11	23	165.0
11	24	206.0
12	1	0.0
12	2	0.0
12	3	0.0
12	4	31.0
12	5	31.0
12	6	31.0
12	7	31.0
12	8	31.0
12	9	31.0
12	10	31.0
12	11	31.0
12	12	31.0
12	13	31.0
12	14	31.0
12	15	31.0
12	16	31.0
12	17	31.0
12	18	31.0
12	19	31.0
12	20	31.0
12	21	0.0
12	22	0.0
12	23	0.0
12	24	0.0
13	1	0.0
13	2	0.0
13	3	0.0
13	4	31.0
13	5	31.0
13	6	31.0
13	7	31.0
13	8	31.0
13	9	31.0
13	10	31.0
13	11	31.0
13	12	31.0
13	13	31.0
13	14	31.0
13	15	31.0
13	16	31.0
13	17	31.0
13	18	31.0
13	19	31.0
13	20	0.0
13	21	0.0
13	22	0.0
13	23	0.0
13	24	0.0
14	1	25.0
14	2	31.0
14	3	31.0
14	4	31.0
14	5	31.0
14	6	31.0
14	7	31.0
14	8	31.0
14	9	31.0
14	10	31.0
14	11	31.0
14	12	31.0
14	13	31.0
14	14	31.0
14	15	31.0
14	16	31.0
14	17	31.0
14	18	31.0
14	19	31.0
14	20	25.0
14	21	25.0
14	22	25.0
14	23	25.0
14	24	25.0
15	1	50.0
15	2	50.0
15	3	50.0
15	4	50.0
15	5	50.0
15	6	50.0
15	7	50.0
15	8	78.0
15	9	50.0
15	10	50.0
15	11	50.0
15	12	0.0
15	13	0.0
15	14	0.0
15	15	0.0
15	16	31.0
15	17	78.0
15	18	50.0
15	19	50.0
15	20	50.0
15	21	50.0
15	22	50.0
15	23	0.0
15	24	0.0
16	1	450.0
16	2	504.0
16	3	504.0
16	4	500.0
16	5	450.0
16	6	400.0
16	7	250.0
16	8	250.0
16	9	250.0
16	10	250.0
16	11	250.0
16	12	550.0
16	13	650.0
16	14	661.0
16	15	500.0
16	16	200.0
16	17	200.0
16	18	200.0
16	19	300.0
16	20	300.0
16	21	300.0
16	22	300.0
16	23	350.0
16	24	450.0
17	1	439.0
17	2	440.0
17	3	440.0
17	4	440.0
17	5	440.0
17	6	400.0
17	7	250.0
17	8	250.0
17	9	250.0
17	10	250.0
17	11	300.0
17	12	515.0
17	13	515.0
17	14	515.0
17	15	515.0
17	16	200.0
17	17	200.0
17	18	200.0
17	19	300.0
17	20	300.0
17	21	300.0
17	22	300.0
17	23	350.0
17	24	450.0
18	1	314.0
18	2	314.0
18	3	314.0
18	4	314.0
18	5	314.0
18	6	314.0
18	7	394.0
18	8	324.0
18	9	259.0
18	10	179.0
18	11	303.0
18	12	341.0
18	13	394.0
18	14	394.0
18	15	303.0
18	16	134.0
18	17	204.0
18	18	290.0
18	19	250.0
18	20	250.0
18	21	300.0
18	22	301.0
18	23	314.0
18	24	234.0
19	1	0.0
19	2	0.0
19	3	10.0
19	4	10.0
19	5	100.0
19	6	100.0
19	7	100.0
19	8	150.0
19	9	100.0
19	10	100.0
19	11	100.0
19	12	100.0
19	13	100.0
19	14	100.0
19	15	100.0
19	16	150.0
19	17	150.0
19	18	100.0
19	19	50.0
19	20	50.0
19	21	50.0
19	22	50.0
19	23	50.0
19	24	50.0
20	1	457.0
20	2	557.0
20	3	557.0
20	4	507.0
20	5	496.0
20	6	379.0
20	7	196.0
20	8	196.0
20	9	250.0
20	10	250.0
20	11	350.0
20	12	527.0
20	13	613.0
20	14	613.0
20	15	613.0
20	16	250.0
20	17	200.0
20	18	200.0
20	19	264.0
20	20	254.0
20	21	254.0
20	22	264.0
20	23	347.0
20	24	450.0
21	1	499.0
21	2	585.0
21	3	585.0
21	4	535.0
21	5	457.0
21	6	400.0
21	7	250.0
21	8	250.0
21	9	250.0
21	10	250.0
21	11	302.0
21	12	525.0
21	13	594.0
21	14	599.0
21	15	539.0
21	16	200.0
21	17	200.0
21	18	200.0
21	19	300.0
21	20	300.0
21	21	300.0
21	22	300.0
21	23	350.0
21	24	567.0
22	1	0.0
22	2	0.0
22	3	10.0
22	4	10.0
22	5	100.0
22	6	100.0
22	7	100.0
22	8	150.0
22	9	100.0
22	10	100.0
22	11	100.0
22	12	100.0
22	13	100.0
22	14	100.0
22	15	100.0
22	16	150.0
22	17	150.0
22	18	100.0
22	19	50.0
22	20	50.0
22	21	50.0
22	22	50.0
22	23	50.0
22	24	50.0
23	1	417.0
23	2	417.0
23	3	417.0
23	4	417.0
23	5	417.0
23	6	305.0
23	7	250.0
23	8	250.0
23	9	250.0
23	10	250.0
23	11	300.0
23	12	450.0
23	13	487.0
23	14	487.0
23	15	473.0
23	16	200.0
23	17	200.0
