Node	Time	Res_CapacityUpVolume
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	0.0
1	13	0.0
1	14	0.0
1	15	0.0
1	16	0.0
1	17	0.0
1	18	0.0
1	19	15.0
1	20	16.0
1	21	16.0
1	22	16.0
1	23	15.0
1	24	152.0
2	1	30.0
2	2	30.0
2	3	30.0
2	4	30.0
2	5	30.0
2	6	80.0
2	7	110.0
2	8	110.0
2	9	100.0
2	10	50.0
2	11	56.0
2	12	56.0
2	13	30.0
2	14	30.0
2	15	30.0
2	16	30.0
2	17	30.0
2	18	110.0
2	19	110.0
2	20	135.0
2	21	135.0
2	22	135.0
2	23	110.0
2	24	0.0
3	1	195.0
3	2	195.0
3	3	195.0
3	4	195.0
3	5	195.0
3	6	195.0
3	7	195.0
3	8	195.0
3	9	195.0
3	10	195.0
3	11	195.0
3	12	195.0
3	13	195.0
3	14	195.0
3	15	195.0
3	16	195.0
3	17	195.0
3	18	195.0
3	19	195.0
3	20	195.0
3	21	195.0
3	22	195.0
3	23	195.0
3	24	195.0
4	1	0.0
4	2	0.0
4	3	0.0
4	4	15.0
4	5	15.0
4	6	20.0
4	7	105.0
4	8	117.0
4	9	117.0
4	10	117.0
4	11	117.0
4	12	5.0
4	13	5.0
4	14	5.0
4	15	5.0
4	16	117.0
4	17	117.0
4	18	117.0
4	19	116.0
4	20	95.0
4	21	20.0
4	22	20.0
4	23	15.0
4	24	15.0
5	1	150.0
5	2	150.0
5	3	150.0
5	4	150.0
5	5	165.0
5	6	165.0
5	7	149.0
5	8	149.0
5	9	149.0
5	10	149.0
5	11	149.0
5	12	149.0
5	13	134.0
5	14	134.0
5	15	134.0
5	16	134.0
5	17	149.0
5	18	165.0
5	19	165.0
5	20	165.0
5	21	165.0
5	22	165.0
5	23	165.0
5	24	165.0
6	1	100.0
6	2	100.0
6	3	100.0
6	4	100.0
6	5	116.0
6	6	116.0
6	7	115.0
6	8	116.0
6	9	116.0
6	10	116.0
6	11	115.0
6	12	116.0
6	13	100.0
6	14	100.0
6	15	100.0
6	16	100.0
6	17	116.0
6	18	116.0
6	19	115.0
6	20	116.0
6	21	116.0
6	22	116.0
6	23	115.0
6	24	76.0
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
7	6	54.0
7	7	54.0
7	8	54.0
7	9	54.0
7	10	54.0
7	11	0.0
7	12	0.0
7	13	0.0
7	14	0.0
7	15	0.0
7	16	0.0
7	17	0.0
7	18	54.0
7	19	79.0
7	20	79.0
7	21	79.0
7	22	79.0
7	23	25.0
7	24	0.0
8	1	30.0
8	2	30.0
8	3	30.0
8	4	30.0
8	5	30.0
8	6	35.0
8	7	35.0
8	8	35.0
8	9	35.0
8	10	35.0
8	11	35.0
8	12	35.0
8	13	35.0
8	14	35.0
8	15	35.0
8	16	35.0
8	17	35.0
8	18	35.0
8	19	35.0
8	20	35.0
8	21	35.0
8	22	35.0
8	23	35.0
8	24	145.0
9	1	50.0
9	2	50.0
9	3	50.0
9	4	50.0
9	5	50.0
9	6	50.0
9	7	55.0
9	8	75.0
9	9	95.0
9	10	75.0
9	11	84.0
9	12	65.0
9	13	65.0
9	14	65.0
9	15	65.0
9	16	65.0
9	17	65.0
9	18	25.0
9	19	15.0
9	20	15.0
9	21	5.0
9	22	5.0
9	23	5.0
9	24	50.0
10	1	187.0
10	2	134.0
10	3	134.0
10	4	162.0
10	5	162.0
10	6	162.0
10	7	162.0
10	8	187.0
10	9	187.0
10	10	187.0
10	11	187.0
10	12	187.0
10	13	187.0
10	14	187.0
10	15	187.0
10	16	187.0
10	17	187.0
10	18	187.0
10	19	187.0
10	20	187.0
10	21	187.0
10	22	162.0
10	23	162.0
10	24	162.0
11	1	155.0
11	2	155.0
11	3	155.0
11	4	155.0
11	5	155.0
11	6	155.0
11	7	165.0
11	8	165.0
11	9	190.0
11	10	190.0
11	11	190.0
11	12	180.0
11	13	180.0
11	14	190.0
11	15	180.0
11	16	234.0
11	17	224.0
11	18	224.0
11	19	224.0
11	20	224.0
11	21	234.0
11	22	190.0
11	23	165.0
11	24	165.0
12	1	60.0
12	2	60.0
12	3	60.0
12	4	50.0
12	5	50.0
12	6	50.0
12	7	65.0
12	8	115.0
12	9	115.0
12	10	105.0
12	11	65.0
12	12	65.0
12	13	65.0
12	14	65.0
12	15	65.0
12	16	65.0
12	17	105.0
12	18	115.0
12	19	103.0
12	20	115.0
12	21	65.0
12	22	65.0
12	23	60.0
12	24	50.0
13	1	60.0
13	2	60.0
13	3	60.0
13	4	60.0
13	5	60.0
13	6	60.0
13	7	60.0
13	8	105.0
13	9	25.0
13	10	25.0
13	11	65.0
13	12	60.0
13	13	60.0
13	14	60.0
13	15	60.0
13	16	60.0
13	17	65.0
13	18	25.0
13	19	25.0
13	20	25.0
13	21	15.0
13	22	10.0
13	23	0.0
13	24	0.0
14	1	20.0
14	2	0.0
14	3	0.0
14	4	0.0
14	5	0.0
14	6	25.0
14	7	35.0
14	8	45.0
14	9	45.0
14	10	45.0
14	11	35.0
14	12	35.0
14	13	15.0
14	14	15.0
14	15	15.0
14	16	15.0
14	17	35.0
14	18	45.0
14	19	45.0
14	20	45.0
14	21	35.0
14	22	15.0
14	23	35.0
14	24	5.0
15	1	70.0
15	2	70.0
15	3	70.0
15	4	70.0
15	5	85.0
15	6	145.0
15	7	150.0
15	8	150.0
15	9	137.0
15	10	124.0
15	11	90.0
15	12	130.0
15	13	130.0
15	14	130.0
15	15	130.0
15	16	145.0
15	17	150.0
15	18	138.0
15	19	134.0
15	20	150.0
15	21	150.0
15	22	150.0
15	23	150.0
15	24	70.0
16	1	131.0
16	2	131.0
16	3	131.0
16	4	131.0
16	5	131.0
16	6	156.0
16	7	156.0
16	8	156.0
16	9	156.0
16	10	156.0
16	11	156.0
16	12	156.0
16	13	156.0
16	14	131.0
16	15	131.0
16	16	104.0
16	17	104.0
16	18	156.0
16	19	156.0
16	20	156.0
16	21	156.0
16	22	156.0
16	23	75.0
16	24	131.0
17	1	161.0
17	2	179.0
17	3	179.0
17	4	179.0
17	5	255.0
17	6	105.0
17	7	105.0
17	8	87.0
17	9	105.0
17	10	105.0
17	11	180.0
17	12	165.0
17	13	165.0
17	14	165.0
17	15	165.0
17	16	105.0
17	17	105.0
17	18	105.0
17	19	105.0
17	20	105.0
17	21	105.0
17	22	105.0
17	23	105.0
17	24	25.0
18	1	135.0
18	2	135.0
18	3	135.0
18	4	135.0
18	5	135.0
18	6	135.0
18	7	135.0
18	8	135.0
18	9	135.0
18	10	140.0
18	11	140.0
18	12	140.0
18	13	140.0
18	14	147.0
18	15	147.0
18	16	135.0
18	17	135.0
18	18	135.0
18	19	135.0
18	20	160.0
18	21	160.0
18	22	160.0
18	23	160.0
18	24	140.0
19	1	143.0
19	2	143.0
19	3	143.0
19	4	143.0
19	5	148.0
19	6	148.0
19	7	148.0
19	8	148.0
19	9	148.0
19	10	148.0
19	11	148.0
19	12	133.0
19	13	133.0
19	14	128.0
19	15	133.0
19	16	148.0
19	17	148.0
19	18	148.0
19	19	148.0
19	20	148.0
19	21	148.0
19	22	148.0
19	23	143.0
19	24	143.0
20	1	185.0
20	2	185.0
20	3	185.0
20	4	185.0
20	5	185.0
20	6	218.0
20	7	240.0
20	8	220.0
20	9	200.0
20	10	105.0
20	11	180.0
20	12	180.0
20	13	129.0
20	14	90.0
20	15	74.0
20	16	60.0
20	17	172.0
20	18	172.0
20	19	240.0
20	20	240.0
20	21	240.0
20	22	240.0
20	23	165.0
20	24	210.0
21	1	25.0
21	2	25.0
21	3	25.0
21	4	25.0
21	5	25.0
21	6	75.0
21	7	75.0
21	8	75.0
21	9	75.0
21	10	65.0
21	11	65.0
21	12	65.0
21	13	50.0
21	14	38.0
21	15	10.0
21	16	10.0
21	17	65.0
21	18	75.0
21	19	75.0
21	20	75.0
21	21	75.0
21	22	75.0
21	23	65.0
21	24	73.0
22	1	143.0
22	2	143.0
22	3	143.0
22	4	143.0
22	5	148.0
22	6	148.0
22	7	148.0
22	8	148.0
22	9	148.0
22	10	148.0
22	11	148.0
22	12	133.0
22	13	133.0
22	14	128.0
22	15	133.0
22	16	148.0
22	17	148.0
22	18	148.0
22	19	148.0
22	20	148.0
22	21	148.0
22	22	148.0
22	23	143.0
22	24	143.0
23	1	20.0
23	2	20.0
23	3	20.0
23	4	20.0
23	5	45.0
23	6	157.0
23	7	212.0
23	8	212.0
23	9	157.0
23	10	157.0
23	11	45.0
23	12	45.0
23	13	20.0
23	14	20.0
23	15	20.0
23	16	20.0
23	17	103.0
23	18	225.0
23	19	251.0
23	20	251.0
23	21	157.0
23	22	157.0
23	23	45.0
23	24	35.0
24	1	179.0
24	2	179.0
24	3	179.0
24	4	179.0
24	5	190.0
24	6	205.0
24	7	205.0
24	8	205.0
24	9	205.0
24	10	205.0
24	11	205.0
24	12	205.0
24	13	205.0
24	14	190.0
24	15	190.0
24	16	190.0
24	17	149.0
24	18	199.0
24	19	205.0
24	20	205.0
24	21	205.0
24	22	205.0
24	23	100.0
24	24	183.0
25	1	60.0
25	2	60.0
25	3	60.0
25	4	60.0
25	5	116.0
25	6	116.0
25	7	115.0
25	8	116.0
25	9	116.0
25	10	116.0
25	11	115.0
25	12	76.0
25	13	60.0
25	14	60.0
25	15	60.0
25	16	60.0
25	17	116.0
25	18	116.0
25	19	115.0
25	20	116.0
25	21	116.0
25	22	116.0
25	23	75.0
25	24	100.0
26	1	60.0
26	2	100.0
26	3	100.0
26	4	100.0
26	5	116.0
26	6	116.0
26	7	115.0
26	8	116.0
26	9	116.0
26	10	116.0
26	11	115.0
26	12	116.0
26	13	100.0
26	14	100.0
26	15	95.0
26	16	60.0
26	17	116.0
26	18	116.0
26	19	115.0
26	20	116.0
26	21	116.0
26	22	116.0
26	23	115.0
26	24	116.0
27	1	175.0
27	2	175.0
27	3	175.0
27	4	175.0
27	5	175.0
27	6	175.0
27	7	175.0
27	8	175.0
27	9	138.0
27	10	0.0
27	11	0.0
27	12	0.0
27	13	0.0
27	14	0.0
27	15	0.0
27	16	175.0
27	17	175.0
27	18	175.0
27	19	175.0
27	20	175.0
27	21	191.0
27	22	191.0
27	23	135.0
27	24	76.0
28	1	145.0
28	2	145.0
28	3	145.0
28	4	145.0
28	5	170.0
28	6	170.0
28	7	170.0
28	8	170.0
28	9	170.0
28	10	170.0
28	11	170.0
28	12	170.0
28	13	145.0
28	14	145.0
28	15	145.0
28	16	145.0
28	17	170.0
28	18	170.0
28	19	170.0
28	20	170.0
28	21	170.0
28	22	170.0
28	23	170.0
28	24	95.0
29	1	162.0
29	2	162.0
29	3	162.0
29	4	162.0
29	5	162.0
29	6	187.0
29	7	187.0
29	8	182.0
29	9	142.0
29	10	132.0
29	11	167.0
29	12	187.0
29	13	162.0
29	14	162.0
29	15	162.0
29	16	108.0
29	17	133.0
29	18	133.0
29	19	133.0
29	20	133.0
29	21	133.0
29	22	187.0
29	23	159.0
29	24	170.0
30	1	131.0
30	2	131.0
30	3	131.0
30	4	131.0
30	5	131.0
30	6	146.0
30	7	146.0
30	8	146.0
30	9	146.0
30	10	146.0
30	11	146.0
30	12	146.0
30	13	131.0
30	14	131.0
30	15	131.0
30	16	131.0
30	17	146.0
30	18	146.0
30	19	146.0
30	20	146.0
30	21	146.0
30	22	146.0
30	23	136.0
30	24	190.0
31	1	145.0
31	2	145.0
31	3	145.0
31	4	145.0
31	5	160.0
31	6	160.0
31	7	160.0
31	8	160.0
31	9	160.0
31	10	160.0
31	11	160.0
31	12	145.0
31	13	145.0
31	14	145.0
31	15	145.0
31	16	160.0
31	17	160.0
31	18	160.0
31	19	160.0
31	20	160.0
31	21	160.0
31	22	160.0
31	23	160.0
31	24	160.0
32	1	0.0
32	2	0.0
32	3	0.0
32	4	0.0
32	5	0.0
32	6	0.0
32	7	0.0
32	8	0.0
32	9	0.0
32	10	0.0
32	11	0.0
32	12	0.0
32	13	0.0
32	14	0.0
32	15	0.0
32	16	0.0
32	17	0.0
32	18	0.0
32	19	25.0
32	20	25.0
32	21	25.0
32	22	25.0
32	23	25.0
32	24	25.0
33	1	45.0
33	2	45.0
33	3	45.0
33	4	45.0
33	5	45.0
33	6	159.0
33	7	159.0
33	8	159.0
33	9	159.0
33	10	159.0
33	11	105.0
33	12	45.0
33	13	20.0
33	14	20.0
33	15	20.0
33	16	20.0
33	17	45.0
33	18	159.0
33	19	159.0
33	20	159.0
33	21	159.0
33	22	159.0
33	23	159.0
33	24	45.0
34	1	25.0
34	2	25.0
34	3	25.0
34	4	25.0
34	5	112.0
34	6	170.0
34	7	170.0
34	8	110.0
34	9	110.0
34	10	110.0
34	11	50.0
34	12	50.0
34	13	25.0
34	14	65.0
34	15	85.0
34	16	65.0
34	17	90.0
34	18	110.0
34	19	110.0
34	20	110.0
34	21	110.0
34	22	110.0
34	23	89.0
34	24	40.0
35	1	131.0
35	2	131.0
35	3	131.0
35	4	131.0
35	5	131.0
35	6	156.0
35	7	156.0
35	8	156.0
35	9	156.0
35	10	156.0
35	11	156.0
35	12	156.0
35	13	156.0
35	14	131.0
35	15	131.0
35	16	104.0
35	17	104.0
35	18	156.0
35	19	156.0
35	20	156.0
35	21	156.0
35	22	156.0
35	23	75.0
35	24	131.0
36	1	13.0
36	2	13.0
36	3	13.0
36	4	13.0
36	5	150.0
36	6	170.0
36	7	170.0
36	8	170.0
36	9	170.0
36	10	170.0
36	11	170.0
36	12	170.0
36	13	150.0
36	14	150.0
36	15	150.0
36	16	150.0
36	17	170.0
36	18	170.0
36	19	170.0
36	20	170.0
36	21	170.0
36	22	170.0
36	23	150.0
36	24	236.0
37	1	95.0
37	2	95.0
37	3	95.0
37	4	95.0
37	5	95.0
37	6	95.0
37	7	40.0
37	8	40.0
37	9	69.0
37	10	115.0
37	11	115.0
37	12	115.0
37	13	115.0
37	14	110.0
37	15	115.0
37	16	115.0
37	17	115.0
37	18	40.0
37	19	40.0
37	20	40.0
37	21	25.0
37	22	20.0
37	23	20.0
37	24	103.0
38	1	0.0
38	2	0.0
38	3	0.0
38	4	0.0
38	5	25.0
38	6	25.0
38	7	83.0
38	8	83.0
38	9	83.0
38	10	25.0
38	11	25.0
