Node	Time	ActivationDownPrice
3	1	5.0
3	2	1.0
3	3	1.0
3	4	2.92
3	5	5.72
3	6	20.84
3	7	29.96
3	8	31.47
3	9	24.55
3	10	4.38
3	11	0.44
3	12	0.44
3	13	-0.04
3	14	-0.05
3	15	9.42
3	16	26.98
3	17	29.49
3	18	33.63
3	19	33.0
3	20	33.0
3	21	33.0
3	22	29.0
3	23	29.0
3	24	30.5
4	1	59.0
4	2	59.0
4	3	58.0
4	4	55.0
4	5	54.94
4	6	56.0
4	7	74.95
4	8	113.82
4	9	94.04
4	10	79.32
4	11	74.63
4	12	70.57
4	13	70.38
4	14	66.39
4	15	66.11
4	16	67.51
4	17	59.0
4	18	68.53
4	19	68.01
4	20	68.89
4	21	67.69
4	22	67.1
4	23	66.21
4	24	67.76
5	1	31.0
5	2	36.66
5	3	36.55
5	4	36.47
5	5	37.0
5	6	38.87
5	7	46.5
5	8	69.36
5	9	40.0
5	10	33.5
5	11	33.5
5	12	33.0
5	13	25.0
5	14	13.41
5	15	13.41
5	16	31.5
5	17	32.0
5	18	32.0
5	19	34.0
5	20	42.65
5	21	42.03
5	22	42.1
5	23	32.0
5	24	32.06
6	1	28.2
6	2	27.54
6	3	27.4
6	4	27.58
6	5	28.34
6	6	29.92
6	7	35.02
6	8	38.7
6	9	42.0
6	10	35.02
6	11	35.01
6	12	33.84
6	13	33.91
6	14	34.13
6	15	33.65
6	16	33.1
6	17	14.0
6	18	14.0
6	19	14.0
6	20	30.52
6	21	31.22
6	22	32.48
6	23	30.34
6	24	31.56
7	1	-2.5
7	2	-2.5
7	3	-2.5
7	4	-0.5
7	5	-0.5
7	6	-3.0
7	7	-5.0
7	8	-5.0
7	9	-3.0
7	10	0.0
7	11	-1.0
7	12	-3.0
7	13	-3.0
7	14	-2.0
7	15	-1.0
7	16	-0.5
7	17	5.61
7	18	5.9
7	19	5.13
7	20	-1.0
7	21	-3.0
7	22	3.85
7	23	-11.0
7	24	-15.0
8	1	0.0
8	2	-1.0
8	3	-1.0
8	4	-1.0
8	5	2.0
8	6	2.0
8	7	24.0
8	8	43.04
8	9	42.72
8	10	34.0
8	11	4.0
8	12	-2.0
8	13	-5.0
8	14	-10.0
8	15	-10.0
8	16	-4.0
8	17	35.0
8	18	41.5
8	19	78.91
8	20	141.1
8	21	89.95
8	22	49.66
8	23	39.0
8	24	10.06
9	1	53.0
9	2	52.0
9	3	51.68
9	4	50.0
9	5	48.0
9	6	48.41
9	7	50.0
9	8	68.65
9	9	87.12
9	10	74.62
9	11	65.43
9	12	60.98
9	13	59.9
9	14	57.68
9	15	56.94
9	16	56.77
9	17	59.07
9	18	63.04
9	19	63.01
9	20	59.69
9	21	55.87
9	22	54.56
9	23	53.77
9	24	53.33
10	1	22.43
10	2	21.82
10	3	16.88
10	4	16.77
10	5	18.29
10	6	21.71
10	7	24.37
10	8	26.02
10	9	26.99
10	10	28.23
10	11	28.31
10	12	28.24
10	13	28.14
10	14	28.36
10	15	29.61
10	16	32.07
10	17	32.23
10	18	32.03
10	19	30.88
10	20	29.84
10	21	28.33
10	22	26.58
10	23	25.37
10	24	23.79
11	1	29.16
11	2	26.78
11	3	24.77
11	4	23.66
11	5	23.92
11	6	23.58
11	7	24.74
11	8	26.77
11	9	29.68
11	10	31.17
11	11	31.27
11	12	31.39
11	13	33.04
11	14	31.04
11	15	31.39
11	16	31.59
11	17	31.67
11	18	31.62
11	19	31.32
11	20	27.92
11	21	25.4
11	22	25.04
11	23	24.49
11	24	23.42
12	1	57.79
12	2	57.5
12	3	57.31
12	4	57.29
12	5	57.4
12	6	57.94
12	7	53.5
12	8	57.0
12	9	95.97
12	10	68.92
12	11	64.09
12	12	63.36
12	13	59.96
12	14	61.97
12	15	55.0
12	16	55.0
12	17	73.52
12	18	112.29
12	19	158.48
12	20	98.1
12	21	65.02
12	22	61.19
12	23	59.31
12	24	58.09
13	1	54.27
13	2	50.62
13	3	48.15
13	4	47.26
13	5	45.21
13	6	43.0
13	7	43.0
13	8	55.1
13	9	51.73
13	10	46.0
13	11	46.0
13	12	42.0
13	13	42.0
13	14	51.76
13	15	46.0
13	16	46.0
13	17	44.0
13	18	45.0
13	19	59.51
13	20	59.73
13	21	51.5
13	22	50.0
13	23	56.8
13	24	54.51
14	1	51.0
14	2	50.0
14	3	48.0
14	4	46.0
14	5	46.0
14	6	46.0
14	7	47.0
14	8	51.5
14	9	51.5
14	10	56.0
14	11	66.58
14	12	62.92
14	13	57.42
14	14	57.41
14	15	56.01
14	16	57.01
14	17	59.25
14	18	59.96
14	19	59.96
14	20	58.67
14	21	56.13
14	22	56.81
14	23	56.05
14	24	55.18
15	1	27.0
15	2	19.0
15	3	9.0
15	4	10.19
15	5	19.0
15	6	29.0
15	7	47.21
15	8	64.09
15	9	47.5
15	10	29.5
15	11	13.0
15	12	13.0
15	13	4.98
15	14	0.0
15	15	-6.032
15	16	10.0
15	17	26.0
15	18	43.54
15	19	45.55
15	20	48.09
15	21	45.74
15	22	44.56
15	23	42.85
15	24	34.15
16	1	10.0
16	2	8.5
16	3	8.5
16	4	8.5
16	5	12.0
16	6	22.18
16	7	24.59
16	8	26.34
16	9	17.5
16	10	13.0
16	11	12.0
16	12	0.0
16	13	-2.0
16	14	-2.0
16	15	13.0
16	16	13.0
16	17	26.11
16	18	26.12
16	19	25.69
16	20	26.19
16	21	25.26
16	22	25.89
16	23	24.3
16	24	23.05
17	1	31.0
17	2	30.5
17	3	27.0
17	4	26.0
17	5	27.0
17	6	31.5
17	7	39.5
17	8	39.83
17	9	43.0
17	10	39.0
17	11	34.0
17	12	31.0
17	13	25.0
17	14	27.0
17	15	33.52
17	16	28.0
17	17	25.48
17	18	25.78
17	19	46.22
17	20	45.08
17	21	42.97
17	22	42.26
17	23	40.43
17	24	36.89
18	1	23.0
18	2	10.0
18	3	10.0
18	4	12.0
18	5	12.0
18	6	12.0
18	7	17.58
18	8	-2.0
18	9	-5.5
18	10	-5.76
18	11	-5.0
18	12	-4.22
18	13	-5.16
18	14	-6.41
18	15	-5.0
18	16	7.65
18	17	24.47
18	18	19.24
18	19	33.6
18	20	33.6
18	21	33.56
18	22	33.63
18	23	30.0
18	24	30.0
19	1	70.0
19	2	70.0
19	3	69.0
19	4	69.16
19	5	68.47
19	6	69.0
19	7	77.6
19	8	71.99
19	9	85.47
19	10	66.0
19	11	71.0
19	12	69.86
19	13	68.6
19	14	66.81
19	15	68.04
19	16	69.68
19	17	77.4
19	18	69.0
19	19	69.0
19	20	78.4
19	21	74.97
19	22	68.0
19	23	68.0
19	24	65.0
20	1	31.5
20	2	31.5
20	3	31.5
20	4	31.5
20	5	34.0
20	6	34.0
20	7	108.55
20	8	35.0
20	9	34.0
20	10	32.0
20	11	25.0
20	12	25.0
20	13	24.9
20	14	12.0
20	15	10.0
20	16	4.0
20	17	17.0
