Node	Time	CapacityDownPrice
1	1	25.0
1	2	25.0
1	3	18.0
1	4	26.0
1	5	27.0
1	6	29.0
1	7	3.8
1	8	3.8
1	9	3.8
1	10	3.8
1	11	32.0
1	12	33.0
1	13	33.0
1	14	41.0
1	15	32.0
1	16	3.8
1	17	16.0
1	18	16.0
1	19	17.0
1	20	16.0
1	21	24.0
1	22	25.0
1	23	25.0
1	24	17.0
2	1	4.0
2	2	7.0
2	3	7.0
2	4	4.0
2	5	4.0
2	6	5.0
2	7	2.4
2	8	2.4
2	9	2.4
2	10	4.0
2	11	5.0
2	12	10.4
2	13	14.0
2	14	10.4
2	15	4.0
2	16	2.4
2	17	2.0
2	18	2.0
2	19	2.0
2	20	2.0
2	21	2.0
2	22	2.0
2	23	2.0
2	24	20.0
3	1	5.0
3	2	8.0
3	3	8.0
3	4	8.0
3	5	8.0
3	6	8.0
3	7	2.0
3	8	3.0
3	9	3.0
3	10	4.0
3	11	24.0
3	12	25.0
3	13	28.0
3	14	50.0
3	15	25.0
3	16	3.0
3	17	3.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	3.0
3	24	5.0
4	1	2.0
4	2	1.0
4	3	2.0
4	4	2.0
4	5	2.0
4	6	2.0
4	7	2.0
4	8	2.0
4	9	2.0
4	10	2.0
4	11	2.0
4	12	2.0
4	13	2.0
4	14	2.0
4	15	2.0
4	16	2.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	2.0
4	24	2.0
5	1	3.0
5	2	3.0
5	3	3.0
5	4	3.0
5	5	3.0
5	6	2.0
5	7	2.0
5	8	2.0
5	9	2.0
5	10	2.0
5	11	2.0
5	12	10.0
5	13	20.0
5	14	25.0
5	15	18.0
5	16	2.0
5	17	2.0
5	18	2.0
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	2.0
6	1	22.0
6	2	22.0
6	3	22.0
6	4	22.0
6	5	22.0
6	6	21.0
6	7	11.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	11.0
6	12	19.0
6	13	20.0
6	14	19.0
6	15	19.0
6	16	11.0
6	17	11.0
6	18	11.0
6	19	12.0
6	20	11.0
6	21	11.0
6	22	12.0
6	23	13.0
6	24	20.0
7	1	5.0
7	2	6.0
7	3	6.0
7	4	6.0
7	5	6.0
7	6	6.0
7	7	6.0
7	8	6.0
7	9	5.0
7	10	5.0
7	11	5.5
7	12	11.0
7	13	18.19
7	14	18.19
7	15	8.0
7	16	3.0
7	17	3.0
7	18	3.0
7	19	2.0
7	20	2.0
7	21	3.0
7	22	4.0
7	23	4.0
7	24	2.5
8	1	3.0
8	2	3.0
8	3	5.0
8	4	5.0
8	5	5.0
8	6	5.0
8	7	5.0
8	8	10.0
8	9	5.0
8	10	5.0
8	11	5.0
8	12	5.0
8	13	11.5
8	14	9.0
8	15	6.0
8	16	12.0
8	17	9.0
8	18	5.0
8	19	5.0
8	20	5.0
8	21	5.0
8	22	3.0
8	23	3.0
8	24	3.0
9	1	2.0
9	2	2.0
9	3	2.0
9	4	2.0
9	5	2.0
9	6	2.5
9	7	2.5
9	8	2.5
9	9	2.5
9	10	2.5
9	11	2.5
9	12	2.5
9	13	2.5
9	14	2.5
9	15	2.5
9	16	2.5
9	17	2.5
9	18	2.5
9	19	2.5
9	20	2.0
9	21	2.0
9	22	2.0
9	23	2.0
9	24	2.0
10	1	25.0
10	2	25.0
10	3	25.0
10	4	26.0
10	5	29.0
10	6	27.0
10	7	20.0
10	8	2.0
10	9	6.0
10	10	5.0
10	11	5.0
10	12	7.0
10	13	5.0
10	14	5.0
10	15	6.0
10	16	2.0
10	17	2.0
10	18	2.0
10	19	2.0
10	20	2.0
10	21	2.0
10	22	2.0
10	23	2.0
10	24	4.0
11	1	9.0
11	2	10.0
11	3	17.0
11	4	17.0
11	5	17.0
11	6	17.0
11	7	17.0
11	8	11.0
11	9	11.0
11	10	10.0
11	11	9.0
11	12	7.0
11	13	7.0
11	14	9.0
11	15	9.0
11	16	7.0
11	17	4.0
11	18	4.0
11	19	5.0
11	20	6.0
11	21	7.0
11	22	5.0
11	23	8.0
11	24	10.0
12	1	1.9
12	2	1.9
12	3	1.9
12	4	2.0
12	5	2.0
12	6	2.0
12	7	2.0
12	8	2.0
12	9	2.0
12	10	2.0
12	11	2.0
12	12	2.0
12	13	2.0
12	14	2.0
12	15	2.0
12	16	2.0
12	17	2.0
12	18	2.0
12	19	2.0
12	20	2.0
12	21	1.9
12	22	1.9
12	23	1.9
12	24	1.9
13	1	1.2
13	2	1.2
13	3	1.2
13	4	2.0
13	5	2.0
13	6	2.4
13	7	2.4
13	8	2.4
13	9	3.2
13	10	2.4
13	11	2.4
13	12	2.4
13	13	2.4
13	14	2.4
13	15	2.4
13	16	2.4
13	17	2.4
13	18	2.4
13	19	2.4
13	20	1.2
13	21	1.2
13	22	1.2
13	23	1.2
13	24	1.2
14	1	2.0
14	2	2.0
14	3	2.0
14	4	2.0
14	5	2.0
14	6	2.0
14	7	2.5
14	8	2.5
14	9	2.5
14	10	2.5
14	11	2.5
14	12	2.5
14	13	2.5
14	14	2.5
14	15	2.5
14	16	2.5
14	17	2.5
14	18	2.5
14	19	2.5
14	20	2.0
14	21	2.0
14	22	2.0
14	23	2.0
14	24	2.0
