Node	Time	ActivationUpPrice
3	1	19.51
3	2	4.12
3	3	2.67
3	4	2.92
3	5	5.72
3	6	20.84
3	7	32.0
3	8	32.0
3	9	30.0
3	10	30.0
3	11	28.0
3	12	23.0
3	13	23.0
3	14	23.0
3	15	9.42
3	16	27.5
3	17	29.49
3	18	33.63
3	19	36.7
3	20	37.81
3	21	38.11
3	22	37.99
3	23	37.68
3	24	37.72
4	1	64.65
4	2	64.55
4	3	64.38
4	4	64.7
4	5	64.84
4	6	75.0
4	7	81.0
4	8	117.0
4	9	94.04
4	10	81.0
4	11	77.0
4	12	75.0
4	13	70.38
4	14	71.0
4	15	70.0
4	16	67.51
4	17	69.43
4	18	68.53
4	19	68.01
4	20	68.89
4	21	67.69
4	22	67.1
4	23	66.21
4	24	80.0
5	1	37.0
5	2	36.66
5	3	36.55
5	4	36.47
5	5	37.0
5	6	38.87
5	7	46.5
5	8	69.36
5	9	60.45
5	10	54.83
5	11	58.65
5	12	52.07
5	13	42.08
5	14	36.02
5	15	37.08
5	16	42.01
5	17	40.7
5	18	42.08
5	19	42.63
5	20	42.65
5	21	42.03
5	22	42.1
5	23	38.89
5	24	32.06
6	1	65.5
6	2	65.5
6	3	42.5
6	4	42.5
6	5	31.5
6	6	42.5
6	7	43.5
6	8	44.0
6	9	44.0
6	10	35.02
6	11	35.01
6	12	33.84
6	13	33.91
6	14	34.13
6	15	33.65
6	16	33.1
6	17	33.01
6	18	32.4
6	19	30.65
6	20	30.52
6	21	31.22
6	22	32.48
6	23	30.34
6	24	31.56
7	1	4.54
7	2	3.97
7	3	3.88
7	4	3.75
7	5	3.88
7	6	3.9
7	7	4.7
7	8	5.11
7	9	5.55
7	10	5.92
7	11	2.49
7	12	0.04
7	13	0.01
7	14	1.19
7	15	3.14
7	16	5.34
7	17	11.0
7	18	11.0
7	19	5.13
7	20	3.85
7	21	3.19
7	22	3.85
7	23	1.52
7	24	0.43
8	1	5.27
8	2	5.15
8	3	9.21
8	4	25.49
8	5	37.95
8	6	41.07
8	7	41.74
8	8	43.04
8	9	42.72
8	10	42.72
8	11	41.04
8	12	36.41
8	13	24.76
8	14	7.59
8	15	25.28
8	16	39.08
8	17	45.97
8	18	50.1
8	19	78.91
8	20	141.1
8	21	89.95
8	22	49.66
8	23	47.22
8	24	42.44
9	1	58.86
9	2	57.34
9	3	56.68
9	4	56.18
9	5	56.49
9	6	58.41
9	7	60.25
9	8	68.65
9	9	87.12
9	10	74.62
9	11	65.43
9	12	60.98
9	13	65.0
9	14	67.68
9	15	68.5
9	16	69.0
9	17	69.0
