Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	2.0
1	6	2.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	1.9
1	11	1.9
1	12	1.9
1	13	1.9
1	14	2.0
1	15	2.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	3.8
1	20	5.7
1	21	5.7
1	22	5.0
1	23	3.8
1	24	2.0
2	1	2.0
2	2	2.0
2	3	2.0
2	4	2.0
2	5	2.0
2	6	2.0
2	7	2.0
2	8	2.0
2	9	2.0
2	10	2.0
2	11	2.0
2	12	2.0
2	13	2.0
2	14	2.0
2	15	2.0
2	16	2.0
2	17	2.0
2	18	2.0
2	19	4.0
2	20	4.0
2	21	3.0
2	22	3.0
2	23	2.0
2	24	1.5
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	2.0
3	6	7.0
3	7	20.0
3	8	23.0
3	9	15.0
3	10	6.0
3	11	4.0
3	12	4.0
3	13	3.0
3	14	3.0
3	15	3.7
3	16	3.0
3	17	4.0
3	18	8.0
3	19	14.0
3	20	15.0
3	21	16.0
3	22	14.0
3	23	12.0
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	3.0
4	5	4.0
4	6	11.25
4	7	48.0
4	8	62.0
4	9	30.0
4	10	17.0
4	11	17.0
4	12	8.0
4	13	6.0
4	14	6.0
4	15	8.0
4	16	29.0
4	17	41.0
4	18	57.0
4	19	41.0
4	20	33.78
4	21	23.0
4	22	9.0
4	23	5.0
4	24	3.5
5	1	2.0
5	2	2.0
5	3	2.0
5	4	2.0
5	5	7.0
5	6	22.0
5	7	59.0
5	8	59.0
5	9	59.0
5	10	27.39
5	11	25.25
5	12	26.25
5	13	12.0
5	14	10.0
5	15	10.0
5	16	15.0
5	17	26.0
5	18	28.0
5	19	38.0
5	20	36.0
5	21	37.0
5	22	24.0
5	23	10.0
5	24	3.0
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	6.0
6	6	35.0
6	7	19.07
6	8	34.0
6	9	25.0
6	10	41.0
6	11	21.0
6	12	17.07
6	13	8.0
6	14	6.0
6	15	6.0
6	16	8.0
6	17	10.0
6	18	19.07
6	19	50.0
6	20	18.07
6	21	19.07
6	22	18.07
6	23	23.63
6	24	3.0
7	1	2.0
7	2	2.0
7	3	2.0
7	4	2.0
7	5	2.0
7	6	2.0
7	7	2.0
7	8	2.0
7	9	2.0
7	10	2.0
7	11	2.0
7	12	2.0
7	13	2.0
7	14	2.0
7	15	2.0
7	16	2.0
7	17	2.0
7	18	2.0
7	19	7.5
7	20	9.0
7	21	9.89
7	22	8.0
7	23	4.0
7	24	3.0
8	1	4.95
8	2	4.95
8	3	4.95
8	4	4.95
8	5	5.0
8	6	16.0
8	7	28.0
8	8	33.0
8	9	31.0
8	10	21.0
8	11	16.0
8	12	13.0
8	13	15.0
8	14	13.0
8	15	16.0
8	16	16.0
8	17	23.0
8	18	23.0
8	19	20.0
8	20	16.0
8	21	7.0
8	22	6.0
8	23	6.0
8	24	4.0
9	1	3.5
9	2	3.0
9	3	3.0
9	4	3.0
9	5	3.0
9	6	5.0
9	7	9.5
9	8	25.0
9	9	27.0
9	10	21.18
9	11	20.0
9	12	16.1
9	13	12.85
9	14	11.35
9	15	11.0
9	16	12.35
9	17	14.68
9	18	20.0
9	19	20.02
9	20	24.0
9	21	14.54
9	22	8.0
9	23	6.0
9	24	5.0
10	1	3.0
10	2	2.0
10	3	2.0
10	4	2.0
10	5	2.0
10	6	2.5
10	7	8.0
10	8	13.5
10	9	17.0
10	10	4.5
10	11	4.0
10	12	12.0
10	13	11.0
10	14	3.0
10	15	4.0
10	16	14.5
10	17	20.0
10	18	20.0
10	19	18.0
10	20	15.5
10	21	11.0
10	22	9.0
10	23	7.5
10	24	5.5
11	1	2.0
11	2	2.0
11	3	2.0
11	4	2.0
11	5	2.0
11	6	3.0
11	7	4.0
11	8	5.0
11	9	7.0
11	10	6.0
11	11	6.0
11	12	6.0
11	13	5.0
11	14	6.0
11	15	5.0
11	16	6.0
11	17	7.0
11	18	7.0
11	19	7.0
11	20	7.0
11	21	6.0
11	22	6.0
11	23	5.0
11	24	4.0
12	1	3.0
12	2	3.0
12	3	3.0
12	4	3.0
12	5	3.0
12	6	3.0
12	7	7.0
12	8	43.0
12	9	48.0
12	10	38.0
12	11	17.5
12	12	13.5
12	13	11.0
12	14	10.5
12	15	10.5
12	16	11.5
12	17	27.5
12	18	50.5
12	19	50.5
12	20	52.5
12	21	10.0
12	22	6.0
12	23	5.0
12	24	3.0
13	1	2.4
13	2	2.4
13	3	2.4
13	4	2.0
13	5	2.0
13	6	2.4
13	7	5.0
13	8	22.0
13	9	11.6
13	10	11.0
13	11	6.4
13	12	5.6
13	13	5.2
13	14	5.2
13	15	5.2
13	16	5.2
13	17	7.0
13	18	8.8
13	19	11.0
13	20	8.4
13	21	6.0
13	22	4.0
13	23	3.6
13	24	2.4
14	1	7.0
14	2	5.5
14	3	5.0
14	4	5.0
14	5	5.5
14	6	9.0
14	7	16.5
14	8	39.5
14	9	47.0
14	10	43.5
14	11	28.5
14	12	21.0
14	13	18.5
14	14	18.24
14	15	19.0
14	16	20.5
14	17	30.5
14	18	43.0
14	19	42.5
14	20	42.0
14	21	34.0
14	22	16.0
14	23	10.0
14	24	7.5
