Node	Time	ID_Capacity_Buy_Volume
1	1	10.2
1	2	42.5
1	3	50.0
1	4	44.6
1	5	32.9
1	6	5.0
1	7	8.8
1	8	31.8
1	9	20.9
1	10	2.0
1	11	0.0
1	12	9.1
1	13	14.6
1	14	31.2
1	15	25.3
1	16	16.0
1	17	45.7
1	18	12.4
1	19	46.0
1	20	9.5
1	21	0.5
1	22	4.2
1	23	27.9
1	24	56.5
2	1	6.4
2	2	2.2
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	1.9
2	8	56.7
2	9	41.1
2	10	42.8
2	11	247.2
2	12	36.3
2	13	88.8
2	14	23.7
2	15	113.5
2	16	455.4
2	17	144.6
2	18	130.0
2	19	65.1
2	20	95.4
2	21	59.1
2	22	67.1
2	23	88.8
2	24	107.0
3	1	6.4
3	2	2.2
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	1.9
3	8	56.7
3	9	41.1
3	10	42.8
3	11	247.2
3	12	36.3
3	13	88.8
3	14	23.7
3	15	113.5
3	16	455.4
3	17	144.6
3	18	130.0
3	19	65.1
3	20	95.4
3	21	59.1
3	22	67.1
3	23	88.8
3	24	107.0
4	1	0.4
4	2	15.0
4	3	23.2
4	4	12.1
4	5	54.2
4	6	61.1
4	7	75.5
4	8	20.7
4	9	0.3
4	10	10.8
4	11	28.0
4	12	67.2
4	13	33.4
4	14	0.0
4	15	11.2
4	16	0.0
4	17	166.6
4	18	75.8
4	19	4.5
4	20	0.0
4	21	0.0
4	22	0.0
4	23	6.9
4	24	13.3
5	1	21.7
5	2	13.6
5	3	18.7
5	4	32.9
5	5	9.1
5	6	19.8
5	7	7.0
5	8	0.0
5	9	37.3
5	10	47.4
5	11	37.0
5	12	7.3
5	13	2.4
5	14	9.9
5	15	5.5
5	16	41.2
5	17	76.6
5	18	4.1
5	19	10.2
5	20	10.1
5	21	9.9
5	22	7.8
5	23	20.4
5	24	21.4
6	1	8.9
6	2	1.7
6	3	2.5
6	4	1.5
6	5	0.9
6	6	36.1
6	7	3.1
6	8	7.7
6	9	13.2
6	10	30.8
6	11	5.1
6	12	12.9
6	13	119.5
6	14	18.0
6	15	87.8
6	16	23.1
6	17	23.8
6	18	34.2
6	19	5.4
6	20	10.1
6	21	10.3
6	22	35.1
6	23	25.6
6	24	13.8
7	1	6.4
7	2	2.2
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	1.9
7	8	56.7
7	9	41.1
7	10	42.8
7	11	247.2
7	12	36.3
7	13	88.8
7	14	23.7
7	15	113.5
7	16	455.4
7	17	144.6
7	18	130.0
7	19	65.1
7	20	95.4
7	21	59.1
7	22	67.1
7	23	88.8
7	24	107.0
8	1	0.0
8	2	5.0
8	3	2.0
8	4	0.0
8	5	2.1
8	6	7.3
8	7	17.3
8	8	7.4
8	9	6.4
8	10	25.8
8	11	12.3
8	12	33.8
8	13	12.8
8	14	92.7
8	15	211.7
8	16	113.2
8	17	78.7
8	18	74.8
8	19	65.6
8	20	73.9
8	21	47.9
8	22	84.6
8	23	32.7
8	24	30.3
9	1	10.2
9	2	42.5
9	3	50.0
9	4	44.6
9	5	32.9
9	6	5.0
9	7	8.8
9	8	31.8
9	9	20.9
9	10	2.0
9	11	0.0
9	12	9.1
9	13	14.6
9	14	31.2
9	15	25.3
9	16	16.0
9	17	45.7
9	18	12.4
9	19	46.0
9	20	9.5
9	21	0.5
9	22	4.2
9	23	27.9
9	24	56.5
10	1	0.4
10	2	15.0
10	3	23.2
10	4	12.1
10	5	54.2
10	6	61.1
10	7	75.5
10	8	20.7
10	9	0.3
10	10	10.8
10	11	28.0
10	12	67.2
10	13	33.4
10	14	0.0
10	15	11.2
10	16	0.0
10	17	166.6
10	18	75.8
10	19	4.5
10	20	0.0
10	21	0.0
10	22	0.0
10	23	6.9
10	24	13.3
11	1	0.0
11	2	5.0
11	3	2.0
11	4	0.0
11	5	2.1
11	6	7.3
11	7	17.3
11	8	7.4
11	9	6.4
11	10	25.8
11	11	12.3
11	12	33.8
11	13	12.8
11	14	92.7
11	15	211.7
11	16	113.2
11	17	78.7
11	18	74.8
11	19	65.6
11	20	73.9
11	21	47.9
11	22	84.6
11	23	32.7
11	24	30.3
12	1	10.2
12	2	42.5
12	3	50.0
12	4	44.6
12	5	32.9
12	6	5.0
12	7	8.8
12	8	31.8
12	9	20.9
12	10	2.0
12	11	0.0
12	12	9.1
12	13	14.6
12	14	31.2
12	15	25.3
12	16	16.0
12	17	45.7
12	18	12.4
12	19	46.0
12	20	9.5
12	21	0.5
12	22	4.2
12	23	27.9
12	24	56.5
13	1	0.4
13	2	15.0
13	3	23.2
13	4	12.1
13	5	54.2
13	6	61.1
13	7	75.5
13	8	20.7
13	9	0.3
13	10	10.8
13	11	28.0
13	12	67.2
13	13	33.4
13	14	0.0
13	15	11.2
13	16	0.0
13	17	166.6
13	18	75.8
13	19	4.5
13	20	0.0
13	21	0.0
13	22	0.0
13	23	6.9
13	24	13.3
14	1	10.2
14	2	42.5
14	3	50.0
14	4	44.6
14	5	32.9
14	6	5.0
14	7	8.8
14	8	31.8
14	9	20.9
14	10	2.0
14	11	0.0
14	12	9.1
14	13	14.6
14	14	31.2
14	15	25.3
14	16	16.0
14	17	45.7
14	18	12.4
14	19	46.0
14	20	9.5
14	21	0.5
14	22	4.2
14	23	27.9
14	24	56.5
