Node	Time	Res_CapacityDownVolume
1	1	430.0
1	2	433.0
1	3	433.0
1	4	433.0
1	5	450.0
1	6	388.0
1	7	250.0
1	8	187.0
1	9	177.0
1	10	173.0
1	11	177.0
1	12	381.0
1	13	397.0
1	14	397.0
1	15	397.0
1	16	177.0
1	17	190.0
1	18	200.0
1	19	287.0
1	20	300.0
1	21	284.0
1	22	282.0
1	23	350.0
1	24	279.0
2	1	277.0
2	2	267.0
2	3	267.0
2	4	267.0
2	5	267.0
2	6	267.0
2	7	220.0
2	8	210.0
2	9	195.0
2	10	90.0
2	11	115.0
2	12	161.0
2	13	210.0
2	14	220.0
2	15	220.0
2	16	220.0
2	17	190.0
2	18	181.0
2	19	25.0
2	20	190.0
2	21	146.0
2	22	201.0
2	23	220.0
2	24	182.0
3	1	520.0
3	2	475.0
3	3	475.0
3	4	520.0
3	5	520.0
3	6	400.0
3	7	250.0
3	8	250.0
3	9	250.0
3	10	250.0
3	11	320.0
3	12	500.0
3	13	533.0
3	14	533.0
3	15	520.0
3	16	220.0
3	17	200.0
3	18	200.0
3	19	300.0
3	20	300.0
3	21	300.0
3	22	300.0
3	23	350.0
3	24	470.0
4	1	427.0
4	2	430.0
4	3	422.0
4	4	422.0
4	5	450.0
4	6	400.0
4	7	250.0
4	8	250.0
4	9	250.0
4	10	250.0
4	11	300.0
4	12	472.0
4	13	489.0
4	14	489.0
4	15	387.0
4	16	200.0
4	17	200.0
4	18	200.0
4	19	300.0
4	20	300.0
4	21	300.0
4	22	300.0
4	23	350.0
4	24	378.0
5	1	175.0
5	2	175.0
5	3	175.0
5	4	175.0
5	5	175.0
5	6	175.0
5	7	121.0
5	8	121.0
5	9	105.0
5	10	55.0
5	11	85.0
5	12	85.0
5	13	55.0
5	14	83.0
5	15	0.0
5	16	90.0
5	17	110.0
5	18	0.0
5	19	84.0
5	20	104.0
5	21	121.0
5	22	121.0
5	23	175.0
5	24	185.0
6	1	382.0
6	2	382.0
6	3	382.0
6	4	382.0
6	5	382.0
6	6	285.0
6	7	55.0
6	8	55.0
6	9	55.0
6	10	88.0
6	11	200.0
6	12	200.0
6	13	200.0
6	14	146.0
6	15	136.0
6	16	150.0
6	17	150.0
6	18	150.0
6	19	200.0
6	20	200.0
6	21	200.0
6	22	250.0
6	23	329.0
6	24	372.0
7	1	348.0
7	2	348.0
7	3	348.0
7	4	348.0
7	5	348.0
7	6	348.0
7	7	250.0
7	8	200.0
7	9	200.0
7	10	200.0
7	11	310.0
7	12	348.0
7	13	348.0
7	14	348.0
7	15	348.0
7	16	210.0
7	17	150.0
7	18	200.0
7	19	300.0
7	20	300.0
7	21	300.0
7	22	300.0
7	23	348.0
7	24	348.0
8	1	450.0
8	2	500.0
8	3	486.0
8	4	488.0
8	5	450.0
8	6	400.0
8	7	250.0
8	8	250.0
8	9	250.0
8	10	250.0
8	11	300.0
8	12	500.0
8	13	534.0
8	14	534.0
8	15	500.0
8	16	200.0
8	17	200.0
8	18	200.0
8	19	300.0
8	20	300.0
8	21	300.0
8	22	300.0
8	23	350.0
8	24	500.0
9	1	370.0
9	2	370.0
9	3	370.0
9	4	370.0
9	5	370.0
9	6	370.0
9	7	250.0
9	8	250.0
9	9	170.0
9	10	170.0
9	11	208.0
9	12	258.0
9	13	308.0
9	14	326.0
9	15	310.0
9	16	170.0
9	17	197.0
9	18	197.0
9	19	297.0
9	20	297.0
9	21	300.0
9	22	300.0
9	23	350.0
9	24	370.0
10	1	464.0
10	2	464.0
10	3	464.0
10	4	464.0
10	5	434.0
10	6	359.0
10	7	209.0
10	8	209.0
10	9	209.0
10	10	209.0
10	11	309.0
10	12	509.0
10	13	623.0
10	14	637.0
10	15	529.0
10	16	209.0
10	17	159.0
10	18	159.0
10	19	300.0
10	20	300.0
10	21	300.0
10	22	300.0
10	23	309.0
10	24	450.0
11	1	0.0
11	2	0.0
11	3	0.0
11	4	31.0
11	5	31.0
11	6	31.0
11	7	31.0
11	8	31.0
11	9	31.0
11	10	31.0
11	11	31.0
11	12	31.0
11	13	31.0
11	14	31.0
11	15	31.0
11	16	31.0
11	17	31.0
11	18	31.0
11	19	31.0
11	20	0.0
11	21	0.0
11	22	0.0
11	23	0.0
11	24	0.0
12	1	350.0
12	2	350.0
12	3	350.0
12	4	350.0
12	5	350.0
12	6	350.0
12	7	350.0
12	8	196.0
12	9	196.0
12	10	136.0
12	11	86.0
12	12	196.0
12	13	200.0
12	14	200.0
12	15	200.0
12	16	150.0
12	17	110.0
12	18	150.0
12	19	150.0
12	20	196.0
12	21	200.0
12	22	200.0
12	23	250.0
12	24	307.0
13	1	0.0
13	2	0.0
13	3	0.0
13	4	0.0
13	5	0.0
13	6	0.0
13	7	0.0
13	8	0.0
13	9	0.0
13	10	0.0
13	11	0.0
13	12	0.0
13	13	0.0
13	14	0.0
13	15	0.0
13	16	0.0
13	17	0.0
13	18	0.0
13	19	0.0
13	20	0.0
13	21	0.0
13	22	0.0
13	23	0.0
13	24	0.0
14	1	441.0
14	2	441.0
14	3	441.0
14	4	441.0
14	5	441.0
14	6	341.0
14	7	191.0
14	8	191.0
14	9	191.0
14	10	191.0
14	11	291.0
14	12	521.0
14	13	571.0
14	14	571.0
14	15	521.0
14	16	191.0
14	17	141.0
14	18	141.0
14	19	241.0
14	20	241.0
14	21	241.0
14	22	241.0
14	23	291.0
14	24	399.0
