Node	Time	Res_CapacityUpVolume
1	1	90.0
1	2	90.0
1	3	240.0
1	4	240.0
1	5	90.0
1	6	260.0
1	7	260.0
1	8	260.0
1	9	260.0
1	10	260.0
1	11	260.0
1	12	260.0
1	13	245.0
1	14	240.0
1	15	240.0
1	16	245.0
1	17	260.0
1	18	260.0
1	19	260.0
1	20	260.0
1	21	260.0
1	22	260.0
1	23	260.0
1	24	170.0
2	1	216.0
2	2	216.0
2	3	185.0
2	4	216.0
2	5	216.0
2	6	216.0
2	7	273.0
2	8	273.0
2	9	273.0
2	10	273.0
2	11	273.0
2	12	273.0
2	13	273.0
2	14	255.0
2	15	263.0
2	16	255.0
2	17	273.0
2	18	273.0
2	19	273.0
2	20	273.0
2	21	273.0
2	22	273.0
2	23	273.0
2	24	273.0
3	1	0.0
3	2	0.0
3	3	0.0
3	4	0.0
3	5	25.0
3	6	137.0
3	7	228.0
3	8	181.0
3	9	146.0
3	10	25.0
3	11	25.0
3	12	25.0
3	13	0.0
3	14	0.0
3	15	0.0
3	16	0.0
3	17	25.0
3	18	125.0
3	19	226.0
3	20	191.0
3	21	221.0
3	22	25.0
3	23	25.0
3	24	0.0
4	1	179.0
4	2	179.0
4	3	179.0
4	4	179.0
4	5	190.0
4	6	205.0
4	7	205.0
4	8	205.0
4	9	205.0
4	10	205.0
4	11	205.0
4	12	205.0
4	13	205.0
4	14	190.0
4	15	190.0
4	16	190.0
4	17	149.0
4	18	199.0
4	19	205.0
4	20	205.0
4	21	205.0
4	22	205.0
4	23	100.0
4	24	183.0
5	1	153.0
5	2	153.0
5	3	128.0
5	4	128.0
5	5	128.0
5	6	128.0
5	7	250.0
5	8	250.0
5	9	250.0
5	10	250.0
5	11	250.0
5	12	250.0
5	13	250.0
5	14	250.0
5	15	250.0
5	16	250.0
5	17	250.0
5	18	250.0
5	19	250.0
5	20	250.0
5	21	225.0
5	22	225.0
5	23	171.0
5	24	163.0
6	1	35.0
6	2	35.0
6	3	35.0
6	4	35.0
6	5	35.0
6	6	132.0
6	7	383.0
6	8	383.0
6	9	383.0
6	10	326.0
6	11	132.0
6	12	132.0
6	13	107.0
6	14	107.0
6	15	107.0
6	16	107.0
6	17	132.0
6	18	132.0
6	19	132.0
6	20	78.0
6	21	78.0
6	22	78.0
6	23	78.0
6	24	35.0
7	1	150.0
7	2	150.0
7	3	150.0
7	4	150.0
7	5	165.0
7	6	165.0
7	7	149.0
7	8	149.0
7	9	149.0
7	10	149.0
7	11	149.0
7	12	149.0
7	13	134.0
7	14	134.0
7	15	134.0
7	16	134.0
7	17	149.0
7	18	165.0
7	19	165.0
7	20	165.0
7	21	165.0
7	22	165.0
7	23	165.0
7	24	165.0
8	1	25.0
8	2	25.0
8	3	25.0
8	4	25.0
8	5	25.0
8	6	25.0
8	7	25.0
8	8	25.0
8	9	25.0
8	10	25.0
8	11	25.0
8	12	0.0
8	13	0.0
8	14	0.0
8	15	0.0
8	16	25.0
8	17	25.0
8	18	25.0
8	19	25.0
8	20	25.0
8	21	25.0
8	22	25.0
8	23	25.0
8	24	75.0
9	1	60.0
9	2	100.0
9	3	100.0
9	4	100.0
9	5	116.0
9	6	116.0
9	7	115.0
9	8	116.0
9	9	116.0
9	10	116.0
9	11	115.0
9	12	116.0
9	13	100.0
9	14	100.0
9	15	95.0
9	16	60.0
9	17	116.0
9	18	116.0
9	19	115.0
9	20	116.0
9	21	116.0
9	22	116.0
9	23	115.0
9	24	116.0
10	1	115.0
10	2	135.0
10	3	135.0
10	4	135.0
10	5	150.0
10	6	150.0
10	7	150.0
10	8	150.0
10	9	150.0
10	10	150.0
10	11	150.0
10	12	150.0
10	13	135.0
10	14	135.0
10	15	135.0
10	16	135.0
10	17	150.0
10	18	150.0
10	19	150.0
10	20	150.0
10	21	150.0
10	22	150.0
10	23	150.0
10	24	130.0
11	1	60.0
11	2	60.0
11	3	60.0
11	4	60.0
11	5	60.0
11	6	60.0
11	7	60.0
11	8	105.0
11	9	25.0
11	10	25.0
11	11	65.0
11	12	60.0
11	13	60.0
11	14	60.0
11	15	60.0
11	16	60.0
11	17	65.0
11	18	25.0
11	19	25.0
11	20	25.0
11	21	15.0
11	22	10.0
11	23	0.0
11	24	0.0
12	1	44.0
12	2	44.0
12	3	44.0
12	4	44.0
12	5	34.0
12	6	34.0
12	7	104.0
12	8	215.0
12	9	215.0
12	10	225.0
12	11	225.0
12	12	225.0
12	13	114.0
12	14	54.0
12	15	54.0
12	16	54.0
12	17	165.0
12	18	208.0
12	19	268.0
12	20	268.0
12	21	214.0
12	22	157.0
12	23	87.0
12	24	87.0
13	1	0.0
13	2	0.0
13	3	0.0
13	4	15.0
13	5	0.0
13	6	0.0
13	7	30.0
13	8	93.0
13	9	89.0
13	10	104.0
13	11	80.0
13	12	30.0
13	13	30.0
13	14	30.0
13	15	30.0
13	16	25.0
13	17	30.0
13	18	94.0
13	19	50.0
13	20	50.0
13	21	28.0
13	22	5.0
13	23	5.0
13	24	0.0
14	1	0.0
14	2	0.0
14	3	0.0
14	4	0.0
14	5	98.0
14	6	240.0
14	7	315.0
14	8	315.0
14	9	315.0
14	10	261.0
14	11	98.0
14	12	98.0
14	13	73.0
14	14	73.0
14	15	73.0
14	16	73.0
14	17	240.0
14	18	315.0
14	19	315.0
14	20	315.0
14	21	261.0
14	22	98.0
14	23	98.0
14	24	0.0
