Node	Time	CapacityDownPrice
1	1	8.0
1	2	9.0
1	3	11.0
1	4	9.0
1	5	8.0
1	6	5.0
1	7	3.0
1	8	5.0
1	9	5.0
1	10	5.0
1	11	14.0
1	12	28.0
1	13	36.13
1	14	36.13
1	15	22.0
1	16	3.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	2.0
1	24	3.0
2	1	15.0
2	2	3.0
2	3	3.0
2	4	4.0
2	5	5.0
2	6	3.0
2	7	15.0
2	8	4.2
2	9	3.0
2	10	2.0
2	11	2.0
2	12	2.0
2	13	3.0
2	14	15.0
2	15	15.0
2	16	15.0
2	17	2.0
2	18	2.0
2	19	2.0
2	20	2.0
2	21	2.0
2	22	3.0
2	23	15.0
2	24	2.0
3	1	2.0
3	2	2.5
3	3	2.5
3	4	2.0
3	5	2.0
3	6	2.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	2.0
3	12	2.5
3	13	3.0
3	14	3.0
3	15	2.0
3	16	2.0
3	17	2.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	2.0
3	24	2.5
4	1	3.0
4	2	3.0
4	3	3.0
4	4	3.0
4	5	3.0
4	6	3.0
4	7	2.0
4	8	2.0
4	9	2.0
4	10	2.0
4	11	2.0
4	12	3.0
4	13	8.5
4	14	10.0
4	15	3.0
4	16	2.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	2.0
4	24	3.0
5	1	2.0
5	2	3.0
5	3	3.0
5	4	2.0
5	5	2.0
5	6	2.0
5	7	2.0
5	8	3.0
5	9	2.0
5	10	2.0
5	11	2.0
5	12	2.0
5	13	2.0
5	14	2.0
5	15	2.0
5	16	2.0
5	17	2.0
5	18	2.0
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	2.0
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	2.0
6	6	2.0
6	7	2.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	2.0
6	12	2.0
6	13	2.0
6	14	2.0
6	15	2.0
6	16	2.0
6	17	2.0
6	18	2.0
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	2.0
