Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	2.0
1	6	14.0
1	7	6.0
1	8	6.0
1	9	6.0
1	10	33.0
1	11	14.0
1	12	12.0
1	13	6.0
1	14	6.0
1	15	5.0
1	16	8.0
1	17	16.0
1	18	20.0
1	19	6.0
1	20	24.0
1	21	24.0
1	22	6.0
1	23	8.0
1	24	3.0
2	1	11.2
2	2	2.8
2	3	2.0
2	4	6.0
2	5	6.0
2	6	12.6
2	7	64.4
2	8	90.65
2	9	95.11
2	10	60.0
2	11	73.74
2	12	33.0
2	13	38.0
2	14	12.0
2	15	19.0
2	16	34.0
2	17	39.0
2	18	62.0
2	19	96.6
2	20	96.6
2	21	82.6
2	22	71.4
2	23	61.6
2	24	43.4
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	8.5
3	6	18.0
3	7	50.0
3	8	43.0
3	9	35.0
3	10	18.7
3	11	16.0
3	12	16.0
3	13	6.0
3	14	5.0
3	15	5.0
3	16	8.5
3	17	13.5
3	18	22.0
3	19	37.0
3	20	43.0
3	21	35.0
3	22	43.0
3	23	16.5
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	2.0
4	6	3.0
4	7	7.5
4	8	6.5
4	9	6.0
4	10	5.5
4	11	5.5
4	12	5.99
4	13	4.5
4	14	4.5
4	15	2.0
4	16	2.0
4	17	3.0
4	18	4.99
4	19	7.0
4	20	6.0
4	21	6.0
4	22	4.99
4	23	2.0
4	24	2.0
5	1	6.0
5	2	6.0
5	3	6.0
5	4	6.0
5	5	30.0
5	6	63.0
5	7	129.0
5	8	138.0
5	9	120.0
5	10	126.0
5	11	120.0
5	12	114.0
5	13	114.0
5	14	114.0
5	15	126.0
5	16	116.0
5	17	120.0
5	18	147.0
5	19	144.0
5	20	120.0
5	21	99.0
5	22	81.0
5	23	36.0
5	24	32.0
6	1	4.0
6	2	4.0
6	3	4.0
6	4	4.0
6	5	9.9
6	6	63.8
6	7	91.3
6	8	101.2
6	9	90.2
6	10	67.1
6	11	50.6
6	12	40.07
6	13	18.0
6	14	17.0
6	15	19.0
6	16	21.0
6	17	55.0
6	18	44.0
6	19	38.66
6	20	23.1
6	21	19.8
6	22	16.0
6	23	15.0
6	24	3.0
