Node	Time	ActivationFactorDwnRegulation
3	1	0
4	1	1
3	2	0
4	2	1
3	3	0
4	3	1
3	4	1
4	4	0
3	5	0
4	5	1
3	6	0
4	6	1
3	7	0
4	7	1
3	8	1
4	8	0
3	9	1
4	9	0
3	10	1
4	10	0
3	11	0
4	11	1
3	12	1
4	12	0
3	13	1
4	13	0
3	14	1
4	14	0
3	15	0
4	15	1
3	16	0
4	16	1
3	17	0
4	17	1
3	18	1
4	18	0
3	19	0
4	19	1
3	20	0
4	20	1
3	21	0
4	21	1
3	22	1
4	22	0
3	23	0
4	23	1
3	24	0
4	24	1
5	1	0
6	1	1
5	2	1
6	2	0
5	3	1
6	3	0
5	4	1
6	4	0
5	5	0
6	5	1
5	6	0
6	6	1
5	7	0
6	7	1
5	8	0
6	8	1
5	9	0
6	9	1
5	10	1
6	10	0
5	11	0
6	11	1
5	12	0
6	12	1
5	13	1
6	13	0
5	14	1
6	14	0
5	15	0
6	15	1
5	16	1
6	16	0
5	17	1
6	17	0
5	18	1
6	18	0
5	19	1
6	19	0
5	20	1
6	20	0
5	21	0
6	21	1
5	22	0
6	22	1
5	23	1
6	23	0
5	24	1
6	24	0
7	1	1
8	1	0
7	2	0
8	2	1
7	3	1
8	3	0
7	4	1
8	4	0
7	5	0
8	5	1
7	6	1
8	6	0
7	7	1
8	7	0
7	8	0
8	8	1
7	9	0
8	9	1
7	10	1
8	10	0
7	11	0
8	11	1
7	12	1
8	12	0
7	13	1
8	13	0
7	14	0
8	14	1
7	15	0
8	15	1
7	16	1
8	16	0
7	17	0
8	17	1
7	18	0
8	18	1
7	19	1
8	19	0
7	20	0
8	20	1
7	21	0
8	21	1
7	22	1
8	22	0
7	23	1
8	23	0
7	24	1
8	24	0
9	1	0
10	1	1
9	2	1
10	2	0
9	3	1
10	3	0
9	4	1
10	4	0
9	5	1
10	5	0
9	6	0
10	6	1
9	7	1
10	7	0
9	8	1
10	8	0
9	9	0
10	9	1
9	10	0
10	10	1
9	11	0
10	11	1
9	12	1
10	12	0
9	13	1
10	13	0
9	14	0
10	14	1
9	15	1
10	15	0
9	16	0
10	16	1
9	17	1
10	17	0
9	18	0
10	18	1
9	19	0
10	19	1
9	20	1
10	20	0
9	21	1
10	21	0
9	22	0
10	22	1
9	23	1
10	23	0
9	24	0
10	24	1
11	1	1
12	1	0
11	2	1
12	2	0
11	3	1
12	3	0
11	4	0
12	4	1
11	5	0
12	5	1
11	6	0
12	6	1
11	7	0
12	7	1
11	8	1
12	8	0
11	9	1
12	9	0
11	10	1
12	10	0
11	11	1
12	11	0
11	12	0
12	12	1
11	13	1
12	13	0
11	14	0
12	14	1
11	15	1
12	15	0
11	16	1
12	16	0
11	17	1
12	17	0
11	18	1
12	18	0
11	19	0
12	19	1
11	20	0
12	20	1
11	21	0
12	21	1
11	22	0
12	22	1
11	23	0
12	23	1
11	24	1
12	24	0
13	1	1
14	1	0
13	2	0
14	2	1
13	3	1
14	3	0
13	4	0
14	4	1
13	5	0
14	5	1
13	6	0
14	6	1
13	7	0
14	7	1
13	8	1
14	8	0
13	9	1
14	9	0
13	10	1
14	10	0
13	11	0
14	11	1
13	12	1
14	12	0
13	13	1
14	13	0
13	14	0
14	14	1
13	15	0
14	15	1
13	16	1
14	16	0
13	17	1
14	17	0
13	18	1
14	18	0
13	19	0
14	19	1
13	20	1
14	20	0
13	21	0
14	21	1
13	22	1
14	22	0
13	23	1
14	23	0
13	24	1
14	24	0
15	1	1
16	1	0
15	2	1
16	2	0
15	3	0
16	3	1
15	4	0
16	4	1
15	5	1
16	5	0
15	6	0
16	6	1
15	7	1
16	7	0
15	8	1
16	8	0
15	9	0
16	9	1
15	10	0
16	10	1
15	11	0
16	11	1
15	12	1
16	12	0
15	13	0
16	13	1
15	14	0
16	14	1
15	15	1
16	15	0
15	16	1
16	16	0
15	17	0
16	17	1
15	18	1
16	18	0
15	19	1
16	19	0
15	20	1
16	20	0
15	21	0
16	21	1
15	22	0
16	22	1
15	23	0
16	23	1
15	24	1
16	24	0
17	1	1
18	1	0
17	2	1
18	2	0
17	3	1
18	3	0
17	4	1
18	4	0
17	5	0
18	5	1
17	6	1
18	6	0
17	7	0
18	7	1
17	8	0
18	8	1
17	9	0
18	9	1
17	10	0
18	10	1
17	11	0
18	11	1
17	12	1
18	12	0
17	13	1
18	13	0
17	14	0
18	14	1
17	15	1
18	15	0
17	16	0
18	16	1
17	17	0
18	17	1
17	18	0
18	18	1
17	19	0
18	19	1
17	20	0
18	20	1
17	21	0
18	21	1
17	22	0
18	22	1
17	23	1
18	23	0
17	24	1
18	24	0
19	1	0
20	1	1
19	2	1
20	2	0
19	3	1
20	3	0
19	4	1
20	4	0
19	5	0
20	5	1
19	6	1
20	6	0
19	7	1
20	7	0
19	8	1
20	8	0
19	9	1
20	9	0
19	10	1
20	10	0
19	11	0
20	11	1
19	12	0
20	12	1
19	13	1
20	13	0
19	14	1
20	14	0
19	15	1
20	15	0
19	16	0
20	16	1
19	17	0
20	17	1
19	18	0
20	18	1
19	19	0
20	19	1
19	20	0
20	20	1
19	21	0
20	21	1
19	22	0
20	22	1
19	23	1
20	23	0
19	24	1
20	24	0
21	1	0
22	1	1
21	2	1
22	2	0
21	3	0
22	3	1
21	4	1
22	4	0
21	5	0
22	5	1
21	6	1
22	6	0
21	7	0
22	7	1
21	8	1
22	8	0
21	9	1
22	9	0
21	10	1
22	10	0
21	11	0
22	11	1
21	12	0
22	12	1
21	13	0
22	13	1
21	14	1
22	14	0
21	15	0
22	15	1
21	16	0
22	16	1
21	17	0
22	17	1
21	18	0
22	18	1
21	19	0
22	19	1
21	20	1
22	20	0
21	21	1
22	21	0
21	22	0
22	22	1
21	23	0
22	23	1
21	24	0
22	24	1
23	1	0
24	1	1
23	2	0
24	2	1
23	3	0
24	3	1
23	4	1
24	4	0
23	5	1
24	5	0
23	6	1
24	6	0
23	7	0
24	7	1
23	8	0
24	8	1
23	9	1
