Node	Time	ActivationFactorID_UP_Reg
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	1
3	7	0
3	8	1
3	9	1
3	10	1
3	11	0
3	12	1
3	13	1
3	14	0
3	15	0
3	16	0
3	17	0
3	18	1
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	0
4	10	0
4	11	0
4	12	1
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	1
4	19	0
4	20	1
4	21	0
4	22	1
4	23	0
4	24	1
5	1	0
5	2	0
5	3	1
5	4	1
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	0
5	11	0
5	12	0
5	13	0
5	14	1
5	15	0
5	16	0
5	17	0
5	18	0
5	19	1
5	20	0
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	1
6	4	0
6	5	1
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	0
6	13	0
6	14	1
6	15	1
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	1
7	1	1
7	2	1
7	3	0
7	4	0
7	5	1
7	6	0
7	7	0
7	8	1
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	1
7	15	0
7	16	1
7	17	0
7	18	0
7	19	1
7	20	1
7	21	0
7	22	0
7	23	1
7	24	0
8	1	1
8	2	1
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0
8	11	0
8	12	0
8	13	0
8	14	1
8	15	1
8	16	0
8	17	0
8	18	0
8	19	0
8	20	1
8	21	1
8	22	0
8	23	0
8	24	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	1
9	7	0
9	8	1
9	9	1
9	10	0
9	11	0
9	12	0
9	13	1
9	14	0
9	15	0
9	16	0
9	17	0
9	18	1
9	19	0
9	20	0
9	21	1
9	22	0
9	23	1
9	24	0
10	1	0
10	2	0
10	3	1
10	4	0
10	5	0
10	6	1
10	7	0
10	8	1
10	9	1
10	10	1
10	11	0
10	12	0
10	13	0
10	14	0
10	15	1
10	16	1
10	17	0
10	18	1
10	19	0
10	20	0
10	21	1
10	22	1
10	23	0
10	24	1
11	1	0
11	2	0
11	3	0
11	4	1
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	1
11	12	0
11	13	0
11	14	1
11	15	0
11	16	1
11	17	0
11	18	1
11	19	1
11	20	0
11	21	0
11	22	0
11	23	0
11	24	0
12	1	0
12	2	1
12	3	1
12	4	0
12	5	0
12	6	0
12	7	1
12	8	0
12	9	1
12	10	0
12	11	0
12	12	0
12	13	0
12	14	0
12	15	1
12	16	1
12	17	0
12	18	0
12	19	1
12	20	1
12	21	0
12	22	0
12	23	0
12	24	1
13	1	0
13	2	0
13	3	1
13	4	0
13	5	1
13	6	0
13	7	1
13	8	0
13	9	1
13	10	0
13	11	1
13	12	1
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
13	18	0
13	19	1
13	20	0
13	21	0
13	22	0
13	23	0
13	24	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	1
14	6	0
14	7	0
14	8	0
14	9	0
14	10	1
14	11	0
14	12	0
14	13	0
14	14	0
14	15	1
14	16	0
14	17	0
14	18	1
14	19	1
14	20	1
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	1
15	4	1
15	5	0
15	6	0
15	7	1
15	8	1
15	9	0
15	10	1
15	11	0
15	12	1
15	13	1
15	14	0
15	15	1
15	16	1
15	17	1
15	18	0
15	19	0
15	20	0
15	21	0
15	22	1
15	23	0
15	24	0
16	1	0
16	2	0
16	3	0
16	4	1
16	5	0
16	6	1
16	7	0
16	8	0
16	9	1
16	10	1
16	11	0
16	12	0
16	13	0
16	14	0
16	15	1
16	16	0
16	17	0
16	18	0
16	19	0
16	20	1
16	21	0
16	22	0
16	23	0
16	24	1
17	1	1
17	2	0
17	3	1
17	4	0
17	5	1
17	6	0
17	7	1
17	8	1
17	9	1
17	10	1
17	11	0
17	12	0
17	13	0
17	14	0
17	15	1
17	16	0
17	17	0
17	18	0
17	19	0
17	20	1
17	21	0
17	22	1
17	23	1
17	24	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	1
18	7	0
18	8	1
18	9	1
18	10	0
18	11	0
18	12	0
18	13	1
18	14	0
18	15	0
18	16	1
18	17	1
18	18	1
18	19	0
18	20	0
18	21	0
18	22	0
18	23	0
18	24	0
19	1	1
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	1
19	8	0
19	9	1
19	10	0
19	11	1
19	12	0
19	13	0
19	14	0
19	15	0
19	16	1
19	17	1
19	18	1
19	19	0
19	20	0
19	21	1
19	22	1
19	23	0
19	24	0
20	1	1
20	2	0
20	3	1
20	4	1
20	5	1
20	6	1
20	7	0
20	8	0
20	9	1
20	10	0
20	11	0
20	12	0
20	13	0
20	14	0
20	15	1
20	16	0
20	17	0
20	18	0
20	19	1
20	20	0
20	21	1
20	22	0
20	23	0
20	24	0
21	1	1
21	2	1
21	3	0
21	4	0
21	5	1
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	1
21	16	0
21	17	0
21	18	0
21	19	0
21	20	1
21	21	1
21	22	0
21	23	1
21	24	0
22	1	1
22	2	1
22	3	0
22	4	0
22	5	0
22	6	1
22	7	0
22	8	0
22	9	1
22	10	0
22	11	1
22	12	0
22	13	0
22	14	1
22	15	0
22	16	0
22	17	1
22	18	0
22	19	0
22	20	0
22	21	0
22	22	1
22	23	0
22	24	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	1
23	7	0
23	8	1
23	9	0
23	10	0
23	11	1
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	1
23	18	1
23	19	0
23	20	0
23	21	1
23	22	0
23	23	0
23	24	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	0
24	14	1
24	15	0
24	16	1
24	17	0
24	18	0
24	19	1
24	20	0
24	21	0
24	22	0
24	23	1
24	24	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	0
25	13	0
25	14	0
25	15	0
25	16	0
25	17	1
25	18	1
25	19	0
25	20	1
25	21	0
25	22	1
25	23	0
25	24	1
26	1	1
26	2	0
26	3	0
26	4	0
26	5	0
26	6	1
26	7	1
26	8	0
26	9	0
26	10	0
26	11	0
26	12	0
26	13	1
26	14	0
26	15	1
26	16	0
26	17	0
26	18	0
26	19	0
26	20	0
26	21	0
26	22	1
26	23	0
26	24	1
27	1	1
27	2	0
27	3	0
27	4	1
27	5	1
27	6	1
27	7	0
27	8	0
27	9	0
27	10	0
27	11	1
27	12	0
27	13	1
27	14	0
27	15	1
27	16	0
27	17	0
27	18	1
27	19	0
27	20	1
27	21	1
27	22	0
27	23	0
27	24	0
28	1	0
28	2	0
28	3	0
28	4	1
28	5	0
28	6	1
28	7	1
28	8	0
28	9	0
28	10	0
28	11	1
28	12	1
28	13	0
28	14	0
28	15	0
28	16	1
28	17	0
28	18	0
28	19	0
28	20	1
28	21	0
28	22	0
28	23	0
28	24	0
29	1	0
29	2	0
29	3	1
29	4	0
29	5	0
29	6	0
29	7	1
29	8	0
29	9	0
29	10	1
29	11	0
29	12	1
29	13	0
29	14	1
29	15	1
29	16	0
29	17	0
29	18	0
29	19	1
29	20	0
29	21	0
29	22	0
29	23	1
29	24	0
30	1	0
30	2	0
30	3	1
30	4	0
30	5	0
30	6	0
30	7	1
30	8	1
30	9	0
30	10	0
30	11	0
30	12	1
30	13	0
30	14	0
30	15	1
30	16	1
30	17	1
30	18	0
30	19	0
30	20	0
30	21	0
30	22	0
30	23	1
30	24	1
31	1	0
31	2	0
31	3	0
31	4	1
31	5	0
31	6	0
31	7	1
31	8	1
31	9	1
31	10	0
31	11	0
31	12	0
31	13	0
31	14	1
31	15	0
31	16	1
31	17	0
31	18	0
31	19	0
31	20	0
31	21	0
31	22	0
31	23	0
31	24	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	1
32	7	0
32	8	0
32	9	0
32	10	0
32	11	1
32	12	1
32	13	0
32	14	0
32	15	0
32	16	0
32	17	0
32	18	0
32	19	0
32	20	0
32	21	0
32	22	0
32	23	0
32	24	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	1
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	1
33	13	1
33	14	0
33	15	0
33	16	0
33	17	0
33	18	0
33	19	1
33	20	1
33	21	0
33	22	0
33	23	0
33	24	1
34	1	0
34	2	0
34	3	1
34	4	0
34	5	1
34	6	0
34	7	1
34	8	0
34	9	1
34	10	0
34	11	0
34	12	1
34	13	1
34	14	0
34	15	0
34	16	1
34	17	0
34	18	0
34	19	1
34	20	0
34	21	0
34	22	0
34	23	0
34	24	0
35	1	0
35	2	0
35	3	1
35	4	1
35	5	0
35	6	1
35	7	0
35	8	0
35	9	0
35	10	1
35	11	0
35	12	0
35	13	0
35	14	0
35	15	1
35	16	1
35	17	0
35	18	1
35	19	1
35	20	1
35	21	0
35	22	1
35	23	0
35	24	1
36	1	1
36	2	0
36	3	0
36	4	0
36	5	0
36	6	1
36	7	1
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0
36	14	1
36	15	1
36	16	0
36	17	0
36	18	0
36	19	0
36	20	1
36	21	0
36	22	0
36	23	1
36	24	0
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	1
37	7	1
37	8	0
37	9	0
37	10	0
37	11	1
37	12	0
37	13	1
37	14	0
37	15	0
37	16	0
37	17	0
37	18	0
37	19	0
37	20	1
37	21	1
37	22	0
37	23	0
37	24	1
38	1	0
38	2	0
38	3	1
38	4	1
38	5	0
38	6	0
38	7	0
38	8	0
38	9	1
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	1
38	16	0
38	17	0
38	18	1
38	19	0
38	20	1
38	21	0
38	22	1
38	23	0
38	24	0
39	1	1
39	2	0
39	3	0
39	4	1
39	5	1
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	1
39	14	0
39	15	1
39	16	1
39	17	1
39	18	0
39	19	0
39	20	0
39	21	0
39	22	1
39	23	0
39	24	0
40	1	0
40	2	0
40	3	1
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	1
40	11	0
40	12	0
40	13	0
40	14	0
40	15	1
40	16	1
40	17	0
40	18	0
40	19	0
40	20	1
40	21	0
40	22	0
40	23	0
40	24	1
41	1	0
41	2	1
41	3	0
41	4	0
41	5	0
41	6	0
41	7	1
41	8	0
41	9	0
41	10	0
41	11	1
41	12	0
41	13	0
41	14	1
41	15	0
41	16	1
41	17	1
41	18	1
41	19	0
41	20	0
41	21	0
41	22	1
41	23	0
41	24	0
42	1	1
42	2	0
42	3	0
42	4	0
42	5	1
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	1
42	12	0
42	13	0
42	14	0
42	15	1
42	16	0
42	17	0
42	18	0
42	19	0
42	20	1
42	21	0
42	22	0
42	23	0
42	24	0
43	1	0
43	2	1
43	3	0
43	4	1
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	1
43	11	0
43	12	0
43	13	0
43	14	0
43	15	1
43	16	0
43	17	0
43	18	1
43	19	0
43	20	0
43	21	0
43	22	0
43	23	0
43	24	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	1
44	9	0
44	10	0
44	11	1
44	12	0
44	13	0
44	14	1
44	15	1
44	16	0
44	17	1
44	18	1
44	19	0
44	20	0
44	21	0
44	22	0
44	23	0
44	24	0
45	1	0
45	2	0
45	3	1
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	1
45	11	1
45	12	0
45	13	0
45	14	1
45	15	1
45	16	1
45	17	0
45	18	0
45	19	1
45	20	0
45	21	0
45	22	0
45	23	1
45	24	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0
46	15	0
46	16	0
46	17	1
46	18	0
46	19	0
46	20	1
46	21	0
46	22	1
46	23	0
46	24	0
47	1	0
47	2	1
47	3	0
47	4	0
47	5	1
47	6	0
47	7	1
47	8	0
47	9	0
47	10	0
47	11	0
47	12	1
47	13	0
47	14	0
47	15	0
47	16	1
47	17	0
47	18	1
47	19	0
47	20	0
47	21	1
47	22	0
47	23	0
47	24	0
48	1	1
48	2	1
48	3	0
48	4	0
48	5	1
48	6	0
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
48	12	0
48	13	0
48	14	1
48	15	0
48	16	0
48	17	0
48	18	1
48	19	0
48	20	0
48	21	0
48	22	0
48	23	1
48	24	0
49	1	1
49	2	0
49	3	1
49	4	0
49	5	0
49	6	0
49	7	0
49	8	0
49	9	1
49	10	0
49	11	1
49	12	0
49	13	0
49	14	0
49	15	1
49	16	0
49	17	0
49	18	0
49	19	1
49	20	0
49	21	0
49	22	1
49	23	0
49	24	0
50	1	0
50	2	1
50	3	0
50	4	1
50	5	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0
50	14	1
50	15	1
50	16	1
50	17	0
50	18	1
50	19	0
50	20	0
50	21	0
50	22	1
50	23	1
50	24	1
51	1	0
51	2	0
51	3	0
51	4	0
51	5	0
51	6	0
51	7	0
51	8	0
51	9	0
51	10	1
51	11	1
51	12	0
51	13	0
51	14	0
51	15	1
51	16	0
51	17	0
51	18	0
51	19	1
51	20	0
51	21	0
51	22	0
51	23	0
51	24	1
52	1	0
52	2	1
52	3	0
52	4	0
52	5	0
52	6	0
52	7	0
52	8	0
52	9	0
52	10	1
52	11	0
52	12	0
52	13	0
52	14	0
52	15	0
52	16	0
52	17	0
52	18	0
52	19	1
52	20	0
52	21	1
52	22	0
52	23	0
52	24	1
53	1	0
53	2	0
53	3	0
53	4	0
53	5	0
53	6	1
53	7	1
53	8	0
53	9	0
53	10	1
53	11	0
53	12	0
53	13	0
53	14	0
53	15	0
53	16	0
53	17	0
53	18	1
53	19	1
53	20	0
53	21	0
53	22	0
53	23	0
53	24	0
54	1	0
54	2	0
54	3	0
54	4	0
54	5	1
54	6	0
54	7	0
54	8	1
54	9	0
54	10	0
54	11	0
54	12	0
54	13	1
54	14	0
54	15	0
54	16	1
54	17	0
54	18	1
54	19	0
54	20	0
54	21	0
54	22	0
54	23	1
54	24	1
55	1	0
55	2	1
55	3	0
55	4	0
55	5	0
55	6	0
55	7	0
55	8	1
55	9	1
55	10	1
55	11	0
55	12	1
55	13	0
55	14	0
55	15	0
55	16	0
55	17	1
55	18	1
55	19	0
55	20	0
55	21	1
55	22	1
55	23	1
55	24	1
56	1	0
56	2	1
56	3	0
56	4	0
56	5	0
56	6	1
56	7	0
56	8	1
56	9	1
56	10	0
56	11	0
56	12	0
56	13	0
56	14	1
56	15	0
56	16	0
56	17	1
56	18	0
56	19	0
56	20	0
56	21	1
56	22	0
56	23	0
56	24	0
57	1	0
57	2	0
57	3	0
57	4	0
57	5	1
57	6	1
57	7	0
57	8	0
57	9	0
57	10	0
57	11	0
57	12	0
57	13	0
57	14	0
57	15	1
57	16	0
57	17	1
57	18	0
57	19	1
57	20	0
57	21	1
57	22	1
57	23	0
57	24	0
58	1	0
58	2	0
58	3	0
58	4	0
58	5	0
58	6	0
58	7	0
58	8	0
58	9	1
58	10	0
58	11	1
58	12	0
58	13	1
58	14	0
58	15	1
58	16	0
58	17	1
58	18	1
58	19	1
58	20	0
58	21	0
58	22	0
58	23	1
58	24	1
59	1	0
59	2	1
59	3	0
59	4	1
59	5	1
59	6	0
59	7	0
59	8	0
59	9	1
59	10	0
59	11	0
59	12	0
59	13	1
59	14	0
59	15	0
59	16	0
59	17	0
59	18	1
59	19	1
59	20	0
59	21	1
59	22	1
59	23	1
59	24	0
60	1	0
60	2	0
60	3	0
60	4	0
60	5	1
60	6	0
60	7	1
60	8	0
60	9	1
60	10	0
60	11	0
60	12	0
60	13	1
60	14	0
60	15	0
60	16	0
60	17	0
60	18	0
60	19	0
60	20	0
60	21	1
60	22	0
60	23	0
60	24	0
61	1	0
61	2	0
61	3	1
61	4	1
61	5	0
61	6	0
61	7	0
61	8	1
61	9	0
61	10	0
61	11	1
61	12	0
61	13	0
61	14	1
61	15	1
61	16	1
61	17	0
61	18	0
61	19	1
61	20	1
61	21	1
61	22	0
61	23	0
61	24	0
62	1	0
62	2	0
62	3	1
62	4	0
62	5	0
62	6	1
62	7	0
62	8	1
62	9	1
62	10	0
62	11	1
62	12	0
62	13	1
62	14	0
62	15	0
62	16	0
62	17	0
62	18	0
62	19	1
62	20	1
62	21	1
62	22	0
62	23	1
62	24	0
63	1	0
63	2	0
63	3	0
63	4	0
63	5	0
63	6	0
63	7	0
63	8	0
63	9	0
63	10	1
63	11	0
63	12	1
63	13	0
63	14	1
63	15	1
63	16	0
63	17	1
63	18	0
63	19	0
63	20	0
63	21	0
63	22	1
63	23	0
63	24	0
64	1	0
64	2	0
64	3	1
64	4	0
64	5	0
64	6	0
64	7	0
64	8	1
64	9	0
64	10	0
64	11	0
64	12	0
64	13	0
64	14	0
64	15	0
64	16	0
64	17	0
64	18	0
64	19	0
64	20	1
64	21	0
64	22	1
64	23	0
64	24	0
65	1	0
65	2	1
65	3	0
65	4	0
65	5	0
65	6	1
65	7	1
65	8	1
65	9	0
65	10	0
65	11	0
65	12	1
65	13	0
65	14	0
65	15	0
65	16	0
65	17	0
65	18	0
65	19	0
65	20	0
65	21	0
65	22	1
65	23	0
65	24	0
66	1	0
66	2	1
66	3	0
66	4	0
66	5	0
66	6	0
66	7	0
66	8	0
66	9	0
66	10	1
66	11	0
66	12	0
66	13	1
66	14	0
66	15	0
66	16	0
66	17	1
66	18	0
66	19	0
66	20	0
66	21	0
66	22	0
66	23	1
66	24	1
67	1	0
67	2	0
67	3	0
67	4	0
67	5	0
67	6	1
67	7	0
67	8	1
67	9	1
67	10	0
67	11	0
67	12	1
67	13	1
67	14	1
67	15	0
67	16	0
67	17	0
67	18	0
67	19	0
67	20	0
67	21	0
67	22	0
67	23	0
67	24	1
68	1	1
68	2	1
68	3	1
68	4	0
68	5	1
68	6	0
68	7	0
68	8	0
68	9	0
68	10	0
68	11	1
68	12	0
68	13	0
68	14	0
68	15	1
68	16	1
68	17	0
68	18	0
68	19	1
68	20	0
68	21	0
