Node	Time	ActivationFactorUpRegulation
3	1	0
4	1	1
5	1	0
6	1	0
3	2	0
4	2	0
5	2	1
6	2	0
3	3	1
4	3	0
5	3	0
6	3	1
3	4	1
4	4	0
5	4	1
6	4	0
3	5	0
4	5	0
5	5	1
6	5	0
3	6	1
4	6	1
5	6	0
6	6	0
3	7	1
4	7	0
5	7	1
6	7	0
3	8	0
4	8	0
5	8	0
6	8	1
3	9	0
4	9	1
5	9	1
6	9	0
3	10	0
4	10	0
5	10	0
6	10	1
3	11	0
4	11	0
5	11	0
6	11	1
3	12	0
4	12	1
5	12	1
6	12	0
3	13	0
4	13	0
5	13	0
6	13	1
3	14	0
4	14	0
5	14	0
6	14	1
3	15	1
4	15	1
5	15	0
6	15	0
3	16	0
4	16	1
5	16	0
6	16	0
3	17	0
4	17	0
5	17	1
6	17	1
3	18	1
4	18	0
5	18	0
6	18	0
3	19	1
4	19	0
5	19	1
6	19	0
3	20	1
4	20	0
5	20	1
6	20	0
3	21	1
4	21	0
5	21	0
6	21	0
3	22	0
4	22	1
5	22	0
6	22	0
3	23	0
4	23	1
5	23	0
6	23	0
3	24	0
4	24	0
5	24	1
6	24	1
7	1	0
8	1	1
9	1	1
10	1	0
7	2	0
8	2	0
9	2	1
10	2	1
7	3	0
8	3	1
9	3	0
10	3	1
7	4	0
8	4	1
9	4	1
10	4	0
7	5	1
8	5	1
9	5	0
10	5	0
7	6	0
8	6	1
9	6	1
10	6	0
7	7	1
8	7	0
9	7	0
10	7	1
7	8	0
8	8	0
9	8	1
10	8	0
7	9	0
8	9	0
9	9	1
10	9	0
7	10	0
8	10	1
9	10	0
10	10	0
7	11	0
8	11	1
9	11	0
10	11	0
7	12	0
8	12	0
9	12	1
10	12	0
7	13	0
8	13	0
9	13	1
10	13	0
7	14	1
8	14	1
9	14	0
10	14	0
7	15	1
8	15	0
9	15	0
10	15	0
7	16	1
8	16	0
9	16	1
10	16	0
7	17	0
8	17	0
9	17	1
10	17	0
7	18	0
8	18	0
9	18	0
10	18	1
7	19	1
8	19	0
9	19	1
10	19	0
7	20	0
8	20	0
9	20	1
10	20	0
7	21	1
8	21	1
9	21	0
10	21	0
7	22	1
8	22	1
9	22	0
10	22	0
7	23	1
8	23	0
9	23	0
10	23	0
7	24	0
8	24	1
9	24	0
10	24	0
11	1	0
12	1	0
13	1	1
14	1	0
11	2	0
12	2	1
13	2	1
14	2	0
11	3	1
12	3	0
13	3	0
14	3	1
11	4	0
12	4	1
13	4	0
14	4	0
11	5	0
12	5	0
13	5	0
14	5	1
11	6	1
12	6	0
13	6	1
14	6	0
11	7	0
12	7	0
13	7	1
14	7	0
11	8	1
12	8	0
13	8	0
14	8	1
11	9	1
12	9	0
13	9	0
14	9	1
11	10	0
12	10	1
13	10	0
14	10	1
11	11	0
12	11	1
13	11	1
14	11	0
11	12	1
12	12	0
13	12	1
14	12	0
11	13	0
12	13	0
13	13	1
14	13	0
11	14	0
12	14	1
13	14	1
14	14	0
11	15	0
12	15	1
13	15	0
14	15	0
11	16	0
12	16	1
13	16	0
14	16	0
11	17	0
12	17	1
13	17	0
14	17	1
11	18	0
12	18	0
13	18	1
14	18	1
11	19	1
12	19	0
13	19	0
14	19	1
11	20	0
12	20	0
13	20	0
14	20	1
11	21	0
12	21	1
13	21	0
14	21	1
11	22	0
12	22	0
13	22	1
14	22	0
11	23	0
12	23	0
13	23	0
14	23	1
11	24	0
12	24	0
13	24	1
14	24	0
15	1	1
16	1	1
17	1	0
18	1	0
15	2	0
16	2	0
17	2	1
18	2	0
15	3	0
16	3	1
17	3	1
18	3	0
15	4	0
16	4	0
17	4	1
18	4	0
15	5	1
16	5	0
17	5	0
18	5	1
15	6	0
16	6	1
17	6	1
18	6	0
15	7	0
16	7	1
17	7	1
18	7	0
15	8	0
16	8	0
17	8	1
18	8	0
15	9	1
16	9	0
17	9	1
18	9	0
15	10	1
16	10	0
17	10	0
18	10	0
15	11	0
16	11	0
17	11	0
18	11	1
15	12	0
16	12	0
17	12	1
18	12	1
15	13	0
16	13	0
17	13	0
18	13	1
15	14	1
16	14	0
17	14	0
18	14	0
15	15	0
16	15	0
17	15	0
18	15	1
15	16	1
16	16	0
17	16	1
18	16	0
15	17	0
16	17	0
17	17	1
18	17	0
15	18	0
16	18	1
17	18	0
18	18	1
15	19	0
16	19	0
17	19	0
18	19	1
15	20	1
16	20	0
17	20	0
18	20	1
15	21	0
16	21	1
17	21	0
18	21	1
15	22	0
16	22	1
17	22	0
18	22	1
15	23	0
16	23	0
17	23	1
18	23	0
15	24	0
16	24	1
17	24	0
18	24	0
19	1	1
20	1	0
21	1	0
22	1	0
19	2	0
20	2	1
21	2	0
22	2	1
19	3	0
20	3	1
21	3	0
22	3	0
19	4	0
20	4	1
21	4	0
22	4	0
19	5	0
20	5	1
21	5	0
22	5	0
19	6	1
20	6	1
21	6	0
22	6	0
19	7	0
20	7	1
21	7	1
22	7	0
19	8	0
20	8	1
21	8	0
22	8	1
19	9	0
20	9	1
21	9	0
22	9	0
19	10	0
20	10	0
21	10	1
22	10	1
19	11	1
20	11	0
21	11	0
22	11	0
19	12	0
20	12	0
21	12	0
22	12	1
19	13	0
20	13	0
21	13	0
22	13	1
19	14	1
20	14	0
21	14	0
22	14	1
19	15	1
20	15	0
21	15	0
22	15	0
19	16	0
20	16	1
21	16	0
22	16	1
19	17	1
20	17	0
21	17	0
22	17	1
19	18	1
20	18	0
21	18	0
22	18	1
19	19	1
20	19	1
21	19	0
22	19	0
19	20	0
20	20	0
21	20	0
22	20	1
19	21	1
20	21	0
21	21	0
22	21	1
19	22	0
20	22	1
21	22	0
22	22	1
19	23	1
20	23	0
21	23	0
22	23	0
19	24	0
20	24	0
21	24	0
22	24	1
23	1	0
24	1	0
25	1	0
26	1	1
23	2	1
24	2	0
25	2	0
26	2	1
23	3	1
24	3	0
25	3	1
26	3	0
23	4	0
24	4	0
25	4	1
26	4	1
23	5	0
