Node	Time	Technology	AvailabilityFactor
5	1	Power_Grid	1.0
5	2	Power_Grid	1.0
5	3	Power_Grid	1.0
5	4	Power_Grid	1.0
5	5	Power_Grid	1.0
5	6	Power_Grid	1.0
5	7	Power_Grid	1.0
5	8	Power_Grid	1.0
5	9	Power_Grid	1.0
5	10	Power_Grid	1.0
5	11	Power_Grid	1.0
5	12	Power_Grid	1.0
5	13	Power_Grid	1.0
5	14	Power_Grid	1.0
5	15	Power_Grid	1.0
5	16	Power_Grid	1.0
5	17	Power_Grid	1.0
5	18	Power_Grid	1.0
5	19	Power_Grid	1.0
5	20	Power_Grid	1.0
5	21	Power_Grid	1.0
5	22	Power_Grid	1.0
5	23	Power_Grid	1.0
5	24	Power_Grid	1.0
5	1	ElectricBoiler	0.98
5	2	ElectricBoiler	0.98
5	3	ElectricBoiler	0.98
5	4	ElectricBoiler	0.98
5	5	ElectricBoiler	0.98
5	6	ElectricBoiler	0.98
5	7	ElectricBoiler	0.98
5	8	ElectricBoiler	0.98
5	9	ElectricBoiler	0.98
5	10	ElectricBoiler	0.98
5	11	ElectricBoiler	0.98
5	12	ElectricBoiler	0.98
5	13	ElectricBoiler	0.98
5	14	ElectricBoiler	0.98
5	15	ElectricBoiler	0.98
5	16	ElectricBoiler	0.98
5	17	ElectricBoiler	0.98
5	18	ElectricBoiler	0.98
5	19	ElectricBoiler	0.98
5	20	ElectricBoiler	0.98
5	21	ElectricBoiler	0.98
5	22	ElectricBoiler	0.98
5	23	ElectricBoiler	0.98
5	24	ElectricBoiler	0.98
5	1	HP_LT	0.98
5	2	HP_LT	0.98
5	3	HP_LT	0.98
5	4	HP_LT	0.98
5	5	HP_LT	0.98
5	6	HP_LT	0.98
5	7	HP_LT	0.98
5	8	HP_LT	0.98
5	9	HP_LT	0.98
5	10	HP_LT	0.98
5	11	HP_LT	0.98
5	12	HP_LT	0.98
5	13	HP_LT	0.98
5	14	HP_LT	0.98
5	15	HP_LT	0.98
5	16	HP_LT	0.98
5	17	HP_LT	0.98
5	18	HP_LT	0.98
5	19	HP_LT	0.98
5	20	HP_LT	0.98
5	21	HP_LT	0.98
5	22	HP_LT	0.98
5	23	HP_LT	0.98
5	24	HP_LT	0.98
5	1	HP_MT	0.98
5	2	HP_MT	0.98
5	3	HP_MT	0.98
5	4	HP_MT	0.98
5	5	HP_MT	0.98
5	6	HP_MT	0.98
5	7	HP_MT	0.98
5	8	HP_MT	0.98
5	9	HP_MT	0.98
5	10	HP_MT	0.98
5	11	HP_MT	0.98
5	12	HP_MT	0.98
5	13	HP_MT	0.98
5	14	HP_MT	0.98
5	15	HP_MT	0.98
5	16	HP_MT	0.98
5	17	HP_MT	0.98
5	18	HP_MT	0.98
5	19	HP_MT	0.98
5	20	HP_MT	0.98
5	21	HP_MT	0.98
5	22	HP_MT	0.98
5	23	HP_MT	0.98
5	24	HP_MT	0.98
5	1	PV	0.0
5	2	PV	0.0
5	3	PV	0.0
5	4	PV	0.0
5	5	PV	0.601
5	6	PV	0.656
5	7	PV	0.796
5	8	PV	0.299
5	9	PV	0.393
5	10	PV	0.478
5	11	PV	0.314
5	12	PV	0.472
5	13	PV	0.663
5	14	PV	0.289
5	15	PV	0.87
5	16	PV	0.702
5	17	PV	0.703
5	18	PV	0.529
5	19	PV	0.287
5	20	PV	0.739
5	21	PV	0.738
5	22	PV	0.0
5	23	PV	0.0
5	24	PV	0.0
5	1	P2G	0.98
5	2	P2G	0.98
5	3	P2G	0.98
5	4	P2G	0.98
5	5	P2G	0.98
5	6	P2G	0.98
5	7	P2G	0.98
5	8	P2G	0.98
5	9	P2G	0.98
5	10	P2G	0.98
5	11	P2G	0.98
5	12	P2G	0.98
5	13	P2G	0.98
5	14	P2G	0.98
5	15	P2G	0.98
5	16	P2G	0.98
5	17	P2G	0.98
5	18	P2G	0.98
5	19	P2G	0.98
5	20	P2G	0.98
5	21	P2G	0.98
5	22	P2G	0.98
5	23	P2G	0.98
5	24	P2G	0.98
5	1	G2P	0.98
5	2	G2P	0.98
5	3	G2P	0.98
5	4	G2P	0.98
5	5	G2P	0.98
5	6	G2P	0.98
5	7	G2P	0.98
5	8	G2P	0.98
5	9	G2P	0.98
5	10	G2P	0.98
5	11	G2P	0.98
5	12	G2P	0.98
5	13	G2P	0.98
5	14	G2P	0.98
5	15	G2P	0.98
5	16	G2P	0.98
5	17	G2P	0.98
5	18	G2P	0.98
5	19	G2P	0.98
5	20	G2P	0.98
5	21	G2P	0.98
5	22	G2P	0.98
5	23	G2P	0.98
5	24	G2P	0.98
5	1	GasBoiler	0.98
5	2	GasBoiler	0.98
5	3	GasBoiler	0.98
5	4	GasBoiler	0.98
5	5	GasBoiler	0.98
5	6	GasBoiler	0.98
5	7	GasBoiler	0.98
5	8	GasBoiler	0.98
5	9	GasBoiler	0.98
5	10	GasBoiler	0.98
5	11	GasBoiler	0.98
5	12	GasBoiler	0.98
5	13	GasBoiler	0.98
5	14	GasBoiler	0.98
5	15	GasBoiler	0.98
5	16	GasBoiler	0.98
5	17	GasBoiler	0.98
5	18	GasBoiler	0.98
5	19	GasBoiler	0.98
5	20	GasBoiler	0.98
5	21	GasBoiler	0.98
5	22	GasBoiler	0.98
5	23	GasBoiler	0.98
5	24	GasBoiler	0.98
5	1	CHP	0.98
5	2	CHP	0.98
5	3	CHP	0.98
5	4	CHP	0.98
5	5	CHP	0.98
5	6	CHP	0.98
5	7	CHP	0.98
5	8	CHP	0.98
5	9	CHP	0.98
5	10	CHP	0.98
5	11	CHP	0.98
5	12	CHP	0.98
5	13	CHP	0.98
5	14	CHP	0.98
5	15	CHP	0.98
5	16	CHP	0.98
5	17	CHP	0.98
5	18	CHP	0.98
5	19	CHP	0.98
5	20	CHP	0.98
5	21	CHP	0.98
5	22	CHP	0.98
5	23	CHP	0.98
5	24	CHP	0.98
5	1	Biogas_Grid	0.9
5	2	Biogas_Grid	0.9
5	3	Biogas_Grid	0.9
5	4	Biogas_Grid	0.9
5	5	Biogas_Grid	0.9
5	6	Biogas_Grid	0.9
5	7	Biogas_Grid	0.9
5	8	Biogas_Grid	0.9
5	9	Biogas_Grid	0.9
5	10	Biogas_Grid	0.9
5	11	Biogas_Grid	0.9
5	12	Biogas_Grid	0.9
5	13	Biogas_Grid	0.9
5	14	Biogas_Grid	0.9
5	15	Biogas_Grid	0.9
5	16	Biogas_Grid	0.9
5	17	Biogas_Grid	0.9
5	18	Biogas_Grid	0.9
5	19	Biogas_Grid	0.9
5	20	Biogas_Grid	0.9
5	21	Biogas_Grid	0.9
5	22	Biogas_Grid	0.9
5	23	Biogas_Grid	0.9
5	24	Biogas_Grid	0.9
5	1	CH4_Grid	0.8
5	2	CH4_Grid	0.8
5	3	CH4_Grid	0.8
5	4	CH4_Grid	0.8
5	5	CH4_Grid	0.8
5	6	CH4_Grid	0.8
5	7	CH4_Grid	0.8
5	8	CH4_Grid	0.8
5	9	CH4_Grid	0.8
5	10	CH4_Grid	0.8
5	11	CH4_Grid	0.8
5	12	CH4_Grid	0.8
5	13	CH4_Grid	0.8
5	14	CH4_Grid	0.8
5	15	CH4_Grid	0.8
5	16	CH4_Grid	0.8
5	17	CH4_Grid	0.8
5	18	CH4_Grid	0.8
5	19	CH4_Grid	0.8
5	20	CH4_Grid	0.8
5	21	CH4_Grid	0.8
5	22	CH4_Grid	0.8
5	23	CH4_Grid	0.8
5	24	CH4_Grid	0.8
5	1	CH4_H2_Mixer	1.0
5	2	CH4_H2_Mixer	1.0
5	3	CH4_H2_Mixer	1.0
5	4	CH4_H2_Mixer	1.0
5	5	CH4_H2_Mixer	1.0
5	6	CH4_H2_Mixer	1.0
5	7	CH4_H2_Mixer	1.0
5	8	CH4_H2_Mixer	1.0
5	9	CH4_H2_Mixer	1.0
5	10	CH4_H2_Mixer	1.0
5	11	CH4_H2_Mixer	1.0
5	12	CH4_H2_Mixer	1.0
5	13	CH4_H2_Mixer	1.0
5	14	CH4_H2_Mixer	1.0
5	15	CH4_H2_Mixer	1.0
5	16	CH4_H2_Mixer	1.0
5	17	CH4_H2_Mixer	1.0
5	18	CH4_H2_Mixer	1.0
5	19	CH4_H2_Mixer	1.0
5	20	CH4_H2_Mixer	1.0
5	21	CH4_H2_Mixer	1.0
5	22	CH4_H2_Mixer	1.0
5	23	CH4_H2_Mixer	1.0
5	24	CH4_H2_Mixer	1.0
6	1	Power_Grid	1.0
6	2	Power_Grid	1.0
6	3	Power_Grid	1.0
6	4	Power_Grid	1.0
6	5	Power_Grid	1.0
6	6	Power_Grid	1.0
6	7	Power_Grid	1.0
6	8	Power_Grid	1.0
6	9	Power_Grid	1.0
6	10	Power_Grid	1.0
6	11	Power_Grid	1.0
6	12	Power_Grid	1.0
6	13	Power_Grid	1.0
6	14	Power_Grid	1.0
6	15	Power_Grid	1.0
6	16	Power_Grid	1.0
6	17	Power_Grid	1.0
6	18	Power_Grid	1.0
6	19	Power_Grid	1.0
6	20	Power_Grid	1.0
