Node	Time	CapacityDownVolume
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	0.0
1	13	0.0
1	14	0.0
1	15	0.0
1	16	0.0
1	17	0.0
1	18	0.0
1	19	0.0
1	20	0.0
1	21	0.0
1	22	0.0
1	23	0.0
1	24	0.0
2	1	0.0
2	2	0.0
2	3	0.0
2	4	0.0
2	5	100.0
2	6	100.0
2	7	100.0
2	8	150.0
2	9	100.0
2	10	100.0
2	11	100.0
2	12	100.0
2	13	100.0
2	14	100.0
2	15	100.0
2	16	150.0
2	17	150.0
2	18	96.0
2	19	46.0
2	20	46.0
2	21	50.0
2	22	50.0
2	23	50.0
2	24	50.0
3	1	330.0
3	2	330.0
3	3	330.0
3	4	330.0
3	5	330.0
3	6	330.0
3	7	250.0
3	8	250.0
3	9	250.0
3	10	224.0
3	11	183.0
3	12	383.0
3	13	390.0
3	14	390.0
3	15	383.0
3	16	84.0
3	17	60.0
3	18	200.0
3	19	300.0
3	20	300.0
3	21	300.0
3	22	300.0
3	23	330.0
3	24	305.0
4	1	425.0
4	2	425.0
4	3	425.0
4	4	425.0
4	5	425.0
4	6	425.0
4	7	425.0
4	8	425.0
4	9	425.0
4	10	425.0
4	11	425.0
4	12	425.0
4	13	425.0
4	14	475.0
4	15	475.0
4	16	475.0
4	17	443.0
4	18	343.0
4	19	210.0
4	20	250.0
4	21	250.0
4	22	300.0
4	23	350.0
4	24	350.0
5	1	382.0
5	2	382.0
5	3	382.0
5	4	382.0
5	5	382.0
5	6	220.0
5	7	105.0
5	8	131.0
5	9	95.0
5	10	45.0
5	11	57.0
5	12	55.0
5	13	55.0
5	14	57.0
5	15	10.0
5	16	10.0
5	17	10.0
5	18	10.0
5	19	95.0
5	20	55.0
5	21	116.0
5	22	105.0
5	23	166.0
5	24	305.0
6	1	355.0
6	2	355.0
6	3	355.0
6	4	355.0
6	5	355.0
6	6	355.0
6	7	243.0
6	8	243.0
6	9	243.0
6	10	220.0
6	11	243.0
6	12	243.0
6	13	240.0
6	14	243.0
6	15	243.0
6	16	170.0
6	17	170.0
6	18	170.0
6	19	220.0
6	20	220.0
6	21	243.0
6	22	243.0
6	23	243.0
6	24	365.0
7	1	31.0
7	2	31.0
7	3	31.0
7	4	31.0
7	5	31.0
7	6	31.0
7	7	31.0
7	8	31.0
7	9	31.0
7	10	31.0
7	11	31.0
7	12	31.0
7	13	31.0
7	14	31.0
7	15	31.0
7	16	31.0
7	17	31.0
7	18	31.0
7	19	31.0
7	20	31.0
7	21	31.0
7	22	31.0
7	23	31.0
7	24	31.0
8	1	140.0
8	2	140.0
8	3	140.0
8	4	140.0
8	5	140.0
8	6	140.0
8	7	140.0
8	8	140.0
8	9	140.0
8	10	140.0
8	11	140.0
8	12	140.0
8	13	140.0
8	14	140.0
8	15	140.0
8	16	140.0
8	17	140.0
8	18	140.0
8	19	140.0
8	20	140.0
8	21	140.0
8	22	140.0
8	23	140.0
8	24	248.0
9	1	350.0
9	2	350.0
9	3	350.0
9	4	350.0
9	5	397.0
9	6	330.0
9	7	175.0
9	8	175.0
9	9	175.0
9	10	175.0
9	11	275.0
9	12	383.0
9	13	397.0
9	14	512.0
9	15	397.0
9	16	175.0
9	17	200.0
9	18	200.0
9	19	300.0
9	20	300.0
9	21	300.0
9	22	300.0
9	23	350.0
9	24	450.0
10	1	255.0
10	2	255.0
10	3	255.0
10	4	255.0
10	5	255.0
10	6	255.0
10	7	250.0
10	8	250.0
10	9	250.0
10	10	165.0
10	11	165.0
10	12	255.0
10	13	255.0
10	14	255.0
10	15	255.0
10	16	165.0
10	17	200.0
10	18	200.0
10	19	255.0
10	20	255.0
10	21	255.0
10	22	255.0
10	23	235.0
10	24	281.0
11	1	348.0
11	2	348.0
11	3	348.0
11	4	348.0
11	5	348.0
11	6	348.0
11	7	250.0
11	8	250.0
11	9	250.0
11	10	250.0
11	11	300.0
11	12	323.0
11	13	323.0
11	14	323.0
11	15	323.0
11	16	200.0
11	17	200.0
11	18	200.0
11	19	283.0
11	20	300.0
11	21	300.0
11	22	300.0
11	23	348.0
11	24	348.0
12	1	353.0
12	2	353.0
12	3	353.0
12	4	353.0
12	5	353.0
12	6	353.0
12	7	353.0
12	8	353.0
12	9	353.0
12	10	353.0
12	11	353.0
12	12	353.0
12	13	353.0
12	14	353.0
12	15	293.0
12	16	293.0
12	17	293.0
12	18	243.0
12	19	210.0
12	20	250.0
12	21	293.0
12	22	293.0
12	23	293.0
12	24	340.0
13	1	315.0
13	2	360.0
13	3	414.0
13	4	414.0
13	5	360.0
13	6	360.0
13	7	270.0
13	8	194.0
13	9	120.0
13	10	127.0
13	11	250.0
13	12	350.0
13	13	227.0
13	14	400.0
13	15	400.0
13	16	305.0
13	17	200.0
13	18	200.0
13	19	200.0
13	20	227.0
13	21	250.0
13	22	120.0
13	23	175.0
13	24	197.0
14	1	247.0
14	2	247.0
14	3	247.0
14	4	247.0
14	5	247.0
14	6	247.0
14	7	247.0
14	8	136.0
14	9	136.0
14	10	136.0
14	11	136.0
14	12	136.0
14	13	247.0
14	14	247.0
14	15	247.0
14	16	247.0
14	17	197.0
14	18	136.0
14	19	136.0
14	20	136.0
14	21	136.0
14	22	193.0
14	23	247.0
14	24	177.0
15	1	25.0
15	2	31.0
15	3	31.0
15	4	31.0
15	5	31.0
15	6	31.0
15	7	31.0
15	8	31.0
15	9	31.0
15	10	31.0
15	11	31.0
15	12	31.0
15	13	31.0
15	14	31.0
15	15	31.0
15	16	31.0
15	17	31.0
15	18	31.0
15	19	31.0
15	20	25.0
15	21	25.0
15	22	25.0
15	23	25.0
15	24	25.0
16	1	25.0
16	2	0.0
16	3	0.0
16	4	0.0
16	5	0.0
16	6	31.0
16	7	31.0
16	8	31.0
16	9	31.0
16	10	31.0
16	11	31.0
16	12	31.0
16	13	31.0
16	14	31.0
16	15	25.0
16	16	31.0
16	17	31.0
16	18	31.0
16	19	31.0
16	20	25.0
16	21	25.0
16	22	25.0
16	23	25.0
16	24	25.0
17	1	426.0
17	2	426.0
17	3	426.0
17	4	426.0
17	5	426.0
17	6	400.0
17	7	250.0
17	8	250.0
17	9	250.0
17	10	250.0
17	11	324.0
17	12	426.0
17	13	426.0
17	14	426.0
17	15	426.0
17	16	250.0
17	17	200.0
17	18	200.0
17	19	300.0
17	20	300.0
17	21	300.0
17	22	300.0
17	23	350.0
17	24	416.0
18	1	0.0
18	2	0.0
18	3	0.0
18	4	31.0
18	5	31.0
18	6	31.0
18	7	31.0
18	8	31.0
18	9	31.0
18	10	31.0
18	11	31.0
18	12	31.0
18	13	31.0
18	14	31.0
18	15	31.0
18	16	31.0
18	17	31.0
18	18	31.0
18	19	31.0
18	20	31.0
18	21	0.0
18	22	0.0
18	23	0.0
18	24	0.0
19	1	370.0
19	2	370.0
19	3	370.0
19	4	370.0
19	5	370.0
19	6	370.0
19	7	250.0
19	8	250.0
19	9	170.0
19	10	170.0
19	11	208.0
19	12	258.0
19	13	308.0
19	14	326.0
19	15	310.0
19	16	170.0
19	17	197.0
19	18	197.0
19	19	297.0
19	20	297.0
19	21	300.0
19	22	300.0
19	23	350.0
19	24	370.0
20	1	50.0
20	2	50.0
20	3	90.0
20	4	90.0
20	5	87.0
20	6	87.0
20	7	90.0
20	8	90.0
20	9	90.0
20	10	90.0
20	11	90.0
20	12	90.0
20	13	90.0
20	14	90.0
20	15	90.0
20	16	90.0
20	17	90.0
20	18	90.0
20	19	50.0
20	20	50.0
20	21	50.0
20	22	50.0
20	23	50.0
20	24	50.0
21	1	260.0
21	2	260.0
21	3	260.0
21	4	260.0
21	5	260.0
21	6	260.0
21	7	250.0
21	8	250.0
21	9	250.0
21	10	250.0
21	11	300.0
21	12	316.0
21	13	320.0
21	14	320.0
21	15	260.0
21	16	200.0
21	17	200.0
21	18	200.0
21	19	260.0
21	20	260.0
21	21	260.0
21	22	260.0
21	23	260.0
21	24	300.0
22	1	427.0
22	2	430.0
22	3	422.0
22	4	422.0
22	5	450.0
22	6	400.0
22	7	250.0
22	8	250.0
22	9	250.0
22	10	250.0
22	11	300.0
22	12	472.0
22	13	489.0
22	14	489.0
22	15	387.0
22	16	200.0
22	17	200.0
22	18	200.0
22	19	300.0
22	20	300.0
22	21	300.0
22	22	300.0
22	23	350.0
22	24	378.0
23	1	96.0
23	2	96.0
23	3	96.0
23	4	96.0
23	5	96.0
23	6	96.0
23	7	156.0
23	8	156.0
23	9	156.0
23	10	156.0
23	11	156.0
23	12	156.0
23	13	156.0
23	14	156.0
23	15	156.0
23	16	96.0
23	17	96.0
23	18	96.0
23	19	96.0
23	20	96.0
23	21	96.0
23	22	96.0
23	23	96.0
23	24	263.0
24	1	420.0
24	2	439.0
24	3	439.0
24	4	429.0
24	5	439.0
24	6	439.0
24	7	456.0
24	8	479.0
24	9	374.0
24	10	374.0
24	11	374.0
24	12	409.0
24	13	404.0
24	14	404.0
24	15	404.0
24	16	294.0
24	17	399.0
24	18	300.0
24	19	250.0
24	20	250.0
24	21	300.0
24	22	350.0
24	23	350.0
24	24	413.0
25	1	251.0
25	2	251.0
25	3	251.0
25	4	251.0
25	5	251.0
25	6	251.0
25	7	251.0
25	8	120.0
25	9	120.0
25	10	120.0
25	11	114.0
25	12	177.0
25	13	222.0
25	14	222.0
25	15	222.0
25	16	222.0
25	17	80.0
25	18	80.0
25	19	80.0
25	20	80.0
25	21	80.0
25	22	122.0
25	23	170.0
25	24	170.0
26	1	252.0
26	2	260.0
26	3	260.0
26	4	260.0
26	5	256.0
26	6	260.0
26	7	187.0
26	8	130.0
26	9	130.0
26	10	130.0
26	11	130.0
26	12	160.0
26	13	257.0
26	14	257.0
26	15	257.0
26	16	257.0
26	17	150.0
26	18	100.0
26	19	140.0
26	20	197.0
26	21	197.0
26	22	157.0
26	23	177.0
26	24	177.0
27	1	348.0
27	2	348.0
27	3	348.0
27	4	348.0
27	5	348.0
27	6	348.0
27	7	250.0
27	8	250.0
27	9	250.0
27	10	250.0
27	11	350.0
27	12	368.0
27	13	368.0
27	14	368.0
27	15	368.0
27	16	210.0
27	17	200.0
27	18	200.0
27	19	288.0
27	20	300.0
27	21	300.0
27	22	300.0
27	23	348.0
27	24	404.0
28	1	348.0
28	2	348.0
28	3	348.0
28	4	348.0
28	5	348.0
28	6	348.0
28	7	250.0
28	8	250.0
28	9	250.0
28	10	250.0
28	11	350.0
28	12	368.0
28	13	368.0
28	14	368.0
28	15	368.0
28	16	210.0
28	17	200.0
28	18	200.0
28	19	288.0
28	20	300.0
28	21	300.0
28	22	300.0
28	23	348.0
28	24	404.0
