Node	Time	CapacityUpVolume
1	1	0.0
1	2	0.0
1	3	0.0
1	4	15.0
1	5	0.0
1	6	0.0
1	7	30.0
1	8	93.0
1	9	89.0
1	10	104.0
1	11	80.0
1	12	30.0
1	13	30.0
1	14	30.0
1	15	30.0
1	16	25.0
1	17	30.0
1	18	94.0
1	19	50.0
1	20	50.0
1	21	28.0
1	22	5.0
1	23	5.0
1	24	0.0
2	1	15.0
2	2	15.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	5.0
2	7	74.0
2	8	30.0
2	9	20.0
2	10	37.0
2	11	37.0
2	12	20.0
2	13	20.0
2	14	20.0
2	15	20.0
2	16	30.0
2	17	30.0
2	18	105.0
2	19	20.0
2	20	20.0
2	21	5.0
2	22	0.0
2	23	0.0
2	24	0.0
3	1	170.0
3	2	170.0
3	3	170.0
3	4	170.0
3	5	170.0
3	6	195.0
3	7	193.0
3	8	153.0
3	9	133.0
3	10	195.0
3	11	113.0
3	12	195.0
3	13	170.0
3	14	170.0
3	15	170.0
3	16	158.0
3	17	195.0
3	18	113.0
3	19	183.0
3	20	195.0
3	21	195.0
3	22	195.0
3	23	170.0
3	24	116.0
4	1	90.0
4	2	88.0
4	3	88.0
4	4	88.0
4	5	88.0
4	6	90.0
4	7	90.0
4	8	90.0
4	9	90.0
4	10	90.0
4	11	52.0
4	12	90.0
4	13	90.0
4	14	65.0
4	15	90.0
4	16	57.0
4	17	57.0
4	18	57.0
4	19	82.0
4	20	82.0
4	21	115.0
4	22	115.0
4	23	102.0
4	24	95.0
5	1	35.0
5	2	35.0
5	3	10.0
5	4	10.0
5	5	10.0
5	6	172.0
5	7	251.0
5	8	251.0
5	9	251.0
5	10	251.0
5	11	251.0
5	12	251.0
5	13	226.0
5	14	221.0
5	15	251.0
5	16	251.0
5	17	251.0
5	18	251.0
5	19	251.0
5	20	251.0
5	21	226.0
5	22	180.0
5	23	0.0
5	24	35.0
6	1	10.0
6	2	10.0
6	3	10.0
6	4	10.0
6	5	10.0
6	6	20.0
6	7	20.0
6	8	20.0
6	9	55.0
6	10	45.0
6	11	45.0
6	12	45.0
6	13	35.0
6	14	45.0
6	15	75.0
6	16	45.0
6	17	75.0
6	18	75.0
6	19	74.0
6	20	45.0
6	21	45.0
6	22	35.0
6	23	10.0
6	24	0.0
7	1	50.0
7	2	50.0
7	3	50.0
7	4	60.0
7	5	50.0
7	6	50.0
7	7	65.0
7	8	105.0
7	9	115.0
7	10	105.0
7	11	75.0
7	12	65.0
7	13	65.0
7	14	65.0
7	15	65.0
7	16	65.0
7	17	75.0
7	18	95.0
7	19	105.0
7	20	105.0
7	21	65.0
7	22	65.0
7	23	55.0
7	24	65.0
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	0.0
8	6	20.0
8	7	20.0
8	8	20.0
8	9	20.0
8	10	20.0
8	11	20.0
8	12	20.0
8	13	0.0
8	14	0.0
8	15	0.0
8	16	0.0
8	17	20.0
8	18	20.0
8	19	20.0
8	20	20.0
8	21	20.0
8	22	20.0
8	23	15.0
8	24	0.0
9	1	0.0
9	2	0.0
9	3	0.0
9	4	0.0
9	5	43.0
9	6	68.0
9	7	68.0
9	8	68.0
9	9	68.0
9	10	68.0
9	11	68.0
9	12	68.0
9	13	43.0
9	14	43.0
9	15	43.0
9	16	43.0
9	17	53.0
9	18	63.0
9	19	68.0
9	20	68.0
9	21	68.0
9	22	68.0
9	23	43.0
9	24	30.0
10	1	96.0
10	2	96.0
10	3	96.0
10	4	96.0
10	5	120.0
10	6	120.0
10	7	120.0
10	8	120.0
10	9	120.0
10	10	130.0
10	11	130.0
10	12	105.0
10	13	105.0
10	14	105.0
10	15	105.0
10	16	130.0
10	17	129.0
10	18	130.0
10	19	130.0
10	20	130.0
10	21	130.0
10	22	130.0
10	23	130.0
10	24	130.0
11	1	20.0
11	2	20.0
11	3	20.0
11	4	20.0
11	5	62.0
11	6	99.0
11	7	99.0
11	8	99.0
11	9	96.0
11	10	99.0
11	11	74.0
11	12	45.0
11	13	20.0
11	14	0.0
11	15	16.0
11	16	13.0
11	17	89.0
11	18	99.0
11	19	99.0
11	20	99.0
11	21	99.0
11	22	99.0
11	23	90.0
11	24	79.0
12	1	0.0
12	2	0.0
12	3	75.0
12	4	75.0
12	5	75.0
12	6	0.0
12	7	154.0
12	8	154.0
12	9	0.0
12	10	0.0
12	11	0.0
12	12	0.0
12	13	0.0
12	14	0.0
12	15	60.0
12	16	0.0
12	17	33.0
12	18	156.0
12	19	211.0
12	20	74.0
12	21	85.0
12	22	85.0
12	23	85.0
12	24	135.0
13	1	76.0
13	2	76.0
13	3	0.0
13	4	0.0
13	5	51.0
13	6	51.0
13	7	51.0
13	8	61.0
13	9	86.0
13	10	86.0
13	11	86.0
13	12	86.0
13	13	86.0
13	14	86.0
13	15	86.0
13	16	86.0
13	17	86.0
13	18	86.0
13	19	86.0
13	20	86.0
13	21	86.0
13	22	86.0
13	23	61.0
13	24	61.0
14	1	132.0
14	2	87.0
14	3	87.0
14	4	87.0
14	5	87.0
14	6	112.0
14	7	132.0
14	8	299.0
14	9	299.0
14	10	279.0
14	11	279.0
14	12	269.0
14	13	122.0
14	14	36.0
14	15	39.0
14	16	20.0
14	17	97.0
14	18	299.0
14	19	299.0
14	20	299.0
14	21	299.0
14	22	186.0
14	23	132.0
14	24	132.0
15	1	20.0
15	2	0.0
15	3	0.0
15	4	0.0
15	5	0.0
15	6	25.0
15	7	35.0
15	8	45.0
15	9	45.0
15	10	45.0
15	11	35.0
15	12	35.0
15	13	15.0
15	14	15.0
15	15	15.0
15	16	15.0
15	17	35.0
15	18	45.0
15	19	45.0
15	20	45.0
15	21	35.0
15	22	15.0
15	23	35.0
15	24	5.0
16	1	94.0
16	2	94.0
16	3	94.0
16	4	94.0
16	5	94.0
16	6	94.0
16	7	99.0
16	8	109.0
16	9	109.0
16	10	109.0
16	11	99.0
16	12	99.0
16	13	99.0
16	14	99.0
16	15	99.0
16	16	99.0
16	17	99.0
16	18	109.0
16	19	109.0
16	20	109.0
16	21	99.0
16	22	99.0
16	23	35.0
16	24	94.0
17	1	0.0
17	2	0.0
17	3	0.0
17	4	0.0
17	5	16.0
17	6	16.0
17	7	15.0
17	8	15.0
17	9	16.0
17	10	16.0
17	11	15.0
17	12	16.0
17	13	0.0
17	14	0.0
17	15	0.0
17	16	0.0
17	17	16.0
17	18	16.0
17	19	15.0
17	20	16.0
17	21	16.0
17	22	16.0
17	23	15.0
17	24	16.0
18	1	60.0
18	2	60.0
18	3	60.0
18	4	50.0
18	5	50.0
18	6	50.0
18	7	65.0
18	8	115.0
18	9	115.0
18	10	105.0
18	11	65.0
18	12	65.0
18	13	65.0
18	14	65.0
18	15	65.0
18	16	65.0
18	17	105.0
18	18	115.0
18	19	103.0
18	20	115.0
18	21	65.0
18	22	65.0
18	23	60.0
18	24	50.0
19	1	60.0
19	2	100.0
19	3	100.0
19	4	100.0
19	5	116.0
19	6	116.0
19	7	115.0
19	8	116.0
19	9	116.0
19	10	116.0
19	11	115.0
19	12	116.0
19	13	100.0
19	14	100.0
19	15	95.0
19	16	60.0
19	17	116.0
19	18	116.0
19	19	115.0
19	20	116.0
19	21	116.0
19	22	116.0
19	23	115.0
19	24	116.0
20	1	103.0
20	2	103.0
20	3	103.0
20	4	103.0
20	5	103.0
20	6	103.0
20	7	103.0
20	8	118.0
20	9	118.0
20	10	103.0
20	11	103.0
20	12	103.0
20	13	103.0
20	14	103.0
20	15	103.0
20	16	118.0
20	17	118.0
20	18	118.0
20	19	118.0
20	20	118.0
20	21	103.0
20	22	103.0
20	23	103.0
20	24	28.0
21	1	96.0
21	2	96.0
21	3	96.0
21	4	96.0
21	5	243.0
21	6	268.0
21	7	268.0
21	8	268.0
21	9	268.0
21	10	268.0
21	11	268.0
21	12	268.0
21	13	243.0
21	14	243.0
21	15	243.0
21	16	243.0
21	17	243.0
21	18	268.0
21	19	268.0
21	20	268.0
21	21	268.0
21	22	268.0
21	23	243.0
21	24	0.0
22	1	179.0
22	2	179.0
22	3	179.0
22	4	179.0
22	5	190.0
22	6	205.0
22	7	205.0
22	8	205.0
22	9	205.0
22	10	205.0
22	11	205.0
22	12	205.0
22	13	205.0
22	14	190.0
22	15	190.0
22	16	190.0
22	17	149.0
22	18	199.0
22	19	205.0
22	20	205.0
22	21	205.0
22	22	205.0
22	23	100.0
22	24	183.0
23	1	55.0
23	2	55.0
23	3	55.0
23	4	55.0
23	5	80.0
23	6	147.0
23	7	147.0
23	8	147.0
23	9	147.0
23	10	147.0
23	11	147.0
23	12	125.0
23	13	55.0
23	14	55.0
23	15	55.0
23	16	55.0
23	17	147.0
23	18	147.0
23	19	147.0
23	20	147.0
23	21	147.0
23	22	147.0
23	23	147.0
23	24	70.0
24	1	15.0
24	2	15.0
24	3	15.0
24	4	15.0
24	5	15.0
24	6	15.0
24	7	15.0
24	8	15.0
24	9	79.0
24	10	29.0
24	11	29.0
24	12	29.0
24	13	14.0
24	14	10.0
24	15	79.0
24	16	10.0
24	17	90.0
24	18	40.0
24	19	86.0
24	20	158.0
24	21	40.0
24	22	40.0
24	23	40.0
24	24	0.0
25	1	130.0
25	2	130.0
25	3	130.0
25	4	130.0
25	5	130.0
25	6	130.0
25	7	138.0
25	8	138.0
25	9	138.0
25	10	80.0
25	11	30.0
25	12	30.0
25	13	30.0
25	14	30.0
25	15	80.0
25	16	80.0
25	17	130.0
25	18	130.0
25	19	138.0
25	20	163.0
25	21	163.0
25	22	163.0
25	23	163.0
25	24	163.0
26	1	130.0
26	2	130.0
26	3	130.0
26	4	130.0
26	5	130.0
26	6	130.0
26	7	203.0
26	8	260.0
26	9	260.0
26	10	260.0
26	11	260.0
26	12	230.0
26	13	173.0
26	14	173.0
26	15	173.0
26	16	173.0
26	17	173.0
26	18	193.0
26	19	193.0
26	20	193.0
26	21	193.0
26	22	193.0
26	23	173.0
26	24	173.0
27	1	10.0
27	2	0.0
27	3	0.0
27	4	0.0
27	5	89.0
27	6	99.0
27	7	99.0
27	8	99.0
27	9	99.0
27	10	99.0
27	11	99.0
27	12	99.0
27	13	74.0
27	14	74.0
27	15	74.0
27	16	37.0
27	17	79.0
27	18	97.0
27	19	99.0
27	20	99.0
27	21	99.0
27	22	99.0
27	23	99.0
27	24	0.0
28	1	10.0
28	2	0.0
28	3	0.0
28	4	0.0
28	5	89.0
28	6	99.0
28	7	99.0
28	8	99.0
28	9	99.0
28	10	99.0
28	11	99.0
28	12	99.0
28	13	74.0
28	14	74.0
28	15	74.0
28	16	37.0
28	17	79.0
28	18	97.0
28	19	99.0
28	20	99.0
28	21	99.0
28	22	99.0
28	23	99.0
28	24	0.0
