Node	Time	ID_Capacity_Buy_Volume
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.1
1	11	16.9
1	12	4.4
1	13	1.7
1	14	5.0
1	15	2.1
1	16	10.5
1	17	12.3
1	18	4.6
1	19	17.8
1	20	11.5
1	21	5.5
1	22	16.9
1	23	14.6
1	24	11.0
2	1	0.4
2	2	15.0
2	3	23.2
2	4	12.1
2	5	54.2
2	6	61.1
2	7	75.5
2	8	20.7
2	9	0.3
2	10	10.8
2	11	28.0
2	12	67.2
2	13	33.4
2	14	0.0
2	15	11.2
2	16	0.0
2	17	166.6
2	18	75.8
2	19	4.5
2	20	0.0
2	21	0.0
2	22	0.0
2	23	6.9
2	24	13.3
3	1	0.4
3	2	15.0
3	3	23.2
3	4	12.1
3	5	54.2
3	6	61.1
3	7	75.5
3	8	20.7
3	9	0.3
3	10	10.8
3	11	28.0
3	12	67.2
3	13	33.4
3	14	0.0
3	15	11.2
3	16	0.0
3	17	166.6
3	18	75.8
3	19	4.5
3	20	0.0
3	21	0.0
3	22	0.0
3	23	6.9
3	24	13.3
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.0
4	7	0.0
4	8	0.0
4	9	0.0
4	10	0.1
4	11	16.9
4	12	4.4
4	13	1.7
4	14	5.0
4	15	2.1
4	16	10.5
4	17	12.3
4	18	4.6
4	19	17.8
4	20	11.5
4	21	5.5
4	22	16.9
4	23	14.6
4	24	11.0
5	1	0.4
5	2	15.0
5	3	23.2
5	4	12.1
5	5	54.2
5	6	61.1
5	7	75.5
5	8	20.7
5	9	0.3
5	10	10.8
5	11	28.0
5	12	67.2
5	13	33.4
5	14	0.0
5	15	11.2
5	16	0.0
5	17	166.6
5	18	75.8
5	19	4.5
5	20	0.0
5	21	0.0
5	22	0.0
5	23	6.9
5	24	13.3
6	1	21.7
6	2	13.6
6	3	18.7
6	4	32.9
6	5	9.1
6	6	19.8
6	7	7.0
6	8	0.0
6	9	37.3
6	10	47.4
6	11	37.0
6	12	7.3
6	13	2.4
6	14	9.9
6	15	5.5
6	16	41.2
6	17	76.6
6	18	4.1
6	19	10.2
6	20	10.1
6	21	9.9
6	22	7.8
6	23	20.4
6	24	21.4
7	1	8.9
7	2	1.7
7	3	2.5
7	4	1.5
7	5	0.9
7	6	36.1
7	7	3.1
7	8	7.7
7	9	13.2
7	10	30.8
7	11	5.1
7	12	12.9
7	13	119.5
7	14	18.0
7	15	87.8
7	16	23.1
7	17	23.8
7	18	34.2
7	19	5.4
7	20	10.1
7	21	10.3
7	22	35.1
7	23	25.6
7	24	13.8
8	1	10.2
8	2	42.5
8	3	50.0
8	4	44.6
8	5	32.9
8	6	5.0
8	7	8.8
8	8	31.8
8	9	20.9
8	10	2.0
8	11	0.0
8	12	9.1
8	13	14.6
8	14	31.2
8	15	25.3
8	16	16.0
8	17	45.7
8	18	12.4
8	19	46.0
8	20	9.5
8	21	0.5
8	22	4.2
8	23	27.9
8	24	56.5
9	1	0.4
9	2	15.0
9	3	23.2
9	4	12.1
9	5	54.2
9	6	61.1
9	7	75.5
9	8	20.7
9	9	0.3
9	10	10.8
9	11	28.0
9	12	67.2
9	13	33.4
9	14	0.0
9	15	11.2
9	16	0.0
9	17	166.6
9	18	75.8
9	19	4.5
9	20	0.0
9	21	0.0
9	22	0.0
9	23	6.9
9	24	13.3
10	1	0.0
10	2	5.0
10	3	2.0
10	4	0.0
10	5	2.1
10	6	7.3
10	7	17.3
10	8	7.4
10	9	6.4
10	10	25.8
10	11	12.3
10	12	33.8
10	13	12.8
10	14	92.7
10	15	211.7
10	16	113.2
10	17	78.7
10	18	74.8
10	19	65.6
10	20	73.9
10	21	47.9
10	22	84.6
10	23	32.7
10	24	30.3
11	1	0.4
11	2	15.0
11	3	23.2
11	4	12.1
11	5	54.2
11	6	61.1
11	7	75.5
11	8	20.7
11	9	0.3
11	10	10.8
11	11	28.0
11	12	67.2
11	13	33.4
11	14	0.0
11	15	11.2
11	16	0.0
11	17	166.6
11	18	75.8
11	19	4.5
11	20	0.0
11	21	0.0
11	22	0.0
11	23	6.9
11	24	13.3
12	1	0.4
12	2	15.0
12	3	23.2
12	4	12.1
12	5	54.2
12	6	61.1
12	7	75.5
12	8	20.7
12	9	0.3
12	10	10.8
12	11	28.0
12	12	67.2
12	13	33.4
12	14	0.0
12	15	11.2
12	16	0.0
12	17	166.6
12	18	75.8
12	19	4.5
12	20	0.0
12	21	0.0
12	22	0.0
12	23	6.9
12	24	13.3
13	1	6.4
13	2	2.2
13	3	0.0
13	4	0.0
13	5	0.0
13	6	0.0
13	7	1.9
13	8	56.7
13	9	41.1
13	10	42.8
13	11	247.2
13	12	36.3
13	13	88.8
13	14	23.7
13	15	113.5
13	16	455.4
13	17	144.6
13	18	130.0
13	19	65.1
13	20	95.4
13	21	59.1
13	22	67.1
13	23	88.8
13	24	107.0
14	1	0.0
14	2	0.0
14	3	0.0
14	4	0.0
14	5	0.0
14	6	0.0
14	7	0.0
14	8	0.0
14	9	0.0
14	10	0.1
14	11	16.9
14	12	4.4
14	13	1.7
14	14	5.0
14	15	2.1
14	16	10.5
14	17	12.3
14	18	4.6
14	19	17.8
14	20	11.5
14	21	5.5
14	22	16.9
14	23	14.6
14	24	11.0
15	1	8.9
15	2	1.7
15	3	2.5
15	4	1.5
15	5	0.9
15	6	36.1
15	7	3.1
15	8	7.7
15	9	13.2
15	10	30.8
15	11	5.1
15	12	12.9
15	13	119.5
15	14	18.0
15	15	87.8
15	16	23.1
15	17	23.8
15	18	34.2
15	19	5.4
15	20	10.1
15	21	10.3
15	22	35.1
15	23	25.6
15	24	13.8
16	1	0.4
16	2	15.0
16	3	23.2
16	4	12.1
16	5	54.2
16	6	61.1
16	7	75.5
16	8	20.7
16	9	0.3
16	10	10.8
16	11	28.0
16	12	67.2
16	13	33.4
16	14	0.0
16	15	11.2
16	16	0.0
16	17	166.6
16	18	75.8
16	19	4.5
16	20	0.0
16	21	0.0
16	22	0.0
16	23	6.9
16	24	13.3
17	1	8.9
17	2	1.7
17	3	2.5
17	4	1.5
17	5	0.9
17	6	36.1
17	7	3.1
17	8	7.7
17	9	13.2
17	10	30.8
17	11	5.1
17	12	12.9
17	13	119.5
17	14	18.0
17	15	87.8
17	16	23.1
17	17	23.8
17	18	34.2
17	19	5.4
17	20	10.1
17	21	10.3
17	22	35.1
17	23	25.6
17	24	13.8
18	1	0.0
18	2	0.0
18	3	0.0
18	4	0.0
18	5	0.0
18	6	0.0
18	7	0.0
18	8	0.0
18	9	0.0
18	10	0.1
18	11	16.9
18	12	4.4
18	13	1.7
18	14	5.0
18	15	2.1
18	16	10.5
18	17	12.3
18	18	4.6
18	19	17.8
18	20	11.5
18	21	5.5
18	22	16.9
18	23	14.6
18	24	11.0
19	1	10.2
19	2	42.5
19	3	50.0
19	4	44.6
19	5	32.9
19	6	5.0
19	7	8.8
19	8	31.8
19	9	20.9
19	10	2.0
19	11	0.0
19	12	9.1
19	13	14.6
19	14	31.2
19	15	25.3
19	16	16.0
19	17	45.7
19	18	12.4
19	19	46.0
19	20	9.5
19	21	0.5
19	22	4.2
19	23	27.9
19	24	56.5
20	1	10.2
20	2	42.5
20	3	50.0
20	4	44.6
20	5	32.9
20	6	5.0
20	7	8.8
20	8	31.8
20	9	20.9
20	10	2.0
20	11	0.0
20	12	9.1
20	13	14.6
20	14	31.2
20	15	25.3
20	16	16.0
20	17	45.7
20	18	12.4
20	19	46.0
20	20	9.5
20	21	0.5
20	22	4.2
20	23	27.9
20	24	56.5
21	1	0.0
21	2	5.0
21	3	2.0
21	4	0.0
21	5	2.1
21	6	7.3
21	7	17.3
21	8	7.4
21	9	6.4
21	10	25.8
21	11	12.3
21	12	33.8
21	13	12.8
21	14	92.7
21	15	211.7
21	16	113.2
21	17	78.7
21	18	74.8
21	19	65.6
21	20	73.9
21	21	47.9
21	22	84.6
21	23	32.7
21	24	30.3
22	1	10.2
22	2	42.5
22	3	50.0
22	4	44.6
22	5	32.9
22	6	5.0
22	7	8.8
22	8	31.8
22	9	20.9
22	10	2.0
22	11	0.0
22	12	9.1
22	13	14.6
22	14	31.2
22	15	25.3
22	16	16.0
22	17	45.7
22	18	12.4
22	19	46.0
22	20	9.5
22	21	0.5
22	22	4.2
22	23	27.9
22	24	56.5
23	1	10.2
23	2	42.5
23	3	50.0
23	4	44.6
23	5	32.9
23	6	5.0
23	7	8.8
23	8	31.8
23	9	20.9
23	10	2.0
23	11	0.0
23	12	9.1
23	13	14.6
23	14	31.2
23	15	25.3
23	16	16.0
23	17	45.7
23	18	12.4
23	19	46.0
23	20	9.5
23	21	0.5
23	22	4.2
23	23	27.9
23	24	56.5
24	1	0.0
24	2	0.0
24	3	0.0
24	4	0.0
24	5	0.0
24	6	0.0
24	7	0.0
24	8	0.0
24	9	0.0
24	10	0.1
24	11	16.9
24	12	4.4
24	13	1.7
24	14	5.0
24	15	2.1
24	16	10.5
24	17	12.3
24	18	4.6
24	19	17.8
24	20	11.5
24	21	5.5
24	22	16.9
24	23	14.6
24	24	11.0
25	1	8.9
25	2	1.7
25	3	2.5
25	4	1.5
25	5	0.9
25	6	36.1
25	7	3.1
25	8	7.7
25	9	13.2
25	10	30.8
25	11	5.1
25	12	12.9
25	13	119.5
25	14	18.0
25	15	87.8
25	16	23.1
25	17	23.8
25	18	34.2
25	19	5.4
25	20	10.1
25	21	10.3
25	22	35.1
25	23	25.6
25	24	13.8
26	1	0.4
26	2	15.0
26	3	23.2
26	4	12.1
26	5	54.2
26	6	61.1
26	7	75.5
26	8	20.7
26	9	0.3
26	10	10.8
26	11	28.0
26	12	67.2
26	13	33.4
26	14	0.0
26	15	11.2
26	16	0.0
26	17	166.6
26	18	75.8
26	19	4.5
26	20	0.0
26	21	0.0
26	22	0.0
26	23	6.9
26	24	13.3
27	1	0.0
27	2	5.0
27	3	2.0
27	4	0.0
27	5	2.1
27	6	7.3
27	7	17.3
27	8	7.4
27	9	6.4
27	10	25.8
27	11	12.3
27	12	33.8
27	13	12.8
27	14	92.7
27	15	211.7
27	16	113.2
27	17	78.7
27	18	74.8
27	19	65.6
27	20	73.9
27	21	47.9
27	22	84.6
27	23	32.7
27	24	30.3
28	1	0.0
28	2	5.0
28	3	2.0
28	4	0.0
28	5	2.1
28	6	7.3
28	7	17.3
28	8	7.4
28	9	6.4
28	10	25.8
28	11	12.3
28	12	33.8
28	13	12.8
28	14	92.7
28	15	211.7
28	16	113.2
28	17	78.7
28	18	74.8
28	19	65.6
28	20	73.9
28	21	47.9
28	22	84.6
28	23	32.7
28	24	30.3
29	1	10.2
29	2	42.5
29	3	50.0
29	4	44.6
29	5	32.9
29	6	5.0
29	7	8.8
29	8	31.8
29	9	20.9
29	10	2.0
29	11	0.0
29	12	9.1
29	13	14.6
29	14	31.2
29	15	25.3
29	16	16.0
29	17	45.7
29	18	12.4
29	19	46.0
29	20	9.5
29	21	0.5
29	22	4.2
29	23	27.9
29	24	56.5
30	1	21.7
30	2	13.6
30	3	18.7
30	4	32.9
30	5	9.1
30	6	19.8
30	7	7.0
30	8	0.0
30	9	37.3
30	10	47.4
30	11	37.0
30	12	7.3
30	13	2.4
30	14	9.9
30	15	5.5
30	16	41.2
30	17	76.6
30	18	4.1
30	19	10.2
30	20	10.1
30	21	9.9
30	22	7.8
30	23	20.4
30	24	21.4
31	1	6.4
31	2	2.2
31	3	0.0
31	4	0.0
31	5	0.0
31	6	0.0
31	7	1.9
31	8	56.7
31	9	41.1
31	10	42.8
31	11	247.2
31	12	36.3
31	13	88.8
31	14	23.7
31	15	113.5
31	16	455.4
31	17	144.6
31	18	130.0
31	19	65.1
31	20	95.4
31	21	59.1
31	22	67.1
31	23	88.8
31	24	107.0
32	1	21.7
32	2	13.6
32	3	18.7
32	4	32.9
32	5	9.1
32	6	19.8
32	7	7.0
32	8	0.0
32	9	37.3
32	10	47.4
32	11	37.0
32	12	7.3
32	13	2.4
32	14	9.9
32	15	5.5
32	16	41.2
32	17	76.6
32	18	4.1
32	19	10.2
32	20	10.1
32	21	9.9
32	22	7.8
32	23	20.4
32	24	21.4
33	1	10.2
33	2	42.5
33	3	50.0
33	4	44.6
33	5	32.9
33	6	5.0
33	7	8.8
33	8	31.8
33	9	20.9
33	10	2.0
33	11	0.0
33	12	9.1
33	13	14.6
33	14	31.2
33	15	25.3
33	16	16.0
33	17	45.7
33	18	12.4
33	19	46.0
33	20	9.5
33	21	0.5
33	22	4.2
33	23	27.9
33	24	56.5
34	1	10.2
34	2	42.5
34	3	50.0
34	4	44.6
34	5	32.9
34	6	5.0
34	7	8.8
34	8	31.8
34	9	20.9
34	10	2.0
34	11	0.0
34	12	9.1
34	13	14.6
34	14	31.2
34	15	25.3
34	16	16.0
34	17	45.7
34	18	12.4
34	19	46.0
34	20	9.5
34	21	0.5
34	22	4.2
34	23	27.9
34	24	56.5
35	1	0.0
35	2	5.0
35	3	2.0
35	4	0.0
35	5	2.1
35	6	7.3
35	7	17.3
35	8	7.4
35	9	6.4
35	10	25.8
35	11	12.3
35	12	33.8
35	13	12.8
35	14	92.7
35	15	211.7
35	16	113.2
35	17	78.7
35	18	74.8
35	19	65.6
35	20	73.9
35	21	47.9
35	22	84.6
35	23	32.7
35	24	30.3
36	1	21.7
36	2	13.6
36	3	18.7
36	4	32.9
36	5	9.1
36	6	19.8
36	7	7.0
36	8	0.0
36	9	37.3
36	10	47.4
36	11	37.0
36	12	7.3
36	13	2.4
36	14	9.9
36	15	5.5
36	16	41.2
36	17	76.6
36	18	4.1
36	19	10.2
36	20	10.1
36	21	9.9
36	22	7.8
36	23	20.4
36	24	21.4
37	1	10.2
37	2	42.5
37	3	50.0
37	4	44.6
37	5	32.9
37	6	5.0
37	7	8.8
37	8	31.8
37	9	20.9
37	10	2.0
37	11	0.0
37	12	9.1
37	13	14.6
37	14	31.2
37	15	25.3
37	16	16.0
37	17	45.7
37	18	12.4
37	19	46.0
37	20	9.5
37	21	0.5
37	22	4.2
37	23	27.9
37	24	56.5
38	1	0.0
38	2	5.0
38	3	2.0
38	4	0.0
38	5	2.1
38	6	7.3
38	7	17.3
38	8	7.4
38	9	6.4
38	10	25.8
