Node	Time	ID_Capacity_Sell_Volume
1	1	0.0
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.1
1	11	16.9
1	12	20.6
1	13	1.7
1	14	5.0
1	15	2.1
1	16	10.6
1	17	55.2
1	18	20.8
1	19	30.8
1	20	26.0
1	21	21.0
1	22	38.3
1	23	122.9
1	24	110.5
2	1	10.0
2	2	19.0
2	3	2.1
2	4	0.1
2	5	5.7
2	6	18.9
2	7	43.2
2	8	69.3
2	9	70.1
2	10	77.0
2	11	20.5
2	12	37.3
2	13	7.6
2	14	19.1
2	15	137.4
2	16	42.0
2	17	12.8
2	18	20.5
2	19	32.8
2	20	19.9
2	21	13.4
2	22	62.7
2	23	74.6
2	24	73.8
3	1	8.8
3	2	10.9
3	3	24.1
3	4	33.0
3	5	11.6
3	6	22.3
3	7	6.6
3	8	0.0
3	9	32.3
3	10	114.6
3	11	34.8
3	12	28.9
3	13	0.5
3	14	15.8
3	15	3.2
3	16	34.0
3	17	78.7
3	18	5.2
3	19	5.8
3	20	7.0
3	21	5.4
3	22	9.2
3	23	11.4
3	24	22.6
4	1	6.0
4	2	2.2
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.0
4	7	3.9
4	8	32.2
4	9	40.3
4	10	42.3
4	11	258.6
4	12	38.0
4	13	47.5
4	14	17.2
4	15	36.9
4	16	310.8
4	17	48.3
4	18	28.8
4	19	19.5
4	20	82.2
4	21	56.5
4	22	57.0
4	23	21.9
4	24	66.9
5	1	8.8
5	2	10.9
5	3	24.1
5	4	33.0
5	5	11.6
5	6	22.3
5	7	6.6
5	8	0.0
5	9	32.3
5	10	114.6
5	11	34.8
5	12	28.9
5	13	0.5
5	14	15.8
5	15	3.2
5	16	34.0
5	17	78.7
5	18	5.2
5	19	5.8
5	20	7.0
5	21	5.4
5	22	9.2
5	23	11.4
5	24	22.6
6	1	3.0
6	2	25.1
6	3	39.3
6	4	21.7
6	5	39.2
6	6	48.6
6	7	33.1
6	8	6.5
6	9	0.3
6	10	0.1
6	11	26.5
6	12	68.9
6	13	22.5
6	14	0.0
6	15	11.1
6	16	3.6
6	17	127.4
6	18	55.5
6	19	1.1
6	20	0.0
6	21	0.0
6	22	0.0
6	23	19.0
6	24	12.5
7	1	10.0
7	2	19.0
7	3	2.1
7	4	0.1
7	5	5.7
7	6	18.9
7	7	43.2
7	8	69.3
7	9	70.1
7	10	77.0
7	11	20.5
7	12	37.3
7	13	7.6
7	14	19.1
7	15	137.4
7	16	42.0
7	17	12.8
7	18	20.5
7	19	32.8
7	20	19.9
7	21	13.4
7	22	62.7
7	23	74.6
7	24	73.8
8	1	5.3
8	2	6.9
8	3	5.4
8	4	11.2
8	5	7.9
8	6	2.0
8	7	5.1
8	8	10.8
8	9	3.9
8	10	5.6
8	11	1.4
8	12	5.9
8	13	3.0
8	14	135.6
8	15	24.3
8	16	22.7
8	17	68.1
8	18	36.8
8	19	97.5
8	20	8.5
8	21	0.3
8	22	2.1
8	23	8.7
8	24	45.2
9	1	5.3
9	2	6.9
9	3	5.4
9	4	11.2
9	5	7.9
9	6	2.0
9	7	5.1
9	8	10.8
9	9	3.9
9	10	5.6
9	11	1.4
9	12	5.9
9	13	3.0
9	14	135.6
9	15	24.3
9	16	22.7
9	17	68.1
9	18	36.8
9	19	97.5
9	20	8.5
9	21	0.3
9	22	2.1
9	23	8.7
9	24	45.2
10	1	3.0
10	2	25.1
10	3	39.3
10	4	21.7
10	5	39.2
10	6	48.6
10	7	33.1
10	8	6.5
10	9	0.3
10	10	0.1
10	11	26.5
10	12	68.9
10	13	22.5
10	14	0.0
10	15	11.1
10	16	3.6
10	17	127.4
10	18	55.5
10	19	1.1
10	20	0.0
10	21	0.0
10	22	0.0
10	23	19.0
10	24	12.5
11	1	5.3
11	2	6.9
11	3	5.4
11	4	11.2
11	5	7.9
11	6	2.0
11	7	5.1
11	8	10.8
11	9	3.9
11	10	5.6
11	11	1.4
11	12	5.9
11	13	3.0
11	14	135.6
11	15	24.3
11	16	22.7
11	17	68.1
11	18	36.8
11	19	97.5
11	20	8.5
11	21	0.3
11	22	2.1
11	23	8.7
11	24	45.2
12	1	5.3
12	2	6.9
12	3	5.4
12	4	11.2
12	5	7.9
12	6	2.0
12	7	5.1
12	8	10.8
12	9	3.9
12	10	5.6
12	11	1.4
12	12	5.9
12	13	3.0
12	14	135.6
12	15	24.3
12	16	22.7
12	17	68.1
12	18	36.8
12	19	97.5
12	20	8.5
12	21	0.3
12	22	2.1
12	23	8.7
12	24	45.2
13	1	5.3
13	2	6.9
13	3	5.4
13	4	11.2
13	5	7.9
13	6	2.0
13	7	5.1
13	8	10.8
13	9	3.9
13	10	5.6
13	11	1.4
13	12	5.9
13	13	3.0
13	14	135.6
13	15	24.3
13	16	22.7
13	17	68.1
13	18	36.8
13	19	97.5
13	20	8.5
13	21	0.3
13	22	2.1
13	23	8.7
13	24	45.2
14	1	8.8
14	2	10.9
14	3	24.1
14	4	33.0
14	5	11.6
14	6	22.3
14	7	6.6
14	8	0.0
14	9	32.3
14	10	114.6
14	11	34.8
14	12	28.9
14	13	0.5
14	14	15.8
14	15	3.2
14	16	34.0
14	17	78.7
14	18	5.2
14	19	5.8
14	20	7.0
14	21	5.4
14	22	9.2
14	23	11.4
14	24	22.6
15	1	6.0
15	2	2.2
15	3	0.0
15	4	0.0
15	5	0.0
15	6	0.0
15	7	3.9
15	8	32.2
15	9	40.3
15	10	42.3
15	11	258.6
15	12	38.0
15	13	47.5
15	14	17.2
15	15	36.9
15	16	310.8
15	17	48.3
15	18	28.8
15	19	19.5
15	20	82.2
15	21	56.5
15	22	57.0
15	23	21.9
15	24	66.9
16	1	8.8
16	2	10.9
16	3	24.1
16	4	33.0
16	5	11.6
16	6	22.3
16	7	6.6
16	8	0.0
16	9	32.3
16	10	114.6
16	11	34.8
16	12	28.9
16	13	0.5
16	14	15.8
16	15	3.2
16	16	34.0
16	17	78.7
16	18	5.2
16	19	5.8
16	20	7.0
16	21	5.4
16	22	9.2
16	23	11.4
16	24	22.6
17	1	10.0
17	2	19.0
17	3	2.1
17	4	0.1
17	5	5.7
17	6	18.9
17	7	43.2
17	8	69.3
17	9	70.1
17	10	77.0
17	11	20.5
17	12	37.3
17	13	7.6
17	14	19.1
17	15	137.4
17	16	42.0
17	17	12.8
17	18	20.5
17	19	32.8
17	20	19.9
17	21	13.4
17	22	62.7
17	23	74.6
17	24	73.8
18	1	3.0
18	2	25.1
18	3	39.3
18	4	21.7
18	5	39.2
18	6	48.6
18	7	33.1
18	8	6.5
18	9	0.3
18	10	0.1
18	11	26.5
18	12	68.9
18	13	22.5
18	14	0.0
18	15	11.1
18	16	3.6
18	17	127.4
18	18	55.5
18	19	1.1
18	20	0.0
18	21	0.0
18	22	0.0
18	23	19.0
18	24	12.5
19	1	3.0
19	2	25.1
19	3	39.3
19	4	21.7
19	5	39.2
19	6	48.6
19	7	33.1
19	8	6.5
19	9	0.3
19	10	0.1
19	11	26.5
19	12	68.9
19	13	22.5
19	14	0.0
19	15	11.1
19	16	3.6
19	17	127.4
19	18	55.5
19	19	1.1
19	20	0.0
19	21	0.0
19	22	0.0
19	23	19.0
19	24	12.5
20	1	8.8
20	2	10.9
20	3	24.1
20	4	33.0
20	5	11.6
20	6	22.3
20	7	6.6
20	8	0.0
20	9	32.3
20	10	114.6
20	11	34.8
20	12	28.9
20	13	0.5
20	14	15.8
20	15	3.2
20	16	34.0
20	17	78.7
20	18	5.2
20	19	5.8
20	20	7.0
20	21	5.4
20	22	9.2
20	23	11.4
20	24	22.6
21	1	5.3
21	2	6.9
21	3	5.4
21	4	11.2
21	5	7.9
21	6	2.0
21	7	5.1
21	8	10.8
21	9	3.9
21	10	5.6
21	11	1.4
21	12	5.9
21	13	3.0
21	14	135.6
21	15	24.3
21	16	22.7
21	17	68.1
21	18	36.8
21	19	97.5
21	20	8.5
21	21	0.3
21	22	2.1
21	23	8.7
21	24	45.2
22	1	6.0
22	2	2.2
22	3	0.0
22	4	0.0
22	5	0.0
22	6	0.0
22	7	3.9
22	8	32.2
22	9	40.3
22	10	42.3
22	11	258.6
22	12	38.0
22	13	47.5
22	14	17.2
22	15	36.9
22	16	310.8
22	17	48.3
22	18	28.8
22	19	19.5
22	20	82.2
22	21	56.5
22	22	57.0
22	23	21.9
22	24	66.9
23	1	10.0
23	2	19.0
23	3	2.1
23	4	0.1
23	5	5.7
23	6	18.9
23	7	43.2
23	8	69.3
23	9	70.1
23	10	77.0
23	11	20.5
23	12	37.3
23	13	7.6
23	14	19.1
23	15	137.4
23	16	42.0
23	17	12.8
23	18	20.5
23	19	32.8
23	20	19.9
23	21	13.4
23	22	62.7
23	23	74.6
23	24	73.8
24	1	0.0
24	2	0.0
24	3	0.0
24	4	0.0
24	5	0.0
24	6	0.0
24	7	0.0
24	8	0.0
24	9	0.0
24	10	0.1
24	11	16.9
24	12	20.6
24	13	1.7
24	14	5.0
24	15	2.1
24	16	10.6
24	17	55.2
24	18	20.8
24	19	30.8
24	20	26.0
24	21	21.0
24	22	38.3
24	23	122.9
24	24	110.5
25	1	3.0
25	2	25.1
25	3	39.3
25	4	21.7
25	5	39.2
25	6	48.6
25	7	33.1
25	8	6.5
25	9	0.3
25	10	0.1
25	11	26.5
25	12	68.9
25	13	22.5
25	14	0.0
25	15	11.1
25	16	3.6
25	17	127.4
25	18	55.5
25	19	1.1
25	20	0.0
25	21	0.0
25	22	0.0
25	23	19.0
25	24	12.5
26	1	5.3
26	2	6.9
26	3	5.4
26	4	11.2
26	5	7.9
26	6	2.0
26	7	5.1
26	8	10.8
26	9	3.9
26	10	5.6
26	11	1.4
26	12	5.9
26	13	3.0
26	14	135.6
26	15	24.3
26	16	22.7
26	17	68.1
26	18	36.8
26	19	97.5
26	20	8.5
26	21	0.3
26	22	2.1
26	23	8.7
26	24	45.2
27	1	5.3
27	2	6.9
27	3	5.4
27	4	11.2
27	5	7.9
27	6	2.0
27	7	5.1
27	8	10.8
27	9	3.9
27	10	5.6
27	11	1.4
27	12	5.9
27	13	3.0
27	14	135.6
27	15	24.3
27	16	22.7
27	17	68.1
27	18	36.8
27	19	97.5
27	20	8.5
27	21	0.3
27	22	2.1
27	23	8.7
27	24	45.2
28	1	13.4
28	2	0.0
28	3	2.0
28	4	3.1
28	5	1.0
28	6	49.2
28	7	1.6
28	8	12.7
28	9	16.6
28	10	45.1
28	11	8.2
28	12	1.9
28	13	117.0
28	14	25.0
28	15	76.8
28	16	57.7
28	17	39.9
28	18	74.4
28	19	21.6
28	20	10.9
28	21	18.7
28	22	71.4
28	23	61.5
28	24	85.4
29	1	13.4
29	2	0.0
29	3	2.0
29	4	3.1
29	5	1.0
29	6	49.2
29	7	1.6
29	8	12.7
29	9	16.6
29	10	45.1
29	11	8.2
29	12	1.9
29	13	117.0
29	14	25.0
29	15	76.8
29	16	57.7
29	17	39.9
29	18	74.4
29	19	21.6
29	20	10.9
29	21	18.7
29	22	71.4
29	23	61.5
29	24	85.4
30	1	6.0
30	2	2.2
30	3	0.0
30	4	0.0
30	5	0.0
30	6	0.0
30	7	3.9
30	8	32.2
30	9	40.3
30	10	42.3
30	11	258.6
30	12	38.0
30	13	47.5
30	14	17.2
30	15	36.9
30	16	310.8
30	17	48.3
30	18	28.8
30	19	19.5
30	20	82.2
30	21	56.5
30	22	57.0
30	23	21.9
30	24	66.9
31	1	5.3
31	2	6.9
31	3	5.4
31	4	11.2
31	5	7.9
31	6	2.0
31	7	5.1
31	8	10.8
31	9	3.9
31	10	5.6
31	11	1.4
31	12	5.9
31	13	3.0
31	14	135.6
31	15	24.3
31	16	22.7
31	17	68.1
31	18	36.8
31	19	97.5
31	20	8.5
31	21	0.3
31	22	2.1
31	23	8.7
31	24	45.2
32	1	0.0
32	2	0.0
32	3	0.0
32	4	0.0
32	5	0.0
32	6	0.0
32	7	0.0
32	8	0.0
32	9	0.0
32	10	0.1
32	11	16.9
32	12	20.6
32	13	1.7
32	14	5.0
32	15	2.1
32	16	10.6
32	17	55.2
32	18	20.8
32	19	30.8
32	20	26.0
32	21	21.0
32	22	38.3
32	23	122.9
32	24	110.5
33	1	5.3
33	2	6.9
33	3	5.4
33	4	11.2
33	5	7.9
33	6	2.0
33	7	5.1
33	8	10.8
33	9	3.9
33	10	5.6
33	11	1.4
33	12	5.9
33	13	3.0
33	14	135.6
33	15	24.3
33	16	22.7
33	17	68.1
33	18	36.8
33	19	97.5
33	20	8.5
33	21	0.3
33	22	2.1
33	23	8.7
33	24	45.2
34	1	10.0
34	2	19.0
34	3	2.1
34	4	0.1
34	5	5.7
34	6	18.9
34	7	43.2
34	8	69.3
34	9	70.1
34	10	77.0
34	11	20.5
34	12	37.3
34	13	7.6
34	14	19.1
34	15	137.4
34	16	42.0
34	17	12.8
34	18	20.5
34	19	32.8
34	20	19.9
34	21	13.4
34	22	62.7
34	23	74.6
34	24	73.8
35	1	3.0
35	2	25.1
35	3	39.3
35	4	21.7
35	5	39.2
35	6	48.6
35	7	33.1
35	8	6.5
35	9	0.3
35	10	0.1
35	11	26.5
35	12	68.9
35	13	22.5
35	14	0.0
35	15	11.1
35	16	3.6
35	17	127.4
35	18	55.5
35	19	1.1
35	20	0.0
35	21	0.0
35	22	0.0
35	23	19.0
35	24	12.5
36	1	13.4
36	2	0.0
36	3	2.0
36	4	3.1
36	5	1.0
36	6	49.2
36	7	1.6
36	8	12.7
36	9	16.6
36	10	45.1
36	11	8.2
36	12	1.9
36	13	117.0
36	14	25.0
36	15	76.8
36	16	57.7
36	17	39.9
36	18	74.4
36	19	21.6
36	20	10.9
36	21	18.7
36	22	71.4
36	23	61.5
36	24	85.4
37	1	13.4
37	2	0.0
37	3	2.0
37	4	3.1
37	5	1.0
37	6	49.2
37	7	1.6
37	8	12.7
37	9	16.6
37	10	45.1
37	11	8.2
37	12	1.9
37	13	117.0
37	14	25.0
37	15	76.8
37	16	57.7
37	17	39.9
37	18	74.4
37	19	21.6
37	20	10.9
37	21	18.7
37	22	71.4
37	23	61.5
37	24	85.4
38	1	5.3
38	2	6.9
38	3	5.4
38	4	11.2
38	5	7.9
38	6	2.0
38	7	5.1
38	8	10.8
38	9	3.9
38	10	5.6
