Node	NodeProbability
1	0.5
2	0.5
3	0.05
4	0.05
5	0.05
6	0.05
7	0.05
8	0.05
9	0.05
10	0.05
11	0.05
12	0.05
13	0.05
14	0.05
15	0.05
16	0.05
17	0.05
18	0.05
19	0.05
20	0.05
21	0.05
22	0.05
23	0.01
24	0.01
25	0.01
26	0.01
27	0.01
28	0.01
29	0.01
30	0.01
31	0.01
32	0.01
33	0.01
34	0.01
35	0.01
36	0.01
37	0.01
38	0.01
39	0.01
40	0.01
41	0.01
42	0.01
43	0.01
44	0.01
45	0.01
46	0.01
47	0.01
48	0.01
49	0.01
50	0.01
51	0.01
52	0.01
53	0.01
54	0.01
55	0.01
56	0.01
57	0.01
58	0.01
59	0.01
60	0.01
61	0.01
62	0.01
63	0.01
64	0.01
65	0.01
66	0.01
67	0.01
68	0.01
69	0.01
70	0.01
71	0.01
72	0.01
73	0.01
74	0.01
75	0.01
76	0.01
77	0.01
78	0.01
79	0.01
80	0.01
81	0.01
82	0.01
83	0.01
84	0.01
85	0.01
86	0.01
87	0.01
88	0.01
89	0.01
90	0.01
91	0.01
92	0.01
93	0.01
94	0.01
95	0.01
96	0.01
97	0.01
98	0.01
99	0.01
100	0.01
101	0.01
102	0.01
103	0.01
104	0.01
105	0.01
106	0.01
107	0.01
108	0.01
109	0.01
110	0.01
111	0.01
112	0.01
113	0.01
114	0.01
115	0.01
116	0.01
117	0.01
118	0.01
119	0.01
120	0.01
121	0.01
122	0.01
