Node	Time	Res_CapacityDownVolume
1	1	255.0
1	2	255.0
1	3	255.0
1	4	255.0
1	5	255.0
1	6	255.0
1	7	201.0
1	8	154.0
1	9	152.0
1	10	116.0
1	11	151.0
1	12	193.0
1	13	335.0
1	14	335.0
1	15	335.0
1	16	255.0
1	17	176.0
1	18	123.0
1	19	83.0
1	20	176.0
1	21	176.0
1	22	160.0
1	23	157.0
1	24	207.0
2	1	0.0
2	2	0.0
2	3	80.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	200.0
2	8	303.0
2	9	100.0
2	10	303.0
2	11	303.0
2	12	220.0
2	13	288.0
2	14	298.0
2	15	298.0
2	16	303.0
2	17	110.0
2	18	100.0
2	19	50.0
2	20	50.0
2	21	42.0
2	22	0.0
2	23	0.0
2	24	115.0
3	1	230.0
3	2	230.0
3	3	230.0
3	4	230.0
3	5	230.0
3	6	230.0
3	7	250.0
3	8	250.0
3	9	250.0
3	10	250.0
3	11	290.0
3	12	290.0
3	13	290.0
3	14	290.0
3	15	290.0
3	16	200.0
3	17	200.0
3	18	200.0
3	19	230.0
3	20	230.0
3	21	230.0
3	22	230.0
3	23	230.0
3	24	230.0
4	1	417.0
4	2	417.0
4	3	417.0
4	4	417.0
4	5	417.0
4	6	360.0
4	7	250.0
4	8	210.0
4	9	160.0
4	10	250.0
4	11	300.0
4	12	443.0
4	13	443.0
4	14	443.0
4	15	363.0
4	16	200.0
4	17	200.0
4	18	160.0
4	19	260.0
4	20	260.0
4	21	260.0
4	22	260.0
4	23	350.0
4	24	353.0
5	1	287.0
5	2	289.0
5	3	289.0
5	4	289.0
5	5	294.0
5	6	289.0
5	7	245.0
5	8	191.0
5	9	173.0
5	10	157.0
5	11	115.0
5	12	164.0
5	13	302.0
5	14	302.0
5	15	302.0
5	16	302.0
5	17	195.0
5	18	135.0
5	19	120.0
5	20	152.0
5	21	152.0
5	22	147.0
5	23	245.0
5	24	182.0
6	1	202.0
6	2	202.0
6	3	202.0
6	4	202.0
6	5	202.0
6	6	202.0
6	7	195.0
6	8	69.0
6	9	70.0
6	10	58.0
6	11	20.0
6	12	20.0
6	13	20.0
6	14	20.0
6	15	20.0
6	16	50.0
6	17	50.0
6	18	50.0
6	19	50.0
6	20	50.0
6	21	10.0
6	22	17.0
6	23	70.0
6	24	136.0
7	1	31.0
7	2	31.0
7	3	31.0
7	4	31.0
7	5	31.0
7	6	31.0
7	7	31.0
7	8	31.0
7	9	31.0
7	10	31.0
7	11	31.0
7	12	31.0
7	13	31.0
7	14	31.0
7	15	31.0
7	16	31.0
7	17	31.0
7	18	31.0
7	19	31.0
7	20	31.0
7	21	31.0
7	22	31.0
7	23	31.0
7	24	31.0
8	1	430.0
8	2	433.0
8	3	433.0
8	4	433.0
8	5	450.0
8	6	388.0
8	7	250.0
8	8	187.0
8	9	177.0
8	10	173.0
8	11	177.0
8	12	381.0
8	13	397.0
8	14	397.0
8	15	397.0
8	16	177.0
8	17	190.0
8	18	200.0
8	19	287.0
8	20	300.0
8	21	284.0
8	22	282.0
8	23	350.0
8	24	279.0
9	1	314.0
9	2	314.0
9	3	314.0
9	4	314.0
9	5	314.0
9	6	314.0
9	7	394.0
9	8	324.0
9	9	259.0
9	10	179.0
9	11	303.0
9	12	341.0
9	13	394.0
9	14	394.0
9	15	303.0
9	16	134.0
9	17	204.0
9	18	290.0
9	19	250.0
9	20	250.0
9	21	300.0
9	22	301.0
9	23	314.0
9	24	234.0
10	1	450.0
10	2	500.0
10	3	486.0
10	4	488.0
10	5	450.0
10	6	400.0
10	7	250.0
10	8	250.0
10	9	250.0
10	10	250.0
10	11	300.0
10	12	500.0
10	13	534.0
10	14	534.0
10	15	500.0
10	16	200.0
10	17	200.0
10	18	200.0
10	19	300.0
10	20	300.0
10	21	300.0
10	22	300.0
10	23	350.0
10	24	500.0
11	1	399.0
11	2	399.0
11	3	399.0
11	4	399.0
11	5	399.0
11	6	399.0
11	7	399.0
11	8	479.0
11	9	479.0
11	10	462.0
11	11	479.0
11	12	426.0
11	13	438.0
11	14	479.0
11	15	479.0
11	16	362.0
11	17	339.0
11	18	189.0
11	19	139.0
11	20	139.0
11	21	189.0
11	22	239.0
11	23	239.0
11	24	366.0
12	1	256.0
12	2	281.0
12	3	281.0
12	4	281.0
12	5	281.0
12	6	281.0
12	7	281.0
12	8	250.0
12	9	235.0
12	10	224.0
12	11	237.0
12	12	281.0
12	13	281.0
12	14	281.0
12	15	281.0
12	16	281.0
12	17	200.0
12	18	156.0
12	19	200.0
12	20	256.0
12	21	256.0
12	22	256.0
12	23	256.0
12	24	237.0
13	1	25.0
13	2	31.0
13	3	31.0
13	4	31.0
13	5	31.0
13	6	31.0
13	7	31.0
13	8	31.0
13	9	31.0
13	10	31.0
13	11	31.0
13	12	31.0
13	13	31.0
13	14	31.0
13	15	31.0
13	16	31.0
13	17	31.0
13	18	31.0
13	19	31.0
13	20	25.0
13	21	25.0
13	22	25.0
13	23	25.0
13	24	25.0
14	1	0.0
14	2	0.0
14	3	0.0
14	4	10.0
14	5	10.0
14	6	10.0
14	7	10.0
14	8	10.0
14	9	20.0
14	10	10.0
14	11	10.0
14	12	10.0
14	13	10.0
14	14	10.0
14	15	10.0
14	16	10.0
14	17	20.0
14	18	10.0
14	19	10.0
14	20	0.0
14	21	10.0
14	22	0.0
14	23	0.0
14	24	0.0
15	1	0.0
15	2	0.0
15	3	0.0
15	4	0.0
15	5	0.0
15	6	0.0
15	7	10.0
15	8	31.0
15	9	51.0
15	10	10.0
15	11	0.0
15	12	12.0
15	13	0.0
15	14	0.0
15	15	0.0
15	16	31.0
15	17	51.0
15	18	51.0
15	19	31.0
15	20	25.0
15	21	25.0
15	22	25.0
15	23	25.0
15	24	31.0
16	1	175.0
16	2	175.0
16	3	175.0
16	4	175.0
16	5	175.0
16	6	175.0
16	7	175.0
16	8	175.0
16	9	175.0
16	10	175.0
16	11	175.0
16	12	175.0
16	13	175.0
16	14	175.0
16	15	87.0
16	16	55.0
16	17	55.0
16	18	18.0
16	19	55.0
16	20	105.0
16	21	105.0
16	22	105.0
16	23	87.0
16	24	175.0
17	1	200.0
17	2	200.0
17	3	200.0
17	4	200.0
17	5	200.0
17	6	200.0
17	7	200.0
17	8	170.0
17	9	160.0
17	10	197.0
17	11	200.0
17	12	200.0
17	13	200.0
17	14	200.0
17	15	200.0
17	16	200.0
17	17	200.0
17	18	200.0
17	19	200.0
17	20	200.0
17	21	200.0
17	22	200.0
17	23	200.0
17	24	200.0
18	1	31.0
18	2	31.0
18	3	31.0
18	4	31.0
18	5	31.0
18	6	31.0
18	7	31.0
18	8	31.0
18	9	31.0
18	10	31.0
18	11	31.0
18	12	31.0
18	13	31.0
18	14	31.0
18	15	31.0
18	16	31.0
18	17	31.0
18	18	31.0
18	19	31.0
18	20	31.0
18	21	31.0
18	22	31.0
18	23	31.0
18	24	31.0
19	1	420.0
19	2	420.0
19	3	420.0
19	4	420.0
19	5	420.0
19	6	420.0
19	7	420.0
19	8	420.0
19	9	420.0
19	10	420.0
19	11	420.0
19	12	420.0
19	13	420.0
19	14	420.0
19	15	420.0
19	16	420.0
19	17	420.0
19	18	218.0
19	19	233.0
19	20	250.0
19	21	300.0
19	22	350.0
19	23	350.0
19	24	420.0
20	1	31.0
20	2	31.0
20	3	31.0
20	4	31.0
20	5	31.0
20	6	31.0
20	7	31.0
20	8	31.0
20	9	31.0
20	10	31.0
20	11	31.0
20	12	31.0
20	13	31.0
20	14	31.0
20	15	31.0
20	16	31.0
20	17	41.0
20	18	31.0
20	19	31.0
20	20	31.0
20	21	31.0
20	22	31.0
20	23	31.0
20	24	31.0
21	1	330.0
21	2	330.0
21	3	330.0
21	4	330.0
21	5	330.0
21	6	330.0
21	7	250.0
21	8	250.0
21	9	250.0
21	10	224.0
21	11	183.0
21	12	383.0
21	13	390.0
21	14	390.0
21	15	383.0
21	16	84.0
21	17	60.0
21	18	200.0
21	19	300.0
21	20	300.0
21	21	300.0
21	22	300.0
21	23	330.0
21	24	305.0
22	1	230.0
22	2	230.0
22	3	230.0
22	4	230.0
22	5	230.0
22	6	230.0
22	7	260.0
22	8	260.0
22	9	260.0
22	10	260.0
22	11	260.0
22	12	260.0
22	13	260.0
22	14	260.0
22	15	260.0
22	16	260.0
22	17	195.0
22	18	250.0
22	19	250.0
22	20	250.0
22	21	260.0
22	22	230.0
22	23	230.0
22	24	314.0
23	1	96.0
23	2	96.0
23	3	96.0
23	4	96.0
23	5	96.0
23	6	96.0
23	7	156.0
23	8	156.0
23	9	156.0
23	10	156.0
23	11	156.0
23	12	156.0
23	13	156.0
23	14	156.0
23	15	156.0
23	16	96.0
23	17	96.0
23	18	96.0
23	19	96.0
23	20	96.0
23	21	96.0
23	22	96.0
23	23	96.0
23	24	263.0
24	1	378.0
24	2	378.0
24	3	378.0
24	4	378.0
24	5	378.0
24	6	378.0
24	7	250.0
24	8	250.0
24	9	250.0
24	10	250.0
24	11	300.0
24	12	378.0
24	13	378.0
24	14	378.0
24	15	378.0
24	16	200.0
24	17	200.0
24	18	200.0
24	19	300.0
24	20	300.0
24	21	300.0
24	22	300.0
24	23	350.0
24	24	300.0
25	1	520.0
25	2	566.0
25	3	580.0
25	4	570.0
25	5	500.0
25	6	400.0
25	7	250.0
25	8	250.0
25	9	250.0
25	10	250.0
25	11	300.0
25	12	540.0
25	13	676.0
25	14	676.0
25	15	620.0
25	16	220.0
25	17	200.0
25	18	200.0
25	19	300.0
25	20	300.0
25	21	300.0
25	22	300.0
25	23	350.0
25	24	450.0
26	1	454.0
26	2	454.0
26	3	454.0
26	4	454.0
26	5	450.0
26	6	400.0
26	7	250.0
26	8	250.0
26	9	250.0
26	10	250.0
26	11	310.0
26	12	454.0
26	13	454.0
26	14	424.0
26	15	424.0
26	16	210.0
26	17	200.0
26	18	200.0
26	19	300.0
26	20	300.0
26	21	300.0
26	22	300.0
26	23	350.0
26	24	433.0
27	1	340.0
27	2	340.0
27	3	340.0
27	4	340.0
27	5	340.0
27	6	340.0
27	7	340.0
27	8	303.0
27	9	300.0
27	10	290.0
27	11	350.0
27	12	404.0
27	13	404.0
27	14	404.0
27	15	404.0
27	16	350.0
27	17	340.0
27	18	260.0
27	19	250.0
27	20	250.0
27	21	300.0
27	22	350.0
27	23	350.0
27	24	380.0
28	1	301.0
28	2	301.0
28	3	301.0
28	4	301.0
28	5	301.0
28	6	247.0
28	7	250.0
28	8	250.0
28	9	250.0
28	10	250.0
28	11	300.0
28	12	351.0
28	13	351.0
28	14	351.0
28	15	301.0
28	16	200.0
28	17	200.0
28	18	200.0
28	19	217.0
28	20	217.0
28	21	217.0
28	22	247.0
28	23	247.0
28	24	244.0
29	1	330.0
29	2	330.0
29	3	330.0
29	4	330.0
29	5	330.0
29	6	119.0
29	7	86.0
29	8	0.0
29	9	0.0
29	10	0.0
29	11	0.0
29	12	86.0
29	13	70.0
29	14	173.0
29	15	150.0
29	16	150.0
29	17	150.0
29	18	150.0
29	19	173.0
29	20	173.0
29	21	70.0
29	22	120.0
29	23	173.0
29	24	365.0
30	1	175.0
30	2	175.0
30	3	175.0
30	4	175.0
30	5	175.0
30	6	175.0
30	7	121.0
30	8	121.0
30	9	105.0
30	10	55.0
30	11	85.0
30	12	85.0
30	13	55.0
30	14	83.0
30	15	0.0
30	16	90.0
30	17	110.0
30	18	0.0
30	19	84.0
30	20	104.0
30	21	121.0
30	22	121.0
30	23	175.0
30	24	185.0
31	1	25.0
31	2	31.0
31	3	31.0
31	4	31.0
31	5	31.0
31	6	31.0
31	7	31.0
31	8	31.0
31	9	31.0
31	10	31.0
31	11	31.0
31	12	31.0
31	13	31.0
31	14	31.0
31	15	31.0
31	16	31.0
31	17	31.0
31	18	31.0
31	19	31.0
31	20	25.0
31	21	25.0
31	22	25.0
31	23	25.0
31	24	25.0
32	1	268.0
32	2	268.0
32	3	268.0
32	4	258.0
32	5	268.0
32	6	268.0
32	7	268.0
32	8	120.0
32	9	258.0
32	10	268.0
32	11	248.0
32	12	268.0
32	13	258.0
32	14	268.0
32	15	268.0
32	16	268.0
32	17	200.0
32	18	200.0
32	19	200.0
32	20	250.0
32	21	250.0
32	22	268.0
32	23	268.0
32	24	168.0
33	1	25.0
33	2	31.0
33	3	31.0
33	4	31.0
33	5	31.0
33	6	31.0
33	7	31.0
33	8	31.0
33	9	31.0
33	10	31.0
33	11	31.0
33	12	31.0
33	13	31.0
33	14	31.0
33	15	31.0
33	16	31.0
33	17	31.0
33	18	31.0
33	19	31.0
33	20	25.0
33	21	25.0
33	22	25.0
33	23	25.0
33	24	25.0
34	1	330.0
34	2	330.0
34	3	330.0
34	4	330.0
34	5	330.0
34	6	119.0
34	7	86.0
34	8	0.0
34	9	0.0
34	10	0.0
34	11	0.0
34	12	86.0
34	13	70.0
34	14	173.0
34	15	150.0
34	16	150.0
34	17	150.0
34	18	150.0
34	19	173.0
34	20	173.0
34	21	70.0
34	22	120.0
34	23	173.0
34	24	365.0
35	1	247.0
35	2	247.0
35	3	247.0
35	4	247.0
35	5	235.0
35	6	247.0
35	7	190.0
35	8	98.0
35	9	98.0
35	10	82.0
35	11	32.0
35	12	32.0
35	13	20.0
35	14	20.0
35	15	22.0
35	16	0.0
35	17	0.0
35	18	0.0
35	19	0.0
35	20	40.0
35	21	20.0
35	22	20.0
35	23	70.0
35	24	172.0
36	1	365.0
36	2	365.0
36	3	365.0
36	4	365.0
36	5	365.0
36	6	253.0
36	7	189.0
36	8	120.0
36	9	120.0
36	10	70.0
36	11	70.0
36	12	200.0
36	13	200.0
36	14	200.0
36	15	150.0
36	16	150.0
36	17	150.0
36	18	150.0
36	19	200.0
36	20	200.0
36	21	200.0
36	22	243.0
36	23	220.0
36	24	320.0
37	1	0.0
37	2	0.0
37	3	0.0
37	4	0.0
37	5	100.0
37	6	100.0
37	7	100.0
37	8	150.0
37	9	100.0
37	10	100.0
37	11	100.0
37	12	100.0
37	13	100.0
37	14	100.0
37	15	100.0
37	16	150.0
37	17	150.0
37	18	96.0
37	19	46.0
37	20	46.0
37	21	50.0
37	22	50.0
37	23	50.0
37	24	50.0
38	1	280.0
38	2	280.0
38	3	280.0
38	4	280.0
38	5	280.0
38	6	280.0
38	7	250.0
38	8	250.0
38	9	250.0
38	10	250.0
38	11	280.0
38	12	280.0
38	13	280.0
38	14	280.0
38	15	280.0
38	16	250.0
38	17	200.0
38	18	200.0
38	19	280.0
38	20	280.0
38	21	280.0
38	22	280.0
38	23	280.0
38	24	320.0
39	1	33.0
39	2	33.0
39	3	83.0
39	4	83.0
39	5	83.0
39	6	83.0
39	7	83.0
39	8	133.0
39	9	83.0
39	10	83.0
39	11	83.0
39	12	100.0
39	13	100.0
39	14	100.0
39	15	100.0
39	16	133.0
39	17	133.0
39	18	83.0
39	19	33.0
39	20	33.0
39	21	33.0
39	22	33.0
39	23	50.0
39	24	50.0
40	1	0.0
40	2	0.0
40	3	0.0
40	4	0.0
40	5	31.0
40	6	31.0
40	7	31.0
40	8	52.0
40	9	31.0
40	10	0.0
40	11	0.0
40	12	0.0
40	13	0.0
40	14	10.0
40	15	10.0
40	16	45.0
40	17	45.0
40	18	31.0
40	19	50.0
40	20	50.0
40	21	50.0
40	22	0.0
40	23	0.0
40	24	0.0
41	1	0.0
41	2	0.0
41	3	0.0
41	4	31.0
41	5	31.0
41	6	31.0
41	7	31.0
41	8	31.0
41	9	31.0
41	10	31.0
41	11	31.0
41	12	31.0
41	13	31.0
41	14	31.0
41	15	31.0
41	16	31.0
41	17	31.0
41	18	31.0
41	19	31.0
41	20	0.0
41	21	0.0
41	22	0.0
41	23	0.0
41	24	0.0
42	1	31.0
42	2	31.0
42	3	31.0
42	4	31.0
42	5	31.0
42	6	31.0
42	7	31.0
42	8	31.0
42	9	31.0
42	10	31.0
42	11	31.0
42	12	31.0
42	13	31.0
42	14	31.0
42	15	31.0
42	16	31.0
42	17	31.0
42	18	31.0
42	19	31.0
42	20	31.0
42	21	31.0
42	22	31.0
42	23	31.0
42	24	31.0
43	1	50.0
43	2	35.0
43	3	35.0
43	4	35.0
43	5	59.0
43	6	88.0
43	7	88.0
43	8	138.0
43	9	88.0
43	10	78.0
43	11	63.0
43	12	55.0
43	13	45.0
43	14	45.0
43	15	56.0
43	16	92.0
43	17	80.0
43	18	55.0
43	19	50.0
43	20	50.0
43	21	50.0
43	22	50.0
43	23	35.0
43	24	50.0
44	1	426.0
44	2	426.0
44	3	426.0
44	4	426.0
44	5	426.0
44	6	400.0
44	7	250.0
44	8	250.0
44	9	250.0
44	10	250.0
44	11	324.0
44	12	426.0
44	13	426.0
44	14	426.0
44	15	426.0
44	16	250.0
44	17	200.0
44	18	200.0
44	19	300.0
44	20	300.0
44	21	300.0
44	22	300.0
44	23	350.0
44	24	416.0
45	1	660.0
45	2	669.0
45	3	669.0
45	4	669.0
45	5	592.0
45	6	589.0
45	7	440.0
45	8	454.0
45	9	602.0
45	10	569.0
45	11	649.0
45	12	669.0
45	13	669.0
45	14	669.0
45	15	669.0
45	16	537.0
45	17	502.0
45	18	263.0
45	19	250.0
45	20	250.0
45	21	300.0
45	22	350.0
45	23	350.0
45	24	569.0
46	1	420.0
46	2	420.0
46	3	420.0
46	4	420.0
46	5	450.0
46	6	400.0
46	7	250.0
46	8	250.0
46	9	250.0
46	10	250.0
46	11	285.0
46	12	502.0
46	13	515.0
46	14	515.0
46	15	515.0
46	16	185.0
46	17	200.0
46	18	200.0
46	19	300.0
46	20	300.0
46	21	300.0
46	22	300.0
46	23	350.0
46	24	440.0
47	1	230.0
47	2	230.0
47	3	230.0
47	4	230.0
47	5	230.0
47	6	230.0
47	7	250.0
47	8	250.0
47	9	250.0
47	10	250.0
47	11	290.0
47	12	290.0
47	13	290.0
47	14	290.0
47	15	290.0
47	16	200.0
47	17	200.0
47	18	200.0
47	19	230.0
47	20	230.0
47	21	230.0
47	22	230.0
47	23	230.0
47	24	230.0
48	1	550.0
48	2	544.0
48	3	544.0
48	4	544.0
48	5	549.0
48	6	549.0
48	7	523.0
48	8	512.0
48	9	546.0
48	10	546.0
48	11	688.0
48	12	729.0
48	13	729.0
48	14	729.0
48	15	727.0
48	16	522.0
48	17	448.0
48	18	200.0
48	19	250.0
48	20	250.0
48	21	300.0
48	22	350.0
48	23	350.0
48	24	539.0
49	1	359.0
49	2	359.0
49	3	359.0
49	4	359.0
49	5	359.0
49	6	359.0
49	7	250.0
49	8	250.0
49	9	250.0
49	10	250.0
49	11	310.0
49	12	426.0
49	13	439.0
49	14	439.0
49	15	359.0
49	16	210.0
49	17	200.0
49	18	200.0
49	19	300.0
49	20	300.0
49	21	300.0
