Node	Time	Res_CapacityUpVolume
1	1	93.0
1	2	93.0
1	3	93.0
1	4	93.0
1	5	118.0
1	6	118.0
1	7	118.0
1	8	118.0
1	9	118.0
1	10	118.0
1	11	118.0
1	12	118.0
1	13	93.0
1	14	93.0
1	15	93.0
1	16	93.0
1	17	118.0
1	18	118.0
1	19	118.0
1	20	118.0
1	21	118.0
1	22	118.0
1	23	118.0
1	24	187.0
2	1	10.0
2	2	10.0
2	3	10.0
2	4	10.0
2	5	10.0
2	6	10.0
2	7	15.0
2	8	50.0
2	9	46.0
2	10	66.0
2	11	60.0
2	12	30.0
2	13	30.0
2	14	50.0
2	15	40.0
2	16	50.0
2	17	60.0
2	18	109.0
2	19	70.0
2	20	65.0
2	21	25.0
2	22	10.0
2	23	10.0
2	24	10.0
3	1	70.0
3	2	70.0
3	3	70.0
3	4	70.0
3	5	85.0
3	6	145.0
3	7	150.0
3	8	150.0
3	9	137.0
3	10	124.0
3	11	90.0
3	12	130.0
3	13	130.0
3	14	130.0
3	15	130.0
3	16	145.0
3	17	150.0
3	18	138.0
3	19	134.0
3	20	150.0
3	21	150.0
3	22	150.0
3	23	150.0
3	24	70.0
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
4	5	25.0
4	6	83.0
4	7	137.0
4	8	161.0
4	9	161.0
4	10	161.0
4	11	103.0
4	12	79.0
4	13	25.0
4	14	0.0
4	15	0.0
4	16	0.0
4	17	54.0
4	18	137.0
4	19	137.0
4	20	137.0
4	21	137.0
4	22	137.0
4	23	83.0
4	24	0.0
5	1	58.0
5	2	33.0
5	3	64.0
5	4	33.0
5	5	80.0
5	6	195.0
5	7	195.0
5	8	195.0
5	9	195.0
5	10	195.0
5	11	195.0
5	12	195.0
5	13	195.0
5	14	195.0
5	15	195.0
5	16	195.0
5	17	195.0
5	18	195.0
5	19	195.0
5	20	170.0
5	21	170.0
5	22	170.0
5	23	170.0
5	24	152.0
6	1	10.0
6	2	10.0
6	3	0.0
6	4	0.0
6	5	0.0
6	6	35.0
6	7	45.0
6	8	45.0
6	9	55.0
6	10	55.0
6	11	55.0
6	12	45.0
6	13	45.0
6	14	45.0
6	15	45.0
6	16	45.0
6	17	45.0
6	18	55.0
6	19	55.0
6	20	55.0
6	21	45.0
6	22	45.0
6	23	17.0
6	24	0.0
7	1	0.0
7	2	0.0
7	3	0.0
7	4	15.0
7	5	15.0
7	6	20.0
7	7	105.0
7	8	117.0
7	9	117.0
7	10	117.0
7	11	117.0
7	12	5.0
7	13	5.0
7	14	5.0
7	15	5.0
7	16	117.0
7	17	117.0
7	18	117.0
7	19	116.0
7	20	95.0
7	21	20.0
7	22	20.0
7	23	15.0
7	24	15.0
8	1	95.0
8	2	95.0
8	3	95.0
8	4	95.0
8	5	95.0
8	6	95.0
8	7	40.0
8	8	40.0
8	9	69.0
8	10	115.0
8	11	115.0
8	12	115.0
8	13	115.0
8	14	110.0
8	15	115.0
8	16	115.0
8	17	115.0
8	18	40.0
8	19	40.0
8	20	40.0
8	21	25.0
8	22	20.0
8	23	20.0
8	24	103.0
9	1	0.0
9	2	0.0
9	3	0.0
9	4	0.0
9	5	25.0
9	6	25.0
9	7	85.0
9	8	85.0
9	9	85.0
9	10	25.0
9	11	25.0
9	12	25.0
9	13	0.0
9	14	0.0
9	15	0.0
9	16	0.0
9	17	25.0
9	18	85.0
9	19	85.0
9	20	85.0
9	21	85.0
9	22	85.0
9	23	25.0
9	24	25.0
10	1	40.0
10	2	40.0
10	3	40.0
10	4	40.0
10	5	50.0
10	6	55.0
10	7	55.0
10	8	55.0
10	9	55.0
10	10	50.0
10	11	50.0
10	12	50.0
10	13	50.0
10	14	50.0
10	15	50.0
10	16	55.0
10	17	55.0
10	18	55.0
10	19	55.0
10	20	55.0
10	21	55.0
10	22	50.0
10	23	50.0
10	24	30.0
11	1	100.0
11	2	100.0
11	3	100.0
11	4	100.0
11	5	100.0
11	6	100.0
11	7	100.0
11	8	110.0
11	9	110.0
11	10	120.0
11	11	110.0
11	12	110.0
11	13	120.0
11	14	120.0
11	15	120.0
11	16	120.0
11	17	120.0
11	18	110.0
11	19	110.0
11	20	90.0
11	21	30.0
11	22	0.0
11	23	0.0
11	24	0.0
12	1	50.0
12	2	50.0
12	3	50.0
12	4	50.0
12	5	50.0
12	6	50.0
12	7	55.0
12	8	75.0
12	9	95.0
12	10	75.0
12	11	84.0
12	12	65.0
12	13	65.0
12	14	65.0
12	15	65.0
12	16	65.0
12	17	65.0
12	18	25.0
12	19	15.0
12	20	15.0
12	21	5.0
12	22	5.0
12	23	5.0
12	24	50.0
13	1	20.0
13	2	30.0
13	3	30.0
13	4	20.0
13	5	20.0
13	6	20.0
13	7	15.0
13	8	25.0
13	9	25.0
13	10	25.0
13	11	36.0
13	12	45.0
13	13	45.0
13	14	41.0
13	15	35.0
13	16	35.0
13	17	25.0
13	18	25.0
13	19	25.0
13	20	15.0
13	21	15.0
13	22	10.0
13	23	10.0
13	24	10.0
14	1	50.0
14	2	50.0
14	3	60.0
14	4	60.0
14	5	50.0
14	6	0.0
14	7	0.0
14	8	25.0
14	9	68.0
14	10	99.0
14	11	65.0
14	12	65.0
14	13	65.0
14	14	65.0
14	15	65.0
14	16	65.0
14	17	65.0
14	18	75.0
14	19	104.0
14	20	75.0
14	21	65.0
14	22	50.0
14	23	50.0
14	24	50.0
