Node	Time	Spot_Price
3	1	32.94
3	2	32.62
3	3	32.34
3	4	32.29
3	5	32.35
3	6	32.3
3	7	32.9
3	8	33.14
3	9	33.81
3	10	35.48
3	11	35.0
3	12	24.54
3	13	7.44
3	14	2.92
3	15	5.8
3	16	25.27
3	17	33.69
3	18	33.91
3	19	35.01
3	20	35.78
3	21	38.22
3	22	34.93
3	23	34.06
3	24	32.76
4	1	21.26
4	2	20.15
4	3	20.03
4	4	20.17
4	5	21.71
4	6	23.67
4	7	24.46
4	8	24.96
4	9	24.63
4	10	24.54
4	11	23.96
4	12	23.97
4	13	23.36
4	14	19.41
4	15	20.38
4	16	22.82
4	17	24.17
4	18	25.02
4	19	24.94
4	20	24.98
4	21	24.97
4	22	23.59
4	23	22.75
4	24	26.4
5	1	35.06
5	2	34.91
5	3	34.82
5	4	34.75
5	5	34.92
5	6	35.19
5	7	35.93
5	8	36.44
5	9	35.82
5	10	36.04
5	11	35.95
5	12	36.28
5	13	36.12
5	14	34.66
5	15	32.55
5	16	34.87
5	17	36.05
5	18	35.88
5	19	35.44
5	20	35.67
5	21	35.38
5	22	35.6
5	23	35.47
5	24	35.62
6	1	42.23
6	2	41.45
6	3	40.83
6	4	40.82
6	5	40.59
6	6	41.79
6	7	47.57
6	8	36.13
6	9	22.21
6	10	8.58
6	11	0.0
6	12	-0.58
6	13	-0.88
6	14	-0.91
6	15	-0.03
6	16	19.22
6	17	31.97
6	18	48.17
6	19	48.35
6	20	48.51
6	21	48.5
6	22	48.39
6	23	48.78
6	24	41.84
7	1	6.21
7	2	6.03
7	3	5.67
7	4	5.64
7	5	5.62
7	6	5.64
7	7	6.07
7	8	8.0
7	9	8.33
7	10	6.66
7	11	6.63
7	12	6.57
7	13	6.33
7	14	6.0
7	15	6.37
7	16	6.47
7	17	7.02
7	18	8.53
7	19	16.68
7	20	17.46
7	21	11.21
7	22	11.03
7	23	9.93
7	24	9.17
8	1	57.44
8	2	53.44
8	3	51.39
8	4	50.32
8	5	49.37
8	6	48.92
8	7	47.4
8	8	48.97
8	9	47.28
8	10	44.99
8	11	43.86
8	12	44.23
8	13	45.22
8	14	47.49
