Node	Time	ActivationDownPrice
3	1	-2.0
3	2	-4.0
3	3	-4.0
3	4	-7.0
3	5	-7.0
3	6	-3.0
3	7	-0.5
3	8	-0.5
3	9	5.5
3	10	20.29
3	11	24.99
3	12	33.5
3	13	30.46
3	14	24.99
3	15	8.0
3	16	8.0
3	17	8.0
3	18	1.0
3	19	1.0
3	20	14.88
3	21	14.39
3	22	8.0
3	23	8.0
3	24	8.0
4	1	-4.0
4	2	-4.0
4	3	-4.0
4	4	-5.0
4	5	-5.0
4	6	-5.0
4	7	0.0
4	8	33.36
4	9	33.63
4	10	33.03
4	11	32.51
4	12	32.24
4	13	32.02
4	14	32.02
4	15	32.49
4	16	34.26
4	17	34.18
4	18	33.34
4	19	33.57
4	20	33.66
4	21	33.82
4	22	17.0
4	23	17.0
4	24	21.5
5	1	37.24
5	2	37.15
5	3	37.04
5	4	37.09
5	5	37.49
5	6	37.69
5	7	39.77
5	8	39.95
5	9	39.94
5	10	37.03
5	11	34.28
5	12	26.68
5	13	18.16
5	14	30.62
5	15	35.31
5	16	37.63
5	17	39.5
5	18	40.71
5	19	40.08
5	20	34.0
5	21	28.0
5	22	28.0
5	23	26.18
5	24	0.0
6	1	53.15
6	2	52.35
6	3	53.61
6	4	47.0
6	5	46.0
6	6	45.0
6	7	45.0
6	8	60.09
6	9	57.48
6	10	55.43
6	11	54.09
6	12	53.05
6	13	50.0
6	14	50.0
6	15	49.0
6	16	49.0
6	17	56.28
6	18	57.34
6	19	50.0
6	20	50.0
6	21	50.0
6	22	52.27
6	23	49.89
6	24	47.36
7	1	27.5
7	2	27.5
7	3	27.5
7	4	31.5
7	5	31.5
7	6	25.8
7	7	28.08
7	8	14.99
7	9	3.83
7	10	3.49
7	11	4.17
7	12	2.0
7	13	1.5
7	14	0.44
7	15	0.66
7	16	3.29
7	17	4.37
7	18	23.25
7	19	41.82
7	20	45.75
7	21	35.1
7	22	30.81
7	23	12.0
7	24	10.0
8	1	-2.0
8	2	1.6
8	3	1.01
8	4	1.25
8	5	-2.0
8	6	-2.0
8	7	4.32
8	8	5.73
8	9	4.06
8	10	1.22
8	11	0.01
8	12	-0.07
8	13	-0.8
8	14	-1.76
8	15	-0.81
8	16	0.32
8	17	2.64
8	18	-2.0
8	19	-2.5
8	20	-3.89
8	21	-2.0
8	22	0.5
8	23	4.92
8	24	2.11
9	1	31.0
9	2	36.66
9	3	36.55
9	4	36.47
9	5	37.0
9	6	38.87
9	7	46.5
9	8	69.36
9	9	40.0
9	10	33.5
9	11	33.5
9	12	33.0
9	13	25.0
9	14	13.41
9	15	13.41
9	16	31.5
9	17	32.0
9	18	32.0
9	19	34.0
9	20	42.65
9	21	42.03
9	22	42.1
9	23	32.0
9	24	32.06
10	1	4.0
10	2	4.0
10	3	4.0
10	4	10.0
10	5	26.88
10	6	34.37
10	7	36.61
10	8	37.89
10	9	36.01
10	10	18.53
10	11	-4.021
10	12	-4.021
10	13	-4.021
10	14	-4.021
10	15	0.83
10	16	6.68
10	17	5.0
10	18	14.0
10	19	34.37
10	20	36.08
10	21	34.19
10	22	34.38
10	23	32.02
10	24	20.39
11	1	45.341
11	2	44.0
11	3	38.23
11	4	38.23
11	5	38.5
11	6	38.632
11	7	39.0
11	8	42.0
11	9	42.0
11	10	42.0
11	11	49.31
11	12	47.98
11	13	35.0
11	14	35.0
11	15	35.0
11	16	41.0
11	17	48.0
11	18	53.0
11	19	53.0
11	20	53.0
11	21	53.0
