Node	Time	CapacityDownPrice
1	1	3.0
1	2	4.0
1	3	4.0
1	4	4.0
1	5	4.0
1	6	2.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	2.0
1	12	2.0
1	13	6.0
1	14	7.0
1	15	3.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	2.0
1	24	2.0
2	1	1.5
2	2	1.5
2	3	1.5
2	4	2.0
2	5	2.0
2	6	2.0
2	7	2.0
2	8	2.0
2	9	2.0
2	10	2.0
2	11	2.0
2	12	2.0
2	13	2.0
2	14	2.0
2	15	2.0
2	16	2.0
2	17	2.0
2	18	2.0
2	19	2.0
2	20	1.5
2	21	1.5
2	22	1.5
2	23	1.5
2	24	1.5
3	1	3.0
3	2	3.0
3	3	5.5
3	4	5.0
3	5	4.0
3	6	3.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	4.0
3	12	25.5
3	13	22.0
3	14	21.5
3	15	9.0
3	16	2.0
3	17	2.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	3.0
3	24	12.0
4	1	3.0
4	2	4.0
4	3	4.0
4	4	5.0
4	5	5.0
4	6	3.0
4	7	3.0
4	8	3.0
4	9	3.0
4	10	3.0
4	11	11.5
4	12	24.0
4	13	29.0
4	14	29.0
4	15	23.0
4	16	2.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	3.0
4	23	2.0
4	24	2.0
5	1	6.0
5	2	6.0
5	3	6.0
5	4	6.0
5	5	6.0
5	6	3.0
5	7	2.0
5	8	2.0
5	9	2.0
5	10	13.25
5	11	13.25
5	12	2.0
5	13	2.0
5	14	3.5
5	15	3.5
5	16	2.0
5	17	2.0
5	18	35.5
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	2.0
6	1	4.0
6	2	7.0
6	3	7.0
6	4	4.0
6	5	4.0
6	6	5.0
6	7	2.4
6	8	2.4
6	9	2.4
6	10	4.0
6	11	5.0
6	12	10.4
6	13	14.0
6	14	10.4
6	15	4.0
6	16	2.4
6	17	2.0
6	18	2.0
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	20.0
7	1	3.0
7	2	3.0
7	3	5.5
7	4	5.0
7	5	4.0
7	6	3.0
7	7	2.0
7	8	2.0
7	9	2.0
7	10	2.0
7	11	4.0
7	12	25.5
7	13	22.0
7	14	21.5
7	15	9.0
7	16	2.0
7	17	2.0
7	18	2.0
7	19	2.0
7	20	2.0
7	21	2.0
7	22	2.0
7	23	3.0
7	24	12.0
8	1	0.5
8	2	0.5
8	3	1.0
8	4	1.0
8	5	2.0
8	6	2.0
8	7	2.0
8	8	2.0
8	9	2.0
