Node	Time	ActivationUpPrice
3	1	-0.02
3	2	-0.33
3	3	-1.0
3	4	-0.92
3	5	-0.43
3	6	-0.05
3	7	-0.01
3	8	-0.06
3	9	1.0
3	10	1.0
3	11	1.0
3	12	-15.5
3	13	-20.01
3	14	-19.83
3	15	-10.15
3	16	2.0
3	17	1.0
3	18	1.01
3	19	1.01
3	20	1.15
3	21	5.0
3	22	5.0
3	23	0.99
3	24	1.0
4	1	26.0
4	2	14.78
4	3	14.49
4	4	14.77
4	5	15.06
4	6	20.26
4	7	40.0
4	8	153.0
4	9	141.0
4	10	125.67
4	11	116.96
4	12	105.2
4	13	96.78
4	14	50.13
4	15	30.06
4	16	23.27
4	17	22.8
4	18	23.27
4	19	22.4
4	20	22.23
4	21	21.89
4	22	21.06
4	23	20.34
4	24	17.91
5	1	50.0
5	2	51.0
5	3	51.0
5	4	45.0
5	5	45.0
5	6	40.58
5	7	41.23
5	8	43.52
5	9	45.22
5	10	49.66
5	11	56.01
5	12	55.94
5	13	58.0
5	14	55.84
5	15	63.97
5	16	64.1
5	17	66.01
5	18	62.91
5	19	56.73
5	20	52.49
5	21	49.0
5	22	50.0
5	23	50.0
5	24	48.5
6	1	61.48
6	2	59.04
6	3	64.0
6	4	65.0
6	5	63.0
6	6	53.64
6	7	60.0
6	8	60.0
6	9	63.0
6	10	63.5
6	11	63.0
6	12	65.0
6	13	69.0
6	14	69.0
6	15	58.02
6	16	64.0
6	17	65.0
6	18	71.0
6	19	71.0
6	20	68.5
6	21	63.5
6	22	56.7
6	23	56.06
6	24	55.03
7	1	67.0
7	2	58.39
7	3	59.0
7	4	59.0
7	5	59.0
7	6	59.0
7	7	62.7
7	8	74.0
7	9	74.0
7	10	74.0
7	11	74.0
7	12	74.0
7	13	66.397
7	14	71.0
7	15	73.0
7	16	78.0
7	17	84.0
7	18	91.0
7	19	91.0
7	20	91.0
7	21	85.0
7	22	69.2
7	23	75.0
7	24	73.78
8	1	6.84
8	2	0.39
8	3	0.27
8	4	0.28
8	5	0.54
8	6	2.18
8	7	16.19
8	8	33.5
8	9	33.0
8	10	30.49
8	11	30.57
8	12	30.16
8	13	29.74
8	14	29.42
8	15	29.99
8	16	34.0
8	17	34.0
8	18	34.0
8	19	30.63
8	20	28.81
8	21	28.04
8	22	25.66
8	23	25.66
8	24	27.5
9	1	36.0
9	2	35.0
9	3	34.0
9	4	33.0
9	5	28.0
9	6	29.35
9	7	31.52
9	8	34.07
9	9	36.63
9	10	36.67
9	11	36.99
9	12	37.05
9	13	37.08
9	14	37.22
9	15	40.0
9	16	41.0
9	17	44.0
9	18	44.0
9	19	44.0
9	20	44.0
9	21	43.5
9	22	39.5
9	23	39.5
9	24	39.5
10	1	64.03
10	2	63.13
10	3	62.61
10	4	62.41
10	5	62.08
10	6	64.47
10	7	72.65
10	8	92.0
10	9	92.0
10	10	94.2
10	11	94.82
10	12	94.74
10	13	86.69
10	14	85.96
10	15	95.0
10	16	99.0
10	17	106.0
10	18	134.0
10	19	145.0
10	20	125.0
10	21	104.0
10	22	100.01
10	23	95.0
10	24	88.83
11	1	53.8
11	2	53.17
11	3	53.2
11	4	53.21
11	5	54.56
11	6	57.22
11	7	64.5
11	8	69.07
11	9	74.4
11	10	70.0
11	11	67.0
11	12	62.2
11	13	61.6
11	14	61.35
11	15	61.82
11	16	61.85
11	17	62.63
11	18	64.85
11	19	68.88
11	20	66.35
11	21	60.42
11	22	58.85
11	23	58.04
11	24	55.06
12	1	67.27
12	2	70.0
12	3	66.16
12	4	63.57
12	5	62.97
12	6	66.13
12	7	71.0
12	8	77.0
12	9	83.0
12	10	83.0
12	11	79.133
12	12	80.0
12	13	80.0
12	14	83.02
12	15	80.09
12	16	82.0
12	17	76.5
12	18	85.0
12	19	85.0
12	20	78.0
12	21	67.25
12	22	66.15
12	23	64.96
12	24	63.28
13	1	29.0
13	2	29.0
13	3	16.72
13	4	23.73
13	5	24.1
13	6	23.37
13	7	11.89
13	8	19.5
13	9	17.38
13	10	20.76
13	11	23.32
13	12	27.8
13	13	25.23
13	14	25.3
13	15	28.5
13	16	30.07
13	17	34.02
