Node	Time	CapacityUpPrice
1	1	2.5
1	2	2.5
1	3	2.5
1	4	2.5
1	5	7.28
1	6	13.0
1	7	13.5
1	8	13.5
1	9	13.5
1	10	12.0
1	11	7.0
1	12	6.0
1	13	4.5
1	14	4.5
1	15	4.5
1	16	5.0
1	17	6.5
1	18	12.5
1	19	13.0
1	20	13.5
1	21	13.5
1	22	13.0
1	23	9.0
1	24	4.5
2	1	2.7
2	2	1.8
2	3	1.8
2	4	1.8
2	5	1.8
2	6	2.7
2	7	21.0
2	8	40.0
2	9	40.0
2	10	30.0
2	11	30.0
2	12	30.0
2	13	23.0
2	14	12.6
2	15	11.0
2	16	12.6
2	17	16.2
2	18	23.0
2	19	24.9
2	20	40.0
2	21	28.0
2	22	25.0
2	23	11.7
2	24	6.0
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	2.0
3	6	24.02
3	7	44.0
3	8	43.0
3	9	8.0
3	10	8.0
3	11	8.0
3	12	8.5
3	13	4.5
3	14	4.5
3	15	3.0
3	16	3.0
3	17	4.5
3	18	6.5
3	19	54.5
3	20	60.5
3	21	58.5
3	22	34.5
3	23	3.0
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	3.0
4	6	14.4
4	7	18.9
4	8	18.0
4	9	18.0
4	10	12.6
4	11	7.2
4	12	6.3
4	13	5.4
4	14	4.5
4	15	4.0
4	16	6.3
4	17	5.4
4	18	7.2
4	19	18.0
4	20	19.8
4	21	19.0
4	22	18.0
4	23	4.5
4	24	4.5
5	1	6.5
5	2	6.5
5	3	6.0
5	4	6.0
5	5	6.0
5	6	9.0
5	7	37.0
5	8	43.0
5	9	38.5
5	10	21.5
5	11	16.5
5	12	11.5
5	13	10.0
5	14	10.0
5	15	10.0
5	16	13.0
5	17	43.0
5	18	50.0
5	19	36.0
5	20	31.0
5	21	12.0
5	22	6.0
5	23	6.0
5	24	2.0
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	6.0
6	6	16.0
6	7	21.12
6	8	21.12
6	9	17.5
6	10	15.0
6	11	7.0
6	12	6.0
6	13	4.5
6	14	4.5
6	15	4.5
6	16	5.5
6	17	5.0
6	18	7.0
6	19	26.81
6	20	26.0
6	21	20.74
6	22	19.55
6	23	12.0
6	24	4.5
7	1	2.0
7	2	2.0
7	3	2.0
7	4	2.0
7	5	2.0
7	6	2.0
7	7	3.5
7	8	11.87
7	9	12.0
7	10	11.04
7	11	8.11
7	12	8.0
7	13	6.8
7	14	6.1
7	15	6.1
7	16	6.8
7	17	6.1
7	18	6.5
7	19	6.8
7	20	6.0
7	21	4.0
7	22	2.5
7	23	2.0
7	24	2.0
8	1	1.8
8	2	1.8
8	3	1.8
8	4	1.8
8	5	2.0
8	6	5.0
8	7	5.4
8	8	6.0
8	9	5.4
8	10	5.0
8	11	5.0
8	12	5.0
8	13	5.0
8	14	5.0
8	15	5.4
8	16	6.0
8	17	6.0
8	18	6.0
8	19	6.0
8	20	6.0
8	21	6.0
8	22	4.8
8	23	5.0
8	24	6.0
9	1	2.0
9	2	2.0
9	3	2.0
9	4	2.0
9	5	6.0
9	6	11.0
9	7	34.0
9	8	39.0
9	9	27.0
9	10	12.0
9	11	7.0
9	12	6.0
9	13	3.4
9	14	3.0
9	15	3.0
9	16	6.0
9	17	11.0
9	18	15.0
9	19	16.0
9	20	9.0
9	21	11.48
9	22	10.0
9	23	3.0
9	24	3.0
10	1	2.0
10	2	2.0
10	3	2.0
10	4	2.0
10	5	6.0
10	6	11.0
10	7	34.0
10	8	39.0
10	9	27.0
10	10	12.0
10	11	7.0
10	12	6.0
10	13	3.4
10	14	3.0
10	15	3.0
10	16	6.0
10	17	11.0
10	18	15.0
10	19	16.0
10	20	9.0
10	21	11.48
10	22	10.0
10	23	3.0
10	24	3.0
