Node	Time	EnergyCarrier	ReferenceDemand
3	1	Electricity	32.708731313946295
3	2	Electricity	31.935808085434537
3	3	Electricity	31.323343493775262
3	4	Electricity	31.368336739996792
3	5	Electricity	32.70583450009712
3	6	Electricity	36.83935491578691
3	7	Electricity	46.60167429141211
3	8	Electricity	57.32805314882079
3	9	Electricity	71.2523442320255
3	10	Electricity	81.42363749052821
3	11	Electricity	86.97126467686519
3	12	Electricity	87.03837434128003
3	13	Electricity	78.87577620104365
3	14	Electricity	80.23064400006307
3	15	Electricity	87.02905149171309
3	16	Electricity	87.21303383196009
3	17	Electricity	85.31877324884881
3	18	Electricity	79.6291871844811
3	19	Electricity	73.07750423095631
3	20	Electricity	58.985157177491885
3	21	Electricity	43.71056267987839
3	22	Electricity	37.10670717957387
3	23	Electricity	35.398856613263604
3	24	Electricity	33.77291383099071
3	1	LT	2.0144353012312752
3	2	LT	2.0144353012312752
3	3	LT	2.0144353012312752
3	4	LT	2.0144353012312752
3	5	LT	2.0144353012312752
3	6	LT	2.0144353012312752
3	7	LT	2.0144353012312752
3	8	LT	5.549769254892163
3	9	LT	6.19237411598494
3	10	LT	6.834978977077716
3	11	LT	6.834978977077716
3	12	LT	8.178607322998975
3	13	LT	8.178607322998975
3	14	LT	5.432932007420748
3	15	LT	8.178607322998975
3	16	LT	8.178607322998975
3	17	LT	6.833971759427102
3	18	LT	5.433939225071365
3	19	LT	2.0144353012312752
3	20	LT	2.0144353012312752
3	21	LT	2.0144353012312752
3	22	LT	2.0144353012312752
3	23	LT	2.0144353012312752
3	24	LT	2.0144353012312752
3	1	MT	37.87366408713155
3	2	MT	37.87366408713155
3	3	MT	37.87366408713155
3	4	MT	37.87366408713155
3	5	MT	37.87366408713155
3	6	MT	37.87366408713155
3	7	MT	37.87366408713155
3	8	MT	151.91420011825252
3	9	MT	169.5042653951028
3	10	MT	187.09433067195312
3	11	MT	187.09433067195312
3	12	MT	223.8735580690037
3	13	MT	223.8735580690037
3	14	MT	148.71600643155247
3	15	MT	223.8735580690037
3	16	MT	223.8735580690037
3	17	MT	134.1077944860444
3	18	MT	59.96458442937934
3	19	MT	37.87366408713155
3	20	MT	37.87366408713155
3	21	MT	37.87366408713155
3	22	MT	37.87366408713155
3	23	MT	37.87366408713155
3	24	MT	37.87366408713155
3	1	H2	0.0
3	2	H2	0.0
3	3	H2	0.0
3	4	H2	0.0
3	5	H2	0.0
3	6	H2	0.0
3	7	H2	0.0
3	8	H2	0.0
3	9	H2	0.0
3	10	H2	0.0
3	11	H2	0.0
