Node	Time	ID_Capacity_Buy_Volume
1	1	21.7
1	2	13.6
1	3	18.7
1	4	32.9
1	5	9.1
1	6	19.8
1	7	7.0
1	8	0.0
1	9	37.3
1	10	47.4
1	11	37.0
1	12	7.3
1	13	2.4
1	14	9.9
1	15	5.5
1	16	41.2
1	17	76.6
1	18	4.1
1	19	10.2
1	20	10.1
1	21	9.9
1	22	7.8
1	23	20.4
1	24	21.4
2	1	8.9
2	2	1.7
2	3	2.5
2	4	1.5
2	5	0.9
2	6	36.1
2	7	3.1
2	8	7.7
2	9	13.2
2	10	30.8
2	11	5.1
2	12	12.9
2	13	119.5
2	14	18.0
2	15	87.8
2	16	23.1
2	17	23.8
2	18	34.2
2	19	5.4
2	20	10.1
2	21	10.3
2	22	35.1
2	23	25.6
2	24	13.8
3	1	0.4
3	2	15.0
3	3	23.2
3	4	12.1
3	5	54.2
3	6	61.1
3	7	75.5
3	8	20.7
3	9	0.3
3	10	10.8
3	11	28.0
3	12	67.2
3	13	33.4
3	14	0.0
3	15	11.2
3	16	0.0
3	17	166.6
3	18	75.8
3	19	4.5
3	20	0.0
3	21	0.0
3	22	0.0
3	23	6.9
3	24	13.3
4	1	0.4
4	2	15.0
4	3	23.2
4	4	12.1
4	5	54.2
4	6	61.1
4	7	75.5
4	8	20.7
4	9	0.3
4	10	10.8
4	11	28.0
4	12	67.2
4	13	33.4
4	14	0.0
4	15	11.2
4	16	0.0
4	17	166.6
4	18	75.8
4	19	4.5
4	20	0.0
4	21	0.0
4	22	0.0
4	23	6.9
4	24	13.3
5	1	10.2
5	2	42.5
5	3	50.0
5	4	44.6
5	5	32.9
5	6	5.0
5	7	8.8
5	8	31.8
5	9	20.9
5	10	2.0
5	11	0.0
5	12	9.1
5	13	14.6
5	14	31.2
5	15	25.3
5	16	16.0
5	17	45.7
5	18	12.4
5	19	46.0
5	20	9.5
5	21	0.5
5	22	4.2
5	23	27.9
5	24	56.5
6	1	10.2
6	2	42.5
6	3	50.0
6	4	44.6
6	5	32.9
6	6	5.0
6	7	8.8
6	8	31.8
6	9	20.9
6	10	2.0
6	11	0.0
6	12	9.1
6	13	14.6
6	14	31.2
6	15	25.3
6	16	16.0
6	17	45.7
6	18	12.4
6	19	46.0
6	20	9.5
6	21	0.5
6	22	4.2
6	23	27.9
6	24	56.5
7	1	0.4
7	2	15.0
7	3	23.2
7	4	12.1
7	5	54.2
7	6	61.1
7	7	75.5
7	8	20.7
7	9	0.3
7	10	10.8
7	11	28.0
7	12	67.2
7	13	33.4
7	14	0.0
7	15	11.2
7	16	0.0
7	17	166.6
7	18	75.8
7	19	4.5
7	20	0.0
7	21	0.0
7	22	0.0
7	23	6.9
7	24	13.3
8	1	21.7
8	2	13.6
8	3	18.7
8	4	32.9
8	5	9.1
8	6	19.8
8	7	7.0
8	8	0.0
8	9	37.3
8	10	47.4
8	11	37.0
8	12	7.3
8	13	2.4
8	14	9.9
8	15	5.5
8	16	41.2
8	17	76.6
8	18	4.1
8	19	10.2
8	20	10.1
8	21	9.9
8	22	7.8
8	23	20.4
8	24	21.4
9	1	21.7
9	2	13.6
9	3	18.7
9	4	32.9
9	5	9.1
9	6	19.8
9	7	7.0
9	8	0.0
9	9	37.3
9	10	47.4
9	11	37.0
9	12	7.3
9	13	2.4
9	14	9.9
9	15	5.5
9	16	41.2
9	17	76.6
9	18	4.1
9	19	10.2
9	20	10.1
9	21	9.9
9	22	7.8
9	23	20.4
9	24	21.4
10	1	10.2
10	2	42.5
10	3	50.0
10	4	44.6
10	5	32.9
10	6	5.0
10	7	8.8
10	8	31.8
10	9	20.9
10	10	2.0
10	11	0.0
10	12	9.1
10	13	14.6
10	14	31.2
10	15	25.3
10	16	16.0
10	17	45.7
10	18	12.4
10	19	46.0
10	20	9.5
10	21	0.5
10	22	4.2
10	23	27.9
10	24	56.5
11	1	0.0
11	2	0.0
11	3	0.0
11	4	0.0
11	5	0.0
11	6	0.0
11	7	0.0
11	8	0.0
11	9	0.0
11	10	0.1
11	11	16.9
11	12	4.4
11	13	1.7
11	14	5.0
11	15	2.1
11	16	10.5
11	17	12.3
11	18	4.6
11	19	17.8
11	20	11.5
11	21	5.5
11	22	16.9
11	23	14.6
11	24	11.0
12	1	6.4
12	2	2.2
12	3	0.0
12	4	0.0
12	5	0.0
12	6	0.0
12	7	1.9
12	8	56.7
12	9	41.1
12	10	42.8
12	11	247.2
12	12	36.3
12	13	88.8
12	14	23.7
12	15	113.5
12	16	455.4
12	17	144.6
12	18	130.0
12	19	65.1
12	20	95.4
12	21	59.1
12	22	67.1
12	23	88.8
12	24	107.0
13	1	0.4
13	2	15.0
13	3	23.2
13	4	12.1
13	5	54.2
13	6	61.1
13	7	75.5
13	8	20.7
13	9	0.3
13	10	10.8
13	11	28.0
13	12	67.2
13	13	33.4
13	14	0.0
13	15	11.2
13	16	0.0
13	17	166.6
13	18	75.8
13	19	4.5
13	20	0.0
13	21	0.0
13	22	0.0
13	23	6.9
13	24	13.3
14	1	0.4
14	2	15.0
14	3	23.2
14	4	12.1
14	5	54.2
14	6	61.1
14	7	75.5
14	8	20.7
14	9	0.3
14	10	10.8
14	11	28.0
14	12	67.2
14	13	33.4
14	14	0.0
14	15	11.2
14	16	0.0
14	17	166.6
14	18	75.8
14	19	4.5
14	20	0.0
14	21	0.0
14	22	0.0
14	23	6.9
14	24	13.3
