Node	Time	CapacityDownPrice
1	1	5.0
1	2	5.0
1	3	5.0
1	4	5.0
1	5	5.0
1	6	3.5
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	4.5
1	12	13.0
1	13	56.0
1	14	56.0
1	15	13.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	2.5
1	24	17.0
2	1	20.0
2	2	21.0
2	3	19.0
2	4	21.0
2	5	21.0
2	6	20.0
2	7	3.0
2	8	2.0
2	9	2.0
2	10	2.0
2	11	2.0
2	12	2.0
2	13	5.0
2	14	13.0
2	15	7.0
2	16	13.0
2	17	2.0
2	18	2.0
2	19	2.0
2	20	3.0
2	21	3.0
2	22	3.0
2	23	3.0
2	24	2.5
3	1	23.0
3	2	23.0
3	3	16.0
3	4	16.0
3	5	23.0
3	6	22.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	7.0
3	12	12.0
3	13	13.0
3	14	12.0
3	15	11.0
3	16	5.0
3	17	2.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	14.0
3	24	22.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	2.0
4	6	2.5
4	7	2.0
4	8	2.0
4	9	2.5
4	10	2.0
4	11	2.0
4	12	2.0
4	13	2.0
4	14	2.5
4	15	2.0
4	16	2.0
4	17	2.5
4	18	2.5
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	2.0
4	24	2.0
5	1	5.5
5	2	7.5
5	3	7.5
5	4	6.5
5	5	9.0
5	6	3.5
5	7	2.5
5	8	2.5
5	9	2.5
5	10	2.5
5	11	3.5
5	12	8.5
5	13	22.0
5	14	35.0
5	15	9.0
5	16	2.5
5	17	2.0
5	18	2.0
5	19	2.5
5	20	2.5
5	21	2.5
5	22	2.5
5	23	3.5
5	24	4.0
6	1	2.0
6	2	4.0
6	3	4.0
6	4	3.0
6	5	3.0
6	6	4.0
6	7	2.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	2.0
6	12	2.0
6	13	2.0
6	14	2.0
6	15	2.0
6	16	2.0
6	17	2.0
6	18	2.0
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	2.0
