Node	Time	ID_Capacity_Sell_Volume
1	1	3.0
1	2	25.1
1	3	39.3
1	4	21.7
1	5	39.2
1	6	48.6
1	7	33.1
1	8	6.5
1	9	0.3
1	10	0.1
1	11	26.5
1	12	68.9
1	13	22.5
1	14	0.0
1	15	11.1
1	16	3.6
1	17	127.4
1	18	55.5
1	19	1.1
1	20	0.0
1	21	0.0
1	22	0.0
1	23	19.0
1	24	12.5
2	1	5.3
2	2	6.9
2	3	5.4
2	4	11.2
2	5	7.9
2	6	2.0
2	7	5.1
2	8	10.8
2	9	3.9
2	10	5.6
2	11	1.4
2	12	5.9
2	13	3.0
2	14	135.6
2	15	24.3
2	16	22.7
2	17	68.1
2	18	36.8
2	19	97.5
2	20	8.5
2	21	0.3
2	22	2.1
2	23	8.7
2	24	45.2
3	1	10.0
3	2	19.0
3	3	2.1
3	4	0.1
3	5	5.7
3	6	18.9
3	7	43.2
3	8	69.3
3	9	70.1
3	10	77.0
3	11	20.5
3	12	37.3
3	13	7.6
3	14	19.1
3	15	137.4
3	16	42.0
3	17	12.8
3	18	20.5
3	19	32.8
3	20	19.9
3	21	13.4
3	22	62.7
3	23	74.6
3	24	73.8
4	1	10.0
4	2	19.0
4	3	2.1
4	4	0.1
4	5	5.7
4	6	18.9
4	7	43.2
4	8	69.3
4	9	70.1
4	10	77.0
4	11	20.5
4	12	37.3
4	13	7.6
4	14	19.1
4	15	137.4
4	16	42.0
4	17	12.8
4	18	20.5
4	19	32.8
4	20	19.9
4	21	13.4
4	22	62.7
4	23	74.6
4	24	73.8
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	0.0
5	8	0.0
5	9	0.0
5	10	0.1
5	11	16.9
5	12	20.6
5	13	1.7
5	14	5.0
5	15	2.1
5	16	10.6
5	17	55.2
5	18	20.8
5	19	30.8
5	20	26.0
5	21	21.0
5	22	38.3
5	23	122.9
5	24	110.5
6	1	10.0
6	2	19.0
6	3	2.1
6	4	0.1
6	5	5.7
6	6	18.9
6	7	43.2
6	8	69.3
6	9	70.1
6	10	77.0
6	11	20.5
6	12	37.3
6	13	7.6
6	14	19.1
6	15	137.4
6	16	42.0
6	17	12.8
6	18	20.5
6	19	32.8
6	20	19.9
6	21	13.4
6	22	62.7
6	23	74.6
6	24	73.8
7	1	5.3
7	2	6.9
7	3	5.4
7	4	11.2
7	5	7.9
7	6	2.0
7	7	5.1
7	8	10.8
7	9	3.9
7	10	5.6
7	11	1.4
7	12	5.9
7	13	3.0
7	14	135.6
7	15	24.3
7	16	22.7
7	17	68.1
7	18	36.8
7	19	97.5
7	20	8.5
7	21	0.3
7	22	2.1
7	23	8.7
7	24	45.2
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	0.0
8	6	0.0
8	7	0.0
8	8	0.0
8	9	0.0
8	10	0.1
8	11	16.9
8	12	20.6
8	13	1.7
8	14	5.0
8	15	2.1
8	16	10.6
8	17	55.2
8	18	20.8
8	19	30.8
8	20	26.0
8	21	21.0
8	22	38.3
8	23	122.9
8	24	110.5
9	1	3.0
9	2	25.1
9	3	39.3
9	4	21.7
9	5	39.2
9	6	48.6
9	7	33.1
9	8	6.5
9	9	0.3
9	10	0.1
9	11	26.5
9	12	68.9
9	13	22.5
9	14	0.0
9	15	11.1
9	16	3.6
9	17	127.4
9	18	55.5
9	19	1.1
9	20	0.0
9	21	0.0
9	22	0.0
9	23	19.0
9	24	12.5
10	1	3.0
10	2	25.1
10	3	39.3
10	4	21.7
10	5	39.2
10	6	48.6
10	7	33.1
10	8	6.5
10	9	0.3
10	10	0.1
10	11	26.5
10	12	68.9
10	13	22.5
10	14	0.0
10	15	11.1
10	16	3.6
10	17	127.4
10	18	55.5
10	19	1.1
10	20	0.0
10	21	0.0
10	22	0.0
10	23	19.0
10	24	12.5
11	1	5.3
11	2	6.9
11	3	5.4
11	4	11.2
11	5	7.9
11	6	2.0
11	7	5.1
11	8	10.8
11	9	3.9
11	10	5.6
11	11	1.4
11	12	5.9
11	13	3.0
11	14	135.6
11	15	24.3
11	16	22.7
11	17	68.1
11	18	36.8
11	19	97.5
11	20	8.5
11	21	0.3
11	22	2.1
11	23	8.7
11	24	45.2
12	1	5.3
12	2	6.9
12	3	5.4
12	4	11.2
12	5	7.9
12	6	2.0
12	7	5.1
12	8	10.8
12	9	3.9
12	10	5.6
12	11	1.4
12	12	5.9
12	13	3.0
12	14	135.6
12	15	24.3
12	16	22.7
12	17	68.1
12	18	36.8
12	19	97.5
12	20	8.5
12	21	0.3
12	22	2.1
12	23	8.7
12	24	45.2
13	1	13.4
13	2	0.0
13	3	2.0
13	4	3.1
13	5	1.0
13	6	49.2
13	7	1.6
13	8	12.7
13	9	16.6
13	10	45.1
13	11	8.2
13	12	1.9
13	13	117.0
13	14	25.0
13	15	76.8
13	16	57.7
13	17	39.9
13	18	74.4
13	19	21.6
13	20	10.9
13	21	18.7
13	22	71.4
13	23	61.5
13	24	85.4
14	1	8.8
14	2	10.9
14	3	24.1
14	4	33.0
14	5	11.6
14	6	22.3
14	7	6.6
14	8	0.0
14	9	32.3
14	10	114.6
14	11	34.8
14	12	28.9
14	13	0.5
14	14	15.8
14	15	3.2
14	16	34.0
14	17	78.7
14	18	5.2
14	19	5.8
14	20	7.0
14	21	5.4
14	22	9.2
14	23	11.4
14	24	22.6
