Node	Time	Res_CapacityDownVolume
1	1	140.0
1	2	140.0
1	3	140.0
1	4	140.0
1	5	140.0
1	6	140.0
1	7	140.0
1	8	140.0
1	9	140.0
1	10	140.0
1	11	140.0
1	12	140.0
1	13	140.0
1	14	140.0
1	15	140.0
1	16	140.0
1	17	140.0
1	18	140.0
1	19	140.0
1	20	140.0
1	21	140.0
1	22	140.0
1	23	140.0
1	24	248.0
2	1	25.0
2	2	31.0
2	3	31.0
2	4	31.0
2	5	31.0
2	6	31.0
2	7	31.0
2	8	31.0
2	9	31.0
2	10	31.0
2	11	31.0
2	12	31.0
2	13	31.0
2	14	31.0
2	15	31.0
2	16	31.0
2	17	31.0
2	18	31.0
2	19	31.0
2	20	25.0
2	21	25.0
2	22	25.0
2	23	25.0
2	24	25.0
3	1	330.0
3	2	330.0
3	3	330.0
3	4	330.0
3	5	330.0
3	6	330.0
3	7	250.0
3	8	250.0
3	9	250.0
3	10	224.0
3	11	183.0
3	12	383.0
3	13	390.0
3	14	390.0
3	15	383.0
3	16	84.0
3	17	60.0
3	18	200.0
3	19	300.0
3	20	300.0
3	21	300.0
3	22	300.0
3	23	330.0
3	24	305.0
4	1	470.0
4	2	465.0
4	3	465.0
4	4	465.0
4	5	470.0
4	6	400.0
4	7	250.0
4	8	250.0
4	9	250.0
4	10	250.0
4	11	310.0
4	12	540.0
4	13	583.0
4	14	583.0
4	15	520.0
4	16	220.0
4	17	200.0
4	18	200.0
4	19	300.0
4	20	300.0
4	21	300.0
4	22	300.0
4	23	350.0
4	24	450.0
5	1	0.0
5	2	0.0
5	3	0.0
5	4	31.0
5	5	31.0
5	6	31.0
5	7	31.0
5	8	31.0
5	9	31.0
5	10	31.0
5	11	31.0
5	12	31.0
5	13	31.0
5	14	31.0
5	15	31.0
5	16	31.0
5	17	31.0
5	18	31.0
5	19	31.0
5	20	31.0
5	21	0.0
5	22	0.0
5	23	0.0
5	24	0.0
6	1	253.0
6	2	253.0
6	3	253.0
6	4	253.0
6	5	253.0
6	6	253.0
6	7	253.0
6	8	253.0
6	9	253.0
6	10	250.0
6	11	253.0
6	12	253.0
6	13	253.0
6	14	253.0
6	15	263.0
6	16	200.0
6	17	209.0
6	18	201.0
6	19	209.0
6	20	209.0
6	21	209.0
6	22	209.0
6	23	199.0
6	24	369.0
7	1	329.0
7	2	329.0
7	3	329.0
7	4	329.0
7	5	329.0
7	6	215.0
7	7	215.0
7	8	250.0
7	9	236.0
7	10	233.0
7	11	331.0
7	12	409.0
7	13	409.0
7	14	409.0
7	15	394.0
7	16	240.0
7	17	200.0
7	18	200.0
7	19	215.0
7	20	215.0
7	21	215.0
7	22	215.0
7	23	215.0
7	24	299.0
8	1	450.0
8	2	450.0
8	3	450.0
8	4	450.0
8	5	450.0
8	6	400.0
8	7	250.0
8	8	250.0
8	9	184.0
8	10	250.0
8	11	300.0
8	12	473.0
8	13	473.0
8	14	473.0
8	15	473.0
8	16	200.0
8	17	200.0
8	18	200.0
8	19	300.0
8	20	234.0
8	21	300.0
8	22	300.0
8	23	350.0
8	24	400.0
9	1	230.0
9	2	230.0
9	3	230.0
9	4	230.0
9	5	230.0
9	6	230.0
9	7	250.0
9	8	250.0
9	9	250.0
9	10	250.0
9	11	290.0
9	12	290.0
9	13	290.0
9	14	290.0
9	15	290.0
9	16	200.0
9	17	200.0
9	18	200.0
9	19	230.0
9	20	230.0
9	21	230.0
9	22	230.0
9	23	230.0
9	24	230.0
10	1	370.0
10	2	370.0
10	3	370.0
10	4	370.0
10	5	370.0
10	6	370.0
10	7	250.0
10	8	250.0
10	9	250.0
10	10	250.0
10	11	300.0
10	12	350.0
10	13	370.0
10	14	370.0
10	15	370.0
10	16	200.0
10	17	200.0
10	18	200.0
10	19	300.0
10	20	300.0
10	21	300.0
10	22	300.0
10	23	284.0
10	24	370.0
11	1	120.0
11	2	120.0
11	3	120.0
11	4	120.0
11	5	120.0
11	6	120.0
11	7	90.0
11	8	82.0
11	9	82.0
11	10	70.0
11	11	70.0
11	12	112.0
11	13	168.0
11	14	170.0
11	15	170.0
11	16	170.0
11	17	70.0
11	18	140.0
11	19	170.0
11	20	140.0
11	21	140.0
11	22	140.0
11	23	90.0
11	24	120.0
12	1	252.0
12	2	252.0
12	3	252.0
12	4	252.0
12	5	252.0
12	6	252.0
12	7	209.0
12	8	150.0
12	9	150.0
12	10	150.0
12	11	150.0
12	12	150.0
12	13	150.0
12	14	150.0
12	15	120.0
12	16	46.0
12	17	96.0
12	18	96.0
12	19	120.0
12	20	120.0
12	21	120.0
12	22	120.0
12	23	177.0
12	24	209.0
13	1	25.0
13	2	0.0
13	3	0.0
13	4	0.0
13	5	0.0
13	6	0.0
13	7	51.0
13	8	51.0
13	9	51.0
13	10	45.0
13	11	45.0
13	12	45.0
13	13	31.0
13	14	31.0
13	15	51.0
13	16	45.0
13	17	51.0
13	18	51.0
13	19	25.0
13	20	25.0
13	21	25.0
13	22	25.0
13	23	25.0
13	24	25.0
14	1	175.0
14	2	175.0
14	3	175.0
14	4	175.0
14	5	175.0
14	6	175.0
14	7	121.0
14	8	121.0
14	9	105.0
14	10	55.0
14	11	85.0
14	12	85.0
14	13	55.0
14	14	83.0
14	15	0.0
14	16	90.0
14	17	110.0
14	18	0.0
14	19	84.0
14	20	104.0
14	21	121.0
14	22	121.0
14	23	175.0
14	24	185.0
