Node	Time	CapacityDownPrice
1	1	7.5
1	2	11.5
1	3	11.5
1	4	9.0
1	5	5.0
1	6	5.0
1	7	3.0
1	8	3.0
1	9	3.0
1	10	5.0
1	11	5.0
1	12	14.5
1	13	26.0
1	14	30.0
1	15	14.5
1	16	3.0
1	17	3.0
1	18	3.0
1	19	3.5
1	20	3.5
1	21	3.5
1	22	3.5
1	23	5.0
1	24	11.0
2	1	2.0
2	2	2.0
2	3	2.0
2	4	2.0
2	5	2.0
2	6	2.0
2	7	2.5
2	8	2.5
2	9	2.5
2	10	2.5
2	11	2.5
2	12	2.5
2	13	2.5
2	14	2.5
2	15	2.5
2	16	2.5
2	17	2.5
2	18	2.5
2	19	2.5
2	20	2.0
2	21	2.0
2	22	2.0
2	23	2.0
2	24	2.0
3	1	14.0
3	2	15.0
3	3	15.0
3	4	15.0
3	5	13.0
3	6	13.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	2.0
3	12	11.0
3	13	17.5
3	14	31.5
3	15	12.0
3	16	2.0
3	17	2.0
3	18	3.0
3	19	8.0
3	20	8.0
3	21	8.0
3	22	10.0
3	23	13.0
3	24	13.0
4	1	2.0
4	2	2.5
4	3	2.5
4	4	2.0
4	5	2.0
4	6	2.0
4	7	2.0
4	8	2.0
4	9	2.0
4	10	2.0
4	11	2.0
4	12	2.0
4	13	3.0
4	14	3.0
4	15	3.0
4	16	2.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	2.0
4	24	2.0
5	1	1.9
5	2	1.9
5	3	1.9
5	4	2.0
5	5	2.0
5	6	2.0
5	7	2.0
5	8	2.0
5	9	2.0
5	10	2.0
5	11	2.0
5	12	2.0
5	13	2.0
5	14	2.0
5	15	2.0
5	16	2.0
5	17	2.0
5	18	2.0
5	19	2.0
5	20	2.0
5	21	1.9
5	22	1.9
5	23	1.9
5	24	1.9
6	1	3.0
6	2	5.0
6	3	5.0
6	4	4.0
6	5	4.0
6	6	4.0
6	7	3.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	2.0
6	12	2.0
6	13	2.0
6	14	2.0
6	15	2.0
6	16	2.0
6	17	2.0
6	18	2.0
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	2.0
