Node	Time	ID_Capacity_Buy_Volume
1	1	10.2
1	2	42.5
1	3	50.0
1	4	44.6
1	5	32.9
1	6	5.0
1	7	8.8
1	8	31.8
1	9	20.9
1	10	2.0
1	11	0.0
1	12	9.1
1	13	14.6
1	14	31.2
1	15	25.3
1	16	16.0
1	17	45.7
1	18	12.4
1	19	46.0
1	20	9.5
1	21	0.5
1	22	4.2
1	23	27.9
1	24	56.5
2	1	6.4
2	2	2.2
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	1.9
2	8	56.7
2	9	41.1
2	10	42.8
2	11	247.2
2	12	36.3
2	13	88.8
2	14	23.7
2	15	113.5
2	16	455.4
2	17	144.6
2	18	130.0
2	19	65.1
2	20	95.4
2	21	59.1
2	22	67.1
2	23	88.8
2	24	107.0
3	1	0.0
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	0.0
3	8	0.0
3	9	0.0
3	10	0.1
3	11	16.9
3	12	4.4
3	13	1.7
3	14	5.0
3	15	2.1
3	16	10.5
3	17	12.3
3	18	4.6
3	19	17.8
3	20	11.5
3	21	5.5
3	22	16.9
3	23	14.6
3	24	11.0
4	1	10.2
4	2	42.5
4	3	50.0
4	4	44.6
4	5	32.9
4	6	5.0
4	7	8.8
4	8	31.8
4	9	20.9
4	10	2.0
4	11	0.0
4	12	9.1
4	13	14.6
4	14	31.2
4	15	25.3
4	16	16.0
4	17	45.7
4	18	12.4
4	19	46.0
4	20	9.5
4	21	0.5
4	22	4.2
4	23	27.9
4	24	56.5
5	1	21.7
5	2	13.6
5	3	18.7
5	4	32.9
5	5	9.1
5	6	19.8
5	7	7.0
5	8	0.0
5	9	37.3
5	10	47.4
5	11	37.0
5	12	7.3
5	13	2.4
5	14	9.9
5	15	5.5
5	16	41.2
5	17	76.6
5	18	4.1
5	19	10.2
5	20	10.1
5	21	9.9
5	22	7.8
5	23	20.4
5	24	21.4
6	1	10.2
6	2	42.5
6	3	50.0
6	4	44.6
6	5	32.9
6	6	5.0
6	7	8.8
6	8	31.8
6	9	20.9
6	10	2.0
6	11	0.0
6	12	9.1
6	13	14.6
6	14	31.2
6	15	25.3
6	16	16.0
6	17	45.7
6	18	12.4
6	19	46.0
6	20	9.5
6	21	0.5
6	22	4.2
6	23	27.9
6	24	56.5
7	1	0.4
7	2	15.0
7	3	23.2
7	4	12.1
7	5	54.2
7	6	61.1
7	7	75.5
7	8	20.7
7	9	0.3
7	10	10.8
7	11	28.0
7	12	67.2
7	13	33.4
7	14	0.0
7	15	11.2
7	16	0.0
7	17	166.6
7	18	75.8
7	19	4.5
7	20	0.0
7	21	0.0
7	22	0.0
7	23	6.9
7	24	13.3
8	1	0.0
8	2	5.0
8	3	2.0
8	4	0.0
8	5	2.1
8	6	7.3
8	7	17.3
8	8	7.4
8	9	6.4
8	10	25.8
8	11	12.3
8	12	33.8
8	13	12.8
8	14	92.7
8	15	211.7
8	16	113.2
8	17	78.7
8	18	74.8
8	19	65.6
8	20	73.9
8	21	47.9
8	22	84.6
8	23	32.7
8	24	30.3
9	1	10.2
9	2	42.5
9	3	50.0
9	4	44.6
9	5	32.9
9	6	5.0
9	7	8.8
9	8	31.8
9	9	20.9
9	10	2.0
9	11	0.0
9	12	9.1
9	13	14.6
9	14	31.2
9	15	25.3
9	16	16.0
9	17	45.7
9	18	12.4
9	19	46.0
9	20	9.5
9	21	0.5
9	22	4.2
9	23	27.9
9	24	56.5
10	1	0.0
10	2	0.0
10	3	0.0
10	4	0.0
10	5	0.0
10	6	0.0
10	7	0.0
10	8	0.0
10	9	0.0
10	10	0.1
10	11	16.9
10	12	4.4
10	13	1.7
10	14	5.0
10	15	2.1
10	16	10.5
10	17	12.3
10	18	4.6
10	19	17.8
10	20	11.5
10	21	5.5
10	22	16.9
10	23	14.6
10	24	11.0
11	1	6.4
11	2	2.2
11	3	0.0
11	4	0.0
11	5	0.0
11	6	0.0
11	7	1.9
11	8	56.7
11	9	41.1
11	10	42.8
11	11	247.2
11	12	36.3
11	13	88.8
11	14	23.7
11	15	113.5
11	16	455.4
11	17	144.6
11	18	130.0
11	19	65.1
11	20	95.4
11	21	59.1
11	22	67.1
11	23	88.8
11	24	107.0
12	1	21.7
12	2	13.6
12	3	18.7
12	4	32.9
12	5	9.1
12	6	19.8
12	7	7.0
12	8	0.0
12	9	37.3
12	10	47.4
12	11	37.0
12	12	7.3
12	13	2.4
12	14	9.9
12	15	5.5
12	16	41.2
12	17	76.6
12	18	4.1
12	19	10.2
12	20	10.1
12	21	9.9
12	22	7.8
12	23	20.4
12	24	21.4
13	1	0.4
13	2	15.0
13	3	23.2
13	4	12.1
13	5	54.2
13	6	61.1
13	7	75.5
13	8	20.7
13	9	0.3
13	10	10.8
13	11	28.0
13	12	67.2
13	13	33.4
13	14	0.0
13	15	11.2
13	16	0.0
13	17	166.6
13	18	75.8
13	19	4.5
13	20	0.0
13	21	0.0
13	22	0.0
13	23	6.9
13	24	13.3
14	1	10.2
14	2	42.5
14	3	50.0
14	4	44.6
14	5	32.9
14	6	5.0
14	7	8.8
14	8	31.8
14	9	20.9
14	10	2.0
14	11	0.0
14	12	9.1
14	13	14.6
14	14	31.2
14	15	25.3
14	16	16.0
14	17	45.7
14	18	12.4
14	19	46.0
14	20	9.5
14	21	0.5
14	22	4.2
14	23	27.9
14	24	56.5
