Node	Time	Spot_Price
3	1	23.21
3	2	22.98
3	3	22.85
3	4	22.74
3	5	22.75
3	6	24.18
3	7	24.34
3	8	25.38
3	9	25.18
3	10	25.25
3	11	24.98
3	12	24.57
3	13	24.66
3	14	24.22
3	15	24.39
3	16	24.23
3	17	23.36
3	18	23.53
3	19	23.64
3	20	23.66
3	21	23.16
3	22	23.76
3	23	23.36
3	24	22.11
4	1	0.07
4	2	0.0
4	3	0.0
4	4	0.45
4	5	2.24
4	6	3.52
4	7	6.66
4	8	8.04
4	9	6.71
4	10	9.82
4	11	8.5
4	12	4.97
4	13	5.42
4	14	5.66
4	15	6.04
4	16	7.22
4	17	9.03
4	18	19.92
4	19	21.95
4	20	10.0
4	21	8.04
4	22	6.03
4	23	4.98
4	24	3.78
5	1	85.43
5	2	84.34
5	3	82.54
5	4	81.7
5	5	83.23
5	6	86.34
5	7	88.98
5	8	94.88
5	9	129.11
5	10	117.16
5	11	109.91
5	12	102.5
5	13	97.11
5	14	97.69
5	15	107.45
5	16	115.69
5	17	123.88
5	18	133.56
5	19	133.53
5	20	126.38
5	21	116.51
5	22	99.96
5	23	91.69
5	24	90.91
6	1	60.7
6	2	60.49
6	3	60.67
6	4	62.51
6	5	64.88
6	6	74.18
6	7	85.46
6	8	110.57
6	9	96.79
6	10	75.19
6	11	68.02
6	12	61.69
6	13	60.31
6	14	61.26
6	15	62.65
6	16	71.52
6	17	76.96
6	18	101.96
6	19	160.12
6	20	142.56
6	21	99.55
6	22	68.97
6	23	72.73
6	24	68.95
7	1	19.51
7	2	4.12
7	3	2.67
7	4	2.92
7	5	5.72
7	6	20.84
7	7	29.96
7	8	31.47
7	9	24.55
7	10	4.38
7	11	0.44
7	12	0.44
7	13	-0.04
7	14	-0.05
7	15	9.42
7	16	26.98
7	17	29.49
7	18	33.63
7	19	36.7
7	20	37.81
7	21	38.11
7	22	37.99
7	23	37.68
7	24	37.72
8	1	62.44
8	2	62.69
8	3	63.03
8	4	63.81
8	5	65.04
8	6	67.9
8	7	150.34
8	8	127.13
8	9	97.89
8	10	87.02
8	11	74.58
8	12	64.15
8	13	64.71
8	14	62.63
8	15	61.49
8	16	63.15
8	17	64.97
8	18	66.47
8	19	77.04
8	20	74.98
8	21	69.05
8	22	63.98
8	23	61.09
8	24	61.23
9	1	31.67
9	2	25.64
9	3	17.45
9	4	9.77
9	5	9.95
9	6	26.47
9	7	30.0
9	8	30.33
9	9	23.95
9	10	3.58
9	11	0.0
9	12	-0.04
9	13	-5.18
9	14	-19.66
9	15	-18.6
9	16	-0.06
9	17	1.51
9	18	11.72
9	19	30.84
9	20	36.48
9	21	37.67
9	22	37.55
9	23	36.99
9	24	30.44
10	1	71.65
10	2	71.51
10	3	69.94
10	4	69.16
10	5	68.47
10	6	69.59
10	7	77.6
10	8	71.99
10	9	85.47
10	10	76.64
10	11	71.99
10	12	69.86
10	13	68.6
10	14	66.81
10	15	68.04
10	16	69.68
10	17	77.4
10	18	90.66
10	19	81.21
10	20	78.4
10	21	74.97
10	22	71.84
10	23	71.13
10	24	77.24
11	1	71.41
11	2	71.23
11	3	70.06
11	4	69.12
11	5	68.89
11	6	74.08
11	7	84.25
11	8	110.0
11	9	133.15
11	10	113.55
11	11	97.79
11	12	91.87
11	13	89.38
11	14	90.98
11	15	94.9
11	16	94.38
11	17	93.01
11	18	105.53
11	19	97.0
11	20	86.06
11	21	83.2
11	22	80.61
11	23	75.6
11	24	65.98
12	1	35.25
12	2	35.17
12	3	35.46
12	4	38.4
12	5	41.46
12	6	44.22
12	7	49.93
12	8	53.28
12	9	52.49
12	10	49.53
12	11	46.33
12	12	45.35
12	13	44.39
12	14	44.4
12	15	45.03
12	16	46.27
12	17	48.63
12	18	51.34
12	19	53.47
12	20	47.73
12	21	44.96
12	22	44.1
12	23	42.37
12	24	43.67
13	1	47.5
13	2	42.44
13	3	43.51
13	4	44.43
13	5	48.22
13	6	50.86
13	7	51.85
13	8	53.83
13	9	54.26
13	10	53.68
13	11	53.03
13	12	52.34
13	13	52.38
13	14	51.93
13	15	51.9
13	16	52.28
13	17	53.42
13	18	54.93
13	19	55.07
13	20	55.06
13	21	55.03
13	22	54.93
13	23	54.79
13	24	54.32
14	1	40.09
14	2	39.37
14	3	39.27
14	4	39.56
14	5	40.04
14	6	40.76
14	7	41.39
14	8	41.79
14	9	41.71
14	10	41.67
14	11	41.6
14	12	41.55
14	13	41.35
14	14	41.17
14	15	41.17
14	16	41.16
14	17	41.47
14	18	41.71
14	19	41.93
14	20	41.68
14	21	41.6
14	22	41.01
14	23	40.65
14	24	39.99
