Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	2.0
1	6	24.02
1	7	44.0
1	8	43.0
1	9	8.0
1	10	8.0
1	11	8.0
1	12	8.5
1	13	4.5
1	14	4.5
1	15	3.0
1	16	3.0
1	17	4.5
1	18	6.5
1	19	54.5
1	20	60.5
1	21	58.5
1	22	34.5
1	23	3.0
1	24	2.0
2	1	4.0
2	2	2.4
2	3	2.4
2	4	2.4
2	5	2.4
2	6	3.2
2	7	7.2
2	8	8.8
2	9	10.4
2	10	10.0
2	11	7.2
2	12	6.0
2	13	6.0
2	14	6.4
2	15	6.4
2	16	8.0
2	17	10.4
2	18	10.4
2	19	11.2
2	20	8.0
2	21	8.0
2	22	7.2
2	23	6.4
2	24	4.8
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	2.0
3	6	5.0
3	7	24.5
3	8	6.5
3	9	5.5
3	10	5.5
3	11	5.5
3	12	5.5
3	13	4.5
3	14	4.0
3	15	2.0
3	16	2.0
3	17	3.0
3	18	5.0
3	19	8.0
3	20	8.0
3	21	8.0
3	22	5.0
3	23	2.0
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	3.5
4	6	16.0
4	7	57.5
4	8	54.0
4	9	36.54
4	10	16.0
4	11	26.0
4	12	28.0
4	13	8.99
4	14	5.0
4	15	4.5
4	16	6.0
4	17	10.5
4	18	18.0
4	19	56.87
4	20	61.0
4	21	72.0
4	22	23.0
4	23	24.13
4	24	3.5
5	1	6.0
5	2	6.0
5	3	6.0
5	4	6.0
5	5	30.0
5	6	63.0
5	7	129.0
5	8	138.0
5	9	120.0
5	10	126.0
5	11	120.0
5	12	114.0
5	13	114.0
5	14	114.0
5	15	126.0
5	16	116.0
5	17	120.0
5	18	147.0
5	19	144.0
5	20	120.0
5	21	99.0
5	22	81.0
5	23	36.0
5	24	32.0
6	1	2.0
6	2	2.5
6	3	2.0
6	4	2.0
6	5	2.5
6	6	5.0
6	7	17.44
6	8	44.5
6	9	39.5
6	10	21.5
6	11	12.0
6	12	9.0
6	13	8.0
6	14	8.0
6	15	8.0
6	16	12.0
6	17	22.5
6	18	52.5
6	19	73.0
6	20	74.0
6	21	36.5
6	22	16.0
6	23	11.0
6	24	6.0
