Node	Time	EnergyCarrier	ReferenceDemand
3	1	Electricity	35.61280207048487
3	2	Electricity	34.414487510092584
3	3	Electricity	33.75852571243269
3	4	Electricity	33.60146173338668
3	5	Electricity	34.53519671856526
3	6	Electricity	39.085575037107944
3	7	Electricity	48.119808254039405
3	8	Electricity	59.26422292491084
3	9	Electricity	74.15402187148676
3	10	Electricity	86.88387389503002
3	11	Electricity	91.82889199607722
3	12	Electricity	92.46360407350531
3	13	Electricity	85.15070770125611
3	14	Electricity	85.75928115934207
3	15	Electricity	93.37993577780479
3	16	Electricity	94.0258620000329
3	17	Electricity	91.42398191747219
3	18	Electricity	86.36077742441469
3	19	Electricity	78.85773901727042
3	20	Electricity	64.26124733760093
3	21	Electricity	48.40066567215888
3	22	Electricity	40.14655626725955
3	23	Electricity	38.13087504199062
3	24	Electricity	36.23937382026436
3	1	LT	1.4504451251608979
3	2	LT	1.4504451251608979
3	3	LT	1.4504451251608979
3	4	LT	1.4504451251608979
3	5	LT	1.4504451251608979
3	6	LT	1.4504451251608979
3	7	LT	1.4504451251608979
3	8	LT	3.930238403661787
3	9	LT	4.912798004577234
3	10	LT	5.404077805034958
3	11	LT	5.404077805034958
3	12	LT	6.386637405950403
3	13	LT	6.386637405950403
3	14	LT	4.4215182041195105
3	15	LT	6.386637405950403
3	16	LT	5.404077805034958
3	17	LT	4.678855242454509
3	18	LT	3.930238403661787
3	19	LT	1.4504451251608979
3	20	LT	1.4504451251608979
3	21	LT	1.4504451251608979
3	22	LT	1.4504451251608979
3	23	LT	1.4504451251608979
3	24	LT	1.4504451251608979
3	1	MT	51.11469013264778
3	2	MT	31.59760317673651
3	3	MT	31.59760317673651
3	4	MT	31.59760317673651
3	5	MT	31.59760317673651
3	6	MT	31.59760317673651
3	7	MT	31.59760317673651
3	8	MT	132.16974355091358
3	9	MT	165.21217943864198
3	10	MT	181.73339738250618
3	11	MT	181.73339738250618
3	12	MT	214.77583327023456
3	13	MT	214.77583327023456
3	14	MT	148.69096149477778
3	15	MT	214.77583327023456
3	16	MT	165.7443992224712
3	17	MT	80.13447890718956
3	18	MT	53.801132851023745
3	19	MT	33.09891755796045
3	20	MT	31.59760317673651
3	21	MT	31.59760317673651
3	22	MT	31.59760317673651
3	23	MT	31.59760317673651
3	24	MT	31.59760317673651
3	1	H2	0.0
3	2	H2	0.0
3	3	H2	0.0
3	4	H2	0.0
3	5	H2	0.0
3	6	H2	0.0
3	7	H2	0.0
3	8	H2	0.0
3	9	H2	0.0
3	10	H2	0.0
3	11	H2	0.0
3	12	H2	0.0
3	13	H2	0.0
3	14	H2	0.0
3	15	H2	0.0
3	16	H2	0.0
3	17	H2	0.0
3	18	H2	0.0
3	19	H2	0.0
3	20	H2	0.0
3	21	H2	0.0
3	22	H2	0.0
3	23	H2	0.0
3	24	H2	0.0
3	1	CH4	0.0
3	2	CH4	0.0
3	3	CH4	0.0
3	4	CH4	0.0
3	5	CH4	0.0
3	6	CH4	0.0
3	7	CH4	0.0
3	8	CH4	0.0
3	9	CH4	0.0
3	10	CH4	0.0
3	11	CH4	0.0
3	12	CH4	0.0
3	13	CH4	0.0
3	14	CH4	0.0
3	15	CH4	0.0
3	16	CH4	0.0
3	17	CH4	0.0
3	18	CH4	0.0
3	19	CH4	0.0
3	20	CH4	0.0
3	21	CH4	0.0
3	22	CH4	0.0
3	23	CH4	0.0
3	24	CH4	0.0
3	1	Biogas	0.0
3	2	Biogas	0.0
3	3	Biogas	0.0
3	4	Biogas	0.0
3	5	Biogas	0.0
3	6	Biogas	0.0
3	7	Biogas	0.0
3	8	Biogas	0.0
3	9	Biogas	0.0
3	10	Biogas	0.0
3	11	Biogas	0.0
3	12	Biogas	0.0
3	13	Biogas	0.0
3	14	Biogas	0.0
3	15	Biogas	0.0
3	16	Biogas	0.0
3	17	Biogas	0.0
3	18	Biogas	0.0
3	19	Biogas	0.0
3	20	Biogas	0.0
3	21	Biogas	0.0
3	22	Biogas	0.0
3	23	Biogas	0.0
3	24	Biogas	0.0
3	1	CH4_H2_Mix	0.0
3	2	CH4_H2_Mix	0.0
3	3	CH4_H2_Mix	0.0
3	4	CH4_H2_Mix	0.0
3	5	CH4_H2_Mix	0.0
3	6	CH4_H2_Mix	0.0
3	7	CH4_H2_Mix	0.0
3	8	CH4_H2_Mix	0.0
3	9	CH4_H2_Mix	0.0
3	10	CH4_H2_Mix	0.0
3	11	CH4_H2_Mix	0.0
3	12	CH4_H2_Mix	0.0
3	13	CH4_H2_Mix	0.0
3	14	CH4_H2_Mix	0.0
3	15	CH4_H2_Mix	0.0
3	16	CH4_H2_Mix	0.0
3	17	CH4_H2_Mix	0.0
3	18	CH4_H2_Mix	0.0
3	19	CH4_H2_Mix	0.0
3	20	CH4_H2_Mix	0.0
3	21	CH4_H2_Mix	0.0
3	22	CH4_H2_Mix	0.0
3	23	CH4_H2_Mix	0.0
3	24	CH4_H2_Mix	0.0
3	1	DummyFuel	0.0
3	2	DummyFuel	0.0
3	3	DummyFuel	0.0
3	4	DummyFuel	0.0
3	5	DummyFuel	0.0
3	6	DummyFuel	0.0
3	7	DummyFuel	0.0
3	8	DummyFuel	0.0
3	9	DummyFuel	0.0
3	10	DummyFuel	0.0
3	11	DummyFuel	0.0
3	12	DummyFuel	0.0
3	13	DummyFuel	0.0
3	14	DummyFuel	0.0
3	15	DummyFuel	0.0
3	16	DummyFuel	0.0
3	17	DummyFuel	0.0
3	18	DummyFuel	0.0
3	19	DummyFuel	0.0
3	20	DummyFuel	0.0
3	21	DummyFuel	0.0
3	22	DummyFuel	0.0
3	23	DummyFuel	0.0
3	24	DummyFuel	0.0
4	1	Electricity	34.714119186572326
4	2	Electricity	33.726089616599204
4	3	Electricity	33.23889144769191
4	4	Electricity	33.02570039546977
4	5	Electricity	34.0179761444319
4	6	Electricity	38.5553471779362
4	7	Electricity	47.701789948346736
4	8	Electricity	59.314541066925315
4	9	Electricity	73.44326688496928
4	10	Electricity	84.48616590542036
4	11	Electricity	90.53758819598208
4	12	Electricity	91.68213051628045
4	13	Electricity	83.86715966595224
4	14	Electricity	84.79266247736561
4	15	Electricity	92.73774170035503
4	16	Electricity	92.55917969985167
4	17	Electricity	90.80814400164235
4	18	Electricity	85.7216325620255
4	19	Electricity	77.10917911031179
4	20	Electricity	63.131709530984615
4	21	Electricity	46.64873370787271
4	22	Electricity	39.25727548661127
4	23	Electricity	37.329594191959664
4	24	Electricity	35.33492880237014
4	1	LT	1.9213991508335395
4	2	LT	1.9213991508335395
4	3	LT	1.9213991508335395
4	4	LT	1.9213991508335395
4	5	LT	1.9213991508335395
4	6	LT	1.9213991508335395
4	7	LT	1.9213991508335395
4	8	LT	5.2934546605464
4	9	LT	5.9063809896623
4	10	LT	6.519307318778199
4	11	LT	6.519307318778199
4	12	LT	7.80088055238417
4	13	LT	7.80088055238417
4	14	LT	5.182013509798056
4	15	LT	7.80088055238417
4	16	LT	7.80088055238417
4	17	LT	6.5183466192027835
4	18	LT	5.182974209373472
4	19	LT	1.9213991508335395
4	20	LT	1.9213991508335395
4	21	LT	1.9213991508335395
4	22	LT	1.9213991508335395
4	23	LT	1.9213991508335395
4	24	LT	1.9213991508335395
4	1	MT	37.08903261486193
4	2	MT	37.08903261486193
4	3	MT	37.08903261486193
4	4	MT	37.08903261486193
4	5	MT	37.08903261486193
4	6	MT	37.08903261486193
4	7	MT	37.08903261486193
4	8	MT	148.84106150377806
4	9	MT	166.07528967789975
4	10	MT	183.3095178520214
4	11	MT	183.3095178520214
4	12	MT	219.344722216094
4	13	MT	219.344722216094
4	14	MT	145.7075654721196
4	15	MT	219.344722216094
4	16	MT	219.344722216094
4	17	MT	131.33822705264888
4	18	MT	58.65658095125398
4	19	MT	37.08903261486193
4	20	MT	37.08903261486193
4	21	MT	37.08903261486193
4	22	MT	37.08903261486193
4	23	MT	37.08903261486193
4	24	MT	37.08903261486193
4	1	H2	0.0
4	2	H2	0.0
4	3	H2	0.0
4	4	H2	0.0
4	5	H2	0.0
4	6	H2	0.0
4	7	H2	0.0
4	8	H2	0.0
4	9	H2	0.0
4	10	H2	0.0
4	11	H2	0.0
4	12	H2	0.0
4	13	H2	0.0
4	14	H2	0.0
4	15	H2	0.0
4	16	H2	0.0
4	17	H2	0.0
4	18	H2	0.0
4	19	H2	0.0
4	20	H2	0.0
4	21	H2	0.0
4	22	H2	0.0
4	23	H2	0.0
4	24	H2	0.0
4	1	CH4	0.0
4	2	CH4	0.0
4	3	CH4	0.0
4	4	CH4	0.0
4	5	CH4	0.0
4	6	CH4	0.0
4	7	CH4	0.0
4	8	CH4	0.0
4	9	CH4	0.0
4	10	CH4	0.0
4	11	CH4	0.0
4	12	CH4	0.0
4	13	CH4	0.0
4	14	CH4	0.0
4	15	CH4	0.0
4	16	CH4	0.0
4	17	CH4	0.0
4	18	CH4	0.0
4	19	CH4	0.0
4	20	CH4	0.0
4	21	CH4	0.0
4	22	CH4	0.0
4	23	CH4	0.0
4	24	CH4	0.0
