Node	Time	Res_CapacityUpVolume
1	1	25.0
1	2	25.0
1	3	25.0
1	4	25.0
1	5	25.0
1	6	25.0
1	7	25.0
1	8	25.0
1	9	25.0
1	10	25.0
1	11	25.0
1	12	0.0
1	13	0.0
1	14	0.0
1	15	0.0
1	16	25.0
1	17	25.0
1	18	25.0
1	19	25.0
1	20	25.0
1	21	25.0
1	22	25.0
1	23	25.0
1	24	25.0
2	1	137.0
2	2	137.0
2	3	112.0
2	4	112.0
2	5	124.0
2	6	127.0
2	7	195.0
2	8	194.0
2	9	172.0
2	10	152.0
2	11	152.0
2	12	152.0
2	13	152.0
2	14	152.0
2	15	152.0
2	16	152.0
2	17	152.0
2	18	152.0
2	19	152.0
2	20	152.0
2	21	127.0
2	22	127.0
2	23	127.0
2	24	124.0
3	1	70.0
3	2	70.0
3	3	70.0
3	4	70.0
3	5	95.0
3	6	95.0
3	7	95.0
3	8	95.0
3	9	95.0
3	10	95.0
3	11	95.0
3	12	95.0
3	13	70.0
3	14	70.0
3	15	70.0
3	16	70.0
3	17	95.0
3	18	95.0
3	19	95.0
3	20	95.0
3	21	95.0
3	22	95.0
3	23	95.0
3	24	148.0
4	1	178.0
4	2	178.0
4	3	193.0
4	4	193.0
4	5	210.0
4	6	230.0
4	7	230.0
4	8	230.0
4	9	230.0
4	10	230.0
4	11	168.0
4	12	163.0
4	13	157.0
4	14	120.0
4	15	120.0
4	16	198.0
4	17	230.0
4	18	230.0
4	19	230.0
4	20	230.0
4	21	230.0
4	22	230.0
4	23	210.0
4	24	134.0
5	1	88.0
5	2	88.0
5	3	135.0
5	4	88.0
5	5	85.0
5	6	181.0
5	7	181.0
5	8	170.0
5	9	112.0
5	10	112.0
5	11	25.0
5	12	112.0
5	13	112.0
5	14	25.0
5	15	49.0
5	16	239.0
5	17	95.0
5	18	49.0
5	19	25.0
5	20	25.0
5	21	25.0
5	22	112.0
5	23	181.0
5	24	163.0
6	1	45.0
6	2	45.0
6	3	45.0
6	4	45.0
6	5	45.0
6	6	259.0
6	7	284.0
6	8	185.0
6	9	130.0
6	10	130.0
6	11	70.0
6	12	45.0
6	13	20.0
6	14	20.0
6	15	20.0
6	16	80.0
6	17	215.0
6	18	230.0
6	19	130.0
6	20	130.0
6	21	130.0
6	22	130.0
6	23	45.0
6	24	30.0
7	1	76.0
7	2	76.0
7	3	75.0
7	4	76.0
7	5	76.0
7	6	114.0
7	7	115.0
7	8	116.0
7	9	116.0
7	10	116.0
7	11	109.0
7	12	106.0
7	13	60.0
7	14	60.0
7	15	60.0
7	16	60.0
7	17	76.0
7	18	110.0
7	19	115.0
7	20	116.0
7	21	111.0
7	22	105.0
7	23	75.0
7	24	76.0
8	1	90.0
8	2	90.0
8	3	90.0
8	4	90.0
8	5	105.0
8	6	105.0
8	7	105.0
8	8	91.0
8	9	105.0
8	10	105.0
8	11	105.0
8	12	105.0
8	13	90.0
8	14	90.0
8	15	90.0
8	16	90.0
8	17	105.0
8	18	25.0
8	19	65.0
8	20	74.0
8	21	105.0
8	22	99.0
8	23	105.0
8	24	105.0
9	1	25.0
9	2	25.0
9	3	25.0
9	4	25.0
9	5	25.0
9	6	25.0
9	7	25.0
9	8	25.0
9	9	25.0
9	10	25.0
9	11	25.0
9	12	0.0
9	13	0.0
9	14	0.0
9	15	0.0
9	16	25.0
9	17	25.0
9	18	25.0
9	19	25.0
9	20	25.0
9	21	25.0
9	22	25.0
9	23	25.0
9	24	75.0
10	1	96.0
10	2	96.0
10	3	96.0
10	4	96.0
10	5	120.0
10	6	120.0
10	7	120.0
10	8	120.0
10	9	120.0
10	10	130.0
10	11	130.0
10	12	105.0
10	13	105.0
10	14	105.0
10	15	105.0
10	16	130.0
10	17	129.0
10	18	130.0
10	19	130.0
10	20	130.0
10	21	130.0
10	22	130.0
10	23	130.0
10	24	130.0
11	1	100.0
11	2	100.0
11	3	100.0
11	4	100.0
11	5	100.0
11	6	100.0
11	7	100.0
11	8	110.0
11	9	110.0
11	10	120.0
11	11	110.0
11	12	110.0
11	13	120.0
11	14	120.0
11	15	120.0
11	16	120.0
11	17	120.0
11	18	110.0
11	19	110.0
11	20	90.0
11	21	30.0
11	22	0.0
11	23	0.0
11	24	0.0
12	1	10.0
12	2	10.0
12	3	0.0
12	4	0.0
12	5	0.0
12	6	35.0
12	7	45.0
12	8	45.0
12	9	55.0
12	10	55.0
12	11	55.0
12	12	45.0
12	13	45.0
12	14	45.0
12	15	45.0
12	16	45.0
12	17	45.0
12	18	55.0
12	19	55.0
12	20	55.0
12	21	45.0
12	22	45.0
12	23	17.0
12	24	0.0
13	1	83.0
13	2	58.0
13	3	58.0
13	4	58.0
13	5	58.0
13	6	58.0
13	7	83.0
13	8	83.0
13	9	83.0
13	10	83.0
13	11	83.0
13	12	83.0
13	13	58.0
13	14	58.0
13	15	38.0
13	16	38.0
13	17	73.0
13	18	83.0
13	19	83.0
13	20	83.0
13	21	83.0
13	22	83.0
13	23	83.0
13	24	103.0
14	1	122.0
14	2	122.0
14	3	122.0
14	4	97.0
14	5	97.0
14	6	97.0
14	7	97.0
14	8	218.0
14	9	218.0
14	10	218.0
14	11	218.0
14	12	218.0
14	13	164.0
14	14	164.0
14	15	164.0
14	16	164.0
14	17	218.0
14	18	218.0
14	19	218.0
14	20	218.0
14	21	164.0
14	22	139.0
14	23	139.0
14	24	139.0
