Node	Parent
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	3
24	3
25	3
26	3
27	3
28	4
29	4
30	4
31	4
32	4
33	5
34	5
35	5
36	5
37	5
38	6
39	6
40	6
41	6
42	6
43	7
44	7
45	7
46	7
47	7
48	8
49	8
50	8
51	8
52	8
53	9
54	9
55	9
56	9
57	9
58	10
59	10
60	10
61	10
62	10
63	11
64	11
65	11
66	11
67	11
68	12
69	12
70	12
71	12
72	12
73	13
74	13
75	13
76	13
77	13
78	14
79	14
80	14
81	14
82	14
83	15
84	15
85	15
86	15
87	15
88	16
89	16
90	16
91	16
92	16
93	17
94	17
95	17
96	17
97	17
98	18
99	18
100	18
101	18
102	18
103	19
104	19
105	19
106	19
107	19
108	20
109	20
110	20
111	20
112	20
113	21
114	21
115	21
116	21
117	21
118	22
119	22
120	22
121	22
122	22
