Technology	EnergyCarrier	Operational_mode
ElectricBoiler	Electricity	1
HP_LT	Electricity	1
HP_MT	Electricity	1
HP_MT	Electricity	2
P2G	Electricity	1
G2P	H2	1
GasBoiler	CH4_H2_Mix	1
GasBoiler	CH4_H2_Mix	2
GasBoiler	CH4_H2_Mix	3
GasBoiler	CH4	4
GasBoiler	CH4	5
GasBoiler	CH4	6
GasBoiler	Biogas	7
GasBoiler	Biogas	8
GasBoiler	Biogas	9
GasBoiler_CCS	CH4_H2_Mix	1
GasBoiler_CCS	CH4_H2_Mix	2
GasBoiler_CCS	CH4_H2_Mix	3
GasBoiler_CCS	CH4	4
GasBoiler_CCS	CH4	5
GasBoiler_CCS	CH4	6
GasBoiler_CCS	Biogas	7
GasBoiler_CCS	Biogas	8
GasBoiler_CCS	Biogas	9
CHP	CH4_H2_Mix	1
CHP	CH4_H2_Mix	2
CHP	CH4_H2_Mix	3
CHP	CH4	4
CHP	CH4	5
CHP	CH4	6
CHP	Biogas	7
CHP	Biogas	8
CHP	Biogas	9
CHP_CCS	CH4_H2_Mix	1
CHP_CCS	CH4_H2_Mix	2
CHP_CCS	CH4_H2_Mix	3
CHP_CCS	CH4	4
CHP_CCS	CH4	5
CHP_CCS	CH4	6
CHP_CCS	Biogas	7
CHP_CCS	Biogas	8
CHP_CCS	Biogas	9
CH4_H2_Mixer	H2	1
CH4_H2_Mixer	CH4	1
Power_Grid	Electricity	2
Biogas_Grid	Biogas	2
CH4_Grid	CH4	2
H2_Grid	H2	2
Direct_Firing	CH4	1
Direct_Firing	CH4	2
Direct_Firing	CH4	3
