Technology	EnergyCarrier	Operational_mode_
Power_Grid	Electricity	1
ElectricBoiler	LT	1
ElectricBoiler	MT	2
HP_LT	LT	1
HP_MT	MT	1
HP_MT	LT	2
PV	Electricity	1
P2G	H2	1
G2P	Electricity	1
GasBoiler	LT	1
GasBoiler	MT	2
GasBoiler	HT	3
GasBoiler	LT	4
GasBoiler	MT	5
GasBoiler	HT	6
GasBoiler	LT	7
GasBoiler	MT	8
GasBoiler	HT	9
GasBoiler_CCS	LT	1
GasBoiler_CCS	MT	2
GasBoiler_CCS	HT	3
GasBoiler_CCS	LT	4
GasBoiler_CCS	MT	5
GasBoiler_CCS	HT	6
GasBoiler_CCS	LT	7
GasBoiler_CCS	MT	8
GasBoiler_CCS	HT	9
CHP	LT	1
CHP	Electricity	1
CHP	MT	2
CHP	Electricity	2
CHP	HT	3
CHP	Electricity	3
CHP	LT	4
CHP	Electricity	4
CHP	MT	5
CHP	Electricity	5
CHP	HT	6
CHP	Electricity	6
CHP	LT	7
CHP	Electricity	7
CHP	MT	8
CHP	Electricity	8
CHP	HT	9
CHP	Electricity	9
CHP_CCS	LT	1
CHP_CCS	Electricity	1
CHP_CCS	MT	2
CHP_CCS	Electricity	2
CHP_CCS	HT	3
CHP_CCS	Electricity	3
CHP_CCS	LT	4
CHP_CCS	Electricity	4
CHP_CCS	MT	5
CHP_CCS	Electricity	5
CHP_CCS	HT	6
CHP_CCS	Electricity	6
CHP_CCS	LT	7
CHP_CCS	Electricity	7
CHP_CCS	MT	8
CHP_CCS	Electricity	8
CHP_CCS	HT	9
CHP_CCS	Electricity	9
Biogas_Grid	Biogas	1
CH4_Grid	CH4	1
CH4_H2_Mixer	CH4_H2_Mix	1
DieselReserveGenerator	Electricity	1
H2_Grid	H2	1
Direct_Firing	LT	1
Direct_Firing	MT	2
Direct_Firing	HT	3
